id	status	gender	major	dorm	year
1	1	1	265	0	2008
2	5	2	265	0	2006
3	1	1	0	0	2009
4	1	1	293	0	2007
5	1	1	239	0	2005
6	1	1	300	0	2007
7	2	1	267	0	2004
8	1	1	272	91	2005
9	1	1	293	90	2007
10	1	1	267	0	2005
11	1	1	0	0	2007
12	1	1	242	0	2006
13	2	1	272	108	2005
14	1	2	269	91	2009
15	1	1	244	0	2009
16	1	1	294	87	2009
17	1	2	248	92	2007
18	2	2	0	0	2005
19	5	2	277	91	2007
20	1	1	269	88	2008
21	1	2	265	91	2007
22	2	1	246	0	0
23	1	2	312	103	2008
24	1	1	269	91	2008
25	1	1	293	0	2006
26	1	1	272	86	2008
27	1	1	244	89	2008
28	1	0	0	86	2009
29	1	1	265	0	2007
30	5	1	293	0	0
31	1	1	245	88	2009
32	1	1	244	87	2009
33	1	1	294	86	2008
34	5	2	265	0	0
35	1	1	244	0	2006
36	1	2	278	0	0
37	1	0	0	0	0
38	1	1	265	91	2008
39	1	1	264	0	2006
40	1	2	265	0	2007
41	1	1	243	0	2006
42	1	1	0	89	2007
43	1	1	267	0	2007
44	1	2	244	0	2006
45	1	1	0	91	2009
46	1	2	293	86	2009
47	1	1	293	92	2006
48	2	1	273	0	2005
49	1	2	278	92	2006
50	1	1	248	91	2007
51	1	1	294	86	2009
52	2	1	248	112	2005
53	1	1	246	87	2008
54	1	2	243	87	2009
55	1	2	290	0	2006
56	1	1	0	89	2009
57	1	2	265	0	2008
58	1	1	293	0	2007
59	1	1	246	0	2007
60	1	1	295	107	2007
61	2	2	241	104	2003
62	1	1	301	89	2009
63	1	1	239	89	2009
64	1	2	247	0	0
65	2	1	244	0	2004
66	1	1	265	91	2008
67	1	1	244	0	2007
68	5	1	247	0	0
69	1	1	313	0	2006
70	1	1	265	86	2008
71	1	1	246	88	2009
72	1	2	0	90	2008
73	1	1	246	0	0
74	1	1	293	88	2009
75	1	1	265	108	0
76	2	1	246	0	2005
77	1	1	272	0	2006
78	1	2	265	91	2007
79	5	2	263	0	2004
80	1	2	243	86	2007
81	1	1	0	112	2008
82	1	1	0	0	2008
83	1	1	246	88	2009
84	1	1	248	0	2006
85	2	2	265	0	0
86	1	2	293	89	2008
87	1	1	244	88	2009
88	1	2	265	0	2008
89	1	1	246	92	2006
90	1	1	244	0	0
91	1	1	246	0	2005
92	2	1	246	92	2005
93	1	2	293	87	2009
94	1	1	246	92	2007
95	1	2	272	90	2007
96	1	1	265	106	2006
97	1	1	263	89	2008
98	2	1	278	0	2005
99	5	1	269	0	2005
100	1	0	290	0	2007
101	1	0	0	0	0
102	1	1	293	0	2007
103	1	2	265	0	0
104	1	1	265	89	2009
105	1	2	265	89	2009
106	1	1	269	86	2007
107	1	2	244	91	2008
108	1	1	279	91	0
109	5	1	309	0	0
110	1	1	283	87	2008
111	1	2	244	98	2006
112	1	1	269	89	2009
113	1	2	312	0	2006
114	1	2	244	0	2006
115	1	1	247	0	2007
116	1	1	294	89	2007
117	1	1	294	0	2007
118	1	1	248	89	2009
119	1	2	293	97	2006
120	2	1	244	0	0
121	1	1	265	91	2008
122	1	2	312	0	2006
123	2	2	253	0	2005
124	1	1	0	89	2009
125	1	1	265	0	2006
126	1	1	265	88	2009
127	1	2	247	87	2009
128	2	1	254	111	2005
129	1	1	293	0	0
130	1	1	244	0	0
131	1	2	242	0	2006
132	1	2	265	91	2008
133	1	1	293	0	2006
134	1	1	244	88	2008
135	1	1	256	89	2009
136	1	2	252	102	2008
137	2	2	256	0	2005
138	1	2	278	0	2007
139	2	1	265	0	2005
140	1	1	0	91	2009
141	2	2	293	0	2004
142	1	2	0	90	2008
143	1	2	263	0	2006
144	1	1	269	0	2006
145	1	1	289	89	2009
146	1	2	312	91	2009
147	1	1	294	89	2008
148	1	1	0	91	2009
149	1	1	244	89	2009
150	2	1	265	0	2004
151	2	1	249	111	2005
152	1	2	244	0	2006
153	1	1	265	86	2008
154	1	0	294	0	2006
155	1	1	246	0	2006
156	1	1	290	0	2007
157	1	2	278	0	2008
158	1	2	269	0	2007
159	1	1	246	90	2007
160	3	0	0	0	0
161	1	2	278	0	2007
162	1	1	239	0	0
163	1	1	243	91	2008
164	5	2	271	87	0
165	1	1	258	91	2009
166	1	1	280	91	2009
167	1	1	243	0	2010
168	1	1	269	89	2009
169	2	2	264	0	2005
170	1	2	293	97	2006
171	1	1	265	89	2008
172	2	1	244	0	2005
173	1	1	259	86	2007
174	1	2	0	89	2007
175	1	2	267	0	2006
176	1	2	312	89	2007
177	1	1	247	89	2009
178	1	1	277	89	2009
179	5	1	247	0	0
180	2	1	272	0	2004
181	1	1	265	0	2007
182	1	2	244	0	2005
183	1	1	265	91	2009
184	1	2	244	89	2008
185	1	1	236	0	2005
186	1	2	258	0	2007
187	1	1	255	0	2008
188	1	2	293	88	2005
189	2	1	263	0	2004
190	1	2	265	0	0
191	2	1	267	0	2005
192	2	1	277	0	2005
193	1	1	265	91	2009
194	1	1	244	111	2007
195	1	2	247	88	2008
196	1	2	278	0	2006
197	1	2	241	86	2008
198	1	1	0	88	2009
199	1	1	280	91	2009
200	2	2	265	0	2005
201	1	1	265	89	2009
202	1	1	265	0	2006
203	1	1	294	91	2006
204	1	2	246	0	2006
205	1	0	0	0	2008
206	2	1	278	0	2003
207	1	1	296	0	2006
208	1	0	0	108	2006
209	1	0	0	0	0
210	1	1	278	0	2006
211	2	1	253	0	2004
212	1	1	293	0	2007
213	1	1	293	0	2005
214	2	1	294	111	2005
215	1	1	244	90	2008
216	2	1	247	0	2004
217	1	1	0	0	2009
218	1	1	294	0	2007
219	2	1	293	0	2005
220	1	2	244	0	2005
221	1	0	0	0	0
222	1	0	294	0	0
223	1	1	294	93	2007
224	1	2	290	89	2007
225	1	2	269	103	2007
226	1	1	244	106	2006
227	1	1	269	0	2008
228	1	1	243	0	2007
229	1	2	312	87	2008
230	1	1	294	0	2007
231	1	1	271	0	2007
232	2	2	265	0	2005
233	1	2	293	86	2006
234	1	2	246	0	0
235	1	2	293	0	2008
236	1	1	244	0	2007
237	1	1	246	106	2007
238	1	1	269	90	2007
239	1	0	0	0	0
240	1	1	280	0	2006
241	1	2	263	86	2007
242	1	1	243	0	2007
243	1	2	309	94	2007
244	1	1	293	0	2006
245	1	2	265	86	2006
246	1	1	265	0	2008
247	2	2	267	0	2005
248	2	1	248	0	0
249	1	2	0	0	2009
250	1	1	269	0	2007
251	1	2	280	0	2006
252	1	1	293	0	2007
253	5	1	265	0	0
254	1	1	288	89	2009
255	1	2	293	86	2008
256	1	1	246	88	2007
257	1	1	244	91	2009
258	5	1	265	0	2005
259	1	2	265	89	2006
260	2	1	280	0	2005
261	1	2	244	88	2006
262	1	1	280	91	2009
263	1	1	0	89	2008
264	1	1	294	0	2006
265	1	2	293	89	2006
266	1	2	248	0	2007
267	1	2	272	89	2008
268	1	1	265	0	2007
269	1	2	248	89	2007
270	1	2	265	86	2008
271	2	1	264	0	2005
272	1	1	0	111	2008
273	1	2	244	92	2006
274	1	1	290	91	2007
275	2	1	293	0	2005
276	1	1	269	0	2007
277	1	2	293	0	2007
278	1	1	272	0	2006
279	1	1	265	0	2007
280	1	1	0	90	2008
281	1	0	0	0	0
282	2	1	247	0	2005
283	1	1	293	90	2008
284	1	0	0	0	0
285	1	1	239	0	0
286	1	1	265	88	2009
287	1	0	0	0	0
288	2	2	267	0	2004
289	1	1	0	0	2008
290	1	1	244	0	2007
291	1	2	278	0	2007
292	1	1	247	86	2008
293	1	1	265	91	2008
294	1	1	244	91	2008
295	1	1	302	89	2009
