id	status	gender	major	dorm	year
1	1	2	0	359	2008
2	1	1	106	340	2007
3	1	1	114	0	2007
4	1	1	99	0	2006
5	1	2	111	347	2007
6	1	1	0	0	2009
7	1	1	0	360	2009
8	1	2	99	340	2006
9	1	1	103	0	0
10	1	2	0	358	2009
11	1	1	114	360	2008
12	2	1	113	328	2004
13	1	2	99	335	2006
14	1	2	0	0	2009
15	1	1	0	0	2009
16	2	1	108	346	2005
17	1	1	96	0	2009
18	1	2	106	330	2007
19	1	2	109	359	2009
20	2	2	108	0	2004
21	1	1	113	0	2007
22	1	2	0	359	2009
23	1	1	115	328	2006
24	2	1	101	0	2005
25	1	1	113	344	2009
26	1	1	103	0	2007
27	2	1	91	0	2004
28	1	2	118	336	2006
29	2	1	114	0	2005
30	1	1	100	360	2009
31	1	2	90	351	2007
32	2	0	110	0	2005
33	1	0	113	0	2006
34	1	1	113	343	2006
35	1	2	94	359	2009
36	2	2	94	0	2004
37	2	1	99	0	2004
38	1	0	0	0	2006
39	1	2	0	0	2009
40	1	1	0	360	2009
41	2	0	0	0	0
42	1	2	91	0	0
43	1	2	106	354	2009
44	1	2	0	358	2008
45	1	1	92	336	2007
46	1	1	107	0	2007
47	1	1	114	358	2009
48	1	1	92	341	2007
49	4	2	0	0	0
50	1	1	0	0	2009
51	1	2	106	348	2008
52	1	2	0	349	2007
53	1	1	91	347	2007
54	2	1	0	0	0
55	2	1	114	0	2005
56	2	1	114	347	2005
57	1	0	0	341	0
58	2	1	100	0	2004
59	1	2	99	349	2006
60	1	1	113	334	2006
61	1	1	91	337	2006
62	3	2	100	343	2005
63	1	2	107	328	2006
64	1	1	0	341	2007
65	1	2	113	0	2007
66	2	1	106	0	2003
67	1	1	102	0	2006
68	1	2	0	0	2009
69	1	2	94	327	2008
70	1	1	117	0	2007
71	1	2	0	0	2007
72	1	1	0	355	2009
73	1	2	112	336	0
74	2	1	94	0	2005
75	2	1	99	0	2005
76	1	1	0	0	2008
77	1	2	113	347	2006
78	1	1	102	339	2006
79	1	1	114	352	2007
80	1	2	0	336	2008
81	1	2	94	351	2006
82	1	2	0	0	2007
83	1	2	114	337	2006
84	2	1	106	0	2004
85	1	2	0	358	2009
86	1	2	99	347	2005
87	1	0	113	334	0
88	1	2	107	0	2006
89	1	2	106	340	2006
90	1	1	94	341	2006
91	1	1	0	336	2007
92	1	2	100	356	2008
93	1	1	114	358	2009
94	2	2	94	0	2004
95	1	1	104	342	2006
96	1	0	0	0	0
97	1	2	0	0	2009
98	1	1	0	340	2008
99	1	1	100	343	0
100	1	1	114	355	2007
101	1	1	119	352	2006
102	1	1	113	351	2006
103	1	1	0	341	2008
104	2	1	113	0	2003
105	1	1	0	0	2009
106	1	1	100	342	2007
107	2	2	108	339	2004
108	1	2	0	0	2009
109	1	2	99	360	2009
110	1	2	0	0	2009
111	1	0	0	346	0
112	1	2	108	341	2008
113	1	1	119	336	2006
114	2	1	119	0	2004
115	1	2	0	0	2009
116	1	1	114	0	2006
117	1	2	113	0	2006
118	1	2	107	342	2006
119	1	2	90	0	2008
120	1	2	99	347	2005
121	1	0	0	351	2008
122	1	2	114	0	2009
123	1	2	0	360	2008
124	1	1	0	341	2007
125	1	1	108	332	2005
126	2	1	90	0	2005
127	1	1	100	0	2006
128	1	1	102	341	2006
129	1	2	106	331	2007
130	2	2	108	336	2004
131	1	1	113	0	0
132	1	1	91	330	2007
133	1	2	112	346	2008
134	1	1	91	333	2006
135	1	1	114	0	2009
136	1	1	0	330	2007
137	1	2	104	0	2006
138	2	2	106	0	2004
139	1	1	113	0	2006
140	2	2	113	0	2002
141	1	2	113	330	2008
142	1	2	108	359	2009
143	1	2	99	359	2009
144	1	1	91	344	2009
145	1	2	114	327	2007
146	1	1	0	359	2009
147	1	0	102	333	2005
148	1	2	113	343	2008
149	2	1	100	0	2005
150	1	2	99	355	2008
151	1	1	100	359	2009
152	1	2	99	0	2009
153	1	2	113	353	2007
154	1	1	91	329	2008
155	1	1	99	355	2008
156	1	2	0	330	2008
157	2	1	100	0	2002
158	2	1	111	0	2004
159	1	2	100	344	2009
160	1	2	0	0	2009
161	2	2	100	359	2002
162	2	1	99	0	2005
163	1	1	99	0	2005
164	1	1	0	0	2009
165	1	2	99	342	2007
166	1	2	106	0	2008
167	1	1	100	355	2007
168	2	2	113	0	2004
169	1	1	110	0	2009
170	1	1	99	0	2007
171	1	1	100	0	2009
172	1	1	119	0	2008
173	1	2	99	340	2006
174	2	1	113	331	2001
175	1	1	110	360	2008
176	1	2	96	0	2009
177	1	0	118	0	2009
178	1	0	100	336	2006
179	1	2	99	345	2007
180	1	1	119	354	2008
181	1	2	112	336	0
182	1	1	0	334	2006
183	2	2	108	0	2003
184	1	1	107	344	2009
185	1	1	97	341	2008
186	1	1	0	357	2007
187	2	2	99	347	2005
188	1	1	100	331	2006
189	1	1	0	351	2006
190	1	1	0	351	2008
191	1	2	95	0	2009
192	1	1	102	340	2007
193	2	1	114	0	2004
194	2	2	111	0	2005
195	2	0	0	0	2005
196	2	1	117	0	2004
197	1	1	0	0	2008
198	1	1	91	354	2009
199	1	2	0	360	2008
200	1	1	0	349	2008
201	1	2	99	341	2007
202	2	1	100	329	2005
203	1	2	0	360	2009
204	1	2	103	343	2006
205	1	2	99	349	2008
206	1	1	91	0	2007
207	1	2	0	330	2008
208	4	2	0	0	0
209	1	1	0	341	2008
210	1	2	0	330	2007
211	1	1	0	339	2008
212	1	2	114	0	2006
213	2	1	102	337	2005
214	2	2	99	341	0
215	1	2	100	0	2006
216	1	2	100	0	2007
217	1	1	106	359	2009
218	1	2	100	344	2009
219	1	1	100	359	2009
220	2	2	114	351	2004
221	1	2	0	353	2008
222	1	1	113	332	2007
223	1	2	96	332	2006
224	2	1	114	347	2005
225	1	2	105	346	2008
226	1	2	94	334	2006
227	1	0	0	0	0
228	2	2	107	0	2004
229	1	2	112	0	2009
230	1	0	0	0	0
231	1	1	99	343	2007
232	1	2	100	330	2007
233	2	2	113	0	2005
234	2	1	95	342	2005
235	1	2	114	0	2006
236	1	0	94	350	2007
237	1	1	100	358	2009
238	1	1	100	347	2005
239	2	1	113	0	2005
240	1	1	108	328	2006
241	1	2	0	0	2009
242	1	2	0	341	0
243	1	2	106	342	2007
244	2	0	114	0	0
245	2	0	113	0	2004
246	1	2	114	329	2008
247	1	2	99	341	2008
248	1	1	114	329	2007
249	1	2	119	360	2009
250	1	1	0	0	2007
251	1	2	91	339	2007
252	1	0	0	0	0
253	1	1	91	0	2007
254	1	2	109	341	2008
