id	status	gender	major	dorm	year
1	1	0	309	0	0
2	1	2	349	0	0
3	1	2	282	0	2007
4	1	2	288	104	2009
5	1	2	329	0	2008
6	1	1	265	124	2008
7	1	1	274	101	0
8	1	1	0	0	2009
9	1	0	241	0	2006
10	2	1	346	0	2005
11	1	1	338	118	2006
12	1	1	407	0	2005
13	2	1	265	124	2005
14	1	2	255	0	2006
15	1	1	331	0	2009
16	2	1	407	0	2004
17	1	1	326	0	2007
18	1	1	0	0	2009
19	1	1	252	98	2004
20	1	0	245	0	0
21	1	1	265	0	2007
22	1	1	361	115	2007
23	1	2	331	0	2004
24	2	1	323	0	2005
25	1	1	258	0	0
26	1	1	353	0	2009
27	1	1	245	0	0
28	1	1	310	121	2008
29	1	2	304	0	2008
30	3	1	0	0	0
31	5	1	241	112	2005
32	1	1	255	96	2009
33	1	2	256	0	0
34	1	1	311	115	2008
35	1	2	319	0	2007
36	2	2	288	139	2005
37	5	1	361	159	0
38	1	1	256	0	2007
39	1	2	406	0	2009
40	1	2	284	0	2010
41	1	1	300	89	2009
42	1	1	249	114	2007
43	1	1	256	0	0
44	1	2	283	98	2009
45	1	2	282	127	2008
46	2	2	280	0	2005
47	1	1	357	0	2007
48	1	1	300	115	2009
49	5	0	0	0	0
50	1	1	411	0	0
51	1	2	361	0	0
52	1	1	283	0	2007
53	1	1	241	113	2008
54	1	2	244	0	2005
55	1	1	309	0	2007
56	1	1	357	0	0
57	1	1	353	0	0
58	1	1	357	118	2009
59	1	1	357	108	2009
60	1	2	349	101	2009
61	1	2	390	0	2005
62	1	2	266	0	0
63	2	2	242	0	0
64	2	1	346	0	2002
65	2	2	359	151	2005
66	1	0	0	0	0
67	1	1	376	110	2008
68	1	2	286	0	2007
69	1	2	280	0	2009
70	1	1	283	93	2009
71	1	1	409	115	2009
72	2	2	311	145	2005
73	1	1	412	120	2004
74	5	1	262	0	2007
75	1	2	255	0	2009
76	1	1	283	99	0
77	1	2	0	146	2006
78	2	1	245	0	2005
79	1	1	346	111	2008
80	2	1	255	121	2004
81	1	1	346	0	2009
82	1	1	0	117	2008
83	1	1	280	106	2009
84	1	2	282	0	2005
85	1	2	251	108	2009
86	1	2	266	0	2004
87	1	2	329	0	2006
88	1	1	361	0	2009
89	2	1	355	0	2005
90	1	2	324	0	2006
91	1	2	236	0	0
92	1	1	380	110	0
93	1	1	326	0	0
94	2	2	257	0	2004
95	1	1	410	119	2006
96	1	1	329	0	2006
97	2	1	238	115	2005
98	1	1	245	0	0
99	1	1	265	0	2006
100	1	1	407	103	2005
101	1	2	361	0	2005
102	5	1	295	0	2006
103	1	2	401	0	0
104	5	1	340	110	2007
105	1	1	346	0	2007
106	1	1	327	0	2007
107	1	1	249	0	2007
108	1	2	404	0	2004
109	1	1	405	0	2008
110	1	1	241	0	0
111	1	1	361	89	2009
112	1	1	358	0	0
113	1	1	280	116	2008
114	1	1	256	111	2007
115	1	1	361	123	2008
116	1	1	409	107	2007
