id	status	gender	major	dorm	year
1	1	2	80	0	2005
2	1	1	69	34	2009
3	2	1	0	0	2005
4	1	2	82	48	2009
5	2	2	65	0	2004
6	1	1	0	63	0
7	1	1	69	0	2006
8	2	1	79	0	2005
9	1	2	0	0	2006
10	2	1	0	0	2005
11	2	1	80	0	2004
12	2	2	53	0	2004
13	1	1	69	58	2006
14	1	2	51	40	2009
15	1	2	48	54	2006
16	2	2	53	58	2005
17	2	1	0	0	0
18	1	2	55	63	2007
19	1	2	68	0	2006
20	1	2	53	53	2008
21	2	2	79	54	2004
22	2	2	68	0	2005
23	1	2	81	54	2006
24	1	0	0	0	0
25	5	2	81	59	2005
26	1	2	80	32	2009
27	1	1	58	50	2007
28	1	1	76	37	2009
29	1	2	0	39	2009
30	1	1	69	63	2007
31	1	2	68	32	2009
32	1	1	88	47	2008
33	1	2	66	45	2009
34	1	2	80	0	2007
35	1	1	86	0	0
36	1	2	77	63	2008
37	1	1	48	52	2006
38	1	1	76	61	2007
39	2	1	48	58	2005
40	1	1	83	53	2008
41	1	2	80	51	2009
42	1	1	69	42	2009
43	2	1	69	58	2005
44	1	1	51	37	2009
45	1	1	0	61	2008
46	1	2	0	34	2008
47	2	2	0	0	2005
48	1	1	0	34	2009
49	1	2	66	0	2007
50	2	2	53	59	2005
51	1	2	84	45	2009
52	1	2	80	34	2009
53	1	1	80	57	2006
54	1	1	48	0	2008
55	1	1	84	37	2009
56	1	1	58	49	2007
57	1	2	51	0	2006
58	1	1	51	43	2009
59	1	2	80	63	2008
60	1	2	53	53	2008
61	2	2	54	0	2005
62	1	1	54	0	2008
63	2	2	54	0	2005
64	1	1	0	61	2008
65	1	1	79	0	2006
66	2	2	80	0	2004
67	5	1	0	0	0
68	1	1	80	42	2009
69	1	2	0	63	2007
70	1	1	54	0	2008
71	1	2	68	63	2008
72	2	2	54	0	2005
73	1	1	48	50	2008
74	1	2	0	34	2009
75	1	2	82	63	2008
76	1	1	86	34	2009
77	2	1	78	57	2005
78	1	2	53	0	2007
79	1	1	48	58	2005
80	1	1	82	0	2006
81	1	2	52	63	2008
82	1	1	83	53	2008
83	2	1	48	57	2005
84	2	1	81	0	2004
85	2	2	79	0	2005
86	2	2	53	59	2004
87	1	1	51	63	2008
88	1	1	87	36	2009
89	1	2	68	50	2008
90	1	2	53	0	2006
91	1	1	80	58	2006
92	1	1	54	49	2008
93	1	1	48	0	2009
94	1	1	48	63	2006
95	1	1	70	46	2009
96	1	1	73	54	2006
97	2	2	80	0	2004
98	2	2	68	54	2004
99	1	1	48	0	2009
100	2	2	80	0	2005
101	2	1	51	0	2005
102	2	2	68	0	2004
103	1	1	82	57	2006
104	1	2	53	63	2008
105	1	2	53	54	2008
106	1	2	53	57	2006
107	2	1	69	0	2004
108	1	2	72	0	2007
109	1	2	53	33	2008
110	1	2	0	63	2007
111	1	1	0	49	2008
112	1	1	51	0	2007
113	1	2	66	54	0
114	1	1	80	60	2007
115	1	2	66	54	2007
116	1	1	0	0	2007
117	1	2	88	0	2005
118	1	1	48	31	2009
119	1	2	84	0	2006
120	2	1	48	56	2005
121	1	2	83	60	2006
122	1	0	91	63	2008
123	1	2	79	0	2009
124	1	1	70	62	2008
125	3	2	68	0	2006
126	1	2	64	52	2006
127	1	1	57	47	2007
128	1	0	68	49	2008
129	1	2	0	46	2009
130	1	1	82	0	2006
131	2	0	0	0	0
132	1	1	58	33	2009
133	1	2	51	37	2007
134	2	1	79	58	2004
135	1	2	81	63	2008
136	1	2	75	36	2009
137	1	1	51	0	2006
138	1	1	0	34	2009
139	1	1	0	58	2005
140	1	1	69	31	2009
141	1	1	54	61	2008
142	1	1	0	45	2009
143	1	0	0	0	0
144	1	1	58	36	2009
145	5	1	79	0	2006
146	2	1	68	57	2004
147	1	2	51	0	2005
148	1	2	48	51	2009
149	1	1	0	43	2009
150	1	1	69	61	2006
151	1	1	51	60	2007
152	1	1	82	0	2007
153	1	1	83	0	2005
154	1	2	48	43	2009
155	2	2	91	59	2005
156	1	0	55	0	2006
157	2	2	0	0	2005
158	1	1	83	56	2006
159	2	0	0	0	2005
160	1	2	64	44	2008
161	1	2	53	50	2008
162	1	2	65	0	2007
163	5	2	80	0	0
164	1	1	68	54	2007
165	1	1	68	44	2009
166	1	1	68	62	2005
167	1	2	78	37	2009
168	1	1	48	61	2008
169	2	1	81	0	2005
170	1	1	79	63	2007
171	2	1	58	56	2005
172	1	2	68	60	2006
173	1	2	53	0	2006
174	2	1	83	0	2005
175	2	2	0	0	2005
176	1	2	48	63	2008
177	1	1	58	0	2007
178	5	2	93	0	0
179	5	1	93	0	2008
180	1	2	56	0	2008
181	1	2	0	63	2008
182	1	2	0	49	2008
183	1	1	69	62	2007
184	1	1	51	58	2006
185	1	1	54	0	2007
186	1	2	81	62	2005
187	1	0	66	59	2006
188	1	0	51	0	0
189	2	1	51	58	2004
190	1	1	0	50	2008
191	2	1	54	0	2005
192	1	0	0	0	0
193	1	2	80	31	2009
194	1	1	51	63	2008
195	1	1	66	63	2007
196	1	2	48	54	2008
197	2	2	51	54	2005
198	1	2	53	0	2007
199	1	2	0	63	2008
200	1	2	78	39	2009
201	1	1	83	59	2006
202	1	1	68	37	2009
203	1	2	82	54	2005
204	1	2	58	63	2008
205	2	1	0	0	2005
206	1	1	54	33	2009
207	1	2	74	40	2009
208	1	1	80	61	2007
209	1	2	0	45	2008
210	1	2	82	37	2009
211	1	0	0	0	0
212	1	0	83	0	2008
213	2	2	53	0	2004
214	1	2	84	63	2007
215	1	1	48	61	2008
216	1	2	52	50	2007
217	1	1	0	54	2007
218	1	1	58	0	2006
219	1	2	48	0	2007
220	1	1	83	40	2009
221	1	1	79	61	2008
222	2	1	48	0	2004
223	1	2	75	56	0
224	1	2	53	0	2006
225	2	2	73	52	2004
226	1	1	83	61	2006
227	1	2	64	58	2005
228	2	1	58	0	2000
229	2	1	54	56	2004
230	2	1	72	0	2005
231	1	2	76	45	2009
232	1	2	51	0	2006
233	1	1	83	42	2007
234	1	1	82	0	2007
235	1	1	79	63	2007
236	1	2	66	33	2009
237	1	1	54	60	2007
238	1	2	80	0	2006
239	1	1	0	63	2008
240	1	2	80	32	2009
241	1	1	60	57	2006
242	1	2	0	32	2009
243	1	2	58	0	2007
244	1	2	0	54	0
245	2	1	83	59	2005
246	2	2	55	0	2004
247	1	1	78	44	2009
248	2	2	52	59	2005
249	2	0	84	0	0
250	1	2	53	46	2009
251	1	1	91	40	2009
252	1	1	58	37	2009
253	1	1	84	63	2008
254	1	1	80	63	2007
255	1	1	51	0	2006
256	5	0	0	0	0
257	1	2	0	54	2008
258	1	1	87	59	2006
259	1	0	58	54	2007
260	2	2	58	62	2005
261	5	0	0	0	0
262	1	1	0	47	2008
263	1	2	73	0	2006
264	1	2	68	0	2007
265	2	0	85	0	0
266	1	1	69	33	2009
267	2	2	82	57	2004
268	1	1	0	54	2008
269	1	0	0	47	2008
270	1	1	53	0	2009
271	1	1	54	58	2006
272	1	1	73	63	2008
273	1	1	68	44	2009
274	2	1	53	62	2004
275	2	1	81	0	2005
276	4	2	0	0	0
277	5	1	87	57	2005
278	1	2	0	34	2009
279	1	2	66	0	2007
280	2	2	82	56	2004
281	1	1	69	0	0
282	1	1	51	54	2008
283	2	2	52	0	2004
284	1	1	69	40	2009
285	1	2	80	53	2007
286	1	1	47	42	2008
287	2	2	80	58	2005
288	1	2	54	60	2008
289	1	2	53	0	2007
290	2	1	69	59	2005
291	2	2	52	0	2004
292	1	1	51	0	2006
293	1	2	64	37	2009
294	1	2	58	63	2007
295	2	2	69	59	2005
296	2	1	78	0	2005
297	2	2	53	58	2004
298	2	2	66	56	2004
299	1	2	68	46	2008
300	1	1	69	62	2006
301	1	2	68	54	2008
302	1	1	58	0	2006
303	1	1	87	60	2006
304	1	1	78	42	2009
305	1	2	69	45	2008
306	1	0	0	47	2008
307	1	2	68	0	0
308	1	1	70	60	2006
309	1	1	53	0	2006
310	1	1	65	51	2009
311	1	1	69	61	2006
312	1	2	80	0	2007
313	1	1	73	54	2007
314	1	1	78	0	2007
315	2	1	51	0	2004
316	1	2	51	46	2009
317	1	1	58	0	2007
318	2	0	0	0	0
319	1	2	68	60	2007
320	1	1	51	53	2008
321	1	1	0	0	0
322	1	1	83	44	2008
323	1	2	64	63	2008
324	1	2	0	33	2009
325	1	2	0	35	2009
326	1	1	64	0	0
327	1	0	0	0	0
328	2	2	81	58	2004
329	2	1	81	0	2005
330	1	1	80	62	2006
331	2	2	80	62	2005
332	1	2	58	0	2007
333	1	1	51	47	2008
334	1	2	51	57	2006
335	1	2	84	54	2008
336	2	1	53	58	2004
337	1	0	0	43	2009
338	1	2	82	54	2007
339	1	1	69	51	2009
340	1	1	69	0	2007
341	1	1	51	0	2006
342	1	1	54	61	2008
343	1	2	48	0	2009
344	1	1	82	0	2006
345	1	1	0	0	0
346	1	2	80	63	2008
347	1	2	80	38	2007
348	5	1	69	0	2005
349	1	1	0	63	2008
350	1	1	54	34	2009
351	1	2	48	42	2009
352	1	1	71	54	2007
353	1	2	76	63	2008
354	1	0	0	0	0
355	1	1	68	63	2008
356	1	1	53	0	2006
357	1	0	80	0	0
358	1	1	0	51	2009
359	1	2	51	0	2007
360	1	2	0	0	2007
361	1	1	54	0	2007
362	5	2	0	0	2006
363	1	1	0	63	2007
364	1	1	69	0	2006
365	2	1	79	0	0
366	1	2	78	44	2009
367	2	1	80	0	2003
368	1	2	48	63	2008
369	1	1	48	0	0
370	2	2	51	54	2002
371	2	2	81	0	2004
372	1	2	80	0	2006
373	1	1	48	51	2009
374	2	1	68	0	2005
375	1	2	0	45	2009
376	1	1	82	62	2008
377	1	2	81	0	2006
378	1	2	82	60	2006
379	1	1	54	0	2007
380	2	0	0	0	0
381	1	1	79	54	2006
382	1	1	0	44	2009
383	1	2	53	49	2008
384	1	1	83	40	2008
385	2	2	68	60	2005
386	1	2	0	0	2007
387	1	2	53	63	2008
388	1	2	58	58	2006
389	2	2	53	0	2004
390	1	2	51	45	2009
391	1	2	80	63	2008
