id	status	gender	major	dorm	year
1	1	1	128	77	2008
2	1	2	138	80	2007
3	2	1	211	0	2004
4	1	2	147	74	2009
5	1	1	180	78	2008
6	1	1	248	0	2007
7	1	2	234	80	2006
8	1	1	216	123	2007
9	1	2	0	79	0
10	1	1	147	90	2008
11	1	2	146	77	2009
12	1	2	201	85	2007
13	1	2	165	74	2009
14	2	1	0	0	2005
15	1	1	211	124	2007
16	1	2	154	80	2007
17	1	0	211	0	2006
18	1	2	151	123	2006
19	1	1	201	76	2008
20	2	0	0	0	2005
21	1	1	284	0	2006
22	1	2	245	70	2007
23	4	2	0	0	0
24	1	2	129	132	2008
25	1	1	147	76	2009
26	2	2	181	0	2005
27	1	2	260	131	2009
28	1	1	264	80	2006
29	2	2	168	127	2005
30	2	1	0	0	2004
31	1	2	255	71	2007
32	1	2	206	105	0
33	1	1	180	76	2008
34	1	1	154	123	2005
35	2	0	0	0	0
36	1	1	222	72	2008
37	1	1	180	0	2006
38	2	1	162	0	2005
39	1	2	260	123	2006
40	1	1	147	77	2009
41	1	1	239	0	2007
42	1	1	140	76	2009
43	5	2	288	123	2005
44	1	2	257	89	2008
45	2	2	178	0	2005
46	1	2	187	77	2009
47	1	1	265	115	2006
48	2	2	166	0	0
49	1	2	151	71	2009
50	1	2	219	96	2008
51	1	2	154	76	2009
52	2	1	211	0	2003
53	5	2	153	77	2007
54	1	2	211	123	2006
55	2	1	264	0	2004
56	1	1	289	77	2009
57	1	2	0	71	2007
58	2	2	264	0	0
59	1	1	289	76	2008
60	2	2	187	0	2004
61	2	1	275	123	2005
62	1	1	211	0	2006
63	2	2	227	0	2004
64	1	1	265	0	2006
65	1	1	264	123	2006
66	1	0	201	79	2005
67	1	1	0	77	2008
68	1	1	179	70	2008
69	1	1	151	104	2008
70	1	0	0	0	2008
71	2	1	227	0	2004
72	1	2	187	123	2006
73	1	1	0	80	2008
74	1	1	186	80	2006
75	1	2	175	76	2008
76	1	2	175	76	2008
77	2	2	129	80	2004
78	1	0	0	127	2006
79	1	2	252	123	2006
80	1	2	0	76	2009
81	1	1	216	79	2007
82	1	0	0	0	0
83	1	1	175	90	2008
84	1	2	205	123	2006
85	5	1	158	77	2006
86	2	1	287	0	2005
87	1	0	211	0	0
88	1	0	211	78	2008
89	2	1	147	80	2004
90	1	1	275	0	2006
91	1	1	154	75	2008
92	1	2	234	77	2008
93	1	2	197	80	2008
94	1	1	154	123	2007
95	1	1	265	0	2006
96	2	2	216	0	2004
97	1	2	175	78	2006
98	1	1	260	123	2006
99	1	2	179	74	2008
100	2	1	264	0	2005
101	1	1	211	123	2005
102	2	1	201	124	2005
103	2	2	175	124	2005
104	2	2	227	0	2004
105	1	2	216	76	2008
106	1	0	0	0	0
107	1	1	260	79	2007
108	1	2	146	90	2006
109	1	0	0	75	2008
110	1	1	180	81	2008
111	1	1	175	124	2006
112	1	1	264	0	2006
113	2	2	248	79	2004
114	1	1	147	127	2006
115	2	1	187	0	2004
116	1	1	264	80	2006
117	1	1	196	77	2008
118	1	2	0	74	2008
119	1	1	264	76	2009
120	1	1	140	123	2007
121	1	1	175	80	2008
122	2	1	147	127	2005
123	1	1	0	127	2007
124	1	1	186	124	2007
125	1	1	216	94	2006
126	5	2	177	0	2008
127	1	1	147	77	2008
128	1	2	257	80	2007
129	1	1	180	80	2007
130	1	2	260	79	2009
131	1	1	146	0	0
132	1	1	146	0	0
133	2	1	180	0	2004
134	1	1	207	123	2008
135	1	2	150	0	2008
136	1	1	207	74	2008
137	1	1	210	77	2009
138	1	2	234	0	2007
139	1	2	264	99	2006
140	1	1	225	80	2007
141	1	2	257	123	2007
142	1	1	154	70	2009
143	1	2	155	74	2009
144	1	1	222	77	2009
145	5	0	0	0	0
146	4	2	180	0	2008
147	1	2	154	75	2007
148	1	0	0	0	0
149	1	1	180	73	2006
150	1	1	211	0	2004
151	1	1	216	0	2006
152	1	1	264	76	2009
153	2	2	130	127	2005
154	1	2	186	80	2007
155	1	2	260	76	2008
156	1	2	175	123	2006
157	5	2	267	0	0
158	1	2	232	73	2006
159	1	1	168	81	2007
160	1	2	154	79	2008
161	1	1	146	75	2008
162	5	2	175	80	2005
163	2	1	196	123	2005
164	2	2	175	80	2005
165	1	1	264	79	2007
166	1	2	175	127	2005
167	1	2	0	78	2008
168	1	1	275	123	2006
169	1	1	238	132	2008
170	1	1	129	77	2008
171	1	1	147	127	2006
172	1	1	0	77	2009
173	1	2	222	76	2009
174	1	2	0	0	2004
175	1	1	210	80	2008
176	1	1	0	77	2009
177	2	2	143	76	0
178	1	0	0	0	0
179	2	2	246	0	2004
180	2	1	154	0	2005
181	1	2	130	123	2007
182	1	2	239	80	2007
183	1	2	187	73	2008
184	1	1	251	80	2008
185	1	1	129	123	2007
186	5	1	289	0	2007
187	1	1	175	76	2007
188	1	2	264	0	2006
189	1	1	205	0	2006
190	1	1	201	76	2008
