id	status	gender	major	dorm	year
1	1	1	283	0	2006
2	1	1	283	0	2008
3	1	1	243	120	2008
4	1	1	0	0	2008
5	1	1	352	96	2009
6	1	1	296	0	2005
7	1	2	331	0	0
8	1	1	257	132	2008
9	1	1	251	93	2009
10	1	0	309	0	2006
11	2	1	310	130	2005
12	1	2	242	98	2008
13	2	2	256	0	2005
14	1	1	264	0	2008
15	1	1	269	97	2007
16	2	1	330	0	2004
17	1	1	347	0	2005
18	1	1	242	0	2008
19	2	2	324	90	2005
20	2	1	345	0	2005
21	2	1	319	0	2005
22	1	1	0	131	2007
23	1	0	0	0	0
24	1	0	0	0	2008
25	1	1	318	0	2008
26	1	2	235	104	2005
27	1	1	319	95	2009
28	1	1	331	120	2008
29	2	2	355	0	2002
30	1	1	331	91	2009
31	1	2	272	0	0
32	1	1	311	145	0
33	1	0	0	0	0
34	1	1	318	129	2007
35	2	2	266	0	2005
36	1	1	323	0	2007
37	1	1	304	129	2006
38	1	1	309	127	2007
39	1	0	273	0	2008
40	2	2	274	0	2005
41	1	1	304	136	2006
42	1	1	331	0	2008
43	2	1	257	131	2005
44	2	0	0	0	0
45	1	1	319	0	0
46	1	1	0	99	2009
47	2	1	262	0	2004
48	1	1	257	134	2006
49	1	1	283	89	2009
50	2	1	269	0	2005
51	1	0	0	138	2007
52	1	2	304	112	2006
53	1	1	256	91	2008
54	1	1	303	0	2007
55	1	2	303	0	2007
56	1	2	242	0	2008
57	1	1	269	0	2006
58	2	2	310	0	2004
59	1	1	283	0	2007
60	2	1	276	0	2004
61	1	2	251	94	2009
62	2	2	344	0	2004
63	1	1	269	0	2006
64	1	1	316	92	2009
65	1	1	252	91	2009
66	1	0	352	0	2005
67	1	1	347	91	2009
68	1	1	252	0	2008
69	1	2	263	88	2007
70	1	2	266	0	2005
71	1	1	252	99	2009
72	1	1	329	144	2008
73	2	2	309	0	2004
74	1	1	316	96	2009
75	1	2	348	88	2008
76	1	2	299	140	2006
77	2	1	252	0	2005
78	1	1	297	0	2006
79	1	1	331	123	2008
80	1	1	336	91	2008
81	2	1	263	127	2005
82	1	2	271	94	2009
83	1	1	283	93	2009
84	2	1	279	0	2005
85	2	1	283	121	0
86	1	1	269	0	2009
87	2	1	269	131	2005
88	2	1	281	0	2005
89	1	1	331	97	2008
90	2	2	0	137	2004
91	1	1	319	0	2009
92	2	1	304	0	2004
93	1	1	242	95	2008
94	1	2	0	0	0
95	1	2	272	112	2006
96	1	2	319	94	2008
97	1	2	252	90	2009
98	1	1	252	0	2008
99	1	2	249	86	0
100	1	1	328	0	2006
101	1	1	303	0	2007
102	1	2	251	98	2009
103	1	1	241	0	2007
104	1	2	355	0	2009
105	1	2	252	94	2008
106	1	1	303	91	2008
107	1	0	276	0	2007
108	1	2	344	89	2008
109	1	1	343	0	2006
110	1	1	331	0	2005
111	1	2	0	90	2009
112	1	1	262	96	2009
113	2	2	282	0	2004
114	1	1	252	91	2009
115	2	0	0	0	2005
116	2	2	299	0	0
117	1	1	251	124	2008
118	1	1	304	96	2009
119	1	1	276	91	2009
120	1	0	0	0	0
121	5	1	355	129	2006
122	1	1	283	91	0
123	1	0	0	0	0
124	1	1	251	92	2009
125	1	2	327	0	2007
126	1	0	319	119	2008
127	1	1	246	91	2009
128	1	2	336	0	2006
129	1	1	328	134	2007
130	1	1	319	99	2009
131	1	2	0	0	2008
132	1	2	251	103	2008
133	1	2	309	0	2007
134	5	2	355	0	2006
135	1	1	286	131	2007
136	1	1	331	125	2005
137	2	1	0	0	0
138	2	2	351	0	2005
139	1	1	319	0	2006
140	1	1	309	0	2006
141	2	2	309	0	2005
142	4	0	0	0	0
143	1	1	336	99	2009
144	1	2	273	97	2009
145	5	0	312	119	2005
146	1	2	0	98	2009
147	1	2	272	94	2008
148	1	1	252	88	2009
149	1	1	269	0	2006
150	1	1	235	127	2006
151	1	1	263	0	2007
152	4	1	252	0	0
153	1	1	331	96	2009
154	1	2	0	88	2008
155	1	1	240	0	2008
156	1	1	242	124	0
157	1	1	251	0	0
158	1	1	319	97	2007
159	1	1	242	132	2007
160	1	2	249	0	2005
161	1	1	252	0	0
162	1	2	255	0	2006
163	1	2	282	0	2006
164	1	1	235	0	2008
165	1	1	287	123	0
166	1	1	316	89	2007
167	1	1	328	124	2007
168	1	2	351	94	0
169	1	1	269	0	2008
170	1	1	302	92	2006
171	1	2	310	0	2008
172	1	1	302	99	2009
173	1	1	283	96	2009
174	2	1	0	0	2004
175	1	1	310	0	2008
176	2	1	249	0	2005
177	1	0	264	0	0
178	1	2	252	88	2009
179	1	2	273	0	2006
180	1	1	283	91	2009
181	1	1	347	124	2008
182	5	0	0	0	2005
183	1	2	348	111	2006
184	1	2	328	0	2007
185	1	0	0	0	0
186	1	1	283	0	2005
187	1	1	310	0	2005
188	1	1	283	99	0
189	1	2	311	0	2005
190	1	2	274	97	2008
191	1	1	0	144	2008
192	1	1	266	0	2006
193	1	2	349	138	2006
194	1	2	0	0	2008
195	1	2	324	0	2008
196	1	1	251	97	2008
197	1	2	331	98	2009
198	2	2	281	0	2005
199	1	1	249	95	2009
200	1	1	331	91	2009
201	1	1	304	0	2006
202	1	2	333	0	2005
203	1	1	250	146	2006
204	1	2	252	88	2008
205	1	1	263	121	2005
206	1	2	252	98	2009
207	1	1	262	0	2006
208	1	1	336	121	2005
209	1	2	314	89	2007
210	1	1	283	96	2009
211	1	2	276	138	2007
212	1	1	331	93	2009
213	1	1	295	0	2007
214	1	1	0	91	2009
215	1	1	251	95	2009
216	1	2	247	0	2004
217	1	1	354	97	2008
218	1	2	252	0	2008
219	1	1	320	97	2008
220	1	1	251	91	2009
221	1	1	249	91	2009
222	1	2	251	0	2008
223	1	1	352	0	2007
224	1	1	0	0	2006
225	1	1	319	0	2008
226	2	2	283	107	2004
227	1	1	251	97	2008
228	1	1	235	123	2007
229	1	1	258	0	2005
230	1	2	272	97	2007
231	1	1	0	134	2008
232	1	1	252	96	2008
233	1	2	349	110	2007
234	1	2	252	0	2008
235	1	2	295	137	2007
236	5	1	315	0	0
237	1	1	235	127	2008
238	1	2	344	0	2005
239	1	2	263	0	2006
240	1	2	354	0	2006
241	1	2	251	105	2007
242	2	1	283	121	2005
243	1	1	331	89	2007
244	1	1	347	123	2007
245	1	1	319	0	2008
246	1	1	331	0	2008
247	2	2	352	0	2005
248	1	2	334	88	2008
249	1	2	259	0	2008
250	1	1	256	0	2007
251	5	2	336	0	0
252	1	1	333	0	2006
253	1	2	247	0	2008
254	1	1	301	89	2008
255	1	1	348	132	2007
256	1	1	313	97	2007
257	1	1	303	96	2009
258	1	1	0	0	0
259	2	1	269	0	2005
260	1	1	356	0	0
261	1	1	0	91	2008
262	1	1	269	0	2008
263	1	1	252	91	2009
264	1	1	303	91	2009
265	1	1	254	99	2009
266	2	1	269	0	0
267	1	2	314	98	2009
268	2	2	242	110	2005
269	1	1	295	124	2006
270	1	1	276	124	2007
271	5	1	343	0	2004
272	2	2	351	0	2004
273	2	1	303	120	2005
274	1	1	254	0	2007
275	2	2	0	101	2004
276	1	1	354	95	2008
277	1	1	251	97	2008
278	1	2	235	0	2007
279	1	1	302	89	2009
280	2	1	343	120	2005
281	1	1	252	119	2008
282	1	2	302	0	2008
283	1	2	252	110	2006
284	1	2	355	0	2006
285	1	1	343	147	2008
286	1	1	301	0	2008
287	1	1	235	99	2008
288	1	2	235	97	2008
289	1	2	343	138	2006
290	1	1	257	0	2008
291	1	1	331	0	2005
292	1	1	301	0	2006
293	1	1	356	131	2007
294	1	1	283	0	2006
295	1	2	251	94	2009
296	1	1	269	0	2006
297	2	1	310	129	2005
298	3	2	355	0	2008
299	1	1	319	129	2006
300	1	1	249	96	2008
301	1	2	351	104	2005
302	2	1	301	0	2005
303	1	1	280	0	2005
304	1	1	254	91	0
305	2	2	0	140	0
306	1	2	252	110	2008
307	1	1	271	0	2006
308	1	0	272	0	0
309	1	1	262	91	2009
310	1	0	271	89	2008
311	1	1	278	91	2008
312	1	1	271	0	2005
313	1	2	251	0	2008
314	1	0	356	127	2006
315	1	1	269	96	2009
316	1	1	274	131	2007
317	1	2	0	89	2008
318	1	1	247	0	2005
319	1	1	320	0	2006
320	1	1	235	88	2007
321	1	1	319	0	2005
322	2	2	354	0	2005
323	1	2	0	0	0
324	1	1	251	91	2005
325	1	1	0	0	2007
326	1	2	283	94	2009
327	1	1	349	124	2006
328	1	1	331	0	2006
329	2	1	252	0	2005
330	1	2	299	0	2006
331	5	2	252	0	2006
332	1	2	281	0	2005
333	2	2	249	0	0
334	1	2	273	0	2007
335	2	1	331	133	2005
336	1	1	251	93	2009
337	2	1	257	124	2005
338	1	1	295	0	2008
339	1	1	257	127	2008
340	5	1	0	132	0
341	1	1	251	87	2008
342	2	1	331	136	2003
343	1	2	310	0	2005
344	1	2	0	98	2008
345	1	2	333	0	2007
346	2	2	263	137	0
347	1	1	313	0	2007
348	2	1	269	0	2005
349	1	0	0	91	2009
350	1	1	357	0	0
351	1	2	329	0	2005
352	1	2	266	97	2008
353	1	1	251	91	2008
354	1	2	256	117	2005
355	1	1	262	91	2009
356	1	1	303	91	2005
357	1	1	331	97	2007
358	1	1	280	92	2008
359	5	0	331	0	0
360	1	0	0	0	0
361	2	2	251	89	2005
362	1	1	343	0	2006
363	1	0	251	0	0
364	1	1	328	91	2009
365	1	1	0	99	2009
366	1	1	269	129	2007
367	2	2	0	0	0
368	1	1	316	88	2009
369	1	1	253	136	2007
370	1	2	251	0	2005
371	1	2	328	0	2007
372	1	2	281	116	2005
373	1	1	303	99	2009
374	2	1	251	0	2005
375	1	1	252	0	2008
376	2	1	316	0	2005
377	1	2	235	106	2006
378	1	1	277	96	0
379	1	1	303	91	2009
380	1	2	328	88	2008
381	1	2	252	0	2009
382	1	1	283	92	2007
383	1	1	319	0	2005
384	1	2	252	0	2010
385	4	1	320	0	2005
386	1	2	252	94	2009
387	1	1	330	0	2007
388	1	1	354	95	2009
389	2	1	318	0	2003
390	1	2	296	113	2008
391	1	1	251	96	2009
392	1	1	289	0	2006
393	1	1	295	132	2005
394	2	1	304	0	2005
395	1	2	314	0	2007
396	2	1	356	119	2004
397	1	1	316	0	2008
398	1	1	316	0	2007
399	1	1	319	97	2007
400	1	1	283	0	2006
401	1	2	266	97	2007
402	2	2	282	0	2003
403	1	1	269	91	2009
404	1	1	280	119	2007
405	1	2	251	0	2005
406	1	2	316	98	0
407	1	1	235	0	2007
408	1	2	249	97	2008
409	1	0	0	0	0
410	1	1	0	0	2008
411	1	2	316	0	2009
412	1	0	251	0	2006
413	2	2	251	0	2005
414	1	1	352	0	2006
415	1	1	331	128	2005
416	3	0	0	0	0
417	2	1	0	0	2005
418	1	2	311	97	2008
419	2	1	280	136	2005
420	1	2	303	93	2005
421	1	1	268	0	2007
422	1	2	328	0	2008
423	1	2	309	109	2005
424	1	1	235	131	2008
425	1	1	328	96	2009
426	5	0	0	0	0
427	1	1	262	123	2008
428	1	2	336	98	2009
429	1	2	266	0	0
430	1	1	316	89	2008
431	1	2	0	94	2009
432	1	2	336	86	2008
433	1	1	349	96	2009
434	1	2	314	0	0
435	1	2	252	87	2009
436	2	1	310	0	0
437	1	2	292	139	2007
438	1	1	296	0	2006
439	1	1	241	96	2009
440	2	1	299	91	2004
441	1	2	249	0	2007
442	1	2	263	0	2005
443	2	1	319	0	2005
444	1	2	276	105	2007
445	1	2	252	103	2008
446	1	1	251	0	2006
447	2	1	310	127	2004
448	1	1	313	124	2006
449	1	1	356	0	0
450	1	1	295	91	2009
451	1	1	331	96	2009
452	1	1	319	96	2009
453	1	2	291	90	2009
