id	status	gender	major	dorm	year
1	1	1	374	208	2006
2	1	1	367	0	2008
3	2	2	319	0	2005
4	1	1	356	333	2007
5	1	1	0	0	0
6	1	1	348	0	2005
7	2	2	327	0	2005
8	1	1	369	0	2005
9	1	2	342	0	2006
10	1	1	371	0	2007
11	1	0	0	0	0
12	2	2	365	0	2005
13	1	1	350	0	2007
14	2	2	306	171	2003
15	1	1	0	0	0
16	1	0	0	0	0
17	1	2	298	128	2008
18	1	2	327	0	2005
19	1	2	366	282	2007
20	1	1	341	0	2006
21	1	0	314	0	0
22	1	1	355	258	2009
23	1	2	355	0	2009
24	1	2	0	258	2009
25	1	2	0	264	2009
26	1	1	367	274	2009
27	1	1	316	0	2007
28	1	2	317	0	2007
29	1	1	0	0	2009
30	1	1	375	0	2007
31	2	2	314	0	2003
32	1	1	368	324	2009
33	1	1	382	0	0
34	1	2	327	266	2009
35	2	2	0	0	2005
36	1	1	292	0	2006
37	1	2	327	0	2009
38	1	2	355	136	2008
39	1	1	382	259	2009
40	1	1	375	0	2007
41	1	1	314	274	2008
42	1	2	365	0	0
43	1	1	355	0	2007
44	1	2	384	0	2009
45	1	0	312	323	0
46	1	2	351	257	2009
47	1	1	374	0	2006
48	1	2	355	362	2006
49	2	1	367	0	2005
50	2	1	367	0	2005
51	2	2	340	262	1976
52	1	2	298	128	2008
53	1	1	367	339	2007
54	2	1	311	259	2005
55	1	2	360	0	2007
56	1	1	291	0	2009
57	1	2	304	182	2006
58	1	2	327	179	2006
59	1	1	361	0	2008
60	1	2	333	0	2007
61	1	1	0	269	2009
62	2	2	316	0	2005
63	1	0	0	0	0
64	1	2	390	272	2009
65	1	2	315	273	2009
66	1	0	0	0	0
67	1	2	319	256	2008
68	1	1	374	0	2008
69	2	2	314	0	2004
70	1	2	368	257	2009
71	1	0	0	320	2008
72	1	1	368	0	2008
73	1	2	329	0	2006
74	1	2	348	0	2008
75	2	1	319	0	2004
76	1	1	355	0	2006
77	1	1	355	0	2005
78	2	2	314	0	2004
79	1	2	355	0	2007
80	1	2	298	0	2008
81	1	2	317	273	2009
82	1	1	0	266	2009
83	1	2	367	281	2008
84	1	2	355	272	2009
85	1	1	0	0	2008
86	1	1	329	0	2008
87	1	2	319	323	2007
88	1	1	355	0	2009
89	1	1	352	270	2009
90	1	0	298	0	2006
91	1	0	0	0	0
92	1	1	368	0	2008
93	1	1	350	267	2007
94	2	0	0	0	0
95	1	1	368	0	2006
96	2	2	344	215	2004
97	1	1	290	0	2007
98	1	1	305	143	2007
99	1	1	382	0	0
100	2	2	352	324	2005
101	1	2	317	0	0
102	1	1	0	0	2008
103	1	2	292	348	0
104	1	1	0	0	2008
105	1	0	291	0	2008
106	1	2	329	0	2007
107	1	2	332	0	2007
108	1	1	300	141	0
109	2	2	317	0	2005
110	2	1	357	0	2004
111	1	1	368	257	2009
112	1	1	375	0	2006
113	2	1	300	0	2000
114	2	1	314	0	2005
115	1	1	355	0	0
116	1	1	390	265	2009
117	1	1	387	265	2009
