id	status	gender	major	dorm	year
1	1	2	0	106	2009
2	1	0	296	96	2008
3	1	1	235	101	2006
4	2	2	254	93	2005
5	5	2	281	0	2006
6	1	1	296	0	2006
7	1	1	293	0	2007
8	1	2	0	90	2008
9	1	1	288	114	2007
10	1	1	235	0	2008
11	1	0	245	0	2006
12	1	2	261	104	2008
13	2	1	245	0	2005
14	1	2	256	0	2008
15	1	1	0	0	2009
16	1	1	0	107	2009
17	1	1	293	0	2009
18	1	2	265	102	2007
19	1	1	239	0	2006
20	2	2	261	0	2005
21	1	1	288	87	2009
22	1	1	273	0	2006
23	1	2	244	0	2005
24	1	2	254	90	2010
25	1	1	295	99	2009
26	1	1	283	0	0
27	1	2	296	101	2008
28	2	2	301	0	2005
29	1	1	288	109	2006
30	1	1	261	0	2007
31	1	2	307	0	2005
32	1	2	260	114	2008
33	1	1	245	0	2007
34	1	1	296	131	2006
35	1	2	281	0	0
36	1	1	261	93	2009
37	1	2	0	86	2008
38	1	1	270	0	2006
39	1	1	271	0	0
40	5	2	281	0	2007
41	1	2	293	0	2007
42	1	2	293	115	2007
43	1	1	235	0	2007
44	1	2	254	97	2008
45	1	1	283	100	2006
46	1	2	271	0	2006
47	2	1	254	0	2005
48	1	1	270	90	2008
49	1	1	271	87	0
50	1	1	288	0	2006
51	1	1	245	0	2005
52	1	1	253	105	2009
53	1	2	284	0	2008
54	1	2	270	0	2007
55	1	2	0	115	2008
56	1	2	294	90	2008
57	1	0	0	0	0
58	1	2	235	0	2006
59	1	2	0	86	2008
60	2	2	0	0	2005
61	1	2	293	0	2006
62	1	2	281	114	2008
63	1	1	262	96	2008
64	1	1	245	0	0
65	1	1	284	0	2005
66	1	0	308	0	2006
67	2	2	256	88	2004
68	1	2	260	106	2008
69	1	1	308	114	2008
70	1	0	0	0	0
71	1	2	260	113	2009
72	1	2	284	97	2006
73	2	1	238	0	2005
74	2	2	245	0	2005
75	1	2	270	104	2009
76	1	2	263	0	2005
77	1	1	288	0	0
78	1	1	235	0	2006
79	5	1	280	0	2005
80	1	1	281	0	0
81	1	1	281	102	2009
82	1	1	0	99	2009
83	2	1	261	0	2004
84	1	1	281	0	2006
85	1	1	0	0	2007
86	1	2	235	120	2006
87	1	1	271	0	2007
88	2	2	235	0	2004
89	2	2	240	98	2005
90	2	1	296	0	2004
91	2	0	0	0	0
92	1	2	235	90	2008
93	2	2	0	0	0
94	1	1	0	100	0
95	4	2	0	0	0
96	1	2	245	0	2006
97	1	1	291	90	2008
98	1	1	296	116	2009
99	2	2	296	0	2005
100	1	2	235	0	2007
101	1	2	0	0	2007
102	1	1	304	113	2009
103	1	1	294	0	2006
104	1	2	248	114	2008
105	1	1	296	99	2009
106	5	2	254	0	2006
107	1	2	244	107	2008
108	5	2	281	0	2006
109	2	2	291	114	2003
110	1	1	0	105	2009
111	1	1	271	0	0
112	1	2	307	0	2007
113	5	2	297	0	0
114	1	2	271	102	2008
115	2	1	281	0	2005
116	1	2	245	101	2009
117	1	2	0	89	2009
118	1	1	260	99	2005
119	1	1	291	104	2008
120	1	2	261	0	2006
121	1	1	296	90	2008
122	1	2	257	0	2008
123	2	1	237	0	2004
124	2	2	311	0	2005
125	1	2	0	106	2009
126	1	1	296	0	2009
127	1	1	296	107	2008
128	1	2	270	0	2007
129	1	1	293	0	2006
130	1	1	296	87	2007
131	2	1	245	0	2005
132	1	2	293	99	2007
133	1	1	0	114	2008
134	1	2	0	0	2006
135	1	2	312	0	2007
136	1	2	270	0	0
137	1	2	291	0	2005
138	1	1	288	0	0
139	2	1	288	0	2005
140	1	1	271	0	2007
141	1	1	308	0	2006
142	1	2	298	88	2008
143	1	1	301	92	2008
144	1	1	281	87	2008
145	1	2	256	0	2005
146	1	2	0	130	2008
147	1	2	296	109	2006
148	1	0	284	0	0
149	1	0	0	112	2006
150	2	1	300	0	2004
151	1	1	296	102	0
152	1	2	271	0	2006
153	1	1	281	105	2008
154	1	1	270	86	0
155	1	1	273	0	2007
156	1	1	279	0	0
157	1	2	0	90	2006
158	1	1	245	100	2009
159	2	1	261	0	2005
160	1	1	245	132	2007
161	2	1	271	113	2004
162	1	2	270	102	2008
163	1	2	271	0	2006
164	1	1	261	88	0
165	1	2	291	88	2007
166	1	1	0	93	2007
