id	status	gender	major	dorm	year
1	1	2	111	0	2005
2	1	1	111	340	2009
3	1	0	0	0	0
4	1	2	121	351	2008
5	1	1	0	352	2009
6	1	1	131	347	2007
7	1	2	95	333	2007
8	2	2	116	347	2005
9	1	1	0	331	2006
10	1	1	124	347	2007
11	1	1	117	342	2007
12	1	2	124	353	2006
13	1	0	0	352	2009
14	1	1	102	359	2006
15	1	2	102	0	2007
16	1	2	95	340	2008
17	1	1	111	340	2009
18	1	1	103	0	2006
19	1	1	121	331	2006
20	1	1	93	340	2009
21	1	1	92	340	2009
22	2	1	93	0	2005
23	1	2	122	333	2007
24	1	2	94	334	2005
25	1	2	115	351	2008
26	1	2	100	338	2007
27	2	1	112	0	2005
28	4	0	0	0	0
29	1	0	0	0	0
30	1	1	117	333	2004
31	1	1	0	336	2008
32	1	1	0	349	2009
33	2	1	121	335	2004
34	1	1	102	0	2007
35	2	1	100	333	2005
36	1	2	0	336	2008
37	1	0	0	0	0
38	1	2	95	333	2007
39	1	2	111	0	0
40	5	0	0	0	0
41	1	2	0	336	2008
42	1	1	95	345	2009
43	1	1	130	339	2006
44	1	2	111	335	2006
45	1	2	111	328	2008
46	1	2	111	334	2005
47	1	1	0	349	2009
48	1	1	131	339	2007
49	1	2	120	331	0
50	2	2	111	0	2005
51	1	2	104	352	2009
52	2	2	94	0	2002
53	2	1	102	0	2003
54	1	2	95	333	2008
55	1	1	112	327	2008
56	1	1	112	0	2007
57	2	1	111	359	2004
58	1	1	112	339	2006
59	1	1	0	333	2008
60	2	0	0	0	0
61	1	1	120	333	2007
62	1	2	111	333	2007
63	1	1	120	352	2007
64	2	0	0	0	0
65	1	1	102	327	2008
66	1	0	0	0	2009
67	3	2	98	0	0
68	1	1	130	333	2007
69	1	1	0	351	2009
70	1	1	93	0	2007
71	1	2	102	347	2006
72	2	2	96	334	2005
73	2	2	99	331	2002
74	1	1	104	0	2007
75	1	2	120	339	2008
76	2	2	102	0	2005
77	1	1	92	331	2006
78	1	2	112	341	2006
79	2	1	131	361	2005
80	2	1	120	0	1999
81	1	2	95	331	2006
82	1	1	95	339	2007
83	1	1	95	341	2008
84	1	1	128	331	2008
85	1	1	95	345	2009
86	1	0	0	0	0
87	1	1	111	341	2008
88	1	2	100	0	2009
89	2	0	0	0	2004
90	2	2	112	0	2005
91	2	0	0	0	0
92	1	1	0	352	2009
93	1	2	100	0	2007
94	1	1	121	0	0
95	1	1	0	352	2009
96	2	2	112	352	2004
97	2	1	112	347	2005
98	1	2	100	333	2007
99	1	2	95	350	2008
100	2	0	100	0	2004
101	1	1	0	0	2009
102	1	1	112	333	2007
103	1	1	0	339	2008
104	1	1	100	345	2009
105	2	1	115	0	2004
106	1	1	0	348	2009
107	1	1	0	331	2006
108	1	1	0	352	2009
109	2	1	102	334	2004
110	1	0	119	333	2006
111	2	1	104	0	2005
112	1	1	0	351	2009
113	1	2	0	350	2007
114	1	1	104	333	2008
115	1	2	111	348	2007
116	5	1	111	0	2005
117	1	2	100	339	2006
118	1	1	0	0	2009
119	1	1	91	333	2006
120	1	1	120	348	2006
121	2	1	120	342	0
122	1	1	102	345	2009
123	1	1	0	339	2008
124	1	1	98	0	2007
125	1	2	0	340	2009
126	1	0	0	344	0
127	1	2	107	0	0
128	1	2	0	0	2007
129	1	2	103	327	2008
130	2	2	118	0	2005
131	1	2	102	0	2007
132	2	1	120	0	2004
133	1	2	100	331	2006
134	1	0	0	336	0
135	1	2	0	0	0
136	1	1	0	351	2008
137	1	2	104	0	2009
138	1	1	0	0	2009
139	2	2	100	0	2005
140	2	1	124	0	2003
141	1	2	93	0	2006
142	1	1	0	361	2008
143	2	1	93	354	2005
144	1	1	95	339	2007
145	2	2	111	0	0
146	1	1	120	352	2009
147	1	1	100	339	2006
148	2	2	111	0	0
149	1	1	100	331	2008
150	1	2	0	344	2009
151	1	2	95	333	2007
152	1	2	115	340	2009
153	2	1	125	333	2005
154	1	1	0	0	2009
155	2	2	100	0	2005
156	1	2	0	0	2008
157	1	1	100	336	2006
158	2	0	0	0	0
159	1	1	0	340	2009
160	1	1	124	0	2006
161	1	2	0	0	2009
162	1	2	111	0	2006
163	1	1	95	354	2006
164	1	2	95	336	2006
165	1	1	104	331	2007
166	1	1	91	0	2006
167	1	2	0	344	2008
168	2	1	117	335	2005
169	4	0	0	0	0
170	1	1	104	348	2009
171	2	1	92	337	2005
172	1	2	115	0	2006
173	1	1	0	327	2008
174	1	0	0	331	0
175	2	2	112	0	2004
176	1	2	0	351	2008
