id	status	gender	major	dorm	year
1	1	1	289	88	2005
2	1	1	249	0	2006
3	1	2	264	93	2007
4	2	1	277	0	2005
5	1	1	242	88	2007
6	1	2	242	89	2008
7	1	1	262	87	2009
8	1	2	251	93	2006
9	1	1	275	0	2006
10	1	2	254	94	2006
11	1	2	251	90	2007
12	1	2	266	0	2007
13	1	0	0	0	0
14	1	2	251	96	2006
15	1	1	0	86	2009
16	1	1	242	93	2007
17	2	2	248	0	2005
18	1	1	279	86	2008
19	1	1	236	96	2007
20	1	2	242	87	2008
21	1	0	279	88	2008
22	1	0	284	0	2007
23	1	1	0	0	2006
24	1	1	242	86	2009
25	1	1	262	91	2007
26	1	0	0	0	0
27	1	1	271	0	2007
28	1	1	278	87	2009
29	1	1	266	87	2008
30	1	2	284	90	2007
31	1	1	284	0	2008
32	1	1	236	95	2008
33	2	1	290	0	2005
34	1	2	251	0	2006
35	2	1	238	0	2004
36	1	1	291	93	2007
37	1	1	284	93	2007
38	1	2	283	86	2009
39	1	1	291	91	2007
40	1	2	248	0	2006
41	1	2	284	86	2009
42	1	1	283	88	2007
43	1	2	0	87	2009
44	1	1	249	86	2009
45	1	2	251	93	2005
46	2	1	262	0	2005
47	2	1	238	0	2005
48	2	1	283	0	2005
49	2	1	254	0	2004
50	1	2	0	86	2009
51	1	2	281	87	2008
52	1	2	289	86	2009
53	1	1	0	96	2007
54	1	0	264	0	2006
55	5	1	278	0	2005
56	4	0	0	0	0
57	1	1	268	86	2009
58	1	1	284	0	2007
59	1	1	0	87	2009
60	1	2	0	86	0
61	1	1	278	96	2007
62	1	1	289	93	2007
63	1	1	0	95	2008
64	1	1	264	91	2007
65	2	2	0	92	2002
66	1	2	235	0	2006
67	1	1	283	88	2007
68	1	2	283	91	2007
69	1	2	240	90	2008
70	1	2	266	88	2008
71	1	2	0	0	0
72	1	2	251	0	2007
73	1	1	0	0	2007
74	2	0	0	0	0
75	1	1	249	86	2009
76	1	1	236	93	2007
77	4	0	0	0	0
78	1	1	238	0	2006
79	1	1	0	87	2008
80	1	1	291	93	2007
81	1	1	275	91	2007
82	1	1	251	93	2007
83	1	1	0	0	2008
84	1	2	245	88	2008
85	1	2	257	0	2006
86	1	1	284	86	2008
87	1	1	289	87	2007
88	1	2	274	0	2005
89	1	1	240	88	2008
90	1	2	283	91	2007
91	1	2	251	86	2008
92	1	1	0	86	2009
93	1	1	283	88	2008
94	1	0	0	0	0
95	1	0	0	0	0
96	1	1	0	89	0
97	1	1	254	93	2007
98	4	0	0	0	0
99	1	2	0	86	2008
100	1	2	240	95	2007
101	1	0	0	86	2008
102	1	2	264	0	2006
103	1	2	270	94	2008
104	1	1	262	95	2008
105	1	1	0	86	2009
106	1	2	0	86	2009
107	2	1	274	0	2005
108	1	1	0	86	2009
109	1	2	283	90	2007
110	2	2	275	0	2003
111	1	1	270	0	2006
112	1	1	242	86	2008
113	1	1	251	91	2006
114	1	1	283	93	2007
115	1	0	0	0	0
116	1	2	266	93	2006
117	1	1	251	92	2006
118	1	1	251	86	2009
119	1	2	0	0	2009
120	1	2	283	93	2006
121	1	2	291	93	2007
