id	status	gender	major	dorm	year
1	2	2	341	0	0
2	1	1	302	128	2007
3	1	1	301	0	2009
4	1	1	0	128	2009
5	2	2	315	0	2001
6	1	1	341	187	2008
7	1	1	338	197	2005
8	1	2	308	133	2009
9	1	1	0	190	2008
10	2	1	289	197	2005
11	2	2	319	195	2005
12	2	1	310	197	2005
13	1	0	323	180	0
14	1	2	302	155	2006
15	1	1	299	0	2008
16	1	0	0	0	0
17	1	0	299	0	2007
18	1	1	366	139	2008
19	4	0	0	0	0
20	1	0	0	0	2007
21	2	1	290	0	2004
22	2	2	341	0	2005
23	1	1	366	155	2008
24	1	1	341	181	2007
25	1	1	360	183	2007
26	1	0	350	154	2007
27	2	2	306	197	2005
28	1	2	338	154	2006
29	1	2	351	133	2009
30	1	1	319	0	2006
31	1	2	304	194	2006
32	1	2	340	130	2009
33	2	1	306	197	2005
34	1	1	297	130	2008
35	1	2	301	180	2007
36	1	1	332	197	2006
37	2	2	326	175	2003
38	1	0	0	194	2005
39	1	1	366	191	2009
40	1	1	338	141	2007
41	1	0	364	140	2009
42	1	1	349	0	2009
43	2	2	313	197	2003
44	1	2	313	0	2007
45	1	1	323	154	2006
46	2	2	302	0	2001
47	2	2	319	0	2003
48	1	2	307	134	2009
49	1	1	360	193	2008
50	1	1	349	185	2008
51	1	2	323	189	2008
52	1	1	341	197	2006
53	2	1	309	0	2004
54	1	1	306	155	2007
55	1	0	342	145	0
56	2	2	367	197	2004
57	1	2	364	130	2009
58	1	1	309	137	2009
59	1	1	302	197	2006
60	1	1	312	0	2007
61	2	1	341	0	2005
62	5	2	303	0	0
63	5	2	309	197	2006
64	1	2	306	155	2008
65	1	1	0	128	2009
66	1	1	0	132	2009
67	1	1	302	197	2007
68	1	1	339	192	2005
69	1	1	341	199	2007
70	2	2	338	0	2005
71	2	2	323	0	2004
72	1	2	338	154	2007
73	2	2	315	0	2005
74	1	1	377	154	2006
75	2	2	323	0	2004
76	1	1	340	141	2008
77	2	1	302	0	2005
78	1	2	338	197	2006
79	1	2	0	190	2008
80	1	2	0	132	2008
81	2	2	340	0	2000
82	2	1	366	0	2004
83	1	1	301	197	2006
84	1	1	347	191	2009
85	1	2	338	184	2006
86	2	1	326	197	2005
87	1	1	302	130	2009
88	1	1	0	140	2009
89	2	1	303	154	2005
90	2	2	355	0	2005
91	1	0	0	0	0
92	2	1	304	197	2004
93	1	0	0	0	0
94	1	2	323	140	2009
95	1	0	0	0	0
96	1	1	0	130	2009
97	1	1	312	178	2006
98	1	1	321	197	2007
99	1	1	302	189	2007
100	2	0	0	0	2005
101	1	2	323	145	2006
102	1	1	366	155	2006
103	1	1	353	130	2009
104	1	2	377	0	0
105	2	2	364	197	2004
106	1	2	306	197	2006
107	1	1	302	156	2006
108	2	2	351	0	2005
109	1	1	328	128	2006
110	1	0	379	0	2005
111	1	2	328	184	2008
112	1	1	0	0	0
113	2	1	366	0	2005
114	1	2	364	132	2009
115	2	0	317	0	2005
116	5	2	302	0	2010
117	1	1	377	145	2006
118	1	1	323	139	2008
119	1	1	341	195	2008
120	1	2	364	155	2008
121	2	1	290	197	2005
122	2	0	378	0	2005
123	1	1	0	139	2009
124	2	1	364	0	2004
125	5	1	338	0	0
126	1	2	352	154	2006
127	2	1	326	0	2004
128	1	2	0	133	2008
129	1	1	0	155	2007
130	1	1	340	183	2007
131	1	1	315	178	2006
132	5	2	290	197	0
133	1	0	322	156	0
134	2	0	326	0	0
135	2	2	323	0	2005
136	1	2	364	183	2007
137	1	2	363	157	2007
138	2	2	0	0	0
139	1	1	377	197	2006
140	1	2	0	155	2007
141	1	2	319	181	2008
142	1	1	366	180	2006
143	1	2	341	195	2006
144	2	1	374	197	2004
145	2	2	378	0	2005
146	1	2	326	128	2008
147	1	2	332	180	2006
148	1	2	0	0	0
149	1	1	326	0	2006
150	1	1	0	135	2008
151	1	1	340	154	2006
152	1	1	326	197	2006
153	1	1	341	197	2006
154	1	1	306	128	2008
155	1	2	369	197	2006
156	1	2	306	130	2009
157	2	1	347	197	2004
158	1	2	338	181	2006
159	5	2	323	197	0
160	1	2	0	140	2009
161	1	1	317	0	2006
162	1	1	366	178	2007
163	1	2	366	0	2006
164	1	1	0	0	2008
165	1	0	353	0	2006
166	1	1	341	197	2006
167	1	0	0	0	2007
168	1	2	360	146	2008
169	3	1	321	183	2008
170	2	2	364	0	1999
171	2	0	319	157	2004
172	1	1	0	139	2009
173	1	2	341	155	2009
174	1	1	374	188	2009
175	2	0	339	0	2004
