id	status	gender	major	dorm	year
1	2	1	23	0	2005
2	1	2	57	320	2007
3	2	1	53	0	2005
4	1	0	21	0	2007
5	2	2	20	0	2005
6	1	2	57	291	2008
7	1	2	26	334	2007
8	1	1	0	315	2009
9	2	2	26	0	2005
10	2	1	23	0	2003
11	1	2	9	315	2008
12	2	1	7	336	2005
13	1	1	27	319	0
14	1	1	37	322	2006
15	1	1	0	313	2009
16	1	2	9	309	2007
17	2	2	23	340	2003
18	1	1	45	328	2009
19	1	1	9	338	2007
20	1	1	61	326	2008
21	1	1	75	315	2008
22	1	2	53	304	2009
23	1	2	23	291	2008
24	2	2	0	0	2001
25	1	2	23	291	2008
26	2	1	9	0	2005
27	1	2	0	328	2009
28	1	1	68	323	2009
29	1	1	68	0	2007
30	1	1	30	324	2007
31	2	1	74	292	2004
32	1	2	57	313	2008
33	2	1	26	300	0
34	1	2	26	0	2007
35	1	1	46	313	2009
36	1	2	2	291	2008
37	1	1	27	304	2007
38	1	2	16	302	2009
39	1	2	53	0	2007
40	1	2	14	304	2007
41	1	1	9	319	2008
42	2	1	16	0	2005
43	1	2	0	304	2007
44	1	2	9	302	2006
45	1	1	9	0	2007
46	1	2	23	328	2006
47	2	1	63	0	2005
48	1	2	62	304	2008
49	1	1	10	304	2009
50	1	1	63	304	2007
51	1	2	53	301	2007
52	1	1	0	0	2006
53	1	1	16	323	2009
54	1	1	0	304	2009
55	1	1	68	304	2008
56	1	2	17	304	2007
57	1	2	26	305	2007
58	1	2	28	317	2008
59	1	1	26	328	2009
60	1	1	0	315	2009
61	1	1	20	324	2007
62	1	2	53	309	2007
63	1	2	24	328	2008
64	5	1	68	0	2007
65	1	1	53	0	2006
66	1	0	0	0	0
67	2	1	53	0	2005
68	1	2	54	315	2008
69	1	1	27	304	2008
70	1	2	61	0	2006
71	2	1	74	0	2005
72	1	0	0	0	2006
73	2	1	26	330	2002
74	1	2	74	315	2006
75	1	1	26	0	2006
76	1	2	28	335	2008
77	1	1	68	324	2007
78	1	2	0	302	2009
79	1	2	53	315	2007
80	1	2	26	328	2006
81	1	1	68	0	2006
82	2	0	16	0	2005
83	1	1	68	0	2007
84	1	2	53	291	2007
85	1	2	9	313	2009
86	1	1	0	302	2009
87	1	2	14	305	2006
88	1	2	53	301	2007
89	1	0	0	0	0
90	1	1	34	313	2009
91	2	1	26	0	2005
92	1	2	0	291	2008
93	2	1	53	290	2005
94	1	2	45	0	2007
95	1	2	31	331	2006
96	2	2	6	0	2005
97	1	2	30	336	2008
98	1	2	20	297	2007
99	1	2	12	313	2009
100	1	2	0	302	2009
101	1	2	20	328	2006
102	1	1	0	315	2009
103	2	1	23	0	2005
104	1	2	0	313	2009
105	1	1	0	328	2009
106	1	2	1	0	2007
107	1	2	12	315	2009
108	1	1	9	326	2007
109	1	1	0	304	2009
110	1	2	23	310	2007
111	2	1	9	0	2005
112	2	1	9	0	2005
113	2	2	46	0	2005
114	2	2	28	0	2004
115	1	1	9	327	2008
116	1	2	29	302	2009
117	1	2	61	291	2008
118	1	2	54	0	2006
119	1	2	57	337	2007
120	1	2	16	327	2007
121	1	1	64	0	2006
122	1	1	17	324	2007
123	1	1	9	292	2007
124	1	2	0	313	2009
125	1	0	0	0	0
126	1	1	0	315	2009
127	1	1	27	328	2007
128	1	0	26	315	2006
129	1	1	63	292	2007
130	1	1	46	330	2008
131	1	1	68	318	2006
132	1	1	7	315	2007
133	2	2	23	318	2005
134	1	2	12	315	2009
135	1	2	1	309	2007
136	1	1	68	318	2006
137	1	2	26	339	2008
138	1	1	6	315	2008
139	1	1	46	0	2006
140	1	1	30	328	2009
141	2	1	12	293	2005
142	1	1	20	327	2007
143	2	1	9	0	2005
144	1	2	81	0	2008
145	1	2	0	0	2006
146	1	2	37	329	2008
147	1	2	62	315	2008
148	1	2	53	0	2007
149	1	2	45	313	2008
150	1	2	46	313	2008
151	1	2	1	328	2009
152	1	1	0	291	2008
153	1	1	68	329	2008
154	1	2	16	304	0
155	2	1	12	319	2005
156	1	2	5	311	2006
157	2	1	68	0	2005
158	2	1	17	0	2004
159	1	2	53	0	2006
160	1	1	68	304	2008
161	1	1	68	315	2008
162	1	2	16	315	2009
163	1	1	14	313	2009
164	2	1	0	0	2005
165	1	2	26	304	2009
166	1	1	0	328	2009
167	2	1	26	0	2005
168	1	1	54	315	2009
169	2	1	30	307	2001
170	1	1	0	313	2008
171	2	0	53	0	2005
172	1	1	1	291	2008
173	1	1	59	0	2006
174	1	2	20	311	2005
175	1	1	54	323	2009
176	1	1	27	326	2008
177	1	0	20	0	2008
178	2	2	12	305	2004
179	1	2	12	328	2009
180	1	2	53	315	2009
181	1	1	9	302	2009
182	1	1	46	325	2006
183	1	2	9	328	2009
184	2	1	0	0	2005
185	1	2	29	313	2009
186	1	2	53	0	2006
187	1	1	9	328	2009
188	1	2	26	291	2008
189	1	2	28	317	2008
190	1	1	0	0	2008
191	1	2	26	312	2007
192	1	1	0	291	2004
193	1	1	9	319	2006
194	1	1	7	315	2007
195	1	1	27	304	2008
196	1	1	7	307	2006
197	2	2	27	294	2003
198	1	2	12	304	2008
199	1	2	68	317	2007
200	2	1	76	0	2005
201	2	1	9	0	2004
202	1	1	12	304	2009
203	1	1	63	0	2007
204	1	2	16	291	2008
205	1	2	20	294	2006
206	1	2	57	323	2009
207	1	1	0	315	2009
208	1	2	9	315	2009
209	2	1	27	0	2005
210	1	2	16	310	2007
211	1	2	53	337	2007
212	3	1	0	0	0
213	5	1	17	0	0
214	1	2	12	294	2008
215	1	1	74	0	2006
216	2	1	63	0	2004
217	1	1	26	0	2006
218	1	2	0	291	2007
219	1	1	45	294	2005
220	1	1	14	304	2009
221	1	1	27	328	2008
222	1	2	20	302	2008
223	1	1	7	290	2006
224	1	1	68	328	2006
225	1	1	68	326	2006
226	2	2	28	314	2005
227	1	2	38	314	2007
228	1	2	0	328	2009
229	2	1	62	294	2005
230	2	2	9	0	2004
231	1	1	53	315	2007
232	1	1	9	304	2009
233	1	1	20	313	2008
234	1	2	61	0	2007
235	1	1	12	291	2008
236	1	2	29	328	2009
237	1	1	53	0	2007
238	1	1	45	313	2009
239	1	1	53	0	2007
240	1	2	38	327	2007
241	1	1	5	324	2007
242	1	2	53	302	2009
243	1	2	20	313	2007
244	1	1	9	328	2009
245	1	2	0	315	2009
246	2	1	46	300	2004
247	1	1	53	0	2006
248	1	1	30	0	2006
249	1	2	26	302	2009
250	2	1	53	293	2005
251	1	1	54	302	2006
252	1	2	63	0	2006
253	1	2	26	328	2009
254	1	2	0	302	2009
255	2	1	0	0	2005
256	1	0	0	0	0
257	2	1	53	0	2005
258	2	0	0	0	0
259	2	0	26	0	2005
260	1	2	12	0	2007
261	2	1	38	0	2005
262	1	2	57	315	2006
263	1	2	30	332	2006
264	1	2	63	325	2006
265	1	2	9	304	2007
266	1	1	18	290	2007
267	1	0	0	291	2008
268	2	1	28	0	2005
269	1	1	18	293	2006
270	1	0	71	0	2006
271	1	1	53	328	2009
272	2	2	26	0	2005
273	1	1	27	323	2008
274	1	1	12	328	2009
275	1	2	12	309	2006
276	1	1	22	0	2008
277	1	1	0	0	2008
278	2	2	28	0	2004
279	1	1	9	328	2009
280	1	0	26	0	2006
281	2	1	30	0	2005
282	1	1	57	326	2006
283	1	2	1	306	2006
284	1	1	33	326	2008
285	1	2	64	0	2008
286	1	1	68	327	2007
287	2	2	57	0	2004
288	1	0	26	0	2006
289	2	0	0	0	2004
290	1	2	28	304	2007
291	1	2	4	306	2007
292	5	1	9	0	0
293	1	1	18	313	2009
294	1	1	21	304	2007
295	1	2	20	309	2006
296	1	1	63	0	2006
297	1	1	30	325	2007
298	1	2	26	315	2008
299	1	1	0	315	2009
300	1	1	53	291	2008
301	1	1	18	328	2009
302	1	1	61	332	2007
303	1	1	27	0	2005
304	1	0	0	291	2008
305	2	2	28	0	2007
306	1	1	20	304	2009
307	1	1	9	315	2009
308	1	1	46	325	2006
309	1	1	16	320	2006
310	2	1	53	0	2005
311	1	1	63	0	2007
312	1	2	81	0	2006
313	1	2	30	304	2009
314	1	1	0	313	2009
315	1	1	53	291	2007
316	1	2	9	302	2009
317	1	1	24	315	2009
318	1	2	23	0	2007
319	1	2	81	291	2008
320	2	1	74	0	2005
321	1	1	0	313	2009
322	1	2	64	0	2005
323	1	2	12	302	2009
324	2	1	33	0	2005
325	1	0	67	329	2008
326	1	1	63	328	2007
327	1	1	26	0	2007
328	1	1	29	313	2009
329	2	1	69	293	2003
330	1	2	23	315	2006
331	2	2	38	0	2005
332	1	1	68	336	2006
333	2	1	34	0	2005
334	2	2	63	0	2005
335	1	2	16	323	2009
336	1	1	53	0	2007
337	1	1	9	304	2009
338	1	2	9	330	2007
339	1	2	26	320	2006
340	1	2	81	313	2007
341	1	2	30	313	2008
342	1	1	0	0	2004
343	1	2	63	291	2008
344	1	2	57	315	2009
345	1	1	27	0	2005
346	2	1	68	0	2005
347	1	1	9	304	2009
348	1	2	16	291	2007
349	1	1	0	313	2008
350	1	2	23	323	2008
351	1	2	9	302	2009
352	1	2	57	317	2008
353	1	2	9	328	2009
354	1	2	57	304	2009
355	1	2	53	326	2010
356	1	1	0	291	2008
357	3	0	0	0	0
358	1	1	30	0	0
359	1	2	23	313	2009
360	1	2	20	340	2007
361	1	1	27	291	2008
362	2	2	0	0	2005
363	1	2	20	291	2008
364	1	1	53	302	2009
365	1	2	45	301	2006
366	1	0	0	304	2008
367	1	1	16	324	2007
368	1	1	27	324	2007
369	2	2	57	0	2004
370	1	2	29	315	2009
371	5	2	27	0	2006
372	1	1	46	304	2009
373	1	1	29	302	2009
374	1	1	30	329	2008
375	1	2	9	0	2008
376	1	1	9	292	2007
377	1	2	57	291	2007
378	1	1	6	323	2008
379	1	2	30	0	2007
380	1	1	0	328	2009
381	1	1	16	313	2009
382	1	2	26	299	2007
383	1	1	45	328	2009
384	1	1	46	320	2006
385	2	1	0	0	2005
386	5	1	68	0	2007
387	1	1	33	291	2008
388	1	2	0	313	2009
389	1	2	46	305	2006
390	1	1	75	313	2009
391	2	1	1	300	2005
392	1	2	20	328	2008
393	1	1	51	295	2007
394	1	2	63	313	2009
395	2	1	53	0	2005
396	2	2	26	0	2005
397	1	2	20	291	2007
398	1	1	27	324	2007
399	1	1	54	315	2007
400	1	1	68	321	2006
401	1	2	9	323	2008
402	2	2	26	312	2004
403	2	1	17	0	2005
404	1	2	30	291	2008
405	1	1	9	324	2007
406	1	1	0	315	2009
407	1	2	53	291	0
408	1	1	0	328	2008
409	1	1	9	304	2009
410	2	2	23	0	2005
411	1	1	68	0	2007
412	1	1	46	298	2007
413	1	2	54	0	2006
414	1	1	9	330	2008
415	1	2	14	304	2008
416	1	1	68	304	2009
417	1	1	28	325	2008
418	1	1	53	320	2005
419	1	1	30	307	2006
420	1	1	26	324	2007
421	1	1	0	328	2009
422	1	2	26	291	2008
423	1	2	29	315	2009
424	1	2	0	291	2008
425	1	2	53	318	2006
426	2	1	68	319	2005
427	1	2	24	336	2006
428	1	2	29	323	2008
429	1	2	0	328	2009
430	2	2	20	0	2005
431	2	0	46	0	2005
432	1	1	68	323	2009
433	1	1	56	315	2008
434	2	1	30	0	2005
435	1	1	53	0	2006
436	1	2	29	313	2009
437	1	1	0	291	2008
438	1	2	62	313	2008
439	1	1	0	0	2007
440	1	1	10	315	2009
441	1	1	0	315	2009
442	1	2	20	322	2007
443	2	2	12	0	2004
444	2	1	61	327	2005
445	1	1	0	291	2008
446	1	2	57	313	2008
447	2	2	14	0	2005
448	1	1	4	337	2008
449	1	2	0	291	2008
450	1	2	53	291	2008
451	1	0	68	305	2006
452	1	2	62	310	2006
453	1	2	53	315	2008
454	1	2	0	328	2009
455	1	2	20	311	2006
456	2	1	45	0	2004
457	2	2	68	0	2005
458	2	2	6	0	0
459	2	2	28	0	2005
460	1	2	0	313	2009
461	1	1	82	324	2007
462	2	1	53	0	2005
463	1	2	28	325	2006
464	1	2	0	328	2008
465	1	1	30	0	2006
466	1	2	0	328	2008
467	1	1	53	329	2008
468	5	2	57	0	2007
469	1	2	26	0	0
470	1	1	27	300	2006
471	1	2	53	306	2007
472	2	0	9	0	2005
473	1	2	0	328	2009
474	1	1	14	326	2006
475	1	1	27	291	2008
476	1	2	12	315	2009
477	1	0	9	0	2006
478	1	1	0	326	2008
