id	status	gender	major	dorm	year
1	2	1	280	0	2005
2	1	1	241	100	2009
3	1	2	243	94	2009
4	1	1	246	0	2007
5	1	1	235	97	0
6	1	1	280	0	2008
7	1	1	246	92	2009
8	1	1	273	94	0
9	2	1	291	0	2005
10	2	2	252	0	2005
11	1	1	246	94	2009
12	1	1	275	140	2007
13	1	2	267	0	2008
14	1	2	252	0	2006
15	1	2	246	94	2009
16	1	2	264	142	2006
17	2	2	236	0	2005
18	1	1	283	140	2008
19	1	0	0	0	0
20	1	1	246	132	2008
21	1	1	291	0	2006
22	1	0	0	0	0
23	1	1	252	0	2006
24	1	1	288	0	2006
25	1	0	0	0	0
26	1	2	261	95	0
27	2	2	279	0	2005
28	1	0	290	137	2005
29	1	2	245	0	2005
30	1	1	273	0	2006
31	1	1	240	149	2010
32	1	1	268	105	0
33	1	2	240	142	2006
34	1	1	256	87	2009
35	1	1	283	0	2006
36	1	1	246	95	2009
37	1	1	239	0	2007
38	1	1	290	0	2005
39	1	0	279	0	2010
40	1	2	258	0	2008
41	2	2	269	0	2005
42	1	1	272	98	2009
43	1	2	236	0	2007
44	1	2	235	0	2008
45	2	1	0	0	0
46	1	2	251	90	2008
47	1	2	236	0	0
48	1	2	261	86	2008
49	1	1	273	138	2005
50	1	2	265	94	2009
51	1	2	246	121	2008
52	1	2	291	0	2008
53	2	2	279	0	2005
54	1	2	297	0	0
55	1	2	239	122	2010
56	1	2	252	140	2006
57	1	2	259	131	2005
58	1	1	283	100	0
59	1	1	246	98	2009
60	1	1	236	116	2004
61	1	0	250	0	0
62	1	1	248	142	0
63	1	1	246	0	2005
64	1	1	241	102	2010
65	2	2	236	0	2005
66	1	2	246	130	2005
67	1	2	270	145	2008
68	1	2	251	141	2007
69	1	2	279	0	2006
70	1	1	273	0	2007
71	1	1	289	0	0
72	2	0	299	0	2005
73	1	2	251	0	0
74	1	2	258	0	2006
75	1	1	244	89	2009
76	1	1	242	87	2009
77	1	1	259	0	2006
78	1	1	288	92	2009
79	1	2	251	142	2009
