id	status	gender	major	dorm	year
1	1	1	199	169	2008
2	1	1	199	165	2006
3	1	2	201	171	2008
4	2	2	208	172	2005
5	1	2	202	169	2008
6	1	1	212	168	2007
7	1	0	0	0	0
8	1	2	0	171	2008
9	1	0	0	0	0
10	1	1	202	167	2007
11	1	2	199	167	2006
12	1	1	212	169	0
13	1	2	209	0	2006
14	1	2	228	171	2006
15	1	1	194	166	2008
16	1	2	202	166	2008
17	1	2	228	0	2009
18	2	1	201	170	2005
19	5	2	196	0	0
20	1	2	201	170	2008
21	2	2	200	0	2004
22	1	2	201	170	2007
23	2	2	228	171	2003
24	1	1	199	165	2007
25	1	1	199	171	2008
26	1	2	207	167	2006
27	2	2	199	166	2004
28	1	1	208	165	2007
29	5	2	208	0	2005
30	1	2	223	169	2006
31	1	2	208	168	2008
32	2	2	208	169	2003
33	2	2	228	0	2005
34	1	2	206	169	2006
35	2	2	204	167	2001
36	1	2	208	169	2006
37	1	2	208	165	2007
38	1	2	202	171	2006
39	2	2	208	169	2005
40	6	2	0	0	0
41	1	2	199	172	2008
42	2	1	202	168	2005
43	5	2	208	0	2004
44	1	2	222	167	2006
45	1	1	228	165	2006
46	2	2	228	0	2005
47	1	2	223	172	2005
48	2	2	226	172	1968
49	1	2	201	166	2006
50	1	2	199	0	2009
51	1	1	223	165	2007
52	2	1	212	0	2005
53	1	1	202	168	2007
54	2	2	208	170	2003
55	1	1	199	167	2006
56	1	2	228	168	2006
57	1	1	196	168	2008
58	1	1	223	172	2006
59	1	2	207	171	2008
60	1	1	199	169	2006
61	1	2	0	171	2008
62	1	1	209	170	2006
63	1	2	204	170	2008
64	1	2	222	168	2007
65	1	2	228	166	2007
66	1	2	190	167	2008
67	2	2	192	0	2004
68	1	0	0	0	0
69	1	2	205	168	2008
70	1	2	190	168	2007
71	1	2	204	169	2007
72	2	2	223	169	2005
73	1	2	223	171	2006
74	1	0	217	0	0
75	2	0	0	0	0
76	1	1	196	166	2006
77	1	2	205	166	2008
78	1	2	199	170	2006
79	1	2	201	169	2006
80	5	2	204	0	0
81	2	2	208	169	2005
82	2	1	209	0	2005
83	2	2	223	171	2005
84	1	0	0	168	0
85	1	2	201	172	2007
86	1	2	223	170	2007
87	1	2	199	165	2004
88	2	1	228	167	2005
89	1	1	222	0	2006
90	1	1	199	169	2006
91	1	2	223	172	2006
92	1	2	228	167	2007
93	1	2	205	170	2006
94	5	2	208	0	2008
95	1	1	228	171	2007
96	1	2	223	169	2008
97	5	2	212	0	0
98	5	0	0	0	0
99	5	2	222	0	0
100	5	2	202	0	0
101	1	1	205	167	0
102	1	1	199	167	2009
103	1	2	223	170	2008
104	1	2	220	0	2009
105	1	1	199	172	2007
106	1	0	0	0	0
107	2	2	228	169	2005
108	2	2	208	168	2004
109	1	2	201	169	2007
110	1	2	202	166	2009
111	1	2	217	0	0
112	1	2	202	172	2006
113	1	2	192	172	0
114	1	1	0	172	2006
115	1	2	223	170	2007
116	1	2	223	172	2007
117	2	2	190	172	2005
118	1	0	223	169	2006
119	5	1	199	170	2009
120	1	2	199	169	2008
121	5	2	204	0	0
122	2	1	194	165	2004
123	2	1	228	169	0
124	2	2	222	0	2004
125	1	2	222	167	2007
126	1	2	0	167	2006
127	1	2	212	168	2007
128	2	1	202	168	2003
129	1	1	199	170	2007
130	2	1	223	171	2005
131	1	2	228	172	2007
132	1	0	201	169	2006
133	1	2	199	168	2007
134	5	2	199	0	2006
135	2	2	194	0	2005
136	1	1	202	171	2006
137	1	2	192	168	2008
138	1	2	223	172	2007
139	1	2	205	168	2008
140	1	2	208	169	2008
141	1	1	202	171	0
142	1	2	228	172	2008
143	2	2	208	166	2004
144	1	1	208	168	2008
145	1	1	199	172	2008
146	1	2	208	169	2008
147	2	0	0	0	0
148	5	0	208	167	2004
149	1	2	208	171	2007
150	1	2	222	171	2006
151	2	0	212	0	2005
152	1	1	202	0	2007
153	1	2	204	169	2008
154	1	2	208	169	2005
155	1	1	228	166	2008
156	1	2	202	168	2006
157	1	1	195	171	2007
158	1	2	208	172	2006
159	2	0	0	0	0
160	2	2	207	169	2004
161	2	2	192	165	2005
162	2	1	208	169	2005
163	5	2	205	0	0
164	1	2	222	170	0
165	1	2	201	169	2008
166	2	2	0	171	2005
167	1	1	212	170	2007
168	1	2	222	171	2007
169	2	2	212	169	1976
170	1	1	199	165	2006
171	1	2	199	167	2006
172	5	2	0	0	0
173	1	0	0	0	0
174	1	2	205	167	2007
175	1	1	196	171	2007
176	1	2	196	172	2007
177	1	1	228	166	2006
178	2	1	201	168	2005
179	1	2	222	170	2007
180	1	2	205	167	2008
181	5	2	196	0	0
182	2	2	209	167	2002
183	1	2	196	168	2008
184	1	0	0	0	0
185	1	1	208	165	2007
186	1	2	205	168	2007
187	1	2	194	172	2008
188	1	1	228	166	2007
189	5	2	212	0	0
190	1	2	0	172	2008
191	2	2	223	0	2005
192	1	2	190	168	2008
193	2	1	223	171	2002
194	1	0	0	0	0
195	1	2	199	0	2008
196	1	2	222	0	2008
197	1	2	190	167	2008
198	1	2	228	169	2008
199	1	2	208	171	2008
200	1	2	228	168	2007
201	1	1	202	171	2007
202	2	1	209	167	2005
203	1	1	190	166	2008
204	1	2	228	0	2009
205	1	2	202	167	2008
206	2	2	205	172	2002
207	1	2	0	170	0
208	1	2	205	167	2006
209	1	1	223	171	2008
210	1	2	228	170	2008
211	1	2	190	168	2005
212	1	2	223	0	2006
213	1	2	208	165	2006
214	1	2	229	167	2008
215	1	2	228	166	2006
216	2	1	199	166	2005
217	1	1	205	169	2006
218	1	2	223	169	2006
219	2	1	199	172	2004
220	1	2	202	168	2006
221	1	0	0	0	0
222	1	2	226	169	2006
223	1	1	196	171	2008
224	1	2	228	169	0
225	1	2	222	0	2009
226	1	0	199	165	2006
227	1	2	228	168	2008
228	1	2	222	171	2007
229	1	1	199	169	2007
230	2	2	228	166	2005
231	2	2	222	171	2004
232	1	2	205	169	2006
233	1	2	198	171	2006
234	1	2	0	170	2008
235	2	2	209	170	2004
236	1	1	199	171	2008
237	5	0	0	0	0
238	1	2	194	167	0
239	2	1	228	0	2005
240	1	2	201	169	2006
241	1	2	223	168	2008
