id	status	gender	major	dorm	year
1	2	1	157	0	2005
2	1	2	130	54	2007
3	1	1	139	0	2005
4	1	1	122	0	2006
5	1	1	124	78	2007
6	1	1	122	79	2008
7	1	2	129	0	2006
8	1	2	137	54	2009
9	5	0	136	0	0
10	2	2	0	0	0
11	1	2	122	66	2009
12	1	1	118	63	2010
13	2	0	0	0	0
14	1	2	126	0	2007
15	1	1	142	53	2006
16	2	1	129	0	2005
17	1	1	141	52	2009
18	1	2	126	89	2006
19	2	1	132	0	2003
20	2	2	146	0	2004
21	1	2	125	90	2008
22	1	2	120	58	2007
23	1	2	137	0	2006
24	1	0	128	0	0
25	2	2	126	97	2004
26	1	2	118	66	2006
27	1	1	122	0	2005
28	2	2	122	89	2005
29	2	2	118	98	2004
30	1	1	133	0	2006
31	1	1	139	63	2009
32	1	1	129	63	0
33	1	1	139	0	2007
34	1	1	142	0	2007
35	1	1	0	0	2005
36	1	0	0	0	0
37	1	1	120	64	2007
38	1	2	132	52	2006
39	1	2	128	0	2006
40	1	2	139	52	2006
41	1	2	126	64	2006
42	1	2	123	0	2005
43	2	2	152	0	2005
44	1	2	134	64	2006
45	1	0	0	0	0
46	1	2	118	63	2009
47	1	2	137	63	2007
48	1	1	123	61	2009
49	1	2	130	57	2008
50	1	2	122	0	2006
51	1	1	128	0	0
52	2	2	135	0	2005
53	1	1	126	80	2006
54	1	1	122	66	2008
55	1	1	122	62	2008
56	2	2	126	0	2004
57	1	2	126	64	2008
58	2	2	123	0	2004
59	1	2	134	70	2008
60	1	2	152	58	2009
61	1	2	122	0	2005
62	1	2	143	0	2010
63	1	2	126	0	2010
64	1	2	126	64	2007
65	1	2	126	76	2006
66	1	2	126	89	0
67	1	2	0	67	2008
68	1	1	126	63	2007
69	2	2	123	66	2004
70	2	2	0	0	2005
71	1	2	137	57	2009
72	1	2	134	54	2008
73	1	2	121	64	2009
74	2	2	0	0	2005
75	1	1	125	63	2008
76	1	2	123	57	2008
77	1	1	124	64	2007
78	5	0	145	0	0
79	1	2	123	0	2007
80	1	2	134	64	2008
81	1	2	143	94	2007
82	1	1	120	66	2006
83	2	2	139	0	2004
84	1	1	0	63	2010
85	1	2	118	57	2008
86	1	0	0	0	0
87	1	2	141	75	2008
88	1	1	128	63	2008
89	1	2	122	0	2007
90	1	1	132	67	2007
91	1	1	118	63	2010
92	1	1	138	0	2006
93	1	2	139	0	2008
94	1	1	122	0	2006
95	1	1	152	54	2008
96	2	2	134	0	2005
97	1	2	118	68	2006
98	1	2	122	53	2006
99	2	2	140	97	2003
100	1	1	124	0	2006
101	1	2	131	57	2009
102	1	1	137	63	2007
103	1	1	124	54	2006
104	1	0	126	51	2008
105	1	1	122	62	2007
106	1	0	0	0	0
107	1	2	129	0	2005
108	5	2	0	0	0
109	1	0	0	0	0
110	1	2	125	0	2006
111	2	2	137	0	2003
112	1	1	120	55	2008
113	1	1	0	55	2008
114	2	1	135	0	2005
115	1	2	152	71	2007
116	1	2	137	63	2008
117	1	1	118	80	0
118	1	2	137	63	2008
119	5	2	152	0	2005
120	2	2	120	0	2005
121	2	1	133	81	2004
122	1	0	0	0	0
123	2	2	122	0	2004
124	1	2	126	85	2006
125	1	1	0	0	2008
126	2	2	123	76	2004
127	1	2	137	63	2007
128	1	2	118	0	2007
129	1	1	127	63	2009
130	1	2	136	95	2004
131	2	1	118	0	2004
132	1	2	126	67	2006
133	1	1	0	0	2008
134	1	1	121	78	2009
135	2	2	143	0	0
136	2	2	126	0	2003
137	1	1	122	62	2007
138	1	2	152	63	2009
139	1	2	152	64	2009
140	2	2	143	0	2005
141	1	0	0	0	0
142	2	2	139	0	2005
143	2	2	137	90	2005
144	1	1	0	76	2008
145	2	1	134	0	2005
146	5	2	130	0	0
147	5	2	134	0	0
148	1	2	126	85	2008
149	1	2	118	0	2010
150	1	1	0	63	2009
151	1	2	126	0	2006
152	1	1	120	63	2008
153	1	2	123	54	2009
154	1	2	122	0	2008
155	1	1	128	71	2006
156	1	2	130	87	2006
157	3	2	148	0	0
158	1	2	142	72	2004
159	2	2	134	89	2005
160	2	2	145	0	2005
161	5	2	130	0	0
162	1	2	122	70	2009
163	1	1	128	81	2006
164	1	1	130	78	2007
165	1	1	122	64	2007
166	1	1	143	62	2008
167	1	1	152	0	2006
168	2	1	126	0	2005
169	1	2	0	0	2009
170	1	1	119	63	2007
171	1	1	126	52	2009
172	2	1	152	76	2005
173	5	2	141	0	2006
174	2	1	135	0	2005
175	1	1	124	0	2006
176	1	2	123	0	2006
177	2	1	128	0	2005
178	1	0	0	0	0
179	1	0	0	0	0
180	1	1	125	0	2007
181	1	1	0	62	2009
182	1	2	137	0	2008
183	1	1	139	64	2008
184	1	1	139	0	2006
185	2	2	137	51	2004
186	1	1	122	67	2006
187	1	1	134	68	0
188	2	1	137	0	2002
189	1	2	0	0	2008
190	2	0	0	0	0
191	1	2	129	54	2009
192	1	2	127	0	2007
193	1	2	141	63	2006
194	1	2	152	66	2009
195	1	2	141	53	2008
196	5	2	145	0	2006
197	2	2	134	94	2005
198	1	1	134	78	2006
199	1	2	134	96	2007
200	2	1	136	63	2003
201	2	1	0	0	0
202	1	2	134	61	2007
203	1	1	143	76	2007
204	1	2	138	0	2005
205	5	2	152	67	2005
206	1	1	136	55	2006
207	1	0	0	0	0
208	2	1	126	0	2004
209	1	2	126	63	2006
210	1	2	130	64	2008
211	1	2	126	51	2008
212	1	2	152	63	2009
213	1	2	152	63	2009
214	1	1	132	76	2006
215	1	2	137	54	2009
216	1	2	126	70	2008
217	1	1	127	0	2008
218	1	2	126	0	2006
219	1	1	120	75	2008
220	1	1	126	63	2009
221	2	2	118	68	2005
222	1	2	126	0	2007
223	1	2	0	0	0
224	2	1	122	0	0
225	1	2	145	0	2006
226	1	2	139	88	2007
227	1	2	122	55	2006
228	2	1	125	84	2004
229	1	2	126	51	2007
230	5	2	136	0	2008
