id	status	gender	major	dorm	year
1	1	1	0	94	0
2	1	2	261	86	2009
3	1	0	277	87	2007
4	1	2	261	93	2009
5	1	0	0	0	2005
6	1	0	0	116	2005
7	2	2	249	112	0
8	1	1	277	0	2007
9	2	2	247	0	2005
10	2	2	241	0	2002
11	1	1	282	90	2008
12	5	2	258	111	2007
13	1	0	0	0	2009
14	2	1	282	0	2004
15	1	2	285	88	2009
16	1	2	0	110	2008
17	1	2	267	88	2009
18	2	2	277	0	2005
19	1	1	0	88	2009
20	1	2	277	86	2009
21	1	1	242	89	2008
22	1	1	241	93	2009
23	2	1	259	0	2004
24	1	0	0	119	2007
25	1	0	261	90	2008
26	1	2	278	0	2006
27	1	2	0	93	2009
28	1	0	277	113	2006
29	2	2	241	0	2000
30	2	2	278	109	2002
31	2	1	277	0	2005
32	1	0	242	0	0
33	2	2	255	0	2005
34	1	1	0	89	2008
35	1	1	236	89	2008
36	1	2	0	0	0
37	1	1	247	117	2007
38	1	2	249	87	2007
39	1	1	276	88	2008
40	1	1	259	104	2007
41	1	2	259	108	2007
42	1	1	261	92	2006
43	1	1	0	91	2008
44	2	1	252	0	2004
45	1	1	249	0	2006
46	1	2	266	89	0
47	1	1	236	96	2006
48	2	1	279	118	2004
49	1	2	0	88	0
50	2	2	282	0	2005
51	1	2	249	94	2009
52	1	2	0	86	2009
53	1	1	0	86	2008
54	2	2	245	0	2004
55	1	1	271	92	2009
56	1	1	0	88	2009
57	2	1	276	0	2005
58	1	1	0	89	2008
59	1	1	249	93	2009
60	2	0	0	0	2005
61	1	2	0	90	2008
62	1	1	249	90	2008
63	1	2	277	89	2007
64	1	1	283	116	2006
65	1	1	261	115	2006
66	2	2	277	0	2004
67	2	1	249	121	2004
68	2	1	278	0	2005
69	1	2	0	89	2008
70	2	0	242	0	2005
71	1	1	271	0	2007
72	1	1	261	87	2008
73	1	0	0	0	0
74	1	2	248	0	2006
75	1	2	247	0	2006
76	1	2	0	89	2007
77	1	2	242	108	2006
78	1	1	0	0	2008
79	2	1	278	0	2005
80	1	1	259	0	2006
81	1	1	278	87	2008
82	1	2	278	114	2007
83	1	1	236	115	2006
84	1	1	0	90	2008
85	1	2	271	116	2006
86	1	2	278	117	2007
87	1	0	0	0	0
88	1	2	0	88	2009
89	1	1	277	115	2007
90	2	2	257	0	2005
91	2	1	249	100	2005
92	1	1	241	117	2007
93	1	2	241	90	2007
94	1	1	235	116	2006
95	1	2	249	89	2008
96	1	2	247	94	2009
97	1	1	235	101	2008
98	1	2	276	122	2006
99	1	2	247	0	2006
100	2	2	279	0	2004
101	1	2	247	101	2008
102	2	1	278	0	2001
103	2	1	273	0	2003
104	1	1	278	115	2006
105	1	1	261	89	2008
106	1	1	261	88	2007
107	1	2	0	90	2008
108	1	2	0	88	2009
109	2	1	282	0	2004
110	2	2	236	0	2005
111	1	2	0	86	2009
112	1	1	267	120	2006
113	2	2	259	107	2005
114	1	1	277	117	2007
115	1	1	241	93	2009
116	2	1	271	0	2004
117	1	1	254	92	2009
118	2	2	247	111	2005
119	1	0	0	115	2008
120	1	1	0	87	2008
121	1	1	277	117	2007
122	1	1	255	119	2006
123	1	2	277	113	2006
124	1	2	249	96	2006
125	1	1	248	86	2009
126	1	2	0	88	2009
127	1	1	261	89	2007
128	1	2	241	88	2009
129	1	1	0	90	2008
130	2	1	274	96	2004
131	1	1	274	0	2006
132	2	1	277	0	2005
133	2	0	0	0	0
134	2	1	251	0	2004
135	5	2	0	0	2005
136	1	2	285	88	2009
137	1	1	236	0	2005
138	2	2	259	0	2005
139	2	1	260	0	2005
140	2	0	0	110	2004
141	1	1	267	0	2007
142	2	1	261	0	2003
143	1	1	249	116	2006
144	1	2	0	88	2009
145	1	1	278	89	2008
146	2	2	255	0	2005
147	1	1	0	90	2008
148	1	2	261	114	2005
149	1	2	239	87	2007
150	1	1	241	0	2005
151	1	1	0	91	2008
152	2	2	277	108	2005
153	2	0	0	0	0
154	1	1	282	89	2008
155	1	2	0	88	2008
156	2	1	277	0	2005
157	1	1	259	121	2007
158	2	1	236	0	2004
159	2	1	277	0	2004
160	1	1	283	89	2008
161	1	1	273	119	2006
162	2	1	254	0	2005
163	2	2	243	109	2002
164	2	2	253	0	2003
165	2	2	245	0	2003
166	1	1	241	90	2008
167	1	2	259	0	2006
168	1	2	0	0	2008
169	1	1	0	87	2008
170	1	2	0	88	2009
171	1	0	0	0	0
172	2	0	261	114	2004
173	1	1	247	117	2007
174	1	1	241	0	2009
175	1	1	0	87	2008
176	1	2	273	116	2006
177	2	2	277	105	2005
178	1	2	241	89	2008
179	2	1	254	0	2005
180	1	2	0	86	2008
181	1	1	0	90	2008
182	4	0	0	0	0
183	1	1	256	118	2007
184	1	1	278	0	2006
185	1	2	0	89	2008
186	1	1	271	0	2006
187	1	0	256	0	2007
188	1	0	0	0	0
189	1	2	278	0	2006
190	5	1	0	0	2004
191	1	1	267	0	2006
192	2	1	277	0	2005
193	2	2	256	0	2004
194	1	1	0	116	2007
195	1	1	248	0	2008
196	1	2	266	115	2008
