id	status	gender	major	dorm	year
1	5	1	0	0	2005
2	1	1	56	72	2009
3	1	1	73	0	2006
4	2	2	133	0	2005
5	1	1	0	0	0
6	1	1	0	7	2009
7	1	1	0	2	2008
8	1	1	0	0	0
9	1	2	78	0	0
10	1	2	79	4	2007
11	1	0	50	0	0
12	1	0	124	11	2007
13	5	2	0	0	2007
14	1	1	110	0	2006
15	1	2	110	0	2007
16	1	1	79	71	2008
17	1	1	90	78	2009
18	1	2	77	0	0
19	1	2	49	7	2009
20	1	1	111	78	2008
21	1	1	78	12	2007
22	1	1	90	15	2006
23	5	0	45	0	2005
24	1	1	57	0	2006
25	1	1	0	2	2008
26	1	2	97	15	2006
27	1	1	111	17	2006
28	1	1	116	0	2007
29	1	2	57	0	2007
30	5	1	76	0	2005
31	2	1	90	0	2004
32	1	1	102	55	2006
33	1	1	54	2	2009
34	1	2	57	11	2008
35	1	2	0	65	2008
36	2	0	122	0	2005
37	1	2	54	3	2006
38	1	1	90	13	2006
39	2	2	75	0	2004
40	1	1	75	0	2006
41	1	2	90	3	2007
42	1	1	83	53	2007
43	1	2	78	7	2009
44	1	1	90	11	2007
45	5	1	0	1	2006
46	1	1	0	14	2007
47	1	1	0	75	2005
48	2	2	110	0	2004
49	1	1	100	53	2008
50	1	1	78	17	2008
51	1	2	101	7	2009
52	1	1	90	0	2006
53	1	2	107	7	2009
54	2	2	67	0	2005
55	5	2	110	0	0
56	1	1	85	11	2007
57	1	0	77	6	2006
58	1	1	79	14	2007
59	1	1	75	11	2007
60	1	2	109	0	2007
61	2	2	0	3	0
62	2	0	0	0	0
63	1	2	107	0	2007
64	1	1	0	0	0
65	1	2	93	0	2006
66	1	2	66	3	2006
67	2	1	50	0	2005
68	1	2	0	0	2009
69	1	2	110	8	2008
70	2	0	0	0	0
71	1	1	111	0	2006
72	1	1	0	0	2007
73	1	0	0	0	2006
74	1	2	111	1	2008
75	5	2	90	0	2002
76	1	1	0	75	2008
77	1	1	64	0	2007
78	1	0	0	0	0
79	1	2	0	11	2006
80	1	2	126	0	2006
81	1	1	60	14	2007
82	1	1	111	17	2005
83	1	1	0	55	2006
84	0	2	122	0	2004
85	1	2	93	3	2006
86	2	1	100	0	2005
87	2	2	0	0	2004
88	2	2	75	0	0
89	1	1	111	10	2007
90	2	2	68	0	2005
91	1	1	78	13	2006
92	1	1	105	5	2006
93	1	1	56	53	2008
94	1	2	62	0	2004
95	1	0	0	0	0
96	1	1	72	11	2007
97	1	1	50	0	2006
98	1	2	77	3	2006
99	1	2	62	6	2005
100	1	1	0	75	2009
101	1	2	67	65	2006
102	1	1	0	8	2008
103	1	2	75	7	2009
104	2	1	116	55	2005
105	1	1	75	4	2009
106	1	1	78	54	2007
107	2	1	0	0	2004
108	1	1	105	0	2007
109	1	2	78	0	0
110	1	2	75	7	2009
111	1	2	107	2	2009
112	1	1	78	4	2009
113	1	1	116	0	0
114	1	1	45	48	2007
115	1	1	50	5	2008
116	2	0	0	0	0
117	2	1	104	62	2005
118	2	1	93	9	2004
119	1	0	0	0	0
120	4	2	0	0	0
121	2	2	57	0	2005
122	1	2	83	0	0
123	1	1	90	3	2005
124	1	1	83	7	2007
125	1	1	0	0	0
