id	status	gender	major	dorm	year
1	1	1	88	0	2007
2	1	2	111	0	2006
3	1	1	63	1	2009
4	1	1	116	134	2008
5	1	1	116	111	2007
6	1	2	61	0	2006
7	1	1	126	17	2009
8	2	1	117	111	2005
9	1	2	0	32	2008
10	1	2	97	73	2007
11	1	2	95	111	2008
12	1	0	0	0	0
13	1	0	0	0	0
14	5	1	141	0	2006
15	2	1	84	81	2004
16	1	2	47	16	2009
17	1	0	93	0	2006
18	4	2	0	0	0
19	1	2	44	0	2006
20	1	0	0	0	0
21	1	1	53	104	2004
22	1	1	46	0	2005
23	2	0	0	0	0
24	1	2	79	52	2008
25	2	2	88	7	2003
26	2	1	107	0	2004
27	1	1	44	2	2009
28	1	1	116	107	2008
29	1	1	63	111	2006
30	2	1	88	111	2004
31	2	1	110	0	2005
32	1	2	53	111	2006
33	2	2	49	0	2005
34	2	1	107	20	2005
35	1	2	63	60	2008
36	2	1	115	0	2005
37	1	1	67	124	2007
38	1	0	0	0	0
39	2	1	47	107	2005
40	1	1	0	10	2009
41	2	2	90	0	2004
42	2	2	69	111	0
43	1	2	115	29	2007
44	2	1	67	0	2005
45	1	1	111	106	2007
46	2	2	69	0	2004
47	2	2	111	86	2005
48	1	1	116	97	2006
49	1	1	61	111	2008
50	1	2	0	0	2008
51	1	1	94	39	2006
52	5	1	123	0	0
53	4	0	0	0	0
54	5	2	47	0	0
55	5	1	150	0	2007
56	2	2	88	0	2004
57	1	2	97	14	2009
58	1	1	61	8	2008
59	1	0	93	0	2008
60	1	2	47	32	2008
61	1	2	77	111	2006
62	2	1	115	0	2004
63	1	2	97	29	2008
64	1	1	90	11	2009
65	1	0	0	0	0
66	2	2	147	0	2004
67	2	1	55	0	2005
68	4	1	67	111	2005
69	1	1	55	9	2008
70	2	1	97	0	2003
71	1	2	47	41	2008
72	1	2	0	3	2009
73	2	2	47	0	2005
74	1	2	85	0	2005
75	1	2	90	0	2006
76	1	1	67	11	2009
77	2	1	88	126	2005
78	1	1	97	15	2007
79	1	2	0	0	2007
80	2	1	94	111	2005
81	5	1	67	0	2006
82	1	2	79	0	2007
83	1	2	47	12	2008
84	2	1	55	0	2003
85	2	1	110	0	2005
86	1	1	62	7	2009
87	1	2	88	32	2006
88	1	1	57	10	2009
89	5	0	0	0	0
90	1	2	104	111	2006
91	1	2	55	2	2009
92	1	2	90	111	2007
93	1	2	80	0	2006
94	1	1	67	103	2008
95	2	1	107	0	2005
96	1	0	0	0	0
97	5	1	69	0	2005
98	1	2	46	42	2006
99	1	2	0	0	0
100	1	1	125	0	2010
101	1	2	52	75	2008
102	1	1	93	111	2006
103	2	2	111	0	2005
104	2	2	55	0	2004
105	1	2	53	34	2008
106	1	2	47	111	2007
107	1	1	88	100	2007
108	1	1	97	111	2007
109	1	2	47	0	2007
110	1	1	126	102	2007
111	2	0	0	0	0
112	2	1	97	0	2005
113	1	1	73	0	2006
114	1	1	55	10	2009
115	1	2	61	124	2006
116	1	2	0	32	2008
117	1	1	105	111	2006
118	1	1	115	18	2007
119	2	0	0	0	2002
120	2	1	55	0	2004
121	1	2	47	111	2006
122	2	1	80	0	2004
123	4	2	0	0	0
124	1	1	93	111	2007
125	1	1	93	14	2009
126	1	2	55	16	2008
127	1	1	44	0	0
128	1	1	97	100	2006
129	2	2	73	0	2005
130	2	2	90	0	2005
131	1	2	69	10	2009
132	1	0	0	0	0
133	4	2	0	0	0
134	2	1	111	111	2005
135	1	1	105	28	2007
136	1	2	79	0	0
137	2	1	55	83	2003
138	1	2	77	49	2008
139	1	2	0	110	0
140	1	0	44	0	0
141	1	1	57	111	2006
142	1	1	97	108	2008
143	1	2	47	0	2006
144	2	0	0	0	0
145	5	1	79	0	2009
146	5	2	113	0	0
147	1	1	55	0	2005
148	2	1	79	0	2004
149	1	2	100	111	2007
150	2	1	111	99	2003
151	1	1	84	111	2006
152	1	2	0	11	2009
153	1	1	0	0	0
154	1	2	77	63	2006
155	1	1	43	98	2007
156	1	1	116	0	2006
157	5	0	0	0	0
158	1	1	93	0	2006
159	1	1	78	111	2007
160	1	1	84	14	0
161	1	1	95	2	2009
162	2	2	0	0	0
163	2	1	115	111	2004
164	1	1	44	17	2009
165	1	2	93	0	2005
166	1	2	131	0	2006
167	5	2	55	111	2010
168	1	0	80	0	2006
169	2	1	77	105	2005
170	1	2	0	111	0
171	1	2	79	32	2008
172	1	2	55	0	2007
173	2	1	47	0	2005
174	1	1	43	0	2006
175	1	2	105	0	2007
176	1	1	135	16	2009
177	1	1	55	39	2008
178	1	2	115	0	2005
179	2	2	44	47	2004
180	1	1	55	100	2007
181	1	2	55	39	2008
182	2	2	123	111	2005
183	2	2	97	111	2005
184	1	0	53	0	2007
185	1	0	0	0	0
186	1	2	113	0	2007
187	1	1	61	0	2006
188	1	2	62	3	0
189	4	1	0	0	0
190	1	2	46	36	2007
191	1	1	0	4	2009
192	2	1	90	111	2005
193	1	1	77	37	2007
194	1	1	44	99	2006
195	1	1	110	105	0
196	1	2	63	111	2007
197	2	1	90	83	2005
198	1	2	114	64	2006
199	2	2	93	111	2004
200	1	1	111	10	2009
201	5	1	135	0	2003
202	2	1	53	0	2002
203	1	1	94	14	2009
204	2	1	67	0	2004
205	1	1	61	0	2008
206	2	1	117	98	2005
207	1	2	115	11	2009
208	1	1	52	0	2009
209	1	2	0	0	0
210	1	1	88	24	2008
211	1	2	0	0	0
212	2	2	77	78	2005
213	2	2	115	67	2005
214	1	2	55	2	2004
215	2	1	95	0	2004
216	1	1	95	11	2009
217	2	0	0	0	0
218	1	2	46	10	2009
219	1	2	111	57	2007
220	1	1	80	108	2006
221	1	2	77	0	2008
222	2	1	67	97	2005
223	1	2	90	1	2009
224	2	1	43	115	2005
225	1	1	55	0	2006
226	1	1	77	0	2006
227	1	2	55	8	2009
228	1	1	49	36	2009
229	1	2	76	34	2007
230	2	1	77	29	2005
231	1	2	69	28	2007
232	1	1	57	11	2009
233	1	1	55	103	2007
234	1	2	97	0	2007
235	1	0	62	0	2006
236	1	2	97	0	0
237	2	1	95	19	2004
238	1	2	55	67	2008
239	1	1	95	111	2006
240	5	2	0	0	2004
241	2	1	115	98	2004
242	1	1	115	108	2006
243	1	1	95	17	2009
244	5	2	128	0	2005
245	1	1	0	81	2007
246	1	1	123	9	2009
247	2	1	116	0	2005
248	1	1	0	16	2009
249	1	2	57	72	2006
250	1	2	69	32	2007
251	5	2	138	0	2006
252	1	1	74	111	2007
253	1	1	93	107	2006
254	1	0	126	108	2007
255	2	2	79	58	2005
256	1	2	93	14	2009
257	2	2	52	111	2003
258	1	2	69	0	2005
259	1	1	61	0	2006
260	1	2	62	0	2008
261	1	1	0	14	2009
262	5	1	44	0	2008
263	1	2	55	0	0
264	1	0	0	0	0
265	1	2	55	65	2008
266	1	1	55	102	2007
267	1	1	50	9	2008
268	2	1	97	0	2005
269	1	1	79	111	2006
270	1	1	97	10	2009
271	2	2	44	18	2003
272	2	2	88	0	2005
273	1	2	90	0	2006
274	1	0	0	0	0
275	2	1	73	104	2004
276	1	1	110	0	2006
277	2	2	83	0	0
278	1	0	0	0	0
279	1	2	77	51	2005
280	1	2	0	0	0
281	5	0	0	0	0
282	1	2	105	16	2009
283	2	1	61	0	2005
284	1	2	53	111	2007
285	1	2	116	73	2006
286	1	2	116	45	2007
287	2	2	77	0	2005
288	2	2	79	111	2004
289	1	1	115	134	2007
290	1	0	146	0	2007
291	5	1	103	0	2008
292	1	1	115	3	2009
293	1	2	88	0	2008
294	1	2	95	134	2010
295	1	2	61	21	2006
296	2	0	0	0	0
297	1	1	44	111	2007
298	2	1	57	0	2004
299	1	1	97	16	2009
300	2	0	0	0	0
301	1	2	119	63	2007
302	1	1	0	14	2009
303	1	1	57	103	2006
304	1	1	95	104	2007
305	1	2	107	0	2006
306	4	2	0	0	0
307	1	1	97	14	2008
308	2	1	77	111	2004
309	1	1	95	111	2006
310	1	2	97	79	2006
311	1	1	63	0	2008
312	1	2	55	117	2005
313	1	2	0	1	2009
314	1	2	83	0	2006
315	1	1	84	11	2009
316	1	1	77	107	2006
317	1	0	0	0	2008
318	1	1	0	111	2008
319	1	2	55	124	2007
320	1	1	123	38	2006
321	1	1	94	104	2008
322	1	2	111	0	2006
323	1	2	93	73	0
324	1	2	63	8	2008
325	2	2	0	0	2004
326	1	1	105	14	2009
327	1	1	0	16	2009
328	5	2	111	0	2005
329	2	2	55	124	2004
330	2	0	0	0	0
331	2	1	95	0	2005
332	1	2	47	111	2008
333	2	1	69	0	2004
334	1	2	111	67	2007
335	1	1	0	1	0
336	1	0	0	0	0
337	1	1	63	134	2007
338	1	0	0	0	0
339	1	2	43	73	2006
340	2	2	53	0	2005
341	1	1	55	0	2006
342	1	2	47	41	2007
343	1	1	95	10	2009
344	1	1	116	10	2007
345	5	2	0	0	2002
346	4	0	0	0	0
347	1	1	62	36	2008
348	1	1	97	111	2006
349	1	1	47	35	2008
350	2	2	113	0	2005
351	1	2	85	11	2009
352	1	1	55	14	2009
353	1	1	102	0	2005
354	1	1	69	1	2009
355	1	2	55	34	2007
356	1	2	88	0	2007
357	1	2	0	0	2008
358	1	1	90	106	2005
359	1	1	78	0	2005
360	1	2	105	48	2007
361	1	2	115	10	2009
362	1	1	95	9	2007
363	2	2	80	0	2004
364	1	0	97	109	2007
365	2	2	77	51	2005
366	2	1	45	0	0
367	2	2	77	0	2005
368	5	2	149	0	2010
369	2	1	97	97	2004
370	1	0	0	0	0
371	1	2	103	111	2006
372	5	2	111	0	2009
373	2	2	66	0	2005
374	1	2	105	63	2007
375	1	2	113	24	2007
376	1	1	45	0	2007
377	1	2	128	0	2008
378	1	1	93	118	2006
379	1	1	49	17	2009
380	1	2	149	3	2009
381	2	1	67	111	2004
382	1	1	126	18	2007
383	1	1	73	107	2008
384	1	1	55	3	2009
385	1	2	130	111	2007
386	1	2	63	16	2009
387	1	1	93	111	2006
388	1	1	90	32	2008
389	1	0	93	0	0
390	1	2	79	54	2006
391	2	1	126	111	2004
392	2	2	88	111	2005
393	1	0	0	0	0
394	1	1	0	12	2007
395	2	2	79	111	2003
396	1	1	115	0	2006
397	1	2	66	134	2008
398	2	1	77	102	2003
399	1	0	104	117	2008
400	1	2	93	71	2008
401	1	1	49	0	2007
402	1	2	73	16	2009
403	1	0	44	106	2008
404	1	0	0	0	0
405	4	0	0	0	0
406	1	2	0	0	2009
407	2	2	111	111	2005
408	1	1	47	111	2007
409	2	1	88	0	2004
410	1	1	47	111	2005
411	1	2	47	111	2007
412	2	2	55	28	2005
413	2	1	116	0	2005
414	2	1	49	0	2004
415	1	1	77	0	2007
416	1	1	94	108	2007
