id	status	gender	major	dorm	year
1	2	1	29	50	2005
2	2	1	43	9	2004
3	1	0	40	0	0
4	2	1	40	50	2005
5	2	2	17	47	2004
6	2	2	0	42	2003
7	1	2	48	21	2008
8	1	2	25	29	2007
9	2	2	8	66	2005
10	2	1	25	0	2004
11	2	1	16	53	2004
12	1	1	0	24	2009
13	2	2	24	38	2002
14	1	0	17	49	2007
15	1	2	14	0	2008
16	2	0	0	42	2004
17	1	1	0	14	2008
18	1	2	20	0	2008
19	1	2	25	13	2006
20	1	1	0	10	2008
21	2	2	40	0	2005
22	2	1	18	19	2004
23	2	2	16	0	2004
24	1	2	0	25	2009
25	2	2	0	0	2002
26	2	2	29	0	2004
27	1	0	0	0	0
28	2	1	40	49	2005
29	1	1	0	2	2009
30	1	2	2	18	2007
31	2	2	18	36	2004
32	5	1	16	0	0
33	1	2	8	0	2007
34	1	1	7	12	2009
35	2	0	0	0	0
36	1	0	31	14	2006
37	1	1	33	14	2009
38	2	1	21	50	2001
39	2	1	14	53	2005
40	1	2	40	41	2007
41	1	2	25	28	2008
42	4	1	0	0	0
43	1	2	43	7	2007
44	2	0	0	0	0
45	2	2	24	11	0
46	1	2	24	45	2006
47	1	1	7	1	2009
48	1	1	0	0	2005
49	1	1	51	53	2006
50	1	1	4	0	2006
51	1	2	0	0	2008
52	1	1	0	21	2009
53	2	2	0	36	2003
54	1	2	0	34	2007
55	1	2	12	47	2007
56	1	0	0	49	2007
57	1	2	2	0	0
58	1	1	0	12	2009
59	1	2	17	0	0
60	2	1	0	0	2001
61	1	0	0	0	0
62	1	0	34	0	0
63	2	1	29	0	2005
64	1	2	37	8	2009
65	5	2	0	70	0
66	1	1	4	61	0
67	1	1	12	61	2008
68	1	2	24	29	2006
69	1	0	0	0	0
70	1	0	0	0	0
71	1	0	0	0	0
72	2	2	49	50	2004
73	1	0	0	48	2007
74	2	0	0	0	0
75	1	1	40	0	2006
76	1	2	25	29	2006
77	1	2	14	28	0
78	1	1	0	23	2009
79	1	0	16	53	2007
80	1	1	0	18	2009
81	4	1	0	0	0
82	2	2	18	0	2004
83	1	2	14	14	2009
84	1	2	24	12	2008
85	1	2	7	13	2008
86	1	0	0	0	0
87	1	1	41	0	2006
88	1	2	24	35	2006
89	1	2	22	59	2007
90	1	1	25	53	2007
91	1	2	0	0	2008
92	2	1	22	0	2005
93	1	1	24	0	2009
94	1	1	40	48	2006
95	6	2	40	1	2008
96	2	1	7	0	2004
97	1	2	0	0	2006
98	1	2	24	55	2007
99	1	1	40	48	2007
100	1	2	0	0	2005
101	2	2	3	0	2005
102	1	2	0	29	2008
103	2	0	0	0	0
104	2	1	44	52	2004
105	2	0	5	48	2005
106	1	1	7	1	2009
107	1	2	24	9	2006
108	2	2	26	0	2002
109	1	1	7	30	2005
110	1	0	24	0	2007
111	2	1	16	50	2003
112	2	1	29	0	2005
113	1	1	40	14	2009
114	1	1	4	52	2006
115	1	2	12	13	2008
116	1	2	14	36	2007
117	1	2	44	35	0
118	1	2	9	41	2006
119	2	2	31	41	2000
120	1	2	14	12	2008
121	1	1	17	53	2005
122	2	1	6	50	2001
123	1	1	24	53	2007
124	1	1	0	0	2006
125	1	2	14	36	2006
126	3	2	0	0	0
127	1	1	53	0	2008
128	2	2	37	0	2005
129	1	2	0	14	2009
130	1	1	43	9	2006
131	2	2	24	35	2004
132	5	0	0	0	0
133	1	1	0	9	2008
134	2	1	24	0	2005
135	1	2	39	44	2006
136	1	0	0	0	0
137	1	2	53	24	2008
138	2	2	14	0	2005
139	1	2	24	10	2008
140	1	2	17	42	2004
141	1	2	0	0	0
142	1	1	20	52	2006
143	2	1	11	0	2005
144	1	2	0	47	2007
145	2	1	25	51	2004
146	2	2	17	12	1999
147	2	0	14	53	2005
148	1	0	4	0	0
149	1	1	40	52	2006
150	2	2	0	0	0
151	2	1	7	0	2005
152	1	1	25	50	2007
153	2	1	40	0	2004
154	1	2	9	18	2008
155	1	1	24	53	2006
156	1	1	0	7	2008
157	1	0	0	14	0
158	2	2	24	13	2004
159	2	0	0	0	2004
160	1	2	31	25	2009
161	1	0	0	0	2008
162	1	2	50	0	0
163	1	2	0	0	0
164	1	2	14	7	2008
165	1	1	0	28	2009
166	1	1	14	31	2009
167	1	2	37	0	2006
168	2	0	0	0	0
169	1	0	0	31	2008
170	1	1	40	26	2006
171	1	1	16	54	2008
172	2	1	29	58	2004
173	1	2	0	0	2008
174	1	2	0	12	2009
175	1	2	0	23	2008
176	2	1	21	0	2004
177	4	0	0	0	0
178	1	1	0	3	2008
179	1	2	18	0	2006
180	1	2	0	0	2008
181	1	1	54	52	2006
182	2	1	0	0	2003
183	2	2	14	0	2004
184	5	2	17	0	0
185	2	1	46	0	2005
186	1	2	24	46	2007
187	1	0	0	0	0
188	1	1	18	19	0
189	1	1	54	2	2009
190	1	2	24	60	2008
191	1	1	7	18	2008
192	1	2	0	2	2009
193	1	1	46	51	2007
194	1	1	24	5	2008
195	2	1	7	0	2004
196	1	1	14	18	2008
197	1	2	14	28	2008
198	2	2	19	0	2002
199	1	2	53	1	2009
200	2	1	6	51	2003
201	2	2	0	0	2004
202	1	2	0	15	2008
203	1	2	14	23	2009
204	1	1	7	60	2008
205	1	2	39	0	2005
206	2	0	0	0	0
207	1	1	14	27	2007
208	2	2	33	39	2004
209	2	1	53	0	2002
210	3	2	31	0	0
211	1	0	0	0	0
212	1	2	44	0	2008
213	2	1	53	53	2004
214	2	2	12	0	0
215	1	1	14	48	2007
216	1	1	39	0	2007
217	2	1	24	49	2002
218	1	2	52	44	2009
219	2	1	24	48	2004
220	1	0	0	0	0
221	1	2	41	0	2006
222	1	1	0	11	2009
223	1	2	24	39	2006
224	1	1	0	11	2007
225	1	1	0	49	2007
226	1	1	0	18	2009
227	5	2	31	0	2008
228	1	2	0	0	2007
229	1	2	40	45	2006
230	3	2	0	0	0
231	1	1	0	14	2009
232	1	2	53	0	2007
233	1	1	40	13	2007
234	2	1	18	0	2004
235	1	1	49	51	2007
236	1	0	53	18	2008
237	1	1	20	0	2006
238	4	1	0	0	0
239	1	1	53	0	2007
240	5	2	8	0	0
241	1	2	7	0	2007
242	4	2	0	0	0
243	2	2	24	0	2005
244	1	1	40	19	2008
245	1	1	13	13	2007
246	1	1	16	13	2006
247	1	1	14	9	2005
248	2	1	24	0	2004
249	1	1	31	0	2007
250	1	1	0	0	2008
251	2	1	9	69	2003
252	1	2	25	23	2008
253	2	2	24	42	2004
254	2	2	31	40	2004
255	1	0	0	0	0
256	1	2	14	10	2007
257	1	2	1	14	2008
258	1	2	49	1	2007
259	1	2	18	42	2007
260	5	0	0	0	2006
261	2	2	7	66	2002
262	2	2	22	0	2001
263	1	0	40	10	2008
264	2	1	0	0	0
265	2	1	7	0	2005
266	2	2	24	69	1930
267	2	0	0	0	0
268	1	1	40	31	2009
269	1	2	28	0	2005
270	1	1	25	21	2008
271	1	1	18	14	2008
272	5	0	0	0	0
273	1	2	16	25	2008
274	2	1	46	48	2004
275	1	0	0	0	0
276	5	0	0	0	0
277	2	0	7	0	2004
278	1	2	14	41	2006
279	3	2	23	0	0
280	2	0	0	0	0
281	1	1	18	0	2006
282	1	1	16	2	2009
283	1	2	11	5	2006
284	1	0	0	34	2006
285	1	1	0	22	2008
286	2	1	17	52	2004
287	2	1	40	0	1976
288	1	1	3	0	2007
289	1	2	49	66	2004
290	2	2	4	56	1994
291	1	2	39	16	2008
292	1	2	25	39	2006
293	2	1	52	56	1994
294	1	2	16	42	2007
295	3	2	37	0	0
296	1	1	24	58	0
297	1	2	0	11	2009
298	1	1	16	61	2007
299	1	2	0	3	2008
300	1	2	33	59	2007
301	1	1	24	5	2005
302	5	2	31	0	0
303	2	0	39	0	0
304	1	0	0	0	0
305	2	1	40	0	0
306	2	0	0	0	0
307	1	1	14	25	2008
308	1	2	4	37	2005
309	1	0	18	0	0
310	1	1	31	13	2007
311	2	1	43	0	2005
312	1	2	31	0	2005
313	1	1	40	52	2007
314	1	0	0	0	0
315	1	1	0	22	2008
316	1	0	0	0	0
317	1	1	25	0	2007
318	1	2	14	5	2006
319	1	2	17	47	2007
320	1	1	40	48	2006
321	1	1	54	22	2009
322	1	1	8	6	2008
323	2	1	25	27	2004
324	1	2	24	12	2008
325	1	0	0	0	0
326	1	0	0	0	2006
327	2	2	24	39	2004
328	1	2	39	25	2009
329	1	1	41	0	2006
330	1	2	24	10	2008
331	1	1	40	55	2006
332	1	2	16	22	2008
333	2	2	25	0	0
334	2	2	39	55	0
335	1	2	12	19	2009
336	4	2	7	0	2004
337	1	1	24	24	2009
338	1	1	43	57	2007
339	1	2	24	29	2008
340	1	0	0	53	2005
341	1	2	14	2	2008
342	1	1	40	48	2007
343	1	2	8	55	2007
344	2	2	16	0	2005
345	2	2	0	38	2002
346	1	2	37	59	2006
347	2	1	26	0	2000
348	1	2	14	22	2008
349	2	1	16	58	2002
350	2	0	0	0	0
351	1	2	4	0	2007
352	1	1	0	13	2008
353	1	1	24	0	2008
354	1	2	4	0	0
355	1	1	25	22	2009
356	2	2	25	39	2005
357	1	2	27	1	2008
