id	status	gender	major	dorm	year
1	2	0	0	0	0
2	1	2	102	189	2006
3	1	1	62	172	2007
4	5	1	81	172	2007
5	1	1	85	187	2006
6	2	1	64	0	2005
7	1	1	115	207	2009
8	1	2	63	172	2006
9	1	1	80	181	2007
10	1	2	84	172	2006
11	1	2	69	138	2006
12	1	1	0	75	2009
13	1	2	0	0	2009
14	5	1	81	80	2006
15	2	2	0	170	2005
16	1	1	109	147	2007
17	1	2	64	207	2009
18	2	1	65	0	2004
19	2	1	105	154	2003
20	5	2	115	0	2009
21	2	2	55	72	2005
22	1	2	64	79	2009
23	2	1	79	0	2002
24	1	1	60	173	2008
25	1	2	114	0	0
26	5	2	114	172	2008
27	1	0	0	131	0
28	1	1	109	80	2009
29	2	1	55	172	2005
30	1	1	0	0	2008
31	1	1	57	130	2008
32	1	1	64	155	2008
33	1	2	99	148	2005
34	1	1	78	79	2009
35	1	1	69	0	2006
36	2	2	78	172	2005
37	1	2	0	172	2005
38	1	2	69	135	2006
39	1	2	78	168	2008
40	1	2	102	195	0
41	1	2	0	133	2007
42	2	1	67	0	2005
43	1	1	69	192	2007
44	1	2	64	156	2007
45	2	2	102	198	2004
46	5	2	114	172	2008
47	2	1	73	174	2005
48	1	2	80	160	2006
49	4	1	79	0	0
50	2	1	64	173	2004
51	1	2	76	113	2007
52	1	1	55	156	2007
53	1	1	78	75	2008
54	1	2	64	115	2007
55	1	2	102	143	2008
56	1	1	69	90	2006
57	1	2	57	207	2009
58	2	1	80	0	2005
59	2	1	79	0	2003
60	1	1	64	197	2006
61	1	0	0	0	0
62	1	1	79	177	2007
63	1	2	107	161	2008
64	1	1	0	207	2009
65	1	2	64	80	2009
66	1	2	55	207	2009
67	1	1	0	80	2009
68	2	2	109	172	2005
69	2	2	109	172	2004
70	2	1	0	0	2004
71	1	2	65	81	2009
72	1	1	79	172	0
73	1	2	64	163	2008
74	1	1	78	173	2006
75	2	1	69	0	2005
76	1	2	115	72	2009
77	1	1	55	173	2006
78	1	2	80	158	2008
79	2	2	103	188	2005
80	2	1	64	174	2005
81	2	1	78	100	2005
82	2	1	0	0	2005
83	2	2	78	0	2005
84	1	1	105	135	2008
85	2	2	84	172	2005
86	1	2	78	172	2006
87	1	1	0	148	2008
88	1	2	79	134	2008
89	1	2	64	154	2006
90	1	2	76	114	2006
91	1	1	109	80	2009
92	1	2	109	132	2008
93	1	2	64	168	2006
94	1	1	69	177	2006
95	1	2	80	148	2008
96	5	0	0	0	0
97	2	1	54	0	2005
98	2	2	69	158	2002
99	1	2	80	152	2007
100	2	1	99	197	2004
101	1	1	0	69	2009
102	1	2	115	207	2009
103	3	2	64	78	0
104	1	2	69	139	2007
105	1	0	0	0	0
106	2	1	65	172	2005
107	2	1	69	0	2004
108	1	1	80	120	2006
109	1	2	81	156	2008
110	5	1	0	172	2007
111	1	1	81	172	2006
112	1	2	51	79	2009
113	2	0	0	0	0
114	5	1	84	172	0
115	1	1	65	180	2008
116	1	1	80	147	2007
117	1	2	80	72	2009
118	1	1	117	149	2007
119	1	1	57	136	2008
120	2	2	61	0	2004
121	5	0	0	0	0
122	1	0	0	0	0
123	2	1	70	172	2005
124	1	1	0	71	2009
125	2	2	77	0	2003
126	1	1	57	78	2009
127	1	2	64	138	2008
128	1	2	109	156	2008
129	1	2	102	131	2008
130	1	2	78	142	2007
131	1	1	115	76	2009
132	1	2	102	170	2007
133	1	1	0	207	2009
134	1	2	69	71	2008
135	2	2	69	0	2005
136	2	2	109	0	2005
137	1	0	0	141	2008
138	1	1	55	155	2008
139	1	1	109	149	2007
140	1	1	73	76	2009
141	2	1	73	0	2005
142	1	2	105	78	2009
143	1	1	0	72	2009
144	1	2	109	193	2006
145	1	1	64	77	2009
146	2	1	65	0	0
147	1	0	79	172	2006
148	1	1	0	75	2009
149	1	2	0	117	0
150	1	1	57	80	2009
151	2	2	55	133	2001
152	2	2	109	168	2004
153	1	2	64	112	2006
154	2	1	80	177	2005
155	1	2	57	172	2006
156	4	1	55	0	0
157	5	1	114	0	0
158	2	1	67	92	2005
159	1	2	79	172	2006
160	1	2	109	134	2006
161	1	2	109	133	2006
162	1	2	78	158	2006
163	5	1	81	172	2008
164	1	1	78	75	2009
165	1	2	55	81	2009
166	1	2	86	0	2005
167	1	1	73	193	2007
