id	status	gender	major	dorm	year
1	1	1	0	0	2009
2	1	1	146	252	2007
3	1	1	110	0	2007
4	1	1	122	0	2007
5	5	2	0	0	2004
6	1	1	146	255	2006
7	1	2	115	205	2006
8	1	0	0	0	0
9	1	1	148	0	2007
10	1	2	121	0	2006
11	1	1	114	0	2006
12	1	1	111	0	0
13	1	2	145	238	2006
14	1	0	0	0	0
15	2	1	163	0	2005
16	2	2	110	0	2004
17	1	2	157	0	2006
18	1	1	150	202	2007
19	1	1	146	203	2008
20	2	2	145	245	2004
21	2	0	150	0	2004
22	1	1	150	268	2009
23	1	2	0	216	2009
24	1	2	128	216	2009
25	2	2	120	0	2004
26	5	0	141	0	0
27	1	1	146	0	2007
28	1	2	141	211	2008
29	2	2	163	246	2005
30	2	2	157	234	2005
31	1	1	145	220	2009
32	5	2	0	0	2008
33	1	1	114	231	2006
34	1	1	140	0	2009
35	1	1	140	212	2009
36	5	1	155	0	0
37	1	2	0	208	2008
38	1	1	141	0	2006
39	1	1	150	255	2007
40	1	1	121	268	2009
41	1	1	0	219	2009
42	1	1	0	263	2009
43	1	1	145	204	2007
44	2	1	157	0	2004
45	1	1	111	0	2006
46	1	1	114	215	2009
47	1	1	114	252	2007
48	1	2	0	0	2008
49	1	1	138	249	2007
50	1	1	143	206	2008
51	1	2	138	0	2007
52	1	2	115	202	2006
53	1	1	141	249	2006
54	2	2	145	0	0
55	1	2	145	244	2007
56	2	1	114	0	2005
57	1	1	156	0	2006
58	5	2	164	0	2005
59	2	2	143	0	2005
60	1	1	114	208	2006
61	1	2	119	205	2008
62	2	1	130	0	2004
63	1	0	0	0	0
64	1	1	0	268	2009
65	1	1	150	202	2005
66	2	2	162	0	2003
67	1	2	146	265	2008
68	2	2	157	243	2004
69	1	1	0	208	2008
70	1	2	121	0	2007
71	1	2	159	203	2006
72	1	0	0	0	0
73	1	2	0	207	2007
74	1	1	0	209	2009
75	1	1	138	0	2007
76	1	0	0	0	0
77	1	0	0	0	0
78	1	1	146	271	2006
79	1	2	0	238	0
80	1	2	142	0	2006
81	2	2	121	237	2005
82	2	1	163	0	2005
83	2	2	157	0	2005
84	1	2	151	204	2008
85	1	0	0	0	0
86	1	0	0	0	0
87	1	1	0	255	2007
88	1	0	0	0	0
89	1	2	114	220	2009
90	2	1	114	0	2005
91	1	1	160	249	2006
92	1	1	0	211	2009
93	1	2	0	263	2008
94	2	0	0	0	0
95	1	1	152	268	2009
96	1	2	157	238	2007
97	2	1	145	202	2005
98	1	2	121	265	2009
99	1	2	146	241	2005
100	5	1	0	0	2006
101	1	1	123	204	2008
102	1	2	0	215	2008
103	1	2	139	0	2008
104	1	1	0	219	2009
105	2	2	157	0	2005
106	1	2	130	0	2006
107	2	1	110	0	2005
108	1	1	123	0	0
109	1	2	0	213	2009
110	2	1	152	252	2005
111	1	2	146	237	2006
112	2	2	160	0	2005
113	1	1	0	211	2008
114	1	1	159	265	2008
115	2	2	130	0	2004
116	1	1	154	0	0
117	1	1	142	0	2006
118	1	2	145	264	2009
119	1	2	145	238	2006
120	2	1	141	0	2004
121	2	2	145	239	2005
122	2	2	152	0	2003
123	1	1	0	211	2009
124	2	1	119	251	2005
125	2	1	130	0	2005
126	2	1	150	0	0
127	1	1	152	254	2007
128	1	1	124	204	2007
129	1	1	0	209	2009
130	2	2	122	0	2005
131	1	1	0	217	2009
132	2	2	0	0	2004
133	1	1	145	209	2008
134	1	1	145	0	2007
135	2	2	141	0	2004
136	1	1	139	231	0
137	1	1	160	268	2009
138	1	1	114	206	2008
139	1	1	144	0	2006
140	1	0	0	0	0
141	1	2	145	0	2006
142	1	1	142	220	2008
143	1	1	146	206	2007
144	1	2	0	215	2009
145	2	1	145	0	0
146	1	2	114	215	2009
147	1	1	114	0	2008
148	2	2	130	202	2005
149	1	1	0	0	2007
150	1	2	137	211	2008
151	2	2	157	0	2005
152	1	1	150	0	2006
153	5	1	0	0	2004
154	1	1	119	206	2008
155	1	2	0	263	2008
156	1	1	146	204	2007
157	1	1	159	213	2007
158	1	1	114	223	2006
159	1	2	157	244	2005
160	1	1	0	269	2009
161	2	2	125	0	2005
162	1	1	115	0	2007
163	1	2	121	241	2006
164	1	2	142	0	2007
165	1	1	141	208	2008
166	1	1	150	208	2008
167	1	2	159	243	2007
168	1	1	121	0	2006
169	1	1	146	263	2009
170	1	0	145	270	2007
171	1	0	0	0	2009
172	1	1	119	254	2007
173	1	1	114	213	0
174	1	1	114	219	2009
175	2	2	145	0	2005
176	5	2	108	202	2008
177	1	1	146	263	2007
178	1	1	0	249	2008
179	1	2	119	226	2007
180	2	2	143	0	2005
181	1	2	0	205	2008
182	2	2	124	231	2005
183	2	2	150	243	2005
184	1	1	140	207	2007
185	1	2	141	270	2007
186	1	2	123	267	2009
187	1	1	114	267	2008
188	2	0	0	0	0
189	1	1	123	0	2006
190	1	1	114	0	2009
191	1	1	142	210	2009
192	1	1	114	268	2009
193	2	2	130	0	2005
194	1	2	0	216	2009
195	1	2	162	213	2009
196	1	2	145	220	0
197	1	1	114	213	2009
198	2	2	130	246	2005
199	2	1	150	0	2005
200	1	1	146	0	2007
201	2	1	147	254	2005
202	1	1	145	213	2009
203	1	2	134	0	2006
204	1	2	145	209	2008
205	1	1	145	251	2005
206	2	1	146	0	2002
207	2	1	0	0	0
208	2	1	145	0	2004
209	2	1	0	0	2003
210	2	2	159	0	2004
211	1	1	0	211	2009
212	1	2	121	0	2006
213	1	1	145	212	2009
214	1	2	121	264	2008
215	1	1	114	0	2007
216	1	2	121	0	2005
217	1	1	0	0	2008
218	1	1	110	211	2009
219	1	2	130	265	2008
220	1	1	145	204	2007
221	2	1	122	202	2005
222	1	1	145	205	2008
223	1	1	136	254	2007
224	1	2	114	211	2009
225	1	1	123	0	2006
226	5	2	0	0	2006
227	1	2	163	220	2009
228	1	2	114	217	2008
229	1	2	121	216	2009
230	1	2	0	245	2008
231	1	1	0	212	2009
232	1	1	146	254	2007
233	2	1	163	249	2005
234	1	1	141	208	2008
235	1	1	145	252	2005
236	1	2	123	234	2006
237	1	1	141	207	2007
238	1	2	117	0	2005
239	1	1	157	202	2006
240	1	2	114	231	2007
241	2	2	160	234	2005
242	1	2	114	217	2009
243	1	2	157	0	2006
244	2	2	114	0	2004
245	1	1	146	202	2006
246	1	2	145	217	2009
247	1	2	157	208	2007
248	1	1	0	267	2008
249	2	1	121	0	2005
250	1	1	0	251	2008
251	1	1	114	202	2006
252	2	1	132	255	2005
253	1	1	121	208	2008
254	2	1	122	256	2003
255	2	1	124	0	2005
256	1	2	114	202	2007
257	1	2	0	213	2009
