id	status	gender	major	dorm	year
1	1	1	141	160	2006
2	1	1	130	0	2007
3	1	1	170	0	2009
4	1	1	133	63	2009
5	1	1	154	0	2006
6	1	1	149	106	2008
7	1	2	211	81	2006
8	1	1	142	110	0
9	1	1	243	160	2008
10	1	1	138	153	2009
11	1	0	118	0	2006
12	1	2	131	123	2008
13	1	2	254	62	2009
14	1	1	131	151	2008
15	1	1	144	0	2008
16	1	1	141	0	2007
17	1	2	216	124	2006
18	1	1	123	0	2007
19	1	2	145	0	2007
20	1	1	232	0	2007
21	1	2	118	111	2009
22	1	1	149	153	2009
23	1	1	248	63	2009
24	1	1	149	0	2009
25	1	2	185	0	2006
26	1	1	139	110	2008
27	1	1	131	152	2007
28	1	1	146	0	0
29	2	1	0	0	2005
30	1	2	234	71	2008
31	2	2	149	76	2005
32	1	2	145	0	2006
33	1	1	190	128	2006
34	1	1	178	90	2008
35	1	1	139	0	0
36	1	1	130	0	2006
37	1	2	157	66	2006
38	2	1	213	94	0
39	1	2	133	0	2006
40	1	2	157	123	2008
41	1	1	221	160	0
42	1	1	202	61	2008
43	1	2	200	0	0
44	1	1	196	0	2008
45	1	2	224	149	0
46	1	1	187	0	2007
47	1	1	211	0	2009
48	1	2	178	0	2005
49	2	0	207	0	0
50	1	2	119	0	2009
51	1	2	151	64	2009
52	1	2	228	59	2008
53	1	2	176	0	0
54	1	2	138	0	2008
55	5	1	139	0	0
56	1	1	178	99	2008
57	2	2	178	0	2004
58	1	0	140	119	2007
59	2	1	138	0	2003
60	2	1	207	0	2004
61	1	2	130	106	2008
62	1	0	147	0	0
63	1	2	207	83	2008
64	2	2	228	0	2005
65	1	1	118	92	0
66	1	1	141	64	2009
67	1	2	148	110	2005
68	1	1	213	176	2007
69	2	1	228	0	0
70	1	2	228	104	0
71	5	0	0	0	0
72	1	1	184	0	2009
73	1	2	170	165	2006
74	1	2	138	0	2007
75	1	2	149	152	2008
76	1	2	157	69	2006
77	1	1	149	63	2009
78	1	1	146	128	2008
79	1	1	202	104	2007
80	1	2	133	63	2008
81	1	1	133	126	2009
82	1	1	200	0	2006
83	1	1	180	160	2008
84	1	1	118	0	2006
85	5	1	250	0	2005
86	1	2	203	103	2009
87	1	2	159	0	0
88	2	2	148	0	2004
89	1	1	207	105	2009
90	1	1	181	0	0
91	1	1	157	0	2005
92	1	2	157	0	2006
93	1	1	146	53	2008
94	1	1	212	0	2008
95	1	1	188	146	2007
96	5	1	250	175	2008
97	1	1	0	0	2008
98	1	2	141	101	2006
99	1	1	192	0	0
100	1	2	200	119	0
101	1	1	157	148	2007
102	1	1	210	0	2006
103	1	1	207	65	2008
104	2	1	218	0	2005
105	1	1	187	124	2006
106	1	2	200	104	2006
107	1	0	0	0	0
108	1	2	149	78	2006
109	1	1	150	64	2008
110	1	2	207	114	2007
111	1	2	190	0	0
112	1	2	196	0	2004
113	1	1	190	61	2007
114	1	1	223	0	2009
115	1	1	200	0	2005
116	1	1	181	87	2006
117	1	1	223	61	0
118	2	1	154	0	2005
119	1	2	131	108	2010
120	1	2	200	63	2009
121	1	1	131	0	0
122	5	0	235	0	2006
123	1	1	207	63	2009
124	1	0	0	0	0
125	1	1	181	126	2006
126	1	1	146	97	2007
127	2	1	154	0	2005
128	1	2	176	0	2008
129	1	2	172	122	2005
130	1	1	149	65	2008
131	1	1	243	97	2007
132	1	1	241	104	2007
133	2	1	123	0	2005
134	1	1	0	65	2008
135	1	2	157	71	2008
136	2	1	157	90	2004
137	1	1	210	96	2008
138	1	2	141	148	2007
139	1	1	207	96	2007
140	1	1	138	0	0
141	2	1	139	0	2005
142	1	1	176	0	2006
143	1	1	150	174	2008
144	1	2	131	103	2007
145	1	2	0	0	0
146	1	1	241	62	2009
147	1	1	222	0	2008
148	1	1	241	122	2009
149	1	2	148	116	0
150	2	2	123	0	2005
151	2	1	149	0	2005
152	1	2	172	0	2005
153	1	1	171	0	2006
154	1	1	141	102	2005
155	1	1	199	0	2007
156	2	2	188	0	2005
157	1	1	161	101	0
158	1	2	0	73	2007
159	1	1	204	104	0
160	1	1	231	149	2009
161	2	2	235	0	2004
162	1	2	157	83	2006
163	1	1	170	146	2006
164	1	1	123	52	2009
165	1	1	149	124	2006
166	2	0	0	0	0
167	1	1	133	0	2008
168	2	1	235	0	2004
169	1	2	211	0	2006
170	1	2	131	113	0
171	1	2	141	0	2007
172	1	2	157	110	0
173	1	2	133	64	2009
174	1	2	134	166	2008
175	1	2	131	114	2006
176	1	1	207	51	2009
177	1	2	130	114	2009
178	2	1	157	0	2005
179	1	1	181	88	0
180	1	1	212	0	2006
181	1	1	235	0	2008
182	1	2	131	106	0
183	1	2	149	62	2009
184	1	1	0	63	2009
185	1	1	212	59	2009
186	1	1	234	156	2007
187	5	1	211	0	2005
188	1	1	178	180	2006
189	1	2	157	153	2009
190	1	2	145	0	2009
191	2	2	178	124	2005
192	1	2	207	0	2008
193	1	2	151	65	2008
194	1	1	178	0	2006
195	1	1	139	0	0
196	2	2	207	82	2005
197	1	1	181	89	2007
198	1	1	209	62	2009
199	2	2	235	0	2005
200	1	1	211	153	2009
201	1	0	0	95	2007
202	1	2	154	152	2006
203	1	1	146	59	2009
204	1	2	178	124	2009
205	1	1	143	0	0
206	1	1	202	0	2006
207	1	1	146	95	2008
208	2	0	0	0	0
209	2	2	157	76	2005
210	1	1	138	123	2008
211	1	1	232	123	2008
212	1	2	207	0	2005
213	1	1	138	62	2009
214	1	1	151	59	2009
215	1	2	157	75	2006
216	1	2	119	0	2006
217	5	1	235	0	2005
218	1	0	0	0	0
219	2	2	133	0	0
220	1	1	211	0	2005
221	2	1	181	99	2005
222	1	2	185	151	2008
223	5	2	133	126	2006
224	1	2	200	0	2006
225	1	2	166	0	2006
226	1	2	170	0	2006
227	1	1	180	0	2005
228	1	2	235	0	2007
