id	status	gender	major	dorm	year
1	1	1	0	0	2008
2	1	2	133	64	2009
3	1	2	156	71	2008
4	1	1	157	69	2009
5	1	1	157	67	2007
6	1	1	128	113	2007
7	1	1	0	70	2009
8	1	2	189	75	2008
9	1	0	0	65	0
10	1	2	189	60	2008
11	2	2	176	0	2004
12	2	1	165	0	0
13	1	2	0	73	2009
14	2	1	134	55	2005
15	1	2	151	0	2007
16	2	1	198	0	0
17	1	2	154	64	2009
18	1	1	158	0	2006
19	1	1	147	53	2007
20	1	1	140	106	2008
21	1	1	175	0	0
22	1	1	151	69	2009
23	5	1	118	0	2007
24	1	2	0	62	2008
25	1	1	154	68	2007
26	1	2	0	60	2008
27	1	2	174	0	2005
28	1	1	171	70	2009
29	1	0	167	74	2008
30	1	1	180	0	2006
31	1	2	178	0	2008
32	1	1	180	68	2008
33	1	2	143	119	2007
34	5	1	209	0	2004
35	1	2	179	114	2006
36	2	2	133	0	2003
37	1	1	134	53	2005
38	1	2	174	70	2008
39	1	2	133	0	2008
40	1	1	0	55	2008
41	1	2	122	0	0
42	1	1	135	0	2007
43	1	2	0	0	2007
44	1	2	189	0	2003
45	1	1	134	55	2007
46	1	1	0	0	2009
47	1	1	0	0	2008
48	5	2	140	0	2004
49	1	1	154	70	2009
50	1	2	189	70	2009
51	2	2	124	0	2004
52	1	1	0	67	2008
53	1	2	133	64	2009
54	1	1	197	0	2007
55	1	2	189	60	2008
56	1	2	143	0	2006
57	1	2	0	64	2009
58	1	1	173	61	2008
59	1	2	189	69	2009
60	2	0	0	0	0
61	1	2	140	67	2008
62	1	2	154	0	2007
63	2	1	128	0	2004
64	1	0	179	0	2007
65	1	1	218	75	2007
66	1	1	129	67	2006
67	1	2	216	51	2010
68	1	0	0	0	0
69	1	2	133	53	2005
70	1	1	154	106	2007
71	1	2	189	68	2008
72	2	1	178	0	2005
73	1	2	189	86	2006
74	5	2	223	0	2007
75	1	1	189	77	2008
76	1	1	120	0	2007
77	1	1	161	67	2007
78	1	1	130	0	0
79	1	1	135	80	2007
80	1	1	0	63	2008
81	1	2	179	66	2008
82	1	2	211	62	2009
83	1	1	0	77	2008
84	1	1	151	51	2006
85	1	1	157	66	2008
86	5	2	0	0	0
87	1	2	180	51	2005
88	2	1	167	0	0
89	1	0	0	0	0
90	1	1	161	68	2008
91	1	2	206	0	2008
92	1	1	154	0	2007
93	1	1	128	81	2008
94	1	1	168	108	2008
95	2	2	189	0	2005
96	2	2	174	0	0
97	1	1	119	0	2006
98	2	1	189	67	2005
99	1	1	0	70	2009
100	1	1	222	0	2008
101	1	2	130	62	2008
102	1	2	210	53	2006
103	1	1	0	71	2008
104	1	1	0	70	2009
105	1	2	174	0	2005
106	1	1	189	71	2008
107	5	2	222	0	2007
108	1	1	171	64	2009
109	1	1	180	0	0
110	1	1	189	0	2004
111	2	2	189	0	1999
112	1	1	154	53	2006
113	1	2	210	115	2005
114	1	0	0	0	0
