id	status	gender	major	dorm	year
1	2	2	23	83	2005
2	1	1	0	74	0
3	1	1	78	77	2008
4	1	2	41	82	2006
5	2	2	23	75	2004
6	1	2	89	83	2007
7	2	2	0	83	2005
8	1	1	51	71	2004
9	5	0	0	0	0
10	2	2	25	0	2004
11	2	2	23	0	2002
12	1	1	0	0	0
13	1	0	0	0	0
14	4	2	0	0	0
15	1	1	26	71	2008
16	2	2	67	83	2005
17	1	2	95	79	2005
18	2	1	23	0	2005
19	1	1	23	70	2008
20	2	2	23	81	2003
21	1	2	42	83	2006
22	1	1	10	70	2009
23	1	2	37	73	2008
24	2	1	42	0	2005
25	1	1	30	70	2008
26	1	1	33	83	2006
27	1	0	0	0	0
28	1	2	42	71	2008
29	2	1	78	0	2005
30	1	1	38	83	2006
31	2	2	0	0	2005
32	2	2	55	82	2004
33	2	1	27	80	2005
34	2	2	23	0	2005
35	1	1	20	73	2008
36	5	2	0	83	0
37	1	1	77	72	2007
38	1	1	0	75	2007
39	1	2	17	83	2006
40	1	2	27	71	2009
41	2	2	23	0	2005
42	2	2	52	81	2004
43	1	1	38	76	2008
44	1	2	23	77	2008
45	1	2	42	70	2009
46	1	1	42	72	2007
47	2	2	75	83	2005
48	2	2	42	83	2005
49	2	2	21	69	2000
50	1	1	42	69	2009
51	1	2	23	75	2007
52	2	0	0	0	0
53	2	2	53	0	2003
54	1	0	22	83	2006
55	1	1	53	83	2006
56	1	2	3	74	2009
57	1	1	4	76	2007
58	2	2	23	82	2005
59	1	2	37	73	2006
60	1	2	95	74	2009
61	1	0	95	73	2008
62	2	1	4	83	2005
63	2	0	42	0	2005
64	1	2	23	73	2008
65	2	2	45	0	2005
66	1	2	42	74	2009
67	2	1	38	0	2005
68	2	2	21	83	2005
69	2	1	20	0	2004
70	2	2	42	83	2004
71	4	1	78	0	0
72	2	1	53	0	2003
73	2	2	27	0	2004
74	2	0	0	0	0
75	1	1	52	83	2006
76	1	1	0	73	2008
77	1	2	23	81	2006
78	2	2	0	83	2005
79	1	2	42	79	2008
80	2	2	23	0	2005
81	1	1	33	83	2006
82	1	2	30	75	2008
83	1	2	27	0	2007
84	1	2	0	69	2009
85	2	1	38	0	2004
86	2	0	23	0	2005
87	1	1	71	72	2005
88	2	1	0	0	2004
89	1	2	88	75	2008
90	1	1	0	76	2008
91	1	1	33	70	2009
92	1	2	27	70	2009
93	1	1	48	71	2008
94	1	2	27	81	0
95	1	0	32	83	2006
96	5	0	0	0	0
97	2	2	70	80	2005
98	1	1	0	0	2008
99	2	0	0	0	0
100	4	1	0	0	0
101	1	2	7	70	2009
102	2	1	2	83	2005
103	2	2	76	83	2005
104	2	0	68	0	2005
105	2	1	61	0	2005
106	4	2	0	0	0
107	2	1	68	0	2005
108	2	2	75	83	2005
109	1	2	42	71	2008
110	1	2	27	83	2006
111	1	2	23	83	2007
112	2	2	52	80	2005
113	2	0	21	0	2004
114	2	1	30	0	2005
115	5	1	0	0	2008
116	1	1	21	81	2006
117	1	2	0	74	2009
118	1	2	0	69	2009
119	1	2	23	83	2005
120	1	2	27	78	2008
121	1	1	0	69	2008
122	1	1	24	69	2009
123	1	1	0	80	2006
124	1	0	53	75	2006
125	1	1	95	69	2009
126	1	2	27	77	2008
127	1	2	7	71	2008
