id	status	gender	major	dorm	year
1	1	2	0	332	2009
2	1	2	129	335	2007
3	1	1	129	347	2006
4	1	1	135	333	2007
5	2	2	118	0	2005
6	2	2	122	0	2005
7	1	1	117	341	2009
8	1	1	122	345	2006
9	1	0	138	0	2007
10	1	1	0	340	2008
11	1	2	0	335	2008
12	1	1	0	333	2008
13	1	2	118	337	2006
14	2	2	129	0	2005
15	1	1	0	0	2006
16	2	1	117	337	2005
17	1	2	99	346	2008
18	1	2	108	341	2009
19	1	2	122	341	2007
20	1	1	122	339	2008
21	1	2	115	332	2007
22	1	1	122	333	2007
23	1	0	0	0	0
24	5	2	0	0	0
25	2	2	118	349	2005
26	1	1	125	339	2008
27	2	1	0	0	0
28	1	0	118	336	2006
29	1	2	0	341	2008
30	1	1	129	338	2009
31	1	1	97	0	2009
32	1	1	95	328	2008
33	1	2	108	0	2007
34	1	1	108	0	2007
35	2	0	129	0	2005
36	1	2	128	338	2009
37	1	1	122	343	2006
38	1	2	0	334	2008
39	1	2	95	338	2009
40	2	1	137	0	2005
41	1	2	117	339	2007
42	1	1	0	341	2008
43	1	2	0	338	2009
44	1	2	108	0	2007
45	1	1	105	345	2006
46	1	1	0	332	2009
47	1	2	108	334	2007
48	1	0	135	333	2007
49	1	1	125	0	2007
50	1	1	97	334	2007
51	1	1	122	337	2007
52	1	2	97	337	2006
53	1	1	0	0	2009
54	1	2	0	0	0
55	1	2	97	341	2009
56	1	1	106	335	2008
57	1	2	117	0	2006
58	1	2	108	328	2009
59	1	2	130	345	2007
60	1	2	130	0	0
61	1	2	117	348	2007
62	1	1	0	335	2008
63	2	0	117	0	2005
64	1	1	125	337	2006
65	1	1	125	339	2007
66	1	1	97	341	2007
67	1	1	0	335	2008
68	1	1	0	0	2009
69	1	1	125	333	2006
70	1	1	102	341	2009
71	1	2	110	333	2007
72	1	1	97	0	2007
73	2	1	101	348	2004
74	1	2	108	0	2007
75	1	2	110	335	2007
76	1	1	115	336	2009
77	1	1	96	341	2006
78	1	1	103	334	2004
79	1	1	0	340	2007
80	1	2	108	343	2006
81	1	1	129	341	2008
82	1	1	0	351	2009
83	2	1	138	345	2005
84	2	2	117	332	1969
85	1	1	122	343	2006
86	1	1	108	345	2007
87	1	1	117	0	2007
88	1	2	119	352	2006
89	1	2	0	335	2008
90	1	2	117	333	2005
91	1	0	93	0	2005
92	1	1	119	347	2006
93	2	1	122	0	2004
94	2	0	129	0	0
95	1	2	130	335	2007
96	1	2	127	0	2006
97	1	1	0	341	2009
98	5	2	0	0	0
99	1	1	0	351	2009
100	1	0	0	0	0
101	1	1	127	0	2006
102	1	1	117	335	2008
103	1	2	117	336	2008
104	1	1	97	334	2007
105	2	1	94	0	0
106	1	0	0	346	2008
107	1	1	138	0	2006
108	1	2	0	341	2009
109	2	1	129	0	2004
110	1	2	0	335	2008
111	1	2	99	351	2008
112	1	2	118	0	2006
113	1	2	117	333	2008
114	1	0	0	0	0
115	1	2	127	344	2009
116	5	2	90	341	2008
117	1	1	110	334	2008
118	1	1	0	0	2009
119	1	1	110	333	2008
120	1	2	102	339	2007
121	1	2	122	341	2009
122	1	1	115	340	2006
123	1	1	0	348	2009
124	1	2	133	349	2006
125	1	2	128	344	2008
126	1	0	108	346	0
127	1	1	90	0	2007
128	1	1	0	348	2009
129	1	2	97	336	0
130	2	1	110	345	2005
131	1	1	129	0	2006
132	2	1	110	0	2002
133	2	1	134	0	2005
134	2	1	117	0	2004
135	1	1	133	335	2006
136	1	2	108	348	2006
137	1	1	97	347	2006
138	1	1	0	330	2008
139	2	1	133	0	2005
140	2	1	108	349	2005
141	1	1	97	341	2008
142	1	1	133	342	2007
143	1	1	108	341	2006
144	1	1	118	330	2009
145	1	2	99	338	2009
146	1	1	110	341	2008
147	2	1	97	349	2005
148	1	1	125	348	2006
149	2	1	103	0	2005
150	1	2	0	341	2009
151	1	2	97	332	2009
152	2	1	129	347	2004
153	1	2	0	336	2009
154	2	1	105	0	2005
155	1	2	0	334	2006
156	2	2	108	0	2005
157	1	2	129	337	2006
158	1	2	0	344	2009
159	5	1	130	345	2007
160	2	2	108	337	2005
161	1	1	97	333	2007
162	1	2	115	352	2006
163	2	1	117	0	2005
164	1	2	128	0	2009
165	4	2	112	0	0
166	1	1	97	335	2008
167	1	1	0	344	2009
168	1	2	118	330	2009
169	2	1	117	0	2004
170	1	0	0	0	0
171	1	1	0	338	2009
172	1	1	119	0	2007
173	1	2	129	0	2007
174	6	2	117	331	2005
175	1	2	96	331	2008
176	1	1	0	341	2007
177	1	0	0	0	2008
178	1	2	127	344	2009
179	1	1	110	344	2009
180	1	0	92	333	2007
181	1	0	0	0	0
182	1	2	0	341	2009
183	1	1	91	343	2006
184	2	1	0	0	2004
185	1	1	127	341	2009
186	3	2	118	0	0
187	2	1	122	0	2005
188	1	2	117	343	2007
189	1	1	0	333	2008
190	2	2	110	0	2005
191	1	1	97	344	2008
192	1	1	125	351	2007
193	1	1	93	348	2007
194	2	0	131	0	2004
195	1	2	0	341	2009
196	1	1	134	340	2006
197	2	1	103	0	2005
198	1	1	0	338	2009
199	4	0	0	0	0
200	1	1	104	344	2008
201	1	2	113	339	2008
202	1	1	0	341	2008
203	2	1	134	0	2003
204	1	2	0	331	2008
205	1	1	100	338	2009
206	2	1	108	0	2003
207	2	0	0	0	0
208	2	2	0	0	2004
209	2	1	117	0	2005
210	1	1	129	333	2007
211	2	2	130	347	2005
212	1	1	105	343	2007
213	1	1	0	0	2008
214	1	2	117	348	2008
215	1	1	0	0	2006
216	1	1	124	347	2006
217	2	1	129	0	2005
218	1	2	93	332	2009
219	1	1	108	348	2009
220	2	2	108	352	2005
221	1	2	122	334	2006
222	1	2	128	341	2009
223	1	2	108	340	2006
224	1	1	102	0	2005
225	1	0	0	0	0
226	1	2	102	0	2005
227	1	1	129	337	2006
228	1	2	108	347	2008
229	1	1	0	351	2009
230	1	2	0	0	0
231	1	1	0	328	2009
232	2	2	130	337	2005
233	1	1	117	328	2008
234	1	1	137	330	2006
235	1	2	138	341	2008
236	1	2	97	347	2006
237	2	2	104	0	2003
238	1	1	138	0	2006
239	1	1	0	340	2008
240	1	1	125	335	2005
241	1	1	92	334	2008
242	1	2	0	336	2008
243	1	1	0	336	2009
244	1	2	117	335	2007
245	1	2	107	348	2007
246	1	2	108	348	2007
247	1	2	0	335	2008
248	1	0	138	0	0
249	2	1	122	0	2003
250	1	2	127	342	2006
251	1	1	134	341	2006
252	1	1	90	328	2006
253	1	2	135	0	0
254	1	1	118	335	2007
255	1	1	0	350	2008
256	1	1	93	346	2005
257	2	2	127	0	2004
258	1	2	110	332	2008
259	1	1	122	347	2006
260	1	2	138	0	2006
261	2	0	0	0	0
262	1	1	96	338	2009
263	2	2	130	0	2005
264	1	2	138	349	2006
265	1	2	108	339	2007
266	1	1	0	341	2008
267	1	1	0	341	2009
268	1	1	125	334	2006
269	2	1	137	0	2005
270	1	1	92	334	2006
271	1	1	108	337	2005
272	1	2	129	341	2009
273	1	2	0	339	2008
274	1	2	0	335	2008
275	1	1	117	0	2007
276	2	0	0	0	0
277	1	2	108	350	2006
278	1	2	0	341	2009
279	1	2	104	333	2006
280	2	1	117	0	2005
281	1	1	92	333	2006
282	1	1	109	335	2007
283	1	2	117	0	2007
284	1	2	108	343	2005
285	1	1	114	332	2006
286	1	0	0	0	0
287	1	2	0	348	2008
288	2	1	0	0	2000
289	1	2	117	0	2007
290	1	2	122	344	2006
291	2	2	99	0	2004
292	1	0	0	0	0
293	1	2	112	0	2009
294	2	1	106	0	2004
295	2	2	0	0	2004
296	1	0	0	0	0
297	2	1	0	0	2004
298	1	2	0	341	2009
299	2	1	129	0	2005
300	1	1	97	0	2006
