id	status	gender	major	dorm	year
1	2	2	56	0	0
2	2	1	36	9	2002
3	1	1	5	8	2007
4	2	2	15	3	2003
5	1	2	19	0	0
6	1	0	0	0	0
7	1	1	37	23	2008
8	2	1	15	6	2005
9	2	1	0	8	2004
10	2	2	10	2	2005
11	2	2	40	2	1974
12	4	0	0	0	0
13	1	0	3	3	2008
14	2	2	3	8	2004
15	5	1	19	0	2006
16	2	1	2	27	2003
17	1	2	25	22	2008
18	1	1	31	27	2007
19	2	1	13	27	2005
20	5	2	42	0	2006
21	2	1	31	11	2004
22	1	2	13	9	2006
23	2	1	33	4	2004
24	2	0	0	0	0
25	2	0	29	11	2002
26	2	0	6	4	2002
27	2	1	21	4	2002
28	1	1	40	7	2006
29	1	2	13	5	2007
30	2	1	15	6	2005
31	1	0	0	0	0
32	2	2	0	0	2004
33	2	2	29	8	1998
34	2	1	39	1	2004
35	1	2	0	29	2009
36	1	1	33	10	2008
37	2	1	2	0	0
38	2	1	22	9	2003
39	2	0	0	0	0
40	1	1	31	3	2007
41	2	2	20	11	2003
42	2	1	14	1	2004
43	1	2	14	15	2008
44	1	2	15	9	2008
45	2	2	6	3	2003
46	2	1	20	7	2000
47	1	2	5	29	2010
48	1	2	21	1	2006
49	1	1	27	13	2009
50	2	2	0	9	2003
51	1	1	40	22	2009
52	1	1	6	5	2007
53	1	2	33	3	2007
54	2	1	13	27	2002
55	2	1	0	8	2004
56	2	2	5	10	1999
57	4	1	0	0	0
58	1	2	36	29	2009
59	1	1	0	16	2009
60	2	2	13	0	2005
61	1	1	25	11	2006
62	1	2	5	3	2006
63	4	2	10	0	0
64	5	2	53	0	2007
65	2	0	20	27	2004
66	4	0	0	0	0
67	1	0	15	2	2006
68	1	2	29	4	2007
69	1	0	0	0	0
70	1	0	36	2	0
71	1	0	0	0	0
72	2	2	40	7	2005
73	1	2	0	30	0
74	5	2	33	0	0
75	2	2	13	27	2003
76	1	1	0	15	2009
77	1	2	13	3	2007
78	2	1	19	27	2003
79	1	1	31	4	2008
80	2	0	0	0	2004
81	5	0	0	0	0
82	1	2	0	9	2006
83	2	1	36	6	2001
84	1	1	36	4	2008
85	1	2	3	29	2009
86	2	1	13	1	2001
87	5	2	0	0	2006
88	1	0	22	30	2006
89	6	0	0	0	0
90	1	2	40	8	2005
91	1	1	0	16	2009
92	2	0	28	9	1995
93	1	1	5	10	2008
94	1	0	0	0	0
95	1	0	0	0	0
96	1	0	19	0	0
97	1	1	19	15	2009
98	5	0	0	0	0
99	2	1	21	6	2003
100	1	2	41	24	2009
101	1	1	26	5	2006
102	1	2	5	0	0
103	1	1	13	1	2006
104	2	2	5	4	2004
105	1	1	15	4	2006
106	1	0	13	2	2006
107	1	1	0	29	2009
108	1	1	0	7	2008
109	1	2	13	4	2008
110	2	2	0	8	2004
111	1	1	0	15	2008
112	1	2	6	15	2009
113	1	0	0	0	0
114	1	1	25	5	2006
115	2	1	33	1	2003
116	1	2	14	27	2005
117	1	2	0	14	2009
118	2	1	22	9	2002
119	2	2	10	10	2004
120	2	2	20	7	2005
121	2	2	3	7	2003
122	2	2	13	11	2005
123	2	2	31	0	2004
124	1	2	13	5	2007
125	1	2	7	12	2010
126	2	1	33	1	2005
127	2	1	40	5	2005
128	2	0	0	0	0
129	2	2	19	9	2001
130	1	1	0	15	2008
131	1	1	6	1	2007
132	1	1	31	2	2006
133	1	0	36	0	2005
134	2	2	12	4	2004
135	2	1	40	9	2002
136	2	2	20	7	2005
137	2	2	10	8	2003
138	2	2	21	8	2004
139	2	2	7	27	2002
140	1	2	19	0	2006
141	2	1	19	8	2004
142	5	0	0	0	0
143	2	2	16	8	2000
144	2	2	19	6	2004
145	2	2	19	9	2004
146	2	1	22	27	2003
147	1	1	5	28	2009
148	1	2	48	11	2007
149	2	2	6	7	2004
150	1	2	6	6	2006
151	2	2	3	9	2004
152	2	1	36	4	2003
153	2	2	5	1	2004
154	2	2	17	11	2003
155	1	0	33	7	2007
156	1	2	20	0	2007
157	1	1	25	0	0
158	1	0	0	0	0
159	2	0	33	4	2001
160	2	2	31	27	2004
161	5	0	0	0	0
162	1	2	13	2	2008
163	1	1	13	11	0
164	3	2	27	0	0
165	2	1	36	27	2005
166	1	2	6	12	2009
167	1	2	19	15	0
168	1	0	0	0	0
169	1	0	0	0	0
170	1	1	21	6	2006
171	2	2	32	0	2004
172	5	0	51	0	2006
173	2	1	21	27	2003
174	2	1	0	1	2005
175	1	2	0	28	2008
176	2	2	10	4	2004
177	2	0	0	0	0
178	1	1	5	7	2008
179	1	2	19	9	2007
180	1	2	13	17	2009
181	1	1	13	7	2008
182	2	0	0	0	0
183	5	2	39	30	2008
184	2	1	3	1	2005
185	2	1	23	6	2005
186	2	2	10	6	2004
187	1	2	19	27	2006
188	2	2	31	11	2004
189	5	2	0	0	0
190	5	1	17	0	2007
191	2	2	0	9	2001
192	1	1	3	2	2006
193	3	1	14	10	2007
194	5	2	30	0	0
195	1	0	30	11	2008
196	1	0	0	0	0
197	2	2	19	27	2003
198	1	2	15	27	2006
199	2	2	2	7	1969
