id	status	gender	major	dorm	year
1	2	1	264	0	0
2	2	0	263	0	2005
3	1	1	263	92	2008
4	1	1	240	89	2007
5	1	1	277	88	2007
6	1	2	247	92	2009
7	2	0	252	0	2004
8	2	1	240	0	2005
9	1	1	236	0	2007
10	1	2	0	87	2009
11	1	1	279	97	2008
12	2	2	273	0	2004
13	1	0	0	92	0
14	1	1	240	91	2009
15	1	2	285	91	2008
16	1	2	0	92	2008
17	1	1	283	92	2008
18	1	2	272	96	2006
19	1	2	249	92	2006
20	1	2	0	92	2008
21	1	2	279	92	2007
22	1	2	279	97	2007
23	1	1	240	87	2009
24	1	1	282	87	2009
25	2	1	240	0	2005
26	1	1	259	95	2006
27	1	2	263	92	2008
28	1	1	240	96	2006
29	1	0	0	0	0
30	1	2	288	0	2007
31	1	0	0	0	0
32	1	2	249	90	2006
33	1	2	0	0	2006
34	1	2	241	92	2007
35	1	1	240	87	2008
36	1	1	279	92	2005
37	2	2	260	0	2005
38	2	1	241	0	2005
39	1	2	275	92	2008
40	1	2	249	0	2006
41	1	2	282	92	2008
42	1	1	0	96	2006
43	1	2	246	98	2007
44	1	1	281	0	2007
45	1	2	249	0	2005
46	1	1	287	91	2008
47	1	1	282	87	2009
48	1	2	277	87	2007
49	2	2	236	92	2005
50	1	1	279	96	2006
51	1	1	287	96	2006
52	3	2	278	0	0
53	2	1	249	92	2004
54	1	1	275	87	2009
55	1	1	252	96	2005
56	1	1	240	0	2006
57	1	2	238	92	2009
58	1	1	240	92	2006
59	2	2	273	96	2004
60	2	2	240	0	2004
61	1	1	285	0	2006
62	1	1	283	0	2005
63	1	2	241	90	2008
64	2	2	249	95	2005
65	4	2	0	0	0
66	1	1	0	0	2008
67	2	1	287	0	2005
68	1	2	0	92	2009
69	1	2	244	96	2006
70	1	1	237	91	2009
71	1	2	273	89	2006
72	1	2	0	92	2008
73	2	2	274	0	2004
74	2	1	287	0	2004
75	1	2	246	92	2009
76	2	1	279	0	2005
77	1	2	249	88	2006
78	1	1	264	96	2005
79	1	2	252	92	2007
80	1	2	0	92	2008
81	2	1	283	0	2003
82	1	2	0	92	2009
83	2	1	252	0	2005
84	1	2	252	89	2006
85	2	2	0	0	2000
86	1	1	278	92	2007
87	1	1	252	92	2009
88	1	2	241	92	2007
89	1	1	263	92	2006
90	1	2	273	92	2009
91	2	2	273	0	2005
92	1	2	273	92	2006
93	1	2	249	90	2005
94	1	1	283	92	2006
95	1	1	263	92	2007
96	1	2	236	89	2007
97	1	2	0	87	2009
98	1	1	241	0	2006
99	1	2	283	87	2008
100	1	1	240	95	2006
101	1	1	279	92	2006
102	2	1	0	0	2005
103	1	0	0	0	0
104	2	2	245	0	2005
105	1	2	252	0	2006
106	1	0	0	0	0
107	1	2	0	87	2009
108	1	1	252	91	2009
109	1	2	284	92	2007
110	2	2	277	0	2003
111	1	2	249	92	2009
112	1	2	278	97	2007
113	1	1	282	0	2008
114	1	1	263	96	2006
115	1	1	238	92	2009
116	1	2	252	89	2006
117	1	2	252	91	2009
118	1	1	240	91	2009
119	1	1	240	96	2007
120	1	2	240	91	2007
121	1	2	249	0	2006
122	1	2	282	92	2007
123	1	2	0	87	2008
124	1	2	263	93	2008
