id	status	gender	major	dorm	year
1	1	2	275	86	2008
2	1	0	0	0	0
3	2	2	249	94	2005
4	2	2	238	0	2004
5	2	0	271	0	2005
6	1	1	0	97	2008
7	1	2	274	86	2008
8	1	2	237	93	2009
9	1	1	273	0	2007
10	2	1	237	112	2005
11	1	2	266	97	2007
12	1	2	281	0	2006
13	5	1	296	98	2008
14	2	2	274	0	2004
15	1	1	298	0	2006
16	1	1	247	91	2009
17	1	1	268	0	2008
18	1	1	250	94	2006
19	1	1	283	0	2008
20	1	1	283	97	2008
21	1	2	243	95	2009
22	1	1	250	98	2006
23	1	1	248	92	2009
24	1	1	263	90	2009
25	1	1	245	99	2007
26	1	0	0	0	0
27	1	1	237	92	2009
28	1	2	286	97	2008
29	1	2	288	98	2007
30	1	1	254	94	2007
31	1	0	0	0	0
32	1	1	299	94	2006
33	1	2	237	93	2009
34	1	1	250	0	2007
35	2	1	237	0	2004
36	1	1	296	91	2009
37	1	2	252	86	2008
38	1	1	283	0	2005
39	1	2	249	94	2006
40	1	1	0	90	2008
41	1	1	298	0	2007
42	1	1	250	94	2007
43	1	1	271	89	2008
44	1	2	275	94	2007
45	1	1	283	94	2006
46	1	1	267	98	2006
47	5	1	0	0	2007
48	5	1	296	0	2007
49	1	2	247	96	2008
50	1	1	245	94	2006
51	1	2	292	97	2008
52	1	1	250	95	2008
53	1	1	261	0	2006
54	1	1	290	0	2007
55	5	2	296	0	2006
56	1	2	268	0	2008
57	1	1	276	113	2007
58	1	1	245	97	2007
59	1	1	249	98	2007
60	1	1	261	94	2007
61	5	1	0	98	2008
62	1	0	0	0	0
63	1	2	285	0	2006
64	1	0	0	0	0
65	2	1	286	107	2005
66	2	1	272	94	2005
67	1	1	283	0	2006
68	1	1	248	92	2009
69	1	1	237	0	2006
70	1	1	0	98	0
71	2	2	249	0	2005
72	1	1	283	92	2009
73	1	2	237	97	2008
74	1	2	250	96	2007
75	1	1	239	92	2008
76	1	1	249	92	2008
77	1	2	0	0	0
78	1	1	271	102	2006
79	1	2	0	86	2008
80	1	1	283	97	2008
81	1	1	297	97	2008
82	1	1	249	91	2009
83	1	1	252	96	2006
84	1	1	276	98	2006
85	1	1	298	98	2006
86	1	1	0	0	2006
87	1	2	277	94	2007
88	1	2	248	96	2008
89	1	1	297	87	2009
90	1	1	248	94	2007
91	1	2	254	94	2007
92	5	1	296	0	2007
93	2	2	298	0	2005
94	1	1	250	0	2007
95	1	1	266	94	0
96	1	1	237	0	2006
97	1	1	0	98	2008
98	1	1	280	92	2009
99	1	2	274	0	2006
100	1	0	246	0	2007
101	1	2	250	0	2007
102	1	1	249	94	2007
103	1	1	277	0	2007
104	5	2	297	98	2009
105	1	1	245	0	2007
106	1	2	250	0	2008
107	1	1	237	95	2007
108	1	1	237	0	2006
109	2	2	278	0	2005
110	1	1	247	92	2008
111	1	2	249	97	2008
112	1	2	272	86	2009
113	1	1	284	97	2008
114	1	1	298	0	2007
115	1	1	272	94	2006
116	1	1	248	102	2006
117	1	2	237	98	2007
118	1	2	275	96	2008
119	1	1	249	0	2005
120	1	1	250	92	2007
121	2	1	259	107	2004
122	1	1	298	92	2009
123	1	2	249	97	2008
124	1	1	250	0	2006
125	1	1	283	98	2007
126	1	1	268	97	2008
127	1	2	280	86	2008
128	1	1	299	94	2006
129	1	2	250	0	2005
130	2	2	278	0	2005
131	1	1	288	92	2008
132	1	1	297	89	2009
133	1	2	272	93	2009
134	2	0	0	0	0
135	2	1	296	91	2004
136	1	1	237	96	2007
137	1	1	245	0	2008
138	1	2	293	97	2009
139	1	1	294	0	2007
140	1	1	249	94	2006
141	2	1	237	0	2005
142	1	0	0	0	0
143	2	2	236	0	2004
144	1	1	243	94	2007
145	1	1	299	94	2006
146	1	1	237	90	2008
147	1	2	250	0	2006
148	1	1	238	92	2009
149	1	1	268	92	2008
150	5	2	297	98	2009
151	1	1	237	92	2008
152	1	2	249	0	2009
153	1	1	291	0	2006
154	1	2	255	0	0
155	1	2	244	0	0
156	1	1	250	94	2007
157	1	2	289	0	0
158	1	1	291	92	2008
159	2	2	247	94	2004
160	1	1	250	0	2006
161	1	2	250	0	2007
162	1	1	248	0	2006
163	1	1	237	95	2008
164	2	1	261	0	2005
165	1	1	290	0	2007
166	1	2	285	94	2006
167	1	2	237	94	2006
168	1	1	297	96	2008
169	1	1	250	94	2007
170	2	1	0	0	2004
171	1	1	248	0	2006
172	1	0	271	0	2006
173	1	1	277	96	2007
174	1	1	296	0	2006
175	1	1	0	102	2006
176	1	2	0	109	2007
177	1	1	299	97	2008
178	1	2	288	94	2008
179	1	1	285	0	2005
180	1	1	238	92	2009
181	2	1	288	98	2005
182	1	1	277	0	2006
183	1	1	0	97	2006
184	1	2	272	86	2009
185	1	1	275	0	0
186	1	2	272	0	2006
187	1	2	246	95	2008
188	1	1	252	91	2008
189	1	1	247	88	2009
190	1	1	0	92	2008
191	1	1	243	0	2006
192	1	2	260	94	2006
193	1	2	278	97	2005
194	1	1	243	94	2007
195	2	1	0	98	2004
196	1	2	283	0	2006
197	2	1	0	0	2003
198	1	1	277	92	2009
199	1	1	237	94	2006
200	1	2	246	95	0
201	2	1	245	102	2005
202	1	2	292	98	0
203	1	1	275	0	2007
204	1	1	268	95	2008
205	2	1	274	94	2004
206	1	0	0	0	0
207	1	1	261	112	2005
208	1	2	237	94	2006
209	1	1	0	0	0
210	1	1	271	98	2007
211	1	2	297	86	2009
212	1	2	238	95	2009
213	1	2	237	0	2006
214	1	2	250	0	2007
215	4	0	0	0	0
216	1	2	283	86	2009
217	1	2	267	97	2007
218	1	2	249	86	2009
219	2	1	0	107	2004
220	1	1	250	92	2009
221	1	2	297	0	2004
222	2	1	250	0	2005
223	1	0	0	0	0
224	1	1	249	89	2009
225	1	1	0	96	2008
226	1	1	245	0	2007
227	1	1	275	97	2008
228	2	2	296	0	2005
229	1	2	237	93	2009
230	2	0	0	0	0
231	1	1	247	0	2006
232	1	1	270	92	2008
233	1	1	249	97	2008
234	2	2	276	0	2005
235	1	1	245	0	2008
236	1	1	285	0	2006
237	1	2	275	97	2008
238	2	1	0	107	2004
239	1	1	276	97	2008
240	1	2	274	93	2008
241	1	1	270	95	2008
242	1	1	274	92	2009
243	1	1	291	87	2009
244	2	1	271	98	2005
245	1	1	238	94	2007
