id	status	gender	major	dorm	year
1	1	1	308	0	2006
2	1	2	248	0	2006
3	1	2	319	94	2007
4	1	2	0	0	2006
5	2	2	316	0	2005
6	1	1	0	0	2005
7	1	1	308	174	2006
8	1	1	340	148	2007
9	1	1	368	0	2007
10	1	2	0	174	2007
11	1	1	251	88	2009
12	1	1	374	0	2007
13	2	2	0	109	2005
14	1	1	0	0	2008
15	1	2	249	90	2009
16	1	1	287	0	2007
17	1	2	328	0	2006
18	1	1	316	0	2006
19	1	2	316	0	2006
20	1	1	342	0	2005
21	1	2	266	89	2009
22	1	2	316	0	2004
23	1	2	0	0	2009
24	1	2	262	0	2008
25	1	1	316	145	2006
26	2	2	256	0	2003
27	1	1	242	175	0
28	1	1	283	86	2009
29	1	2	285	89	2009
30	1	2	262	96	2006
31	1	1	355	0	2008
32	1	2	365	0	2005
33	1	1	304	94	2008
34	1	0	315	0	2007
35	2	2	327	127	2005
36	1	1	275	135	2008
37	1	2	372	0	2008
38	1	1	249	95	2009
39	2	2	237	0	2005
40	1	1	284	141	2006
41	1	1	276	175	2006
42	1	1	275	92	2009
43	1	2	277	0	2007
44	1	0	0	0	0
45	1	1	266	0	2007
46	1	1	327	0	2006
47	2	1	308	0	2005
48	1	2	266	0	2008
49	1	2	284	108	2006
50	5	2	385	0	2008
51	1	2	298	0	2005
52	1	0	342	0	2007
53	1	1	308	94	2009
54	1	1	365	89	2009
55	2	1	316	0	2005
56	1	1	275	0	2006
57	1	2	251	86	0
58	1	0	0	0	0
59	1	1	365	142	2008
60	1	2	284	91	2008
61	1	2	342	174	2007
62	1	2	287	97	2009
63	1	2	0	87	2009
64	1	1	235	88	2009
65	2	1	266	0	2004
66	1	1	277	88	2009
67	1	0	0	0	0
68	1	1	308	89	2008
69	1	1	283	88	2009
70	1	2	284	109	2006
71	2	1	354	172	2005
72	2	2	274	91	2004
73	1	2	316	0	2007
74	1	1	276	96	2008
75	1	2	358	94	2009
76	1	2	346	0	2006
77	1	2	249	0	2007
78	1	1	242	0	2008
79	2	0	266	0	2004
80	1	2	315	0	2008
81	1	1	316	142	0
82	1	2	252	92	2009
83	1	1	268	90	2006
84	1	1	275	0	2008
85	1	2	235	95	2009
86	2	2	235	0	2005
87	1	1	282	0	0
88	1	2	307	86	2009
89	1	1	342	0	2007
90	1	2	262	86	2009
91	3	0	0	0	0
92	1	1	366	0	2009
93	2	1	244	0	0
94	1	1	323	0	0
95	1	1	0	88	2009
96	1	2	340	0	2008
97	2	0	368	0	2005
98	1	2	321	0	2006
99	1	2	249	0	2005
100	1	1	268	0	2006
101	1	2	283	86	2009
102	1	1	370	0	2005
103	1	2	325	0	2006
104	1	1	284	89	2009
105	1	2	251	0	2007
106	2	2	282	119	2005
107	1	2	342	90	2009
108	1	0	327	0	2008
109	1	2	0	89	2009
110	1	2	266	94	2007
111	2	1	249	0	2005
112	1	1	368	0	2008
113	1	2	287	0	2008
114	1	2	284	0	2006
115	1	1	308	0	2006
116	1	2	340	0	2005
117	1	2	0	0	2008
118	1	1	254	87	2009
119	1	2	249	109	2006
120	1	1	299	177	2007
121	1	2	263	0	2006
122	1	1	354	0	2007
123	1	1	303	0	2007
124	1	1	304	0	2006
125	1	0	0	0	0
126	3	2	237	0	0
127	1	2	252	94	2009
128	2	1	284	0	2005
129	1	1	316	150	0
130	1	2	249	176	2007
131	1	2	308	0	2006
132	1	1	342	0	2006
133	1	0	342	0	2005
134	1	1	282	0	2007
135	1	1	242	89	2009
136	2	1	370	0	2005
137	1	1	368	92	2007
138	1	1	249	94	2005
139	1	2	249	0	2007
140	1	0	0	132	2006
141	2	2	316	0	2005
142	1	2	340	0	2007
143	1	1	353	0	2009
144	1	1	276	87	2006
145	1	0	0	0	0
146	1	2	321	0	0
147	1	2	245	0	0
148	1	1	316	89	2009
149	1	2	249	0	2007
150	1	0	0	0	0
151	1	1	316	141	2008
152	1	1	276	0	2006
153	1	1	0	86	2009
154	2	2	308	0	2005
155	2	2	262	0	2005
156	1	2	336	0	2008
157	1	2	251	92	2005
158	1	2	340	0	2007
159	1	2	374	0	2006
160	1	2	276	0	2008
161	1	1	266	94	2009
162	1	2	359	109	2005
163	2	0	342	0	0
164	1	1	308	151	2007
165	1	2	284	0	2007
166	1	1	284	92	2009
167	5	1	372	0	2007
168	2	2	316	0	2005
169	1	1	235	0	2008
170	1	1	365	0	2007
171	2	1	289	0	2005
172	1	1	316	88	2009
173	1	1	249	0	2008
174	1	2	284	0	2006
175	1	0	0	0	0
176	1	2	374	0	0
177	1	1	356	0	2007
178	1	2	284	86	2009
179	1	2	284	92	0
180	1	1	235	0	2008
181	2	2	298	0	2004
182	5	1	343	0	2006
183	2	1	0	0	2005
184	1	1	367	0	2006
185	1	1	0	179	2008
186	1	1	248	0	2006
187	1	1	288	0	2006
188	1	2	346	132	2006
189	1	2	252	95	2009
190	2	2	316	0	2005
191	1	1	276	96	2007
192	1	1	287	0	2005
193	1	2	272	89	2009
194	1	1	249	86	2009
195	1	1	267	0	2005
196	1	2	322	92	2009
197	5	2	290	0	0
198	2	2	262	115	2003
199	1	1	322	0	2006
200	1	1	354	0	2006
201	1	1	342	88	2009
202	5	0	0	0	0
203	1	2	251	132	2007
204	5	2	276	0	2007
