id	status	gender	major	dorm	year
1	1	0	247	0	0
2	1	1	261	110	2008
3	1	2	294	120	2005
4	1	0	286	144	2007
5	1	1	250	146	2007
6	1	2	283	113	2009
7	1	2	294	148	2008
8	2	2	267	0	2005
9	1	0	0	0	0
10	1	0	0	0	0
11	1	1	279	98	2009
12	2	1	286	145	2005
13	2	1	295	0	2005
14	1	0	280	153	2006
15	1	1	262	109	2008
16	1	2	290	144	2006
17	1	2	280	145	0
18	1	1	257	113	2008
19	1	2	286	110	2008
20	1	2	286	0	2007
21	2	1	262	0	2005
22	1	2	279	114	2009
23	1	1	274	0	2007
24	1	1	278	86	2007
25	2	1	282	0	2005
26	1	2	293	115	2009
27	1	0	0	0	0
28	1	2	267	146	2007
29	1	1	272	152	2006
30	1	2	0	0	2006
31	1	1	273	136	2006
32	1	1	280	151	2008
33	1	1	291	138	2008
34	2	1	250	0	2004
35	1	2	282	146	2007
36	1	1	0	111	2008
37	1	1	291	148	2008
38	1	0	0	0	0
39	1	0	0	0	0
40	1	1	278	148	2008
41	1	1	257	0	0
42	1	1	295	98	2009
43	1	1	272	0	2006
44	1	1	290	91	2009
45	1	1	250	0	2009
46	1	1	278	0	2006
47	2	2	286	0	2005
48	2	1	235	0	2005
49	1	2	280	0	2006
50	1	2	251	0	2007
51	1	0	240	0	0
52	1	1	294	94	2009
53	1	1	300	109	2009
54	1	1	256	0	2008
55	1	1	294	0	2009
56	1	1	256	114	2009
57	2	0	0	0	2003
58	1	1	283	153	2007
59	1	1	295	119	2009
60	1	2	267	146	2006
61	1	0	291	153	0
62	1	1	261	0	2008
63	1	1	279	118	2009
64	1	2	287	95	2009
65	1	1	245	148	2008
66	1	1	250	152	2008
67	1	1	278	153	2007
68	1	1	295	89	2007
69	1	1	249	110	2008
70	1	2	246	89	2009
71	2	2	259	0	2005
72	1	1	235	145	0
73	1	1	277	0	2006
74	1	1	273	115	2009
75	1	2	282	118	2009
76	1	0	0	98	2010
77	1	1	267	148	2008
78	1	1	0	111	2008
79	2	2	251	0	2003
80	1	1	273	153	2007
81	1	1	245	96	2008
82	1	2	0	0	2007
83	1	1	278	149	2008
84	1	1	262	88	2009
85	1	1	272	0	2006
86	1	2	247	97	2008
87	1	1	294	152	2006
88	1	1	291	148	2006
89	1	1	283	98	2008
90	1	1	295	88	2009
91	1	1	272	147	2007
92	1	1	272	0	2007
93	1	1	295	0	2009
94	1	1	292	0	2006
95	1	2	289	99	2009
96	1	2	235	120	0
97	1	1	294	152	2007
98	1	2	290	111	2008
99	2	1	251	0	2004
100	1	1	291	109	2008
101	1	2	274	145	2007
102	2	1	295	0	2005
103	1	1	257	0	2007
104	1	2	273	144	2007
105	1	2	280	0	0
106	1	1	291	147	0
107	1	1	295	115	2009
108	1	1	280	153	2007
109	1	1	0	97	2008
110	1	1	235	0	2008
111	1	1	259	0	2005
112	1	1	0	0	2006
113	1	2	313	0	2009
114	1	1	257	99	2008
115	1	1	258	95	2008
116	1	1	262	0	2008
117	1	2	286	0	0
118	3	1	241	0	0
119	2	2	272	0	2005
120	2	0	0	0	0
121	1	1	249	142	2008
122	1	1	286	149	2008
123	1	1	0	90	2008
124	1	1	305	0	2009
125	1	1	283	109	2008
126	1	1	294	95	2009
127	1	1	295	149	2007
128	1	1	283	149	2008
129	1	2	332	0	2005
130	1	1	240	0	2007
131	1	1	286	95	2009
132	1	1	0	115	2009
133	1	1	291	0	2009
134	1	0	0	0	0
135	1	1	249	0	2006
136	2	1	283	0	2005
137	1	1	262	111	2008
138	1	1	249	145	2006
139	1	0	241	143	0
140	1	1	249	152	2006
141	1	1	296	96	2009
142	1	1	313	112	2009
143	2	1	272	0	2005
144	1	1	305	146	0
145	1	2	280	150	2006
146	1	1	285	148	2006
147	1	2	0	99	2009
148	1	1	262	0	2006
149	1	2	293	151	2008
150	1	1	278	143	0
151	1	2	289	112	2009
152	1	1	305	92	2006
153	1	2	251	86	2008
154	2	1	0	0	2004
155	2	1	286	0	2005
156	2	1	272	0	2003
157	1	1	286	148	2006
158	1	2	0	117	2009
159	1	0	0	0	0
160	1	2	267	151	2006
161	1	1	262	147	2007
162	1	0	0	0	0
163	1	1	272	148	2006
164	1	1	245	98	2009
165	1	2	273	143	2006
166	1	1	286	89	2007
167	1	1	258	95	2008
168	1	1	295	0	2007
169	1	1	278	0	2006
170	1	2	296	86	2007
171	1	1	235	148	2006
172	1	2	283	143	2005
173	1	1	250	96	2009
174	1	1	277	98	2009
175	1	2	250	0	0
176	1	2	286	151	2006
177	1	1	280	153	2006
178	1	1	250	0	2007
179	1	1	283	140	2006
180	1	1	280	153	2006
181	1	1	295	0	2007
182	1	1	286	146	2006
183	2	2	251	153	2004
184	1	1	282	144	2006
185	1	1	0	110	0
186	1	2	272	112	2008
187	1	1	313	152	0
188	1	2	286	109	2009
189	1	1	273	149	2006
190	1	2	246	96	2004
191	1	1	319	0	2007
192	1	2	301	147	2007
193	1	1	291	0	2006
194	1	2	245	86	2008
195	1	1	245	98	2009
196	2	1	268	0	2005
197	1	1	235	0	2007
198	1	1	301	111	2007
199	1	1	273	0	2005
200	1	1	245	113	2009
201	1	1	240	0	2006
202	1	1	245	0	2009
203	1	1	272	141	2007
204	1	1	241	87	2008
205	1	1	274	118	2008
206	1	1	283	93	2007
207	1	1	294	92	2008
208	1	1	0	114	2009
209	1	1	262	0	2006
210	1	1	272	111	2007
211	2	1	278	0	2004
212	2	1	257	145	2005
213	1	2	332	118	2009
214	1	2	286	92	2008
215	1	1	272	99	2009
216	1	1	286	0	2007
217	1	1	313	119	2009
218	1	2	0	90	2008
219	1	0	0	144	2007
220	1	2	247	97	2008
221	1	1	294	86	2008
222	1	2	283	143	2007
223	1	1	295	0	2009
224	1	1	302	152	2006
225	1	1	259	147	2007
226	1	1	250	0	2007
227	1	1	257	0	2007
228	1	1	274	113	2009
229	1	2	277	110	2009
230	1	2	274	143	2005
231	1	1	0	111	2008
232	1	2	250	153	2007
233	1	1	280	146	2007
234	1	1	272	98	2009
235	1	2	300	88	2009
236	1	1	292	112	2009
237	1	1	300	119	2009
238	1	2	317	110	2009
239	5	1	273	0	2005
240	1	1	250	145	2006
241	1	2	295	86	2008
242	1	1	295	86	2008
243	1	1	274	0	2007
244	1	2	251	147	2007
245	1	2	246	108	2009
246	1	2	0	95	0
247	1	1	291	0	2008
248	1	1	272	150	2005
249	1	2	307	91	2009
250	1	2	294	125	2007
251	1	2	267	0	2008
252	1	1	291	115	2008
253	1	1	272	147	2007
254	1	2	282	98	2007
255	1	1	313	88	2009
256	1	1	295	0	2006
257	1	1	286	88	2009
258	1	1	245	109	2008
259	1	2	235	119	2009
260	2	1	254	0	2005
261	2	1	245	148	2005
262	1	1	250	0	2005
263	1	2	235	143	2007
264	1	1	256	109	2007
265	1	1	291	110	2009
266	1	2	245	0	2006
267	1	2	251	86	2006
268	1	1	276	0	2007
269	1	1	250	117	2009
270	2	1	295	0	0
271	1	2	251	152	2006
272	1	1	261	0	2006
273	1	2	267	112	2008
274	1	1	294	146	2007
275	1	2	245	88	2009
276	1	1	0	0	2009
277	1	2	290	112	2009
278	1	1	272	109	2008
279	1	1	247	110	2008
280	2	1	0	0	2005
281	1	1	295	118	2009
282	1	2	0	111	2007
283	5	1	280	0	0
284	2	1	250	142	0
285	1	2	245	145	2006
286	1	1	0	145	2007
287	1	2	280	148	2006
288	1	1	250	153	0
289	1	0	0	0	0
290	1	1	286	0	2009
291	1	1	307	119	2009
292	1	1	247	92	2007
293	1	2	235	112	2009
294	1	1	245	86	0
295	1	0	0	0	0
296	1	1	262	112	2009
297	2	1	267	0	2005
298	1	2	280	0	2006
299	1	2	245	0	2006
300	1	2	246	145	2008
301	1	1	273	0	2006
302	1	1	269	113	2009
303	1	1	286	151	2007
304	1	2	290	147	2007
305	1	1	280	0	2008
306	2	1	290	0	2005
307	1	1	242	139	2006
308	1	1	291	147	2008
309	1	2	282	0	2006
310	1	1	286	86	2008
311	1	2	269	0	2005
312	1	1	292	0	2005
313	1	1	273	152	2005
314	2	2	251	0	2005
315	1	1	313	114	2009
316	1	2	0	101	2008
317	1	2	235	143	0
318	1	2	251	151	2007
319	1	1	257	112	2009
320	1	1	291	95	2009
321	1	2	290	0	2006
322	2	1	302	145	2005
323	5	1	249	0	2005
324	1	1	274	0	2006
325	1	2	273	150	2008
326	1	1	295	0	2006
327	1	2	252	0	0
328	2	1	300	0	2005
329	1	1	285	90	2008
330	2	1	286	0	2005
331	1	1	267	0	2006
332	1	1	245	116	2008
333	1	1	291	152	2007
334	1	2	290	150	2007
335	1	1	291	148	2008
336	1	1	283	112	2009
337	2	2	251	0	2004
338	1	1	0	109	2009
339	1	1	313	86	2007
340	2	2	283	0	0
341	1	1	280	152	2007
342	1	1	294	98	2009
343	1	2	282	93	2008
344	1	1	294	145	2008
345	1	2	332	0	2006
346	1	1	278	145	2007
347	1	1	245	153	2007
348	1	2	285	96	2007
349	1	2	0	109	2008
350	1	1	301	0	2007
351	2	1	241	0	2005
352	1	1	250	93	2007
353	2	2	267	143	2004
354	1	2	282	0	2007
355	1	2	0	88	2009
356	1	1	250	146	2006
357	1	1	332	145	2008
358	1	1	291	86	0
359	1	1	249	86	0
360	1	2	320	89	2005
361	2	1	291	0	2005
362	1	1	256	0	2006
363	1	2	285	117	2005
364	1	1	294	99	2009
365	1	2	267	148	2006
366	1	2	241	0	2006
367	1	1	274	0	2007
368	1	1	241	92	0
369	1	1	240	111	2008
370	1	1	313	153	2007
371	1	1	320	0	2008
372	1	1	255	0	2006
373	1	1	283	98	2009
374	2	1	302	0	2004
375	1	2	279	97	2008
376	1	1	272	90	2008
377	1	1	249	96	2009
378	1	2	313	143	2008
379	1	1	280	0	2006
380	1	1	0	96	2009
381	2	1	272	0	2005
382	1	2	282	0	0
383	1	2	246	110	2009
384	1	1	272	117	2009
385	2	1	294	0	2005
386	1	1	286	97	2008
387	1	1	283	147	2007
388	1	1	249	0	2006
389	1	2	0	95	2009
390	2	2	277	146	2004
391	1	1	291	86	2008
392	1	1	278	89	2009
393	1	2	277	0	2005
394	1	2	282	117	2009
395	1	1	283	110	2009
396	1	1	273	112	2009
397	1	2	0	153	2005
398	1	2	267	147	2007
399	1	2	279	86	2009
400	1	1	283	152	2008
401	1	1	250	0	2006
402	1	2	235	109	2009
403	1	2	241	112	2009
404	1	1	278	149	2007
405	1	1	279	0	2006
406	1	1	290	148	0
407	2	1	294	0	2005
408	1	1	250	115	2009
409	1	2	282	147	0
410	1	1	283	98	2009
411	1	1	279	86	0
412	1	2	292	114	2007
413	1	1	250	98	2009
414	1	1	282	0	2009
415	1	2	277	89	2009
416	1	1	280	143	2006
417	1	1	294	152	2007
418	1	2	0	109	2008
419	1	1	313	98	0
420	1	2	274	145	0
421	2	1	280	0	2005
422	1	2	269	0	0
423	1	0	291	119	2008
424	1	1	274	147	2008
425	1	2	320	0	2007
426	2	1	286	0	2005
427	1	1	291	150	2007
428	1	0	286	0	2007
429	1	2	279	86	2007
430	1	1	279	97	2008
431	1	1	269	146	2006
432	1	2	0	116	2009
433	1	1	246	149	2006
434	1	2	268	0	2007
435	1	2	267	0	2005
436	2	1	290	0	2005
437	1	2	252	86	2007
438	1	1	280	143	2006
439	5	1	332	0	2006
440	1	0	305	145	0
441	1	1	305	145	2007
442	1	1	283	86	2008
443	1	2	258	151	2008
444	1	1	283	95	2009
445	1	1	312	96	2009
446	1	1	289	153	2006
447	2	1	302	0	2005
448	1	1	291	153	2006
449	1	1	295	0	0
450	1	1	0	96	2009
451	1	1	272	153	2006
452	1	2	272	0	2009
453	1	1	280	153	2007
454	1	1	286	101	2009
455	1	1	235	0	2008
456	1	2	235	145	2007
457	1	2	267	98	2009
458	1	1	282	97	2008
459	1	1	0	112	2009
460	1	1	246	98	2005
461	1	2	280	151	2007
462	1	1	262	116	2008
463	1	2	309	86	2009
464	1	1	274	153	2007
465	1	1	278	0	2006
466	1	1	279	0	0
467	2	0	286	0	2005
