id	status	gender	major	dorm	year
1	1	2	118	51	2008
2	1	2	135	51	2009
3	1	2	144	79	2007
4	1	1	164	58	2007
5	1	1	165	0	2006
6	1	2	0	96	2009
7	1	1	166	112	2009
8	1	1	171	92	2009
9	2	2	217	0	2005
10	2	2	124	0	2005
11	1	1	145	0	2006
12	1	1	121	0	2009
13	2	2	165	0	2004
14	1	1	135	0	2005
15	1	2	186	68	2006
16	2	1	195	0	2005
17	1	2	155	68	2005
18	1	2	168	52	2008
19	1	2	135	63	2006
20	1	1	145	98	2009
21	1	2	164	0	2006
22	2	2	195	0	2005
23	2	2	195	0	2005
24	1	1	155	51	2008
25	2	1	135	0	2005
26	2	2	123	80	2003
27	1	1	170	54	2008
28	1	1	135	0	2006
29	1	2	150	0	2007
30	1	1	164	97	2009
31	5	2	195	0	0
32	1	1	210	58	2006
33	1	2	195	92	2009
34	1	2	0	51	2009
35	1	2	119	69	2005
36	1	1	135	54	2008
37	1	1	166	0	2006
38	1	2	144	52	2008
39	5	0	0	0	0
40	5	2	207	92	2006
41	1	1	195	51	2008
42	1	1	204	52	2008
43	1	2	217	67	2009
44	1	2	160	0	2007
45	2	1	0	0	0
46	2	1	166	0	2005
47	1	1	165	52	2008
48	1	1	155	98	2009
49	2	1	171	0	2005
50	1	2	120	89	2008
51	1	1	0	90	2008
52	1	1	118	0	2007
53	1	2	128	100	2009
54	1	2	217	67	2008
55	1	1	155	52	2008
56	1	2	150	93	2009
57	1	2	195	111	2007
58	1	2	160	52	2007
59	1	1	160	52	2008
60	1	1	165	54	2007
61	1	0	155	0	0
62	1	1	135	51	2009
63	1	1	155	0	2008
64	1	2	158	93	2009
65	1	2	164	97	2008
66	1	2	167	0	2009
67	2	1	138	0	2005
68	1	2	145	0	2006
69	1	2	123	0	2008
70	1	1	0	51	2008
71	1	0	0	0	0
72	2	1	171	0	2005
73	1	1	155	54	2007
74	1	2	159	0	2007
75	1	1	166	66	2007
76	1	1	151	0	2007
77	1	1	0	51	2009
78	1	2	215	53	2008
79	1	2	195	0	2006
80	1	2	0	0	0
81	5	2	137	0	2005
82	1	1	166	53	2007
83	1	1	160	53	2007
84	1	1	155	97	2009
85	1	1	138	51	2009
86	2	2	217	0	2005
87	1	2	122	0	2006
88	2	1	171	51	2005
89	2	0	0	0	0
90	2	1	147	69	2005
91	1	1	135	53	2008
92	2	2	131	100	2004
93	1	2	130	0	2009
94	1	2	166	0	2007
95	1	2	144	82	2005
96	2	1	217	0	2003
97	1	1	155	88	2009
98	1	1	155	88	2009
99	1	2	0	51	0
100	1	2	217	67	2010
101	1	1	193	0	2006
102	1	1	160	53	2008
103	2	1	160	0	2005
104	1	1	217	0	2007
105	2	2	136	0	2004
106	1	1	133	107	2006
107	1	1	166	52	2007
108	2	1	155	0	2005
109	2	2	131	0	2005
110	1	2	217	0	0
111	2	1	160	0	2004
112	1	1	166	52	2007
113	1	2	144	52	2007
114	2	1	135	0	0
115	1	1	145	69	2007
116	5	2	142	0	0
117	2	2	135	0	2005
118	2	2	144	0	2004
119	2	1	166	0	2003
