id	status	gender	major	dorm	year
1	1	2	294	0	2006
2	5	1	293	0	2005
3	2	2	294	110	2005
4	1	1	295	121	2008
5	1	1	289	122	2006
6	1	1	299	128	2008
7	1	2	299	93	2008
8	1	2	0	89	2009
9	1	1	0	0	2009
10	1	1	247	0	2007
11	1	0	0	0	0
12	1	1	0	88	0
13	1	1	0	91	2009
14	1	0	240	0	2007
15	1	2	276	92	2009
16	5	2	0	0	0
17	1	2	296	0	2005
18	1	2	299	91	2009
19	1	2	248	92	2009
20	1	1	299	125	2007
21	1	2	276	89	2009
22	4	2	0	0	0
23	2	2	0	0	2005
24	1	1	247	136	2009
25	1	0	0	0	0
26	1	2	254	0	2006
27	1	1	278	0	2007
28	1	1	263	0	2006
29	1	2	292	114	2008
30	2	1	295	0	2005
31	1	2	299	92	2009
32	1	2	0	115	2005
33	1	1	300	0	0
34	1	1	266	121	2008
35	1	1	248	94	2008
36	2	2	291	0	2005
37	1	1	254	132	2009
38	1	2	294	139	2009
39	1	2	299	92	2009
40	2	2	302	115	2005
41	1	1	265	138	2009
42	1	1	266	124	2006
43	1	2	289	92	2009
44	1	0	0	0	0
45	1	2	300	137	2009
46	2	1	247	121	2005
47	1	1	296	123	2007
48	2	2	297	0	2004
49	1	2	265	0	2006
50	1	2	291	96	2008
51	2	0	295	0	2005
52	1	1	263	132	2009
53	1	2	293	0	2005
54	5	1	274	0	0
55	1	1	248	91	2009
56	1	1	298	89	2009
57	1	1	258	89	2009
58	2	1	299	124	2004
59	1	2	294	101	2007
60	1	2	254	87	2007
61	2	1	297	121	2005
62	1	2	271	88	2009
63	5	1	284	0	0
64	1	2	248	89	2009
65	1	2	250	0	2009
66	1	0	0	0	2007
67	1	2	299	0	2008
68	1	2	278	93	2007
69	1	2	0	0	2006
70	1	1	265	0	2009
71	1	2	300	86	2008
72	1	2	300	103	2006
73	1	1	250	89	2009
74	1	2	299	0	2009
75	5	1	284	0	2005
76	1	1	295	0	2007
77	1	1	299	92	2009
78	1	1	258	0	2006
79	1	2	284	0	2005
80	1	1	287	88	2009
81	2	2	254	0	2005
82	1	1	294	120	2008
83	1	2	299	92	2009
84	2	1	270	106	2005
