id	status	gender	major	dorm	year
1	1	2	8	0	2009
2	2	2	15	229	2004
3	1	1	3	237	2008
4	2	2	3	230	2002
5	1	2	6	229	2007
6	2	1	7	229	2004
7	1	1	10	286	2007
8	2	2	0	230	0
9	3	0	0	0	0
10	1	2	7	0	2008
11	1	1	15	268	2007
12	5	2	6	283	2008
13	4	2	0	0	0
14	5	2	3	278	0
15	1	2	0	0	2007
16	1	1	14	0	2007
17	1	2	10	236	2006
18	1	2	2	229	2007
19	1	2	8	229	2008
20	1	1	6	227	2009
21	1	2	15	0	2006
22	1	2	18	0	2006
23	1	1	7	268	2006
24	2	2	15	230	2000
25	1	1	2	228	2006
26	1	2	16	0	2005
27	1	1	2	274	2005
28	2	2	6	237	2004
29	5	0	6	0	0
30	2	2	1	228	2004
31	2	2	18	275	2005
32	2	2	2	0	2005
33	5	2	6	256	2003
34	1	1	9	237	2009
35	1	2	6	237	2007
36	2	1	2	0	2004
37	2	1	10	232	0
38	1	1	6	229	2006
39	1	2	15	229	2009
40	2	2	6	231	2001
41	1	2	0	0	2010
42	1	2	10	255	2007
43	1	2	8	258	2005
44	5	1	3	278	2004
45	1	2	13	0	2004
46	1	2	7	241	2007
47	1	2	2	251	2008
48	1	2	0	227	2009
49	1	1	16	237	2008
50	1	2	9	261	2006
51	1	2	16	229	2009
52	5	2	16	281	0
53	1	2	14	230	2009
54	1	1	10	227	2006
55	1	2	2	240	2005
56	2	1	18	234	0
57	2	2	6	258	2002
58	2	1	2	230	2005
59	1	2	12	228	2007
60	1	1	7	233	2008
61	3	1	7	276	2008
62	2	2	15	254	2004
63	1	1	10	268	2008
64	1	2	6	255	2006
65	1	1	0	230	2008
66	1	1	6	231	2009
67	1	2	2	246	2007
68	1	1	29	227	2008
69	2	0	0	0	0
70	1	2	18	256	2008
71	2	0	39	265	2004
72	5	2	5	0	2008
73	1	0	0	0	0
74	2	2	15	247	2002
75	1	1	16	237	2009
76	2	1	6	230	2002
77	5	2	18	278	0
78	2	0	14	232	2000
79	5	1	9	0	0
80	1	2	6	285	2007
81	1	2	5	285	2008
82	2	1	1	228	2003
83	1	0	6	230	0
84	1	2	35	279	0
85	1	2	14	230	2009
86	1	2	18	229	2009
87	2	2	9	0	2005
88	1	1	6	278	2004
89	1	2	15	244	2008
90	1	2	6	264	2008
91	1	1	8	232	2009
92	1	2	13	244	2007
93	1	2	3	258	2008
94	1	2	2	0	2008
95	1	1	7	227	2007
96	3	2	0	0	0
97	1	2	3	230	2009
98	1	2	6	228	2006
99	1	2	2	251	2005
100	1	2	2	261	2007
101	5	2	6	0	2004
102	1	2	2	244	2006
103	1	1	7	236	2008
104	1	0	0	0	0
105	1	1	2	236	2009
106	1	2	30	0	2006
107	2	2	10	0	2004
108	1	2	15	229	2007
109	1	2	15	264	2006
110	2	2	3	255	2004
111	1	2	5	230	2007
112	2	2	7	253	2004
113	1	1	6	232	2008
114	1	2	8	227	2008
115	1	2	18	237	2006
116	2	2	7	242	2005
117	1	2	0	0	2008
118	1	2	18	272	2007
119	1	1	10	232	2008
120	1	1	9	268	2008
121	1	1	0	0	2010
122	1	2	3	236	2008
123	1	1	27	232	2006
124	1	1	0	232	2008
125	1	2	2	231	2007
126	3	2	0	0	0
127	1	1	7	0	2007
128	1	1	0	236	2008
129	1	2	8	227	2009
130	2	2	14	231	2001
131	1	1	15	232	2008
132	2	2	6	251	2004
133	5	2	0	228	1996
134	1	2	6	256	2007
135	1	2	6	237	2006
136	1	1	16	227	2007
137	5	2	16	0	2005
138	5	2	6	0	2004
139	2	2	2	247	2003
140	1	1	7	233	2005
141	1	1	0	231	2009
142	2	0	0	0	0
143	1	1	7	232	2008
144	1	2	6	250	2006
145	1	2	29	0	2009
146	1	2	6	227	2006
147	2	2	15	251	2005
148	2	1	7	227	2005
149	1	2	2	236	2007
150	1	2	15	231	2007
151	1	0	0	0	0
152	1	0	0	0	0
153	1	2	2	246	2007
154	1	2	6	253	2007
155	2	1	8	234	2005
156	1	2	15	0	2007
157	2	1	6	270	2002
158	1	2	8	229	2008
159	2	2	6	236	2005
160	2	2	0	0	2004
161	2	2	7	257	2004
162	1	0	0	0	0
163	2	1	10	278	2004
164	1	2	5	260	2005
165	1	0	0	0	0
166	2	2	0	0	2004
167	1	2	8	260	2006
168	1	1	4	0	2006
169	1	2	14	231	2008
170	5	2	16	0	2003
171	1	0	16	230	2007
172	1	2	6	229	2007
173	1	1	7	232	2005
174	2	1	17	0	2002
175	1	1	18	227	2008
176	1	1	14	0	2007
177	1	2	1	261	2008
178	2	1	10	229	2004
179	1	1	18	231	2007
180	1	2	6	251	2004
181	1	2	2	259	2008
182	1	0	0	0	0
183	5	2	27	281	0
184	2	2	6	245	2003
185	1	0	0	0	0
186	2	2	7	249	2001
187	5	2	6	0	2005
188	2	2	6	230	2002
189	1	2	39	236	2006
190	1	2	15	237	2006
191	1	2	8	228	2008
192	2	2	8	227	2004
193	6	2	0	0	0
194	2	2	15	0	2005
195	1	2	2	229	2009
196	1	1	3	267	2008
197	1	1	9	227	2007
198	1	2	10	236	2007
199	1	1	7	229	2008
200	1	0	0	0	0
201	1	2	0	234	2009
202	1	1	29	227	2009
203	1	1	10	231	2009
204	2	2	6	0	2004
205	1	2	6	230	2008
206	5	2	6	0	2005
207	1	1	27	232	2005
208	1	2	6	236	2008
209	1	1	8	230	2007
210	1	2	8	230	2006
211	5	1	2	278	0
212	1	1	8	237	2009
213	2	1	10	236	2004
214	1	2	2	249	2008
215	2	1	2	228	0
216	1	0	0	0	0
217	2	2	27	254	2005
218	1	2	16	233	2006
219	2	2	16	257	0
220	1	2	6	236	2008
221	2	1	6	236	2003
222	2	2	16	254	2003
223	1	0	0	0	0
