id	status	gender	major	dorm	year
1	1	1	274	222	2009
2	1	0	421	0	0
3	1	1	247	206	2007
4	1	1	354	189	2005
5	1	1	362	0	2006
6	1	0	0	0	0
7	5	2	361	253	2006
8	2	1	306	0	2004
9	2	1	288	0	2005
10	1	2	273	307	2008
11	1	2	337	301	2008
12	1	1	193	226	2007
13	1	2	273	192	2008
14	1	1	318	204	2010
15	1	2	229	0	2005
16	1	2	267	289	0
17	1	2	234	0	2008
18	1	1	187	189	2009
19	1	1	229	217	0
20	1	1	406	0	2006
21	1	2	427	0	2008
22	5	0	0	0	0
23	1	2	187	0	2007
24	1	1	235	0	0
25	1	2	337	218	2007
26	1	1	341	194	2009
27	1	2	361	218	2006
28	1	1	292	0	2005
29	5	1	286	0	2007
30	1	1	428	300	2008
31	1	1	306	206	2008
32	1	1	378	219	2009
33	1	1	175	306	2008
34	1	1	229	0	0
35	1	1	187	189	2008
36	1	2	416	0	2007
37	1	2	361	0	2006
38	1	2	337	213	2008
39	1	2	305	197	2009
40	1	1	291	301	2005
41	1	2	186	301	2008
42	1	1	305	0	2006
43	1	1	438	0	2006
44	1	1	229	0	2006
45	1	2	216	240	2007
46	1	1	229	0	2004
47	1	0	0	0	0
48	2	1	0	0	2005
49	1	2	291	0	2008
50	1	2	337	221	2009
51	1	1	421	211	0
52	1	2	216	0	2006
53	1	1	362	0	2006
54	1	1	297	0	2007
55	2	1	143	0	2005
56	1	1	161	195	2008
57	1	1	426	203	2009
58	1	1	376	217	2009
59	1	1	203	218	2009
60	2	2	203	0	2004
61	1	2	418	0	2005
62	1	1	140	205	2007
63	2	2	317	0	2004
64	5	1	175	0	0
65	1	2	210	298	2007
66	1	0	316	0	2008
67	1	1	426	0	2006
68	1	1	291	196	2009
69	1	2	278	203	2008
70	1	1	173	0	2007
71	1	1	229	0	2007
72	1	0	0	0	0
73	1	1	294	261	2009
74	1	1	229	0	2006
75	2	2	280	0	2005
76	1	1	264	198	2006
77	1	2	262	0	2007
78	1	2	341	0	2005
79	1	1	355	213	2006
80	2	2	309	276	2005
81	1	0	0	0	0
82	1	2	143	0	2005
83	1	2	378	253	2006
84	1	1	338	215	2006
85	1	1	180	0	0
86	2	1	143	259	2005
87	1	1	143	303	2006
88	1	2	309	0	2008
89	1	2	0	198	2008
90	2	1	383	0	0
91	1	2	330	301	2006
92	1	1	143	0	2006
93	1	1	170	0	2007
94	1	1	354	0	2007
95	1	1	179	275	2008
96	1	0	0	0	0
97	1	1	229	211	0
98	1	1	297	306	0
99	1	1	160	191	0
100	1	1	0	223	2008
101	1	2	187	0	0
102	1	2	262	307	2008
103	3	0	0	300	0
104	1	2	332	193	2005
105	2	2	361	0	2002
106	2	1	361	0	2004
107	1	2	292	211	2007
108	1	1	161	262	2006
109	1	1	421	0	2006
110	1	1	383	193	2009
111	1	2	416	223	2007
112	1	2	0	195	2008
113	1	1	337	207	2009
114	1	1	377	0	2007
115	1	1	354	280	2006
116	2	2	210	0	2004
117	1	2	337	223	0
118	1	1	426	0	2005
119	2	1	235	0	0
120	1	2	161	213	2007
121	1	1	337	307	2007
122	2	1	203	297	2004
123	1	1	283	0	2005
124	1	2	203	0	2006
125	1	2	416	221	0
126	1	2	262	244	2004
127	1	0	0	0	0
128	1	2	178	212	2008
129	1	2	0	219	2009
130	1	1	288	0	2007
131	1	1	426	210	2007
132	1	2	235	196	2008
133	1	1	354	0	2007
134	2	2	330	0	2005
135	1	1	216	0	2006
136	2	2	262	0	2005
137	1	2	416	224	2007
138	1	2	369	301	2007
139	1	2	210	205	2007
140	1	2	186	214	2007
141	1	2	216	195	2009
142	1	1	258	306	2006
143	2	2	383	0	2005
144	1	2	274	193	2009
145	1	1	224	201	2007
146	1	1	429	212	0
147	1	2	171	0	2008
148	1	2	347	200	0
149	1	2	187	301	0
150	1	2	291	241	0
151	1	1	235	209	2009
152	2	1	229	0	2005
153	1	2	0	209	2009
154	1	2	316	0	2007
155	1	2	187	0	0
156	1	1	216	189	2009
157	1	0	410	222	2008
158	1	1	193	0	2006
159	1	2	383	0	2006
160	1	2	413	0	2005
161	5	2	337	0	2005
162	1	1	168	0	2007
163	1	1	143	0	2006
164	1	1	316	0	2007
165	1	2	0	0	0
166	1	2	428	0	0
167	2	2	143	0	2003
168	1	0	0	0	0
169	1	1	429	301	0
170	1	1	316	207	2008
171	1	1	203	0	2006
172	5	1	294	0	2008
173	1	1	386	217	0
174	1	2	295	0	2006
175	1	1	429	0	2007
176	1	1	291	0	2006
177	1	2	337	301	2009
178	1	2	291	0	2006
179	1	2	383	0	2006
180	5	1	269	0	2006
181	1	2	337	221	2008
182	1	2	186	0	2007
183	2	0	0	0	0
184	1	1	422	0	2006
185	1	1	180	222	2009
186	2	2	397	0	2000
187	1	2	292	0	2007
188	1	1	160	0	2008
189	1	1	229	0	2008
190	1	2	150	0	2006
191	1	1	161	261	2008
192	1	2	274	0	0
193	1	2	416	212	2007
194	1	2	176	0	0
195	1	1	231	190	2009
196	1	2	378	220	2008
197	1	1	355	224	2007
198	1	1	330	0	2006
199	5	2	428	0	0
200	1	2	288	0	0
201	1	1	316	0	2006
202	1	0	0	198	0
203	1	2	348	197	2007
204	1	2	416	253	2006
205	1	2	203	0	0
206	1	2	274	204	2009
207	1	1	216	259	2008
208	2	0	0	0	2005
209	1	2	427	0	0
210	1	1	229	0	2007
211	2	2	187	0	2004
212	1	1	383	191	2009
213	1	1	216	0	0
214	1	2	0	261	2008
215	2	1	195	0	0
216	1	0	0	0	0
217	1	1	0	207	2008
218	1	1	326	0	2008
219	1	1	413	0	2007
220	1	1	383	0	2006
221	1	1	175	0	0
222	1	2	210	0	0
223	1	2	386	0	2007
224	1	2	361	217	2007
225	1	0	0	0	0
226	1	2	418	206	2007
227	1	1	198	208	0
228	1	1	0	0	2007
229	1	2	376	194	2006
230	1	1	306	0	2006
231	2	1	369	0	2005
232	1	1	376	197	2008
233	1	2	176	245	2006
234	1	1	330	221	2004
235	1	2	288	0	0
236	1	1	0	208	2005
237	1	1	297	303	0
238	1	1	262	0	2007
239	1	1	421	0	2007
240	1	2	140	261	2008
241	1	1	316	208	2007
242	2	1	175	0	0
243	1	1	229	194	2009
244	1	1	330	298	2008
245	1	2	311	0	2007
246	1	2	416	307	0
247	1	1	330	0	2008
248	1	1	163	0	2006
249	1	1	292	0	2006
250	2	1	348	0	2005
251	1	2	232	0	2006
252	1	1	306	217	2007
253	2	0	305	0	2005
254	2	1	176	0	2005
255	1	1	274	0	2006
256	1	1	203	0	0
257	1	2	334	210	2009
258	1	1	385	281	2008
259	2	2	232	240	2005
260	1	1	354	211	2009
261	1	1	224	0	2006
262	1	2	191	191	0
263	1	2	270	0	2006
264	1	2	0	0	0
265	1	2	193	0	0
266	3	0	0	0	0
267	5	1	434	0	2008
268	1	2	416	0	2007
269	1	1	378	220	2009
270	1	1	291	303	2007
271	1	1	383	207	2008
272	1	1	361	0	2007
273	2	0	314	0	2005
274	1	2	330	0	0
275	2	1	0	0	0
276	1	1	429	0	0
277	1	0	0	0	0
278	1	2	309	219	2009
279	1	2	397	222	2008
280	5	1	428	0	0
281	5	1	317	0	0
282	1	2	216	0	0
283	5	1	428	0	2008
284	1	1	416	0	2006
285	1	2	288	0	2006
286	1	1	261	0	0
287	1	2	234	191	2009
288	1	1	292	211	2007
289	1	1	140	266	0
290	1	1	348	0	0
291	1	2	0	217	0
292	5	1	360	0	2009
293	1	2	383	0	2007
294	1	2	337	205	2008
295	1	1	292	0	2007
296	1	1	348	195	2008
297	1	2	143	0	2006
298	1	2	273	301	2007
299	5	2	434	0	0
300	1	2	232	222	2008
301	1	2	235	0	2006
302	1	2	292	220	2008
303	1	1	440	224	2008
304	1	1	335	0	2006
305	1	1	262	0	2008
306	1	2	262	0	2006
307	1	0	224	0	2006
308	1	1	330	217	2005
309	1	2	417	279	2005
310	1	1	0	211	0
311	1	2	262	0	0
312	1	1	354	199	2008
313	1	2	160	0	2007
314	1	1	422	197	2009
315	1	1	360	189	2009
316	1	2	191	221	2009
317	1	1	161	303	2007
318	1	2	334	306	2007
319	2	1	226	0	2004
320	1	2	0	190	2009
321	1	2	186	0	2005
322	1	1	176	212	2009
323	1	1	426	196	2009
324	1	2	289	223	2007
325	1	2	428	0	2006
