id	status	gender	major	dorm	year
1	1	2	332	0	2006
2	1	1	271	120	2008
3	1	1	247	0	2008
4	1	1	332	0	2006
5	1	1	333	0	2009
6	1	2	302	104	2007
7	1	1	306	117	2008
8	1	1	336	116	2009
9	1	2	251	0	2004
10	1	1	302	0	2008
11	2	2	271	0	2005
12	1	1	289	163	2008
13	1	2	303	0	2006
14	1	0	0	0	0
15	1	2	254	119	2008
16	2	2	302	0	2005
17	1	2	308	163	2008
18	1	1	236	0	0
19	1	1	332	173	0
20	1	1	284	119	2007
21	1	2	321	0	2006
22	3	0	0	0	0
23	1	1	336	113	2008
24	4	2	0	0	0
25	1	1	339	163	2009
26	1	1	248	116	2009
27	1	1	290	145	2007
28	1	1	333	135	2004
29	2	1	302	0	2005
30	1	2	320	104	2007
31	1	2	285	0	2006
32	1	1	257	134	2008
33	1	1	310	99	0
34	1	1	247	112	0
35	1	1	256	89	2008
36	1	1	339	111	2009
37	1	2	285	0	0
38	1	1	272	0	2006
39	2	2	248	0	2005
40	1	2	307	163	2009
41	2	2	281	0	2005
42	1	2	247	135	2006
43	1	1	264	0	0
44	1	2	273	0	2008
45	1	2	334	122	2005
46	2	1	327	0	2005
47	1	2	235	122	2008
48	1	2	247	111	2009
49	1	1	333	111	2008
50	1	1	321	103	2009
51	1	1	321	0	2007
52	2	1	320	96	2005
53	1	1	0	0	0
54	1	1	302	0	2006
55	1	1	321	87	2007
56	1	2	247	122	2005
57	1	1	256	0	2005
58	1	1	339	121	2009
59	2	1	302	0	2005
60	1	1	321	100	2007
61	1	2	320	0	2006
62	1	1	333	161	0
63	2	2	0	0	0
64	1	2	247	135	2009
65	1	2	273	152	2006
66	1	2	285	0	0
67	1	1	309	159	2009
68	1	2	247	157	2008
69	1	2	321	117	2008
70	1	1	235	118	2006
71	1	2	237	0	2006
72	1	1	302	148	2008
73	1	1	320	87	2006
74	1	2	297	0	2007
75	1	1	296	0	2006
76	1	2	285	0	2006
77	1	1	0	173	2008
78	1	2	314	148	2008
79	1	1	257	126	0
80	1	1	308	0	2007
81	2	1	265	0	0
82	1	1	320	92	2006
83	1	2	312	0	2005
84	1	1	237	161	2008
85	1	1	257	113	0
86	2	2	320	95	2004
87	1	1	237	0	2006
88	1	1	293	0	2010
89	1	2	0	121	2009
90	5	2	0	0	0
91	1	1	235	89	2006
92	1	0	0	0	0
93	1	2	321	0	2007
94	1	2	235	151	2008
95	1	1	290	93	2007
96	1	2	295	0	2008
97	1	2	247	0	2009
98	1	1	0	137	2008
99	1	1	264	0	2007
100	1	1	257	116	2009
101	1	2	320	159	2008
102	1	2	302	137	2008
103	1	0	340	144	2006
104	1	1	272	0	0
105	1	1	257	144	2006
106	1	2	247	109	2006
107	1	1	247	129	2008
108	1	1	235	120	2008
109	1	1	330	0	2005
110	1	2	302	0	2005
111	1	2	259	98	2004
112	1	0	334	118	2006
113	1	1	321	0	2008
114	2	1	241	0	2005
115	1	2	339	132	2009
116	1	1	343	0	2006
117	1	1	343	0	0
118	1	1	343	161	2008
119	2	1	297	0	2002
120	1	1	290	117	2008
121	1	1	264	0	0
122	1	2	247	159	2009
123	1	2	258	0	2006
124	1	2	339	0	2009
125	1	1	303	132	2009
126	1	1	264	99	2007
127	1	0	263	126	2006
128	1	2	285	161	2006
129	1	1	289	122	2008
130	1	0	287	0	2005
131	1	2	248	137	2008
132	1	2	240	0	0
133	1	2	273	154	2008
134	1	1	236	105	2010
135	1	2	247	0	2008
136	1	2	235	137	2007
137	1	1	321	112	2009
138	1	2	326	0	2006
139	1	2	261	143	2006
140	1	1	255	120	2008
141	1	2	320	156	2006
142	1	1	255	116	2009
143	1	2	287	0	2006
144	2	1	311	108	2005
145	1	2	299	102	2009
146	1	1	287	0	0
147	1	1	310	0	0
148	1	1	325	0	2005
149	1	2	328	0	2006
150	1	2	318	137	2006
151	1	1	255	0	2008
152	1	1	338	103	2009
153	1	2	339	132	2009
154	1	1	321	170	2006
155	1	2	247	121	2009
156	1	1	302	122	2008
157	1	1	310	162	2009
