id	status	gender	major	dorm	year
1	1	2	270	101	2005
2	1	1	243	92	2007
3	1	1	292	102	2008
4	1	0	0	0	0
5	1	2	236	107	2006
6	1	1	259	0	0
7	1	2	240	112	2008
8	1	2	243	94	2009
9	1	1	302	0	0
10	1	1	249	90	2009
11	1	1	240	95	2008
12	1	1	0	135	0
13	1	2	281	102	2010
14	1	1	293	86	2009
15	2	2	259	0	2004
16	1	2	259	0	2007
17	1	0	0	0	0
18	1	1	293	0	2007
19	1	0	0	0	0
20	1	1	293	90	2007
21	2	2	249	0	2005
22	1	2	260	0	2006
23	1	1	259	0	2007
24	1	1	262	126	2006
25	1	2	251	102	0
26	2	1	243	120	2005
27	1	2	289	93	2006
28	1	1	259	100	2006
29	1	1	0	0	2009
30	1	0	0	0	0
31	1	2	290	0	2005
32	1	2	243	94	0
33	2	0	259	0	2004
34	1	1	249	0	2007
35	2	1	285	0	2005
36	1	1	293	92	2008
37	1	2	281	96	2008
38	1	2	281	0	2006
39	1	2	281	0	2007
40	2	2	294	0	0
41	1	2	253	0	2006
42	2	2	291	0	2005
43	1	2	263	0	2007
44	1	1	287	0	2006
45	1	2	256	0	2007
46	1	1	259	0	0
47	1	2	310	0	2008
48	0	0	0	0	0
49	1	2	287	0	0
50	1	1	278	103	2007
51	1	2	298	107	2006
52	2	2	0	0	2005
53	1	2	281	98	2008
54	1	2	243	94	2009
55	1	2	280	96	2008
56	1	2	298	0	2008
57	1	2	287	108	2007
58	5	2	257	0	2006
59	1	2	253	106	2006
60	1	1	300	0	2005
61	1	1	297	133	2008
62	1	2	243	108	2006
63	1	1	261	99	2006
64	1	2	293	0	2006
65	1	0	287	0	0
66	1	1	288	0	2008
67	1	2	0	98	0
68	1	2	292	116	2006
69	1	2	244	0	0
70	1	1	278	0	2007
71	1	1	299	0	0
72	1	1	278	88	2007
73	1	1	293	0	2007
74	1	1	289	125	2006
75	1	2	247	88	2004
76	5	2	281	0	2007
77	1	2	276	92	2006
78	1	1	259	0	2007
79	1	1	0	130	2008
80	1	1	243	0	2007
81	1	1	301	0	2007
82	1	1	292	0	2008
83	1	1	309	0	2005
84	1	2	242	86	2008
85	1	1	298	0	2007
86	1	2	286	0	2006
87	1	1	263	0	2006
88	1	1	259	0	2008
89	2	2	243	0	2005
90	1	1	235	0	2006
91	1	1	240	100	2009
92	1	2	267	92	2009
93	1	1	288	0	2006
94	1	1	243	0	2008
95	1	1	299	0	2007
96	1	2	273	136	2009
97	1	2	243	0	2006
98	1	1	274	127	2009
99	1	1	0	0	0
100	1	1	299	93	2005
101	1	2	261	95	0
102	1	2	246	96	2007
103	1	1	236	94	2008
104	1	2	310	129	2008
105	1	2	244	0	2007
106	1	1	246	98	0
107	2	0	261	0	0
108	1	1	293	94	2009
109	1	2	275	133	2007
110	1	2	236	0	2007
111	1	2	240	0	2007
112	2	1	305	0	2005
113	1	1	288	0	2008
114	1	1	261	0	2006
115	1	1	259	0	0
116	2	2	247	0	2004
117	1	2	292	0	0
118	1	1	249	0	2008
119	2	2	275	0	2005
120	1	1	288	0	2008
121	1	1	0	0	2008
122	1	2	282	102	2008
123	1	2	243	96	2008
124	1	2	243	0	2009
125	1	0	0	0	0
