id	status	gender	major	dorm	year
1	1	1	132	0	2008
2	1	1	141	85	2006
3	1	1	203	86	2007
4	2	2	145	0	2005
5	1	1	211	61	2008
6	1	2	122	0	2005
7	1	1	163	58	2008
8	1	1	163	86	2006
9	1	1	143	0	0
10	1	2	174	0	2009
11	1	2	0	132	2008
12	1	2	182	59	2009
13	1	2	151	0	2006
14	1	1	132	87	2008
15	1	1	218	0	2005
16	5	2	151	0	2006
17	1	1	145	58	2009
18	1	1	138	81	0
19	1	2	134	53	2009
20	1	2	191	52	2009
21	1	1	157	0	2007
22	1	1	177	132	2007
23	1	1	149	0	2006
24	1	1	0	0	0
25	2	1	178	0	2004
26	5	1	211	0	2006
27	1	2	217	0	2006
28	1	2	143	65	2007
29	1	1	191	0	2008
30	1	1	191	93	2008
31	1	2	0	81	2006
32	2	1	145	0	2005
33	2	2	141	0	2005
34	1	1	157	85	2006
35	1	2	0	0	2007
36	1	1	170	0	2008
37	1	1	174	53	2009
38	1	1	133	85	2008
39	1	2	132	70	0
40	2	1	163	0	2005
41	1	1	164	57	2009
42	1	1	141	0	2006
43	1	2	143	0	2008
44	4	2	0	0	0
45	2	1	143	0	2004
46	1	1	211	0	2007
47	2	1	163	117	2005
48	1	2	132	87	2007
49	1	1	134	0	2009
50	1	1	145	85	2007
51	1	1	0	0	2007
52	1	1	0	0	2009
53	1	1	0	85	2008
54	1	2	143	0	2005
55	1	2	0	71	2008
56	1	2	151	0	0
57	1	1	134	0	2005
58	1	2	132	53	2008
59	1	1	170	0	2008
60	1	2	210	55	2009
61	1	0	138	53	2007
62	1	1	129	86	2007
63	1	1	145	56	2009
64	1	1	122	100	2007
65	1	1	138	53	2008
66	1	1	211	81	2007
67	1	1	216	53	2009
68	2	1	132	0	2005
69	1	1	118	0	2008
70	1	1	134	81	2008
71	2	1	141	0	2004
72	1	1	191	57	2009
73	1	1	134	96	2007
74	3	0	165	0	0
75	1	1	164	0	2005
76	1	2	135	81	2008
77	1	1	210	0	2007
78	1	2	133	0	2006
79	1	0	132	61	2008
80	1	1	130	85	2007
81	2	2	0	85	2005
82	1	1	178	74	2008
83	1	1	0	85	0
84	1	1	180	0	0
85	1	1	152	0	2008
86	1	1	191	0	2006
87	1	2	158	101	2008
88	1	1	133	62	2008
89	1	0	118	85	2007
90	2	2	143	0	2003
91	1	1	145	85	2006
92	1	2	134	78	2007
93	2	2	145	118	2005
94	1	2	0	59	0
95	1	1	184	60	2008
96	1	2	134	58	2009
97	1	0	148	127	2007
98	1	2	132	73	2008
99	1	2	141	117	2007
100	1	1	134	0	2006
101	1	1	152	0	2005
102	1	1	0	57	2009
103	2	2	119	0	2005
104	1	1	163	0	2008
105	1	2	0	62	2008
106	1	1	196	0	2006
107	2	0	178	117	2005
108	1	2	217	59	0
109	5	2	135	0	0
110	1	2	135	85	2006
111	2	1	141	0	2004
112	1	1	212	0	2007
113	1	1	170	85	2006
114	1	1	132	60	2008
115	2	1	157	0	2004
116	1	1	0	61	2008
117	1	1	211	0	2006
118	2	2	196	0	2004
119	2	1	156	0	2004
120	1	1	180	85	2007
121	1	1	170	95	2006
122	5	2	128	0	2006
123	1	2	170	55	2009
124	2	0	0	0	0
125	1	1	171	0	2007
126	1	2	134	0	2007
127	1	2	143	85	2007
128	1	2	184	0	2007
129	2	1	144	98	2002
130	1	1	180	59	2009
131	1	1	118	0	2006
132	1	2	149	81	2007
133	1	1	134	0	0
134	1	1	150	100	2007
135	1	2	152	0	2008
136	2	1	157	85	2004
137	1	2	171	85	2006
138	1	2	180	57	2009
139	1	2	0	0	2008
140	1	1	191	51	2009
141	1	2	212	55	2009
142	1	2	182	56	2009
143	5	2	165	0	0
144	2	1	211	0	2004
145	1	1	191	0	2005
146	1	1	128	56	0
147	1	2	191	0	2008
148	1	1	191	99	2006
149	2	1	156	0	2004
150	5	2	196	0	0
151	1	2	135	0	2007
152	1	2	145	0	2008
153	1	1	163	55	2009
154	2	1	163	0	2005
155	1	1	161	0	2006
156	1	1	127	85	2006
157	1	1	174	57	2009
158	1	2	152	55	2009
159	1	2	0	59	2009
160	1	1	188	78	2006
161	1	1	163	98	2007
162	1	2	134	0	2006
163	1	2	149	0	2006
164	1	1	174	57	2009
165	1	2	0	85	2007
166	1	1	132	132	2006
167	1	2	165	61	2007
168	1	1	163	71	2008
169	1	2	119	72	2006
170	1	2	134	0	2009
171	5	2	217	0	0
172	1	1	170	55	2009
173	2	0	132	0	2004
174	1	1	156	60	2007
175	1	1	119	87	2008
176	1	1	149	59	2007
177	1	2	127	0	2006
178	1	2	145	85	2007
179	1	2	134	60	2008
180	1	2	134	0	2006
181	1	2	191	0	2006
182	1	2	134	87	2006
183	2	1	132	85	2005
184	2	1	163	0	2004
185	1	2	145	60	0
186	1	1	163	62	2008
187	1	2	134	118	2007
188	1	2	141	81	2009
189	1	2	134	114	2008
190	2	2	163	118	2005
191	2	2	163	0	2004
192	1	2	136	0	2007
193	1	2	189	56	2008
194	1	2	138	61	2004
195	1	1	135	75	2007
196	5	1	163	85	2005
197	1	2	0	0	2008
198	1	2	0	0	0
199	1	1	191	63	2008
200	1	1	175	67	2008
201	1	2	191	0	2008
202	2	0	119	0	2005
203	1	2	126	57	2009
204	2	1	132	0	2005
205	1	2	134	124	2008
206	1	2	132	53	2009
207	1	2	174	57	2009
208	1	2	0	85	2004
209	1	2	134	59	2009
210	1	2	170	63	2008
211	1	2	182	73	2006
212	2	2	140	0	2005
213	1	1	170	55	2009
214	1	1	163	0	2007
215	1	1	212	0	2009
216	1	1	171	0	2006
217	1	2	163	53	2009
218	1	2	151	0	0
219	1	2	174	56	2009
220	1	1	165	85	2007
221	1	2	134	87	2009
222	2	2	177	0	0
223	1	1	134	0	2008
224	1	2	180	85	2006
225	1	2	126	0	2008
226	1	2	138	57	2009
227	1	2	132	83	2007
228	1	2	143	59	2007
229	1	2	217	86	2006
230	1	1	171	0	2006
231	1	2	139	0	2006
232	2	1	135	0	2003
233	1	0	0	0	0
234	1	2	134	75	2006
235	2	1	191	0	2005
236	1	2	180	61	2007
237	1	2	132	85	2005
238	1	1	132	0	2007
239	1	2	157	86	2007
240	1	2	148	0	2008
241	1	0	174	129	2008
242	1	2	145	85	2007
243	2	2	163	0	2005
244	1	1	170	60	2008
245	1	1	175	0	2007
246	1	1	132	51	2009
247	1	2	163	53	2009
248	1	2	171	0	2007
249	2	1	163	100	2005
250	1	1	174	58	2009
251	1	2	165	0	2007
252	2	1	191	117	2005
253	1	2	174	52	2009
254	1	2	145	0	2006
255	5	2	132	0	2005
256	1	1	150	117	2007
257	1	1	174	72	2008
258	1	1	191	0	2006
259	1	1	160	0	2006
260	1	1	135	52	2009
261	1	1	147	0	0
262	1	2	118	0	2005
263	1	2	118	61	0
264	1	2	143	61	2008
265	1	1	141	72	2006
266	1	2	134	117	2007
267	1	2	182	85	0
268	1	1	198	0	0
269	1	2	145	0	2007
270	1	2	165	0	2008
271	2	1	123	0	2004
272	1	1	141	0	2006
273	1	2	132	0	2007
274	1	1	163	0	2007
275	1	1	132	85	0
276	1	1	152	85	2006
277	1	2	163	129	2008
278	1	2	0	53	2009
279	2	1	135	0	0
280	2	2	196	116	2005
281	1	2	151	61	2008
282	1	1	145	73	2008
283	1	2	180	0	0
284	1	1	163	0	2006
285	1	2	119	52	2008
286	2	2	134	0	2005
287	1	1	156	0	2006
288	1	1	128	0	2007
289	1	1	145	98	2006
290	2	1	165	0	2005
291	1	2	145	0	2006
292	1	1	132	56	2009
293	1	2	143	61	2008
294	1	1	136	61	2008
295	1	1	145	0	0
296	2	2	149	0	2005
297	1	2	0	61	2008
298	5	2	145	82	2007
299	1	1	196	67	2007
300	1	2	119	0	0
301	1	1	170	0	2006
302	1	2	134	116	2007
303	1	1	211	64	2008
304	1	2	118	0	2008
305	1	1	128	122	2007
306	1	2	157	56	2009
307	1	2	145	0	2005
308	2	2	157	0	2005
309	1	2	123	132	2008
310	1	1	165	59	2009
311	1	2	157	117	2007
312	1	2	196	53	2008
313	1	1	132	58	2007
314	1	2	171	0	2008
315	1	2	132	132	2006
316	1	2	134	62	2008
317	2	0	0	0	0
318	2	1	191	0	2005
319	1	1	174	61	2008
320	1	2	0	58	2009
321	1	2	134	59	2008
322	1	2	152	55	0
323	1	2	210	0	2007
324	5	0	0	0	0
325	1	1	191	57	2009
326	1	2	134	121	2007
327	1	2	145	0	2006
328	1	2	182	85	2006
329	1	2	134	78	2008
330	1	1	0	0	0
331	1	2	171	110	2005
332	2	2	118	103	0
333	1	2	129	65	2008
334	1	1	170	86	2008
335	1	1	143	0	0
336	1	1	170	85	2007
337	1	2	149	117	0
338	1	2	158	0	2005
339	1	2	132	53	2009
340	1	2	174	59	2009
341	5	2	134	128	2005
342	1	1	132	117	2005
343	1	1	138	0	2005
344	1	1	141	57	2009
345	1	2	132	56	2009
346	1	2	132	0	2008
347	1	1	132	55	2009
348	1	1	161	53	2009
349	1	2	163	55	2009
350	1	1	122	86	2007
351	1	2	149	0	2007
352	1	1	141	0	2006
353	1	1	122	85	2007
354	1	2	213	0	2008
355	1	1	156	68	2007
356	1	2	182	132	2007
357	1	1	174	61	2008
358	2	2	149	0	2005
359	1	0	0	0	0
360	1	1	132	0	2007
361	2	1	145	0	2005
362	1	1	0	0	0
363	1	1	196	0	2005
364	1	1	182	117	2006
365	1	2	132	56	2008
366	2	1	182	0	2005
367	1	1	118	122	2006
368	1	1	184	60	2008
369	1	2	157	0	2006
370	1	1	164	87	2008
371	1	1	0	0	2008
372	1	2	0	0	2009
373	1	1	191	53	0
374	1	1	178	132	2007
375	1	2	134	52	2009
376	1	1	134	71	2006
377	1	2	134	132	2008
378	1	1	134	60	2008
379	2	0	145	0	0
380	1	2	156	82	2007
381	1	1	187	72	2007
382	1	2	135	0	2007
383	1	2	143	61	2007
384	1	2	151	87	0
385	1	2	134	129	2008
386	2	2	149	106	2005
387	1	2	191	132	2008
388	1	2	159	0	2006
389	1	2	218	132	2006
390	1	1	134	95	2006
391	1	1	132	117	2006
392	2	1	0	0	2005
393	1	1	0	61	2007
394	1	1	141	132	2007
395	1	2	157	109	2004
396	1	2	163	53	2009
397	1	1	163	0	2008
398	2	2	182	0	2004
399	2	2	163	0	0
400	1	2	138	59	2009
401	1	2	0	55	2009
402	1	1	157	0	2006
403	2	2	168	0	2005
404	1	0	128	0	2007
405	1	1	156	117	2007
406	1	2	165	121	2006
407	1	1	163	119	2007
408	1	1	174	61	2008
409	1	2	157	0	2005
410	1	2	138	0	0
411	1	1	156	85	2006
412	5	2	140	0	2009
413	1	2	174	132	2008
414	1	1	0	53	2009
415	2	1	163	0	0
416	1	1	191	56	2009
417	5	2	0	0	0
418	1	1	145	0	0
419	1	2	182	70	2008
420	1	2	134	0	2008
421	1	1	134	56	2009
422	1	2	150	58	2006
423	2	2	132	0	2005
424	1	1	165	100	2007
425	1	2	178	0	2006
426	1	1	156	0	2007
427	1	1	120	0	2005
428	1	2	163	0	2006
429	1	2	0	0	0
430	1	2	157	107	0
431	1	2	0	0	0
432	1	1	174	57	2009
433	1	2	163	56	2009
434	5	2	158	0	1998
435	1	1	134	58	2009
436	2	1	132	0	2005
437	1	2	157	60	2008
438	1	2	118	0	2006
439	1	2	170	85	2006
440	1	0	0	0	0
441	2	1	214	0	2004
442	1	1	0	55	2005
443	1	1	145	71	2006
444	1	2	163	55	2009
445	1	1	216	74	2009
446	1	1	157	60	2006
447	1	2	141	71	2008
448	1	0	0	0	0
449	1	2	134	60	2008
450	1	1	152	0	2005
451	2	0	163	0	0
452	1	2	182	56	2009
453	1	1	170	132	2006
454	1	2	182	85	0
455	1	2	0	0	0
456	2	1	138	0	2005
