id	status	gender	major	dorm	year
1	1	2	320	87	2008
2	5	1	278	105	0
3	1	2	268	88	2005
4	1	1	325	86	2009
5	1	2	268	0	2006
6	1	2	339	89	2008
7	1	1	248	0	0
8	1	2	254	89	2005
9	1	2	263	87	2009
10	1	1	250	111	2006
11	1	1	251	0	2008
12	1	2	254	0	2008
13	1	1	254	0	2005
14	1	1	250	86	2007
15	1	2	262	88	2006
16	1	2	307	86	2008
17	1	2	268	88	2008
18	1	2	339	88	2005
19	1	2	339	0	2007
20	1	2	250	87	2009
21	1	2	260	0	2005
22	1	0	253	86	2008
23	1	2	260	88	2007
24	1	2	268	86	2005
25	2	1	251	0	2005
26	1	2	251	0	2005
27	1	1	268	86	2009
28	1	2	263	0	2005
29	1	2	339	113	2007
30	1	1	250	86	2007
31	1	1	252	106	2006
32	1	2	262	88	2008
33	1	1	303	0	2007
34	1	2	339	92	0
35	1	1	251	89	2005
36	1	2	339	88	0
37	1	2	263	88	2008
38	1	2	254	0	2007
39	1	2	306	88	2007
40	1	2	254	87	2008
41	5	2	0	0	0
42	1	1	328	0	2007
43	1	2	253	86	2008
44	1	2	306	0	0
45	1	2	268	94	2008
46	1	1	0	0	2007
47	1	2	273	88	0
48	1	1	257	89	2006
49	2	2	262	0	2000
50	1	1	325	0	2007
51	2	1	316	106	2005
52	1	2	254	0	0
53	2	2	251	0	0
54	1	2	273	88	2009
55	1	2	286	0	2009
56	1	2	262	87	2009
57	1	2	249	0	2005
58	1	2	339	0	2006
59	1	2	260	88	0
60	1	2	262	0	2006
61	1	1	265	0	2006
62	1	2	268	0	2006
63	1	1	278	88	2009
64	1	2	263	88	2009
65	1	2	250	88	2008
66	5	2	306	0	0
67	1	1	278	0	0
68	1	2	339	88	2007
69	1	2	254	0	2007
70	1	2	252	88	2008
71	2	1	249	0	2005
72	1	2	268	87	2007
73	1	2	339	94	2006
74	1	2	339	89	2007
75	1	2	286	0	0
76	1	2	320	0	2008
77	1	2	248	0	2006
78	1	2	273	88	2009
79	2	2	252	0	2004
80	1	0	0	0	0
81	1	2	0	0	0
82	1	0	0	87	2008
83	1	2	251	0	0
84	1	2	339	87	2009
85	1	2	339	0	0
86	1	2	251	0	2006
87	1	2	339	0	2008
88	1	2	252	87	2009
89	1	1	273	110	0
90	1	1	307	88	2008
91	1	2	339	0	0
92	1	2	261	88	2008
93	1	2	339	0	2007
94	2	2	339	0	2005
95	2	1	254	0	2004
96	1	1	252	107	2006
97	1	2	262	88	2009
98	1	2	260	88	0
99	1	2	251	0	2006
100	5	1	286	0	2005
101	1	2	339	89	2008
102	1	2	0	0	0
103	1	2	251	0	2008
104	1	2	339	0	2006
105	1	1	278	88	2009
106	1	1	288	105	2007
107	1	1	273	0	2007
108	1	2	339	89	2007
109	2	2	268	0	2005
