id	status	gender	major	dorm	year
1	5	2	169	0	0
2	1	0	148	262	2008
3	2	1	0	0	0
4	1	1	252	198	2009
5	1	2	272	0	0
6	1	2	172	0	2006
7	1	2	170	0	2008
8	1	2	249	0	2007
9	1	1	287	192	2009
10	1	0	0	0	0
11	1	2	252	0	0
12	1	2	0	198	2008
13	1	1	246	196	2009
14	1	2	148	272	2007
15	1	2	246	191	2008
16	1	2	140	203	2005
17	1	1	198	272	2006
18	5	1	221	0	2009
19	1	1	0	0	2009
20	1	2	0	198	2008
21	1	2	249	198	2009
22	2	1	183	0	2005
23	1	1	252	272	2008
24	1	2	186	272	2006
25	5	2	290	272	2008
26	1	2	181	247	2007
27	5	2	172	0	2004
28	1	1	244	268	2006
29	1	1	152	0	2009
30	1	2	0	199	2009
31	1	1	158	272	2007
32	1	2	147	272	2007
33	1	2	260	198	2009
34	2	1	186	191	2004
35	1	2	183	209	2008
36	1	2	159	0	2008
37	1	2	182	0	2008
38	1	2	216	199	2009
39	1	1	252	272	2007
40	1	2	155	272	2006
41	1	2	0	272	2007
42	1	2	227	203	2009
43	1	1	250	195	2008
44	1	1	216	254	2008
45	2	0	0	0	0
46	1	1	159	194	2009
47	4	2	0	0	0
48	1	1	0	0	0
49	1	1	155	0	2006
50	1	2	247	0	2006
51	1	1	199	0	2006
52	1	1	251	0	0
53	3	2	206	0	0
54	1	1	216	196	2007
55	2	1	258	0	2005
56	1	2	181	272	2005
57	1	2	163	272	2006
58	1	1	0	0	2007
59	1	0	0	0	0
60	1	1	244	237	2007
61	1	2	249	0	2007
62	1	2	0	0	2008
63	1	2	227	199	2009
64	1	1	159	206	2006
65	2	0	0	0	0
66	2	2	216	0	2005
67	6	2	197	197	2008
68	1	1	155	197	2009
69	2	1	147	0	2004
70	1	1	159	0	2007
71	2	1	252	272	2005
72	2	1	252	0	2005
73	1	1	216	202	2008
74	1	1	147	195	2008
75	1	1	198	272	2008
76	1	1	221	200	2006
77	1	2	183	272	2007
78	1	2	181	201	2006
79	1	2	259	226	2006
80	1	1	244	197	2009
81	1	1	230	272	2006
82	2	2	236	0	2001
83	1	2	229	272	2006
84	1	1	244	0	2007
85	1	0	182	201	0
86	1	1	198	191	2007
87	1	1	0	191	2009
88	2	1	186	272	0
89	2	2	181	272	2005
90	1	2	181	0	2006
91	1	1	159	0	2007
92	1	1	252	195	2008
93	1	2	246	0	2007
94	1	1	244	194	2008
95	1	1	0	196	2009
96	1	2	219	0	2008
97	1	2	236	0	0
98	1	1	186	191	2009
99	1	0	0	0	0
100	2	1	158	272	2005
101	1	1	167	0	2006
102	1	1	235	203	2008
103	2	0	0	0	0
104	2	2	160	0	2002
105	1	1	0	258	2008
106	2	1	234	0	0
107	1	2	250	2790	2008
108	1	2	140	194	2008
109	1	1	159	272	2006
110	1	1	187	272	2008
111	1	1	249	199	2008
112	5	2	252	272	2010
113	1	1	0	191	2009
114	1	2	147	195	2009
115	2	1	167	268	2005
116	1	0	0	0	0
117	1	2	183	196	2008
118	1	1	158	263	2006
119	1	2	155	203	2009
120	5	2	284	2789	2005
121	1	0	0	0	0
122	1	1	249	198	2009
123	2	1	275	0	2003
124	2	1	244	0	2005
125	2	1	181	0	2005
126	1	1	221	195	2008
127	2	2	159	272	2004
128	5	2	290	0	0
129	1	2	0	203	2009
130	5	1	274	245	2004
131	1	2	159	0	2009
132	2	2	140	272	2005
133	1	2	175	0	2007
134	1	1	0	0	2008
135	1	2	0	0	0
136	1	1	246	202	2009
137	1	1	159	254	2006
138	1	2	183	0	2005
139	1	2	216	0	2005
140	1	1	252	272	2008
141	1	0	0	0	0
142	1	2	184	0	2008
143	1	2	147	272	2006
144	1	2	0	0	0
145	1	2	216	272	2007
146	1	1	0	0	0
147	1	1	159	0	2007
148	2	2	0	0	2005
149	1	1	154	272	2006
150	1	2	0	0	0
151	1	1	234	196	2008
152	2	0	0	0	0
153	2	1	186	0	2005
154	5	0	0	0	0
155	2	1	186	0	2004
156	1	1	215	197	2008
157	1	1	216	255	2007
