id	status	gender	major	dorm	year
1	1	2	31	329	2006
2	1	2	0	0	2006
3	1	2	19	329	2009
4	1	2	33	331	2008
5	1	1	14	329	2008
6	1	1	22	330	2006
7	1	1	0	328	2007
8	1	2	1	327	2005
9	1	1	0	327	2008
10	1	2	10	331	2008
11	2	2	0	0	2002
12	2	2	31	0	2005
13	2	2	1	0	2005
14	1	2	10	331	2007
15	1	2	11	330	2006
16	1	2	28	331	2007
17	1	2	22	330	2008
18	1	0	0	0	2009
19	1	2	30	329	2009
20	1	2	14	327	2008
21	2	2	39	328	2005
22	2	0	4	0	2005
23	1	1	1	333	2006
24	1	1	36	0	2005
25	1	1	16	329	2008
26	2	2	1	0	2004
27	2	2	10	0	2005
28	1	0	29	327	2006
29	2	1	1	327	2004
30	1	0	0	0	0
31	2	1	11	0	2005
32	1	0	0	0	0
33	2	1	40	329	2005
34	1	1	0	327	2009
35	2	2	22	330	2004
36	1	1	10	330	2008
37	1	1	19	331	2006
38	2	2	3	0	2004
39	1	2	18	330	2007
40	1	2	19	329	2007
41	2	0	0	0	0
42	1	2	10	330	2006
43	1	2	0	331	2007
44	2	1	22	330	0
45	1	1	0	331	2008
46	4	2	0	0	0
47	1	1	0	329	2009
48	1	2	0	327	2009
49	1	1	22	330	2008
50	1	2	0	331	2007
51	1	2	19	331	2006
52	1	2	5	0	2007
53	1	2	0	331	2008
54	4	1	0	0	0
55	2	1	11	327	2005
56	1	1	22	331	2008
57	1	2	13	330	2008
58	2	0	0	0	0
59	2	2	0	0	0
60	1	1	0	0	2009
61	1	1	0	327	2008
62	1	1	4	331	2007
63	2	1	20	0	2005
64	1	1	0	327	2007
65	1	2	0	0	2008
66	1	1	11	0	2006
67	1	1	26	327	2008
68	1	2	1	329	2007
69	1	2	10	330	2007
70	2	2	11	0	2005
71	1	2	10	331	2007
72	2	1	25	329	2005
73	2	1	11	329	2004
74	1	1	12	327	2006
75	1	2	31	331	2007
76	1	1	21	331	2009
77	1	1	33	331	2008
78	1	2	10	331	2008
79	1	1	33	328	2006
80	1	1	28	329	2005
81	2	2	10	0	2005
82	1	2	21	330	2006
83	1	1	0	328	2008
84	2	1	11	0	2004
85	1	0	0	330	2008
86	1	2	4	0	2005
87	1	1	0	0	2009
88	1	1	22	328	2006
89	2	2	31	0	2005
90	2	2	22	0	2005
91	2	1	38	0	2004
92	1	2	35	331	2006
93	1	1	0	328	2008
94	2	1	26	0	2005
95	1	1	20	328	2006
96	1	1	33	328	2008
97	2	2	1	0	2004
98	1	2	0	331	2009
99	1	1	0	327	2009
100	1	2	31	0	2007
101	1	2	22	328	2008
102	1	2	0	327	0
103	1	1	22	328	2009
104	1	2	0	0	2009
105	1	2	19	333	2006
106	5	1	37	0	2005
107	1	2	30	329	2006
108	1	1	14	328	2004
109	1	1	22	330	2006
110	1	2	0	0	2005
111	1	0	11	327	2006
112	1	2	0	0	2007
113	1	2	10	330	2006
114	2	1	33	0	2005
115	1	2	16	331	2007
116	2	1	33	0	2004
117	1	2	26	331	2006
118	1	2	3	334	2009
119	1	1	20	327	2008
120	1	1	12	329	2009
121	1	0	7	329	2006
122	1	1	20	327	2006
123	2	1	21	328	2004
124	1	1	36	328	2008
125	1	1	0	329	2008
126	1	2	19	330	2009
127	1	2	12	331	2009
128	1	1	0	0	2009
129	1	1	15	329	2009
130	2	1	12	328	2002
131	1	2	0	327	2009
132	1	2	0	330	2008
133	1	2	0	327	2008
134	1	1	33	327	2005
135	1	1	0	331	2009
136	2	1	33	330	2005
137	1	1	12	0	2008
138	2	1	10	0	2005
139	1	1	22	328	2007
140	2	2	21	330	2004
141	1	2	21	327	2008
142	1	1	36	330	2006
143	5	0	0	0	0
144	1	2	31	0	2006
145	1	1	0	331	2008
146	1	2	0	0	0
147	1	1	23	330	2008
148	1	1	35	327	2007
149	1	2	21	329	2006
150	1	1	6	327	2007
151	1	1	20	334	2007
152	2	1	16	0	2005
153	1	1	0	330	2008
154	1	1	15	332	2006
155	1	1	1	330	2006
156	1	1	21	328	2009
157	1	2	31	327	2009
158	2	1	12	0	2005
159	2	1	11	329	2005
160	2	2	21	331	2005
161	1	2	11	0	0
162	1	1	5	327	2009
163	2	2	5	328	2005
164	1	1	31	328	2007
165	1	1	36	327	2007
166	1	2	39	328	2007
167	1	1	32	331	2006
168	1	2	33	330	2008
169	1	1	11	328	2008
170	1	1	10	331	2007
171	1	2	31	330	2007
172	1	2	10	329	2007
173	1	1	1	328	2006
174	1	2	10	335	2006
175	1	1	37	331	2008
176	1	1	0	328	2009
177	1	0	0	0	0
178	1	1	31	329	0
179	1	1	10	329	2006
180	1	2	22	327	2007
181	1	2	0	328	2009
182	1	0	0	0	0
183	1	2	11	327	2006
184	1	2	40	0	0
185	1	1	0	330	0
186	1	2	10	329	2006
187	2	2	25	330	2004
188	1	2	10	330	2008
189	1	1	40	329	2009
190	1	2	14	331	2005
191	1	1	37	329	2008
192	1	1	22	327	2007
193	1	1	33	0	2004
194	1	1	22	331	2007
195	2	2	22	0	2004
196	1	2	29	331	2007
197	1	2	33	331	2006
198	1	1	11	328	2006
199	1	1	0	329	2009
200	1	2	20	331	2007
201	1	1	5	329	2006
202	1	2	8	329	2008
203	1	1	33	0	2007
204	1	1	20	329	2006
205	3	2	0	0	0
206	1	1	33	329	2007
207	1	1	29	327	2008
208	1	0	0	330	2006
209	1	0	30	0	0
210	2	1	39	0	2003
211	1	2	0	0	2009
212	2	2	25	0	2004
213	2	1	33	0	2005
214	2	2	10	330	2005
215	1	2	4	329	2007
216	1	2	0	329	2009
217	2	1	12	0	2005
