id	status	gender	major	dorm	year
1	1	2	284	0	2007
2	1	1	266	97	2009
3	1	1	268	0	0
4	1	1	254	0	2008
5	1	1	252	99	2009
6	2	2	0	0	0
7	1	1	248	99	2009
8	1	2	289	92	2009
9	2	2	250	0	2004
10	1	2	0	0	0
11	1	2	276	0	0
12	1	0	256	0	2008
13	1	2	266	0	2009
14	2	2	257	0	0
15	1	0	0	0	0
16	1	2	248	95	2007
17	1	1	249	0	0
18	1	2	277	0	2007
19	1	1	252	93	2009
20	1	1	263	131	2006
21	1	1	276	118	2007
22	1	1	0	0	2008
23	1	0	0	0	0
24	1	1	243	119	2008
25	1	2	247	0	2007
26	1	2	272	0	0
27	1	1	272	123	2006
28	1	1	274	0	0
29	1	1	252	125	2006
30	1	1	277	101	2009
31	1	0	287	119	2008
32	1	2	253	86	2008
33	1	2	252	0	2005
34	1	2	277	0	2006
35	1	1	0	93	2008
36	1	1	248	119	2008
37	1	1	238	99	2009
38	1	2	244	0	0
39	1	1	258	0	2007
40	1	2	281	0	2008
41	1	2	0	0	2008
42	1	2	277	90	2008
43	1	1	280	99	2009
44	2	2	284	0	2004
45	1	1	258	0	2006
46	1	1	237	118	2007
47	1	1	238	0	0
48	1	2	0	0	2007
49	1	2	281	92	2009
50	1	1	287	99	2009
51	1	1	254	0	0
52	5	2	268	0	0
53	1	2	258	0	2006
54	1	2	277	92	2009
55	1	1	238	0	2009
56	5	2	238	0	2006
57	1	2	254	106	2007
58	1	1	238	0	0
59	1	1	287	0	2007
60	1	0	0	0	0
61	1	1	280	0	2006
62	1	1	248	0	0
63	1	2	277	0	0
64	1	2	277	92	2005
65	1	2	272	0	0
66	1	1	254	99	2009
67	1	2	277	114	2006
68	2	1	273	0	2005
69	1	1	272	124	0
70	1	2	282	0	0
71	5	1	256	0	2006
72	1	1	249	93	2009
73	1	1	253	0	2006
74	1	1	254	0	2007
75	1	1	254	125	2006
76	2	1	277	0	2005
77	1	2	258	112	2004
78	1	2	277	0	2006
79	1	2	253	0	2006
80	1	1	258	120	0
81	1	2	253	0	0
82	1	1	268	0	2008
83	1	0	0	0	0
84	1	1	266	97	2009
85	1	2	259	0	2005
86	1	2	248	92	2008
87	1	1	254	93	2009
88	1	2	238	0	2006
89	1	1	249	0	0
90	1	2	280	110	2007
91	1	2	272	0	2008
92	1	2	277	0	2006
93	1	1	258	99	2009
94	1	1	0	123	2008
95	1	2	248	108	2007
96	1	1	282	0	2007
97	1	2	238	86	2008
98	1	1	240	0	2007
99	1	0	0	0	0
100	1	1	279	99	2009
101	1	2	277	0	0
102	2	1	258	0	2005
103	1	2	238	0	2007
104	1	1	272	136	0
105	1	1	240	121	2007
106	1	1	238	125	2008
107	1	1	268	98	2008
108	1	2	241	116	2007
109	1	1	248	0	2009
110	1	1	280	101	2008
111	5	1	245	0	2005
112	2	1	277	0	0
113	1	1	238	0	2006
114	1	1	287	0	2009
115	5	2	248	115	2005
116	1	2	241	86	2008
117	1	1	277	0	2005
118	1	2	248	0	2007
119	1	1	258	120	2006
120	5	2	289	0	2008
121	1	2	241	92	2009
122	1	1	287	0	2007
123	1	2	0	0	2007
124	1	1	277	118	2006
125	2	1	245	0	2005
126	1	1	0	102	2007
127	1	2	0	0	2007
128	1	2	0	108	2006
129	1	1	256	0	2008
130	2	1	282	0	2005
131	1	1	238	89	2007
132	1	1	268	0	0
133	1	0	0	0	0
134	1	1	240	99	2009
135	1	1	272	97	2009
136	2	1	252	0	2005
137	1	1	287	99	2009
138	1	1	280	0	2005
139	1	2	277	113	2007
140	1	1	287	93	2009
141	1	2	280	103	2007
142	1	2	271	90	2009
143	2	1	248	121	2005
144	2	1	0	0	0
145	1	2	0	0	0
146	1	1	248	121	2008
147	1	1	276	126	2007
148	1	2	271	90	2009
149	1	1	254	93	2009
150	1	1	253	0	2006
151	1	2	0	0	2009
152	1	2	260	0	2006
153	2	2	256	0	2005
154	1	0	0	0	0
155	1	1	282	0	2007
156	1	1	258	99	2009
157	2	1	246	0	0
158	1	1	238	0	2009
159	1	0	0	0	0
160	5	0	0	0	0
161	1	1	238	99	2009
162	1	1	279	122	2008
163	1	1	254	119	2006
164	1	2	280	92	2009
165	1	1	254	126	2007
166	1	2	252	0	0
167	1	1	239	0	2006
168	1	1	277	99	2005
169	1	1	282	0	2007
170	1	1	272	99	2009
171	1	2	248	0	2006
172	1	1	273	0	2006
173	1	2	284	127	2005
174	2	1	241	123	0
175	1	1	282	93	2008
176	1	1	274	89	2009
177	1	1	258	122	2007
178	1	1	277	99	2009
179	1	1	237	93	2009
180	1	1	259	93	0
181	1	2	277	0	2006
182	1	1	272	0	2007
183	1	2	277	0	0
184	5	1	256	123	2007
185	1	1	249	125	2008
186	1	1	258	136	2008
187	1	1	281	0	2006
188	1	1	263	123	0
189	1	2	258	109	2005
190	1	2	280	116	2006
191	1	1	249	124	0
192	1	1	240	0	2005
193	2	2	0	0	0
194	1	2	241	0	2008
195	1	1	272	0	2007
196	1	0	277	0	2005
197	1	1	245	123	2007
198	2	2	258	116	2005
199	1	1	237	93	2008
200	1	2	277	119	2008
201	1	2	272	104	2007
202	1	1	238	93	2009
203	1	1	0	0	0
204	1	2	283	108	2008
205	1	1	240	99	2009
206	1	1	249	93	2009
207	1	2	258	0	2006
208	1	2	283	89	2009
209	1	1	287	99	2009
210	1	2	278	0	2008
211	1	2	0	0	2008
212	1	1	282	93	2009
213	1	1	279	126	2007
214	1	1	259	119	2005
215	1	2	253	0	2007
216	2	1	237	0	2005
217	5	2	280	0	0
218	2	1	254	0	2005
219	1	2	271	92	2009
220	5	2	280	0	2006
221	1	2	258	90	2009
222	1	2	238	113	2007
223	1	2	0	103	2007
224	1	2	248	109	2006
225	2	1	238	119	2005
226	2	2	0	115	0
227	1	1	237	0	2008
228	5	1	280	120	2005
229	1	2	238	92	2009
230	1	1	0	120	0
231	1	1	0	101	2006
232	1	2	248	0	0
233	1	1	280	101	2008
234	1	1	240	0	2006
235	1	1	248	93	2009
236	2	2	258	0	2005
237	1	1	248	135	2007
238	1	1	239	99	2009
239	1	1	258	0	2006
240	1	1	252	99	2009
241	1	2	280	113	2008
242	1	1	272	120	2007
243	1	1	254	93	2009
244	1	2	252	0	2007
245	1	1	243	93	2008
246	1	0	0	0	0
247	1	1	282	0	2007
248	1	2	0	0	2009
249	1	2	277	92	2005
250	1	2	254	136	2008
251	1	0	0	0	0
252	5	2	246	0	2008
253	1	1	282	0	2007
254	1	0	249	118	2005
255	1	1	253	97	0
256	1	2	0	0	2010
257	1	1	277	93	2009
258	1	1	284	0	2008
259	2	1	0	0	2003
260	1	1	249	0	2006
261	1	2	0	90	2008
262	1	2	281	113	2007
263	1	1	258	0	2007
264	1	1	272	0	2007
265	5	2	289	0	2008
266	1	1	261	121	2006
267	1	0	282	0	2006
268	1	2	264	89	2009
269	5	2	244	0	2004
270	1	1	278	0	2007
271	1	2	281	0	2005
272	1	1	282	0	2008
