id	status	gender	major	dorm	year
1	1	1	0	0	2009
2	1	1	0	0	2008
3	1	2	209	57	2007
4	2	0	0	0	0
5	1	2	174	27	2008
6	1	1	0	34	2009
7	1	1	0	34	2009
8	2	1	209	51	2005
9	1	2	204	37	2009
10	1	1	129	25	2007
11	1	1	160	0	2007
12	2	1	129	0	2004
13	1	1	174	22	0
14	1	0	0	0	0
15	1	0	197	0	2006
16	1	1	135	34	2009
17	1	1	148	42	2009
18	1	1	135	33	2006
19	2	2	174	0	2005
20	1	1	174	0	2007
21	1	1	223	36	2008
22	2	2	197	0	2005
23	2	2	205	0	2005
24	4	1	233	0	0
25	1	1	136	0	2006
26	1	1	135	31	2008
27	2	2	221	0	0
28	1	0	0	0	0
29	1	1	148	0	2008
30	2	0	0	0	0
31	1	1	230	0	2009
32	1	2	135	0	0
33	1	1	190	32	2007
34	1	0	0	0	0
35	1	2	234	31	2007
36	2	1	204	0	2005
37	1	1	223	0	2006
38	1	1	149	26	2008
39	1	1	186	0	2007
40	1	1	168	37	2008
41	1	2	188	16	2008
42	1	2	219	8	2007
43	1	1	209	41	2009
44	1	1	135	25	2008
45	2	1	135	27	2005
46	1	2	0	37	2009
47	1	2	232	58	2010
48	1	1	174	23	0
49	1	1	213	31	2006
50	2	2	209	0	2005
51	1	1	222	0	2005
52	1	2	219	26	2007
53	1	2	221	33	2006
54	1	1	0	0	2007
55	1	1	218	55	2006
56	1	2	224	37	2009
57	1	2	208	31	2008
58	1	0	0	0	0
59	1	1	204	24	0
60	1	2	168	62	2008
61	1	2	222	28	2008
62	1	2	209	33	2006
63	1	1	204	23	0
64	1	2	211	37	2009
65	1	1	209	0	2006
66	5	0	0	0	0
67	2	2	209	16	0
68	2	1	191	0	2004
69	1	2	209	0	2005
70	2	1	142	0	2005
71	1	2	0	57	2007
72	1	2	210	0	2005
73	1	1	209	37	2009
74	1	1	223	38	2005
75	1	1	230	32	2008
76	1	1	221	0	2009
77	1	2	203	62	2008
78	1	1	223	34	2009
79	2	1	168	0	2004
80	1	2	209	24	2007
81	1	1	0	42	2009
82	1	1	218	62	2008
83	1	1	223	34	2009
84	1	1	150	0	2008
85	1	1	230	28	2009
86	1	1	160	0	2006
87	1	1	223	23	2009
88	1	1	160	32	2007
89	1	1	213	41	2006
90	1	2	136	31	2007
91	1	2	211	42	2009
92	1	1	191	62	2008
93	1	2	150	0	2006
94	2	2	0	0	2003
95	1	1	0	0	0
96	1	0	221	23	2005
97	1	1	190	0	2006
98	1	1	191	0	2007
99	1	0	0	0	0
100	1	1	136	32	2008
101	1	1	148	42	2006
102	1	2	168	33	2007
103	1	1	129	26	0
104	1	1	174	31	2008
105	1	1	0	32	2007
106	5	1	196	34	2004
107	1	1	213	31	2008
108	5	0	0	0	0
109	1	2	186	37	2009
110	1	1	158	0	2006
111	1	1	0	34	2009
112	2	1	144	0	2005
113	1	1	209	27	2006
