id	status	gender	major	dorm	year
1	1	1	108	73	2006
2	1	1	0	32	2010
3	1	1	95	0	2007
4	1	1	100	0	2008
5	1	1	92	0	2008
6	1	1	103	32	2010
7	1	1	90	0	2008
8	1	1	0	31	2010
9	1	2	102	43	2010
10	1	1	89	0	2008
11	1	2	103	42	2009
12	1	1	83	42	0
13	1	1	70	43	2010
14	1	2	89	42	2009
15	1	1	95	72	0
16	1	1	84	42	2009
17	2	1	53	0	2004
18	1	2	88	63	0
19	2	1	53	80	2008
20	1	2	64	34	2010
21	1	1	74	91	2007
22	1	1	82	0	0
23	1	1	95	64	2007
24	1	2	95	42	2009
25	1	1	53	49	0
26	1	2	0	35	2009
27	1	2	115	0	0
28	2	2	94	0	2005
29	1	2	74	33	2008
30	1	1	84	42	2008
31	1	2	76	0	2005
32	1	1	74	34	2010
33	1	0	0	0	0
34	1	1	74	70	2008
35	1	1	106	71	2007
36	1	2	77	68	2010
37	1	2	98	42	2007
38	2	1	67	0	2005
39	1	1	95	0	0
40	1	1	64	50	2010
41	1	1	83	35	2010
42	1	1	50	0	2006
43	1	2	105	41	2009
44	1	2	93	0	2009
45	1	0	0	0	0
46	1	2	98	72	2008
47	1	2	48	70	0
48	1	2	108	0	2006
49	1	2	93	32	2010
50	1	2	62	48	2010
51	1	1	70	0	2006
52	1	2	0	43	2010
53	1	2	91	41	2007
54	1	2	98	0	2007
55	1	0	53	71	2006
56	5	1	74	85	0
57	1	1	64	0	2007
58	5	1	55	0	0
59	1	1	73	0	2009
60	1	1	60	0	2008
61	1	2	108	70	2008
62	1	1	74	102	0
63	1	2	93	0	2008
64	1	2	74	56	2009
65	1	1	46	63	2006
66	2	1	55	0	2005
67	1	1	115	34	2009
68	1	2	53	48	2010
69	1	1	78	0	2008
70	1	2	103	0	0
71	1	2	0	91	2007
72	1	1	100	31	2010
73	1	1	82	42	2009
74	1	2	109	102	2006
75	1	1	82	102	2006
76	1	1	0	42	2009
77	1	2	106	0	2006
78	1	2	89	70	2007
79	1	2	99	50	2010
80	1	2	95	0	2005
81	1	1	95	0	2005
82	1	1	84	32	2010
83	1	2	92	42	2009
84	2	1	82	0	2005
85	1	1	49	33	2008
86	2	1	106	0	2005
87	1	0	0	40	2009
88	1	1	108	102	2006
89	1	1	74	33	2008
90	1	1	73	0	2006
91	1	2	56	0	2009
92	2	1	86	0	2005
93	1	1	64	83	2009
94	1	1	95	0	2010
95	1	2	83	40	0
96	1	1	86	70	2009
97	1	2	70	50	2010
98	5	2	73	0	2006
99	1	1	97	31	2010
100	1	0	0	71	2009
101	1	2	74	0	2006
102	1	1	47	0	2005
103	2	2	98	0	2005
104	1	2	70	102	0
105	1	1	44	0	2007
106	1	2	104	51	2010
107	1	1	88	0	2007
108	1	0	0	0	0
109	2	1	0	0	2005
110	1	2	106	42	2007
111	1	0	0	0	0
112	1	1	0	51	2010
113	1	1	73	34	2010
114	1	2	101	33	2008
115	1	2	55	74	2007
116	1	1	54	33	2007
117	1	1	53	0	2007
118	1	1	90	0	2008
119	1	1	53	0	2008
120	1	2	115	42	2008
121	1	2	108	51	2009
122	1	0	95	33	2008
123	1	2	93	0	2010
124	1	1	0	0	2010
125	1	1	92	0	0
126	1	2	59	35	2008
127	1	1	0	0	0
128	1	1	62	38	2006
129	1	2	0	35	2009
130	1	2	92	31	0
131	1	1	84	0	2008
132	1	2	105	102	2006
133	1	2	66	49	2008
134	2	1	86	0	2005
135	1	2	83	32	2005
136	1	2	47	31	2009
137	1	2	94	33	2009
138	1	2	83	69	2010
139	1	1	64	70	2009
140	1	1	55	42	2009
141	1	2	75	71	2008
142	1	2	74	0	2008
143	1	1	108	42	2009
144	1	1	89	0	2006
145	1	1	0	32	2010
146	1	2	82	0	0
147	1	2	81	72	2006
148	1	1	90	0	2007
149	1	1	53	72	2007
150	1	1	50	32	2009
151	1	2	83	43	2010
152	1	1	95	50	2010
153	1	2	84	0	2010
154	2	2	98	0	2003
155	2	1	108	0	2004
156	1	2	0	51	0
157	1	2	83	49	2010
158	1	2	107	102	2010
159	1	0	0	0	0
160	1	0	74	0	2006
161	1	2	71	46	2010
162	1	1	74	34	2010
163	2	0	0	0	0
164	1	2	94	0	2006
165	2	2	96	67	1998
166	1	1	46	0	2007
167	1	1	95	0	2007
168	1	2	111	0	2006
169	1	2	108	68	2010
170	1	1	97	79	2008
171	1	0	0	0	0
172	1	1	83	0	2008
173	1	2	108	32	2009
174	1	2	0	44	2008
175	1	1	84	51	2010
176	1	1	64	79	2006
177	1	2	83	0	2004
178	1	1	64	0	2008
179	1	0	63	50	2010
180	2	0	0	0	0
181	1	2	89	0	2009
182	1	2	112	32	2009
183	2	1	90	0	0
184	1	2	105	78	2008
185	2	1	0	0	0
186	2	2	98	0	2005
187	1	2	54	87	2007
188	1	2	90	102	2007
189	1	1	83	42	2010
190	1	1	82	34	2010
191	1	1	82	48	2010
192	1	1	101	35	2009
193	1	1	82	0	0
194	1	2	95	79	2006
195	1	2	62	51	2010
196	1	2	62	52	0
197	5	2	101	0	0
198	1	0	0	50	2010
199	1	2	108	43	2010
200	1	1	95	70	2005
201	2	2	94	0	2005
202	1	1	53	0	2005
203	1	1	47	0	2008
204	1	1	82	0	2006
205	1	1	100	0	2006
206	1	2	94	33	2008
207	1	2	59	33	2008
208	1	1	0	37	2010
209	5	2	104	0	2004
210	1	2	105	51	2009
211	1	2	55	0	2009
212	1	1	43	0	2009
213	1	0	0	0	0
214	1	2	108	69	2007
215	1	1	74	0	2008
216	1	2	101	33	2008
217	1	1	82	0	2006
218	1	1	73	32	2010
219	1	1	64	70	0
220	1	2	0	34	2009
221	1	1	86	0	2006
222	1	0	49	0	0
223	1	2	100	102	2006
224	1	1	81	72	2008
225	1	1	88	31	2009
226	1	1	84	78	2009
227	1	2	83	33	0
228	1	1	83	51	2010
229	1	2	74	34	2009
230	1	2	73	102	2005
231	1	2	105	54	2008
232	1	1	82	0	2008
233	1	1	84	50	2010
234	1	1	59	37	0
235	1	1	70	0	2009
236	1	0	0	0	0
237	1	1	82	0	2007
238	1	1	75	42	2009
239	1	0	0	0	0
240	1	1	49	72	2009
241	1	1	104	35	2009
242	1	2	85	0	2005
243	1	1	100	93	2007
244	1	1	62	51	2010
245	1	1	50	0	2006
246	1	1	74	63	2007
247	1	2	64	0	2008
248	1	2	84	40	2008
249	1	1	64	0	2007
250	1	2	104	102	2006
251	1	2	112	51	2010
252	1	2	98	53	2007
253	2	1	75	0	2005
254	1	1	92	0	2009
255	1	1	86	0	2007
256	1	1	47	33	2008
257	1	1	73	0	2007
258	1	1	74	33	2006
259	1	2	103	32	2010
260	1	1	79	0	2009
261	1	2	73	52	2008
262	2	1	88	0	2004
263	1	0	0	0	0
264	1	0	53	72	2008
265	1	2	101	73	2005
266	1	0	93	0	2010
267	1	1	64	0	2006
268	1	2	55	32	2010
269	1	1	0	0	0
270	1	0	0	0	0
271	1	1	108	43	2010
272	1	1	47	79	2009
273	1	2	94	55	2007
274	1	1	46	51	2010
275	1	0	83	33	2008
276	2	1	73	0	2005
277	1	2	105	70	2006
278	1	2	102	42	2009
279	1	1	50	74	2007
280	1	2	55	79	2008
281	1	2	89	0	2008
282	1	2	53	89	2007
283	2	2	107	0	2005
284	1	1	97	72	2008
285	2	2	78	0	2005
286	2	1	47	0	2005
287	1	1	74	35	2009
288	1	1	74	50	2009
289	1	1	77	42	2009
290	1	1	82	47	2009
291	1	1	106	32	2010
292	1	2	106	32	2010
293	1	0	75	0	0
294	1	2	64	68	2010
295	1	1	102	0	2006
296	1	2	74	50	2010
297	1	2	70	0	0
298	1	2	98	0	2008
299	1	1	62	0	2007
300	1	1	50	42	2009
301	1	0	0	0	0
302	1	1	95	0	2007
303	1	2	102	102	2006
304	1	1	93	41	2007
305	1	2	83	42	2009
306	1	2	90	34	2006
307	1	2	105	0	2006
308	1	2	76	0	2007
309	1	2	111	0	2007
310	1	2	54	31	2010
311	1	2	98	70	2009
312	1	2	108	0	2006
