id	status	gender	major	dorm	year
1	1	1	150	259	2007
2	1	0	197	219	2008
3	2	1	205	0	2005
4	1	1	0	212	2009
5	2	2	197	197	2004
6	1	1	205	190	2009
7	1	1	195	250	2006
8	1	2	216	219	2007
9	5	1	152	0	2008
10	1	1	210	250	2007
11	1	2	206	221	2007
12	1	2	212	197	2007
13	1	1	152	0	2006
14	1	1	221	250	2008
15	2	2	182	239	2005
16	1	1	160	212	2007
17	2	2	194	227	2002
18	1	2	218	189	2008
19	1	2	216	205	2007
20	1	0	0	0	0
21	2	1	206	259	2005
22	1	2	0	0	0
23	1	2	184	211	2008
24	1	0	195	247	2007
25	1	1	195	245	2007
26	1	1	159	247	2006
27	5	0	0	0	0
28	1	2	187	0	2005
29	2	2	153	0	2005
30	2	1	205	0	2005
31	1	1	196	219	2009
32	2	1	195	247	2004
33	1	2	159	222	2006
34	1	1	212	259	2007
35	1	1	218	193	2009
36	1	1	195	195	2008
37	1	1	195	250	2007
38	2	2	195	0	2004
39	2	2	205	0	2005
40	2	1	206	0	2004
41	1	1	195	197	2007
42	1	2	206	195	2009
43	1	1	197	253	2008
44	1	1	184	210	2006
45	1	1	182	206	2007
46	1	2	183	234	2006
47	1	1	0	254	2007
48	2	1	195	253	2004
49	2	1	0	0	0
50	1	1	0	0	2008
51	5	1	195	0	2006
52	4	0	0	0	0
53	2	1	154	250	2005
54	1	1	200	189	2009
55	1	0	144	259	2008
56	1	2	208	195	2008
57	1	2	150	233	2007
58	1	1	216	213	2009
59	1	1	195	256	2007
60	1	2	212	203	2007
61	2	1	160	0	2005
62	1	2	0	189	2008
63	1	1	199	249	2006
64	1	2	193	212	2008
65	1	2	182	0	2006
66	2	0	199	0	2005
67	1	1	204	215	2008
68	1	2	209	211	2006
69	1	2	0	0	0
70	1	0	197	226	2007
71	2	2	218	202	2005
72	1	1	208	256	2006
73	1	2	182	189	2006
74	1	0	0	0	0
75	1	1	150	247	2007
76	1	1	219	0	2007
77	1	1	218	208	2008
78	1	1	199	219	2009
79	1	0	183	0	2007
80	2	2	216	0	2005
81	1	1	218	0	2008
82	2	2	200	0	2004
83	1	1	206	197	2007
84	1	1	195	195	2009
85	1	1	179	250	2006
86	2	1	182	254	2004
87	1	1	158	0	2008
88	1	1	205	0	2006
89	1	2	194	195	2008
90	1	2	199	0	0
91	2	2	182	0	2005
92	1	2	199	191	2009
93	1	2	197	208	2009
94	1	1	197	0	2006
95	5	1	215	0	0
96	1	1	150	210	2007
97	1	2	171	232	2008
98	1	1	150	0	2005
99	1	2	200	202	2007
100	1	1	0	205	2008
101	1	1	206	203	2006
102	1	0	0	0	0
103	1	2	216	197	2008
104	2	2	205	0	2004
105	1	2	152	195	2009
106	1	2	150	233	2006
