id	status	gender	major	dorm	year
1	1	2	212	24	2009
2	1	1	188	0	2007
3	1	2	154	12	2006
4	1	1	0	34	2007
5	2	2	0	17	0
6	2	2	123	0	2005
7	2	2	118	4	2004
8	1	1	118	2	2006
9	1	2	159	17	2006
10	1	2	191	0	2007
11	2	2	225	24	2004
12	1	2	0	6	2009
13	1	1	216	7	2009
14	1	2	217	16	2008
15	1	0	216	8	2006
16	1	2	195	34	2007
17	5	1	188	0	2007
18	1	2	194	23	2005
19	1	1	124	0	2006
20	2	2	165	24	2002
21	2	1	195	0	2005
22	2	2	165	0	2005
23	1	2	179	17	2009
24	1	1	159	9	2008
25	1	2	219	27	2006
26	1	1	193	19	2007
27	1	1	156	30	2009
28	1	1	123	15	2006
29	1	2	132	8	2009
30	1	1	166	14	2009
31	1	1	220	36	2006
32	1	0	0	0	0
33	1	1	154	5	2008
34	1	1	145	0	2006
35	1	1	133	26	2008
36	1	1	132	3	2009
37	1	1	217	9	2007
38	1	1	176	15	2007
39	1	1	217	13	2006
40	1	2	188	1	2009
41	1	1	0	15	2009
42	1	1	124	7	2007
43	2	1	156	29	2004
44	1	2	155	11	2008
45	1	1	194	36	2006
46	1	2	0	24	2009
47	5	1	160	0	2006
48	1	1	216	9	2005
49	1	1	133	14	2009
50	1	2	128	6	2008
51	1	1	165	25	2006
52	1	0	176	11	2007
53	1	1	0	28	2007
54	1	1	157	0	2008
55	1	2	147	23	2009
56	1	1	216	7	2009
57	1	1	193	26	2008
58	1	1	137	26	2009
59	2	2	124	1	2005
60	2	1	0	0	0
61	1	1	225	25	2009
62	1	1	193	20	2008
63	1	2	0	12	2009
64	1	0	0	0	0
65	1	1	239	30	2009
66	1	1	176	3	2008
67	1	1	133	0	2007
68	2	1	0	0	2004
69	2	2	225	17	0
70	2	1	133	20	2005
71	1	1	195	13	2009
72	2	2	188	17	2004
73	1	1	194	26	2008
74	2	1	165	9	2004
75	1	2	142	23	2009
76	1	0	0	0	0
77	2	2	193	27	1976
78	1	1	118	28	2009
79	1	2	236	21	2006
80	1	1	217	19	2008
81	1	2	236	12	2006
82	1	1	220	0	2008
83	2	2	216	1	2004
84	2	2	192	4	2001
85	1	1	216	18	2009
86	1	1	133	29	2007
87	2	2	0	0	2005
88	1	1	133	7	2008
89	1	0	166	29	2008
90	1	2	147	22	2007
91	1	1	133	0	2007
92	1	1	193	18	2006
93	1	1	0	28	2009
94	2	1	217	20	2005
95	1	2	206	24	2007
96	1	1	172	2	2006
97	2	2	225	23	2005
98	1	2	124	10	2008
99	1	1	128	3	2008
100	1	2	133	24	2006
101	1	1	132	25	2008
102	1	1	165	28	2006
103	1	1	132	28	2008
104	1	2	133	22	2008
105	1	2	118	11	2006
106	1	1	195	5	2008
107	1	0	184	0	0
108	1	1	159	20	2008
109	1	2	231	17	2008
110	5	2	156	0	2004
111	1	2	0	23	2008
112	1	2	0	0	2005
113	1	1	220	15	2008
114	2	2	123	16	2005
115	1	2	0	0	0
116	1	2	138	24	2009
117	1	1	217	29	2008
118	1	1	206	13	2008
119	1	2	160	17	2009
120	1	2	128	27	0
121	2	1	129	0	2005
122	1	1	118	2	2005
123	1	1	217	9	2007
124	2	2	0	6	2002
125	1	2	118	16	2008
126	1	2	138	1	2009
127	1	1	133	20	2006
128	1	2	165	27	2008
129	1	2	216	17	2006
130	1	1	220	18	2006
131	1	2	165	27	2006
132	1	1	216	20	2008
133	1	1	133	13	2009
134	1	1	217	18	2008
135	1	1	165	0	0
136	1	1	0	20	2007
137	1	1	123	13	2007
138	5	2	193	0	2005
139	1	2	119	21	2005
140	1	1	189	0	2007
141	1	2	176	16	2006
142	1	1	217	9	2007
143	1	0	118	18	2006
144	1	2	0	0	2008
145	2	1	176	13	2002
146	1	0	165	16	2006
147	1	1	193	30	2009
148	1	1	118	14	2006
149	1	1	207	36	2006
150	1	1	217	15	2006
151	1	2	118	11	2007
152	1	1	235	7	2008
153	5	2	143	0	0
154	1	1	0	13	2007
155	1	1	195	7	2009
156	1	2	217	27	2008
157	1	2	165	24	2008
158	1	0	0	0	0
159	1	2	159	6	2007
160	1	2	165	0	2006
161	5	1	118	33	2006
162	1	1	0	9	2009
163	1	1	217	2	2009
164	1	2	191	10	2006
165	1	1	236	15	2009
166	1	2	147	12	2009
167	1	1	225	19	2007
168	1	2	137	10	2007
169	1	2	212	1	2009
170	2	1	220	26	2004
171	1	1	238	29	2008
172	2	2	165	27	2004
173	4	2	0	0	0
174	1	2	216	34	2006
175	1	2	147	27	2007
176	5	2	188	38	2006
177	1	0	0	0	0
178	5	1	189	0	2009
179	1	2	133	11	2007
180	1	1	216	18	2006
181	1	1	120	26	2006
182	1	2	217	0	2006
183	1	2	225	17	2008
184	1	2	216	22	2006
185	1	2	118	21	2006
186	1	2	193	21	2007
187	1	2	216	24	2007
188	2	1	165	20	2005
189	1	1	154	15	2009
190	1	2	194	27	2006
191	1	2	176	21	2006
192	2	1	142	7	2005
193	2	2	154	7	2004
194	1	2	217	0	2006
195	2	2	165	6	2004
196	1	0	156	0	2008
197	1	1	156	29	2007
198	1	1	0	25	2009
199	2	2	0	0	2004
200	2	2	154	0	2005
201	1	2	191	22	2009
202	1	1	0	14	2009
203	1	1	217	9	2006
204	1	2	0	17	2009
205	1	2	0	11	2009
206	1	2	128	0	0
207	1	2	219	21	2007
208	2	1	193	0	2005
209	2	2	216	24	2004
210	1	1	231	29	2005
211	1	2	176	6	2009
212	1	1	133	29	2007
213	1	1	191	9	2006
214	2	0	0	0	2004
215	1	1	0	29	2009
216	1	1	159	28	2007
217	2	2	220	0	2004
218	1	1	154	25	2006
219	1	1	166	25	2008
220	1	2	159	27	2006
221	5	0	0	0	0
222	1	2	0	0	0
223	1	1	0	13	2009
224	1	2	236	22	2008
225	1	2	178	11	2005
226	1	1	193	2	2007
227	1	2	217	21	2008
228	1	1	216	0	2008
229	2	1	231	0	2005
230	2	2	121	34	1978
231	1	1	165	5	2008
232	2	2	118	6	2004
233	1	2	220	27	2006
234	1	1	159	3	2009
235	1	1	164	5	2009
236	1	1	216	35	2006
237	1	1	184	7	2008
238	1	2	216	17	2007
239	1	1	159	2	2006
240	2	1	118	0	2005
241	2	1	230	3	2003
242	1	2	194	23	2009
243	1	1	0	33	2006
244	1	1	221	30	2008
245	1	1	194	5	2006
246	1	2	158	21	2009
247	1	2	133	6	2006
248	1	1	164	15	2009
249	1	2	217	6	2007
250	1	2	195	11	2008
251	1	1	133	7	2007
252	1	1	238	30	2009
253	2	1	220	26	2004
254	1	2	217	10	2006
255	1	1	162	25	2007
256	1	1	217	29	2007
257	5	1	220	14	2002
258	2	1	138	3	2005
259	1	1	0	30	2009
260	1	0	219	0	0
261	1	1	128	0	2010
262	1	1	222	5	2008
263	1	1	216	7	2008
