id	status	gender	major	dorm	year
1	2	2	118	0	0
2	1	1	105	330	2008
3	1	1	130	347	2007
4	1	1	139	331	2008
5	1	2	153	0	2006
6	1	1	133	334	2007
7	2	2	152	0	2005
8	1	2	105	331	2007
9	1	1	97	331	2007
10	1	1	113	329	2007
11	2	1	98	0	2005
12	1	1	99	328	2009
13	1	1	106	327	2007
14	1	2	97	0	2006
15	1	2	114	0	2007
16	1	1	118	0	2007
17	1	1	101	333	2005
18	1	2	0	347	2009
19	1	2	139	0	2007
20	2	1	145	0	2004
21	1	1	109	346	0
22	2	1	125	0	2004
23	1	2	153	335	2008
24	1	2	112	0	2006
25	1	1	99	330	2009
26	1	1	98	331	2006
27	1	1	97	346	2007
28	2	1	152	0	2005
29	3	2	152	0	0
30	1	2	139	332	2008
31	2	1	135	0	2004
32	1	2	120	333	2008
33	1	2	147	331	2007
34	1	0	114	0	0
35	1	1	114	350	2007
36	1	1	98	335	2008
37	1	1	0	350	2008
38	1	2	153	334	0
39	1	1	97	331	2008
40	2	1	99	330	2004
41	2	2	115	0	2005
42	1	2	136	336	2008
43	2	2	152	0	2004
44	1	0	0	0	0
45	1	2	97	334	2007
46	1	1	152	341	2009
47	1	2	152	343	2008
48	1	2	152	0	2008
49	1	1	146	329	2009
50	2	2	108	347	1967
51	1	1	99	335	2009
52	1	2	125	339	2008
53	1	1	145	346	2008
54	1	2	114	331	2007
55	1	2	94	344	2008
56	2	1	139	0	2005
57	1	1	98	0	2007
58	1	2	143	335	2006
59	1	1	146	328	2008
60	1	1	98	0	2005
61	1	1	0	328	2008
62	1	1	98	350	0
63	1	1	97	0	2007
64	1	1	135	0	2006
65	2	2	0	0	0
66	2	1	97	0	2005
67	1	1	105	329	2008
68	1	2	106	333	2007
69	1	1	139	335	0
70	1	1	109	329	2008
71	1	1	102	0	2006
72	1	1	97	0	2006
73	2	1	123	0	2005
74	1	2	114	0	2006
75	1	1	146	335	2007
76	2	1	97	0	2005
77	1	2	122	0	2007
78	1	0	114	329	2007
79	4	2	0	0	0
80	1	1	0	331	2008
81	2	1	105	0	2005
82	1	2	139	346	2009
83	2	1	106	0	2005
84	1	1	105	340	0
85	1	2	0	339	2009
86	1	1	99	348	2005
87	1	1	106	334	2007
88	1	0	0	0	0
89	1	2	146	345	2010
90	1	1	90	344	2006
91	2	2	114	0	2005
92	1	1	133	0	2006
93	1	1	109	331	2008
94	1	1	122	339	2008
95	1	0	0	0	0
96	1	1	152	338	2008
97	2	2	92	331	2005
98	1	0	0	0	0
99	1	1	112	349	2009
100	1	0	0	0	0
101	1	2	122	329	2007
102	1	2	147	333	2008
103	1	2	152	333	2008
104	2	1	117	0	2005
105	1	0	109	329	2008
106	1	2	108	0	2006
107	1	2	134	333	2007
108	1	2	117	349	2008
109	1	0	0	0	2008
110	1	1	152	0	0
111	1	1	0	0	0
112	1	1	152	335	2008
113	1	0	0	0	0
114	1	2	148	331	2007
115	1	2	152	0	2008
116	1	1	151	333	2007
117	1	2	141	0	2006
118	1	2	152	0	2008
119	5	0	123	0	0
120	1	1	104	0	2006
121	2	2	103	0	0
122	1	2	152	336	2007
123	1	1	99	329	2009
124	1	1	0	330	2008
125	1	0	0	335	2010
126	1	1	101	335	2007
127	2	0	151	0	2005
128	1	0	0	0	0
129	1	1	106	336	2007
130	3	0	126	0	0
131	1	2	147	338	2007
132	2	0	0	0	0
133	1	1	117	329	2008
134	1	1	152	0	2008
135	1	2	0	328	2008
136	1	2	106	0	2007
137	1	0	0	0	0
138	1	2	152	333	2008
139	1	2	92	337	2008
140	1	1	92	0	2006
141	1	1	139	329	0
142	1	2	141	0	2004
143	1	1	152	347	2010
144	1	1	0	330	0
145	1	0	114	329	2008
146	4	1	96	0	0
147	1	2	111	0	2006
148	1	1	152	332	2008
149	2	2	151	0	2005
150	1	1	98	347	2007
151	1	2	152	0	2006
152	1	1	123	333	2007
153	1	1	0	341	2005
154	1	0	0	0	0
155	2	2	125	0	2005
156	1	2	152	334	2008
157	1	1	0	341	2009
158	1	2	153	0	2006
159	1	2	152	335	2008
