id	status	gender	major	dorm	year
1	1	1	383	0	2010
2	1	1	364	0	0
3	5	1	278	0	2004
4	1	2	267	0	2007
5	1	0	238	98	0
6	6	1	0	0	2008
7	1	2	255	102	2006
8	2	1	340	98	2005
9	1	1	340	95	2009
10	1	1	236	0	2006
11	1	0	0	0	0
12	1	1	326	141	0
13	1	2	238	0	2006
14	1	1	390	86	2009
15	5	1	363	0	2007
16	1	2	276	0	0
17	5	2	237	140	2005
18	1	2	238	125	0
19	1	2	0	130	0
20	1	1	260	0	2005
21	1	2	387	112	2009
22	5	2	386	0	2006
23	1	2	357	119	2008
24	1	1	236	0	0
25	1	1	326	0	2008
26	1	2	358	124	2007
27	5	2	305	0	2005
28	2	1	340	0	2005
29	2	1	238	121	2005
30	1	1	239	0	0
31	1	1	361	94	2008
32	1	2	334	0	2008
33	2	1	265	122	0
34	1	1	347	86	2009
35	1	2	309	0	2006
36	1	1	236	111	2007
37	1	2	304	130	2009
38	1	1	388	0	2008
39	1	2	326	0	2008
40	1	1	391	0	2006
41	1	1	304	0	2008
42	1	1	284	0	2005
43	1	1	280	0	2006
44	1	2	346	0	2007
45	1	1	386	0	2009
46	1	1	373	0	2006
47	1	1	236	0	2006
48	2	1	386	0	2005
49	1	2	236	129	2007
50	2	1	346	131	2005
51	1	1	236	0	2006
52	1	1	324	141	2009
53	2	2	351	0	2005
54	1	1	273	95	2007
55	1	1	0	0	0
56	1	2	236	112	2006
57	1	2	252	0	0
58	1	1	304	0	2008
59	1	2	272	0	2007
60	1	2	326	130	2009
61	1	1	0	0	0
62	1	2	351	0	2007
63	1	1	238	99	2008
64	1	1	382	0	2007
65	1	1	346	86	2009
66	1	1	388	0	2009
67	1	2	326	0	2006
68	1	2	382	93	2009
69	1	2	386	0	2007
70	1	2	380	0	0
71	1	2	272	134	2007
72	1	1	307	0	2007
73	1	2	332	0	2007
74	2	2	265	117	2005
75	1	1	304	98	2007
76	1	1	364	88	2009
77	1	1	238	107	2006
78	1	2	382	0	0
79	1	2	346	95	2007
80	1	2	343	0	2009
81	1	0	0	0	0
82	1	2	304	130	2009
83	1	2	369	0	2007
84	1	2	304	129	2008
85	1	1	305	93	2006
86	1	2	239	0	2006
87	1	0	0	0	0
88	1	2	332	0	2010
89	1	2	252	130	2009
90	1	1	388	99	2007
91	1	1	393	0	2006
92	1	0	332	0	0
93	1	1	367	0	2005
94	2	2	258	120	2004
95	1	2	258	131	2006
96	1	1	0	0	2008
97	1	1	350	0	2008
98	5	1	392	0	0
99	1	2	320	130	2009
100	1	2	292	118	0
101	1	2	276	0	2005
102	1	0	0	0	0
103	1	2	276	130	2009
104	1	2	342	130	2009
105	1	2	332	95	2005
106	1	1	267	95	2009
107	1	1	0	130	0
108	2	0	334	0	2005
109	1	1	340	0	0
110	1	1	364	0	2007
111	2	2	236	92	2005
112	1	2	334	0	2006
113	1	1	257	95	2008
114	1	2	279	0	2006
115	1	1	276	0	2007
116	1	1	258	86	2008
117	1	0	0	0	0
118	1	1	382	86	2009
119	1	2	332	0	2007
120	1	2	357	0	2007
121	1	2	326	0	2006
122	1	2	326	0	2007
123	1	1	326	0	2007
124	1	1	280	130	2007
125	2	1	274	121	0
126	2	1	304	0	0
127	1	2	255	112	2006
128	1	1	258	0	2005
129	1	1	347	94	2006
130	1	1	292	0	2006
131	1	2	375	0	2006
132	1	1	280	0	2009
133	1	2	318	0	0
134	1	1	349	87	2009
135	1	2	340	117	2007
136	1	1	340	0	2007
137	1	1	361	98	2008
138	1	1	280	0	2006
139	1	2	349	0	2008
140	1	1	364	87	0
141	1	1	320	95	2005
142	5	2	262	0	2004
143	1	0	277	87	0
144	1	2	386	126	2008
145	1	2	274	0	2006
146	5	1	374	99	2005
147	1	2	351	0	2007
148	5	2	373	0	2005
149	1	1	386	0	2007
150	5	1	236	0	2005
151	1	1	275	0	0
152	1	1	388	0	2009
153	2	0	0	0	0
154	1	1	367	109	2008
155	1	2	278	0	2007
156	1	1	307	0	2006
157	2	1	305	0	2005
158	1	2	278	139	2009
159	1	2	380	86	2005
160	1	2	281	110	2007
161	1	1	364	0	0
162	1	2	262	0	2005
163	1	2	334	0	0
164	1	2	318	0	2010
165	1	1	382	0	2006
166	1	2	375	0	0
167	1	2	359	130	2009
168	1	1	384	95	2004
169	2	2	343	0	2005
170	1	0	0	0	0
171	2	2	334	0	0
172	1	1	382	0	2008
173	1	2	0	95	2009
174	1	2	320	0	2005
175	1	1	383	86	2009
176	2	2	342	0	2001
177	1	2	236	134	2006
178	1	2	258	102	2008
179	1	1	388	0	0
180	1	2	388	130	2009
181	1	1	0	98	2007
182	2	0	0	0	0
183	1	2	361	91	0
184	1	2	259	139	2009
185	1	1	387	0	2007
186	1	2	236	0	2008
187	1	2	309	139	2009
188	1	2	253	0	2006
189	1	0	255	0	2007
190	1	0	249	0	0
191	2	1	253	0	2004
192	1	0	367	0	2007
193	1	2	343	0	2006
194	1	1	0	88	2008
195	1	1	388	87	2009
196	1	1	357	0	2007
197	1	1	388	107	2007
198	1	0	258	0	2007
199	2	2	276	0	2005
200	1	2	332	118	2006
201	1	2	272	142	2007
202	2	2	246	92	2005
203	1	2	243	86	2009
204	1	2	292	92	0
205	1	1	326	99	2006
206	1	1	304	98	2006
207	5	1	332	0	2007
208	1	2	281	0	2006
209	1	2	382	0	2006
210	1	1	284	0	2008
211	1	1	274	0	2007
212	1	1	257	0	0
213	2	1	238	122	0
214	1	2	236	118	2006
215	1	1	260	142	2007
216	1	1	247	0	2006
217	1	1	304	103	2009
218	5	1	340	0	2005
219	1	1	255	0	0
220	1	2	236	134	2007
221	1	1	342	86	2008
222	1	2	320	0	2008
223	1	2	340	123	2007
224	1	1	388	142	2008
225	1	2	268	131	2004
226	1	2	258	0	0
227	5	2	267	0	2005
228	2	1	375	0	2005
229	1	1	340	130	2009
230	5	2	332	0	0
231	1	2	382	95	2008
232	1	1	386	130	2009
233	2	1	357	0	2005
234	1	1	304	0	0
235	1	1	236	87	2006
236	1	1	241	127	2006
237	1	1	340	107	2007
238	1	2	383	125	2008
239	1	2	343	0	2005
240	1	1	326	99	2008
241	1	1	292	107	2008
242	1	1	280	0	2007
243	1	1	326	0	2008
244	1	1	361	142	2008
245	4	2	294	0	2005
246	1	0	0	0	0
247	1	2	262	0	0
248	1	2	258	86	2009
249	1	2	284	0	2006
250	1	1	272	0	2006
251	1	2	304	0	2006
252	1	1	382	0	2008
253	1	1	318	0	2008
254	1	2	332	0	2006
255	1	2	381	110	2008
256	1	2	0	0	0
257	1	1	307	86	2009
258	1	2	283	0	2007
259	1	1	236	0	0
260	1	2	0	93	2008
261	1	2	292	86	2009
262	1	2	332	86	2009
263	1	1	304	0	2007
264	5	2	390	0	2006
265	1	2	0	118	2007
266	1	2	375	0	2007
267	5	1	386	0	2008
268	1	1	326	99	2009
269	1	1	265	0	0
270	1	2	369	0	2007
271	1	1	361	87	2007
272	1	2	285	86	2009
273	2	2	279	0	2010
274	2	1	280	87	2005
275	1	1	382	103	2008
276	2	2	376	0	2005
277	1	1	0	86	2008
278	1	2	0	130	2009
279	1	1	246	86	2009
280	1	1	259	0	2007
281	1	1	364	103	2007
282	1	1	259	100	0
283	1	2	390	93	2009
284	1	2	320	112	2007
285	2	2	272	86	2005
286	1	2	276	0	2007
287	1	1	334	0	0
288	1	2	340	110	2008
289	1	1	320	0	0
290	1	2	272	117	2005
291	6	1	273	122	2006
