id	status	gender	major	dorm	year
1	1	2	403	0	2006
2	1	1	461	0	0
3	1	2	337	0	0
4	1	2	294	0	2007
5	1	2	273	0	0
6	1	2	498	0	2006
7	1	1	258	0	2006
8	1	1	314	0	2008
9	1	2	403	0	2007
10	1	2	0	0	0
11	1	2	269	0	2007
12	1	1	0	243	2008
13	2	1	507	0	2005
14	2	2	388	177	2005
15	1	2	461	0	2005
16	4	2	314	0	2007
17	1	1	280	116	2009
18	5	0	0	0	0
19	1	2	448	99	2009
20	1	2	285	0	0
21	2	2	0	0	0
22	1	0	0	0	0
23	1	0	0	0	0
24	1	1	450	0	2006
25	1	1	265	102	2008
26	1	2	324	0	2008
27	1	1	427	0	0
28	1	1	491	0	2010
29	1	0	352	0	0
30	1	2	337	99	2009
31	1	1	389	202	2007
32	1	1	298	0	2007
33	1	2	325	234	2008
34	1	1	520	121	2009
35	1	2	355	0	2008
36	2	0	0	0	2004
37	1	2	294	158	0
38	1	1	325	0	2007
39	2	2	388	0	2005
40	1	1	420	193	2007
41	1	0	0	0	0
42	1	2	427	104	2006
43	1	2	415	0	2006
44	1	1	298	0	2008
45	1	1	0	0	2009
46	1	2	324	0	2006
47	1	1	325	0	2007
48	1	2	403	253	2008
49	1	1	448	110	2009
50	1	1	414	0	0
51	1	2	309	0	2005
52	1	1	420	0	2006
53	1	1	280	0	0
54	1	1	320	0	0
55	1	2	406	91	2010
56	1	2	0	0	2008
57	1	2	461	122	2008
58	1	2	239	0	2006
59	1	1	355	0	0
60	1	2	0	91	2009
61	2	2	0	0	2004
62	1	2	0	88	0
63	1	2	263	0	2010
64	1	1	465	228	2008
65	1	2	378	0	0
66	1	1	291	0	2008
67	1	1	284	0	2007
68	1	2	427	0	0
69	1	1	403	0	2008
70	1	2	282	151	2006
71	1	2	355	92	2009
72	1	1	426	0	2006
73	1	2	428	0	2007
74	1	1	519	199	2007
75	1	2	0	89	2008
76	1	1	517	0	2006
77	1	2	465	0	2006
78	1	2	284	0	2006
79	1	0	346	0	0
80	1	2	280	113	2004
81	1	2	414	0	2006
82	1	2	515	105	2009
83	5	1	292	0	2008
84	1	1	440	103	2009
85	1	0	0	0	0
86	1	2	285	0	2008
87	1	1	490	0	2006
88	1	1	449	95	2009
89	1	2	465	0	0
90	1	1	465	110	2008
91	1	1	0	113	2008
92	1	2	517	93	2009
93	2	0	493	0	2005
94	1	2	518	92	2009
95	1	1	258	253	2008
96	1	2	314	0	2005
97	1	1	403	87	2009
98	1	1	443	0	2008
99	1	2	284	95	2009
100	1	1	239	117	2008
101	1	1	325	115	2007
102	1	1	382	0	2008
103	1	2	0	89	2009
104	1	2	239	0	2007
105	2	2	465	0	2005
106	1	1	298	99	2009
107	1	2	284	104	2009
108	1	2	276	0	2006
109	1	0	0	0	0
110	1	2	425	0	0
111	1	1	284	88	2009
112	2	1	403	0	2004
113	1	2	522	0	2008
114	1	0	0	0	0
115	1	1	501	0	2005
116	1	2	314	0	2006
117	1	1	325	0	2007
118	1	1	526	113	2009
119	1	2	378	0	2006
120	1	2	420	0	0
121	2	2	309	0	2005
122	1	1	465	0	2006
123	1	2	239	123	2008
124	1	1	372	0	2006
125	1	2	465	0	2007
126	1	2	276	0	2007
127	1	0	235	0	0
128	1	1	0	253	0
129	1	2	427	122	2008
130	1	0	0	0	0
131	1	2	461	0	2007
132	1	1	299	104	2007
133	1	0	0	0	0
134	1	1	465	0	2006
135	1	1	280	0	2008
136	1	1	517	0	2007
137	1	2	268	0	2006
138	1	1	378	93	2009
139	1	2	396	123	2008
140	1	2	420	238	2009
141	1	2	298	234	2008
142	1	1	381	0	2007
143	1	1	337	104	0
144	1	0	258	0	0
145	1	1	355	103	2009
146	1	1	314	0	2005
147	1	1	393	0	0
148	5	2	273	0	2007
149	1	2	388	104	2008
150	1	2	0	107	0
151	1	2	0	0	0
152	1	2	465	0	2007
153	1	2	378	0	2006
154	1	2	385	0	2010
155	1	2	306	248	2009
156	1	2	314	0	2007
157	5	2	278	0	2006
158	1	1	414	0	2007
159	2	2	265	0	2005
160	1	2	381	0	2010
161	1	2	298	253	2006
162	1	2	499	0	2007
163	1	2	266	0	2008
164	1	1	320	0	2008
165	1	1	346	122	2009
166	1	1	325	0	2008
167	2	1	528	0	2004
168	5	1	313	0	2006
169	1	2	285	87	2009
170	1	2	501	253	2006
171	1	1	298	197	0
172	1	2	237	0	2006
173	1	1	0	129	2009
174	1	0	427	0	0
175	1	2	331	0	2008
176	1	1	362	218	2006
177	1	1	517	0	2007
178	1	2	306	253	0
179	2	2	520	0	2005
180	2	1	276	0	2004
181	1	1	517	0	2006
182	1	1	331	0	2004
183	1	0	0	0	0
184	2	0	0	0	0
185	1	2	277	0	2006
186	2	1	403	0	2005
187	1	0	0	0	0
188	1	1	502	0	2008
189	2	1	465	0	2005
190	1	2	284	92	2009
191	1	2	314	0	2006
192	1	2	427	113	2007
193	1	2	278	122	2007
194	1	1	465	0	2006
195	1	2	498	0	2006
196	2	2	268	0	0
197	1	2	367	253	2007
198	3	2	337	185	0
199	1	1	403	219	2006
200	1	2	517	0	0
201	5	1	292	0	0
202	1	2	427	94	2009
203	1	1	0	0	2009
204	1	2	427	124	2007
205	1	2	414	108	2007
206	1	2	298	0	2008
207	1	1	420	0	2005
208	1	1	465	0	2006
209	1	1	461	86	0
210	1	2	504	0	2008
211	2	1	235	0	2004
212	1	2	314	0	0
213	1	1	382	0	2006
214	1	1	526	88	2009
215	1	2	280	157	2010
216	1	1	420	0	2006
217	1	2	284	94	2008
218	1	2	415	0	2006
219	1	1	298	0	2006
220	1	2	298	0	0
221	2	2	235	0	2005
222	1	2	284	0	2009
223	1	2	284	0	2009
224	1	1	516	0	0
225	1	2	388	128	2008
226	1	1	260	0	2007
227	1	2	325	0	2008
228	1	1	314	104	2008
229	1	2	239	127	2009
230	2	1	465	0	2005
231	1	2	526	0	0
232	1	1	418	0	0
233	1	1	346	114	2007
234	1	2	324	0	2008
235	1	2	388	0	0
236	1	2	280	0	2004
237	1	1	258	194	2007
238	1	2	423	0	2009
239	1	1	502	0	0
240	1	0	420	0	0
241	1	2	465	0	0
242	1	0	420	0	2007
243	1	2	0	235	0
244	1	1	314	219	2006
245	1	2	322	0	2006
246	1	0	513	0	0
247	1	2	461	0	2006
248	2	1	519	0	2005
249	1	1	0	0	0
250	1	1	423	0	2007
251	1	1	284	121	2009
252	1	1	516	112	2009
253	1	2	284	0	2008
254	1	2	388	253	2007
255	1	1	325	118	2008
256	1	2	355	89	2009
257	1	1	432	0	2006
258	2	1	412	0	2005
259	1	1	324	95	2009
260	1	1	290	0	2005
261	1	2	263	0	2006
262	1	0	401	0	0
263	1	1	298	0	2009
264	1	2	0	0	2008
265	1	2	263	94	2009
266	1	2	427	243	2008
267	1	1	263	0	0
268	1	2	452	0	2006
269	1	0	0	0	0
270	1	1	324	0	0
271	1	2	385	0	2007
272	1	2	288	0	2008
273	2	1	519	0	2005
274	1	1	381	0	2008
275	1	2	243	0	2007
276	1	1	0	0	0
277	1	2	235	0	2009
278	1	0	276	0	2006
279	2	2	388	0	2005
280	1	1	320	0	2009
281	1	1	528	0	2006
282	1	2	284	0	2005
283	1	2	388	94	2009
284	1	2	520	111	2009
285	1	2	263	0	0
286	1	2	427	0	2006
287	1	1	0	0	0
288	1	2	388	0	0
289	1	1	325	0	0
290	1	1	325	88	2004
291	2	1	414	0	2005
292	1	2	351	0	2007
