id	status	gender	major	dorm	year
1	1	1	0	0	2009
2	1	1	0	86	2009
3	1	1	331	90	2009
4	2	1	316	0	0
5	1	1	316	0	2006
6	1	1	0	0	2008
7	1	1	314	0	2008
8	1	2	250	0	2008
9	1	1	314	94	2005
10	1	2	277	0	2008
11	1	1	314	0	2006
12	1	1	275	0	2007
13	1	1	327	87	2008
14	1	1	327	102	2008
15	1	1	311	93	2007
16	1	2	255	0	2006
17	1	0	0	0	0
18	1	1	273	86	2009
19	1	1	275	102	2008
20	1	1	0	0	2008
21	1	2	287	98	2007
22	1	1	326	105	2005
23	1	1	302	0	2006
24	1	2	266	98	2007
25	1	1	248	0	2009
26	2	1	243	0	2005
27	1	2	255	0	0
28	1	1	249	0	2007
29	1	1	236	106	2007
30	2	2	250	0	2005
31	4	1	247	100	2004
32	1	1	285	0	2006
33	1	2	308	0	2008
34	2	2	307	93	2005
35	2	2	235	0	2005
36	1	1	333	0	2008
37	1	1	327	0	2008
38	1	1	308	104	2007
39	1	2	316	0	2006
40	2	1	238	0	2005
41	5	1	253	0	2006
42	1	2	260	0	2008
43	1	2	275	0	2005
44	1	2	252	94	2004
45	1	1	267	0	2006
46	1	2	249	0	2006
47	1	1	248	0	2006
48	2	1	246	0	2004
49	1	2	334	0	2007
50	1	2	249	98	2008
51	1	1	279	0	2009
52	5	1	284	0	2007
53	1	1	275	0	2008
54	2	2	249	97	2004
55	2	2	249	98	2005
56	1	1	247	101	2008
57	4	2	0	0	0
58	1	1	238	90	2009
59	1	2	0	0	2009
60	1	1	314	91	2009
61	1	2	308	0	2007
62	4	2	284	0	0
63	1	1	333	0	2008
64	1	1	309	100	2007
65	1	2	246	0	2009
66	1	1	0	0	2007
67	1	1	273	106	2006
68	1	2	260	0	2008
69	1	1	314	0	2009
70	2	2	249	0	2004
71	1	0	0	0	0
72	1	1	246	0	2006
73	1	2	238	91	2009
74	1	2	249	0	2006
75	2	1	253	0	2005
76	1	1	0	89	2008
77	1	2	302	0	2006
78	1	2	316	0	2006
79	1	1	299	0	2008
80	1	1	243	104	2006
81	1	2	308	91	2006
82	5	2	284	0	2006
83	2	2	248	0	2003
84	1	1	249	104	2008
85	1	1	270	105	2008
86	1	1	327	90	2009
87	3	2	335	96	2010
88	2	0	0	0	0
89	1	1	327	92	2007
90	1	1	311	87	2009
91	1	1	252	0	0
92	1	2	243	0	2008
93	1	1	253	90	2009
94	1	0	0	0	0
95	2	1	249	105	2005
96	1	2	275	0	2008
97	1	1	332	0	2008
98	2	1	260	0	2005
99	1	1	312	91	2008
100	1	2	235	0	2006
101	2	2	260	0	2004
102	5	2	284	0	2007
103	5	2	278	0	2006
104	1	2	312	0	2009
105	3	2	320	0	0
106	1	1	253	93	2005
107	1	1	282	88	2009
108	2	1	316	93	2005
109	5	1	284	0	2007
110	1	1	285	0	2006
111	1	2	260	94	2006
112	1	1	238	0	2009
113	1	2	249	0	2007
114	1	2	246	0	2007
115	5	2	284	0	2007
116	1	1	282	86	2009
117	2	2	332	0	2005
118	2	1	260	0	2005
119	1	2	266	0	2008
120	1	2	327	0	2008
121	1	1	326	106	2006
122	2	1	287	0	2005
123	2	1	235	0	2003
124	2	1	0	0	0
125	1	1	270	0	2006
126	1	1	0	89	2009
127	1	1	327	0	2007
128	1	2	282	0	2008
129	1	1	0	102	2007
130	5	2	288	94	2007
131	2	1	314	0	2005
132	5	2	284	0	2008
133	1	1	314	93	2006
134	1	0	249	0	0
135	5	0	0	0	0
136	1	1	285	0	2008
137	1	1	247	104	2008
138	1	1	289	0	2008
139	2	0	284	0	2005
140	1	1	248	101	2006
141	2	2	308	0	2004
142	1	2	246	89	2008
143	1	1	275	106	2006
144	2	2	249	0	2005
145	1	2	248	95	2007
146	1	2	331	0	2004
147	1	1	0	0	2008
148	1	2	326	0	2005
149	4	0	0	0	0
150	1	2	275	0	2008
151	1	0	0	0	0
152	1	1	285	101	2008
153	4	2	0	0	0
154	2	1	332	0	2005
155	1	2	249	0	2008
156	2	1	314	104	2004
157	1	2	275	89	2009
158	1	1	275	0	2009
159	5	2	308	98	2005
160	1	1	249	101	2008
161	2	2	270	0	2004
162	1	1	243	92	2007
163	1	1	314	0	2008
164	2	1	278	0	2004
165	1	1	314	86	2009
166	1	1	235	91	2009
167	1	1	314	89	2009
168	2	1	333	0	2005
169	1	1	327	92	2008
170	1	2	314	0	2005
171	1	2	318	0	2005
172	1	2	273	0	2008
173	1	2	308	0	2008
174	1	2	266	0	2008
175	1	1	333	106	2007
176	1	0	0	0	0
177	1	2	248	0	2008
178	2	1	316	100	2004
179	1	2	331	94	2006
180	1	2	249	0	2004
181	5	2	290	0	2006
182	1	1	243	0	2009
183	5	2	284	0	2006
184	1	1	249	0	2006
185	2	2	249	0	2005
186	4	0	0	0	0
187	1	1	267	90	2009
188	1	2	270	0	2004
189	1	1	314	104	2006
190	1	1	312	0	2008
191	1	1	0	86	2009
192	1	2	249	0	2008
193	1	1	285	0	2004
194	1	1	261	93	0
195	1	1	277	100	2005
196	2	2	249	0	2004
197	1	1	279	0	2006
198	1	1	0	88	2009
199	1	1	314	100	2006
200	2	1	238	101	2005
201	1	1	293	88	2009
202	1	1	323	92	2008
203	2	2	238	0	2004
204	1	1	0	87	2009
205	1	2	275	97	2006
206	1	2	266	0	2008
207	1	0	0	0	0
208	1	1	316	0	0
209	1	1	267	88	2009
210	1	1	314	100	2007
211	1	1	245	88	2009
212	1	1	314	0	2006
213	1	1	280	0	2008
214	2	1	320	0	2005
215	1	2	314	0	2006
216	5	1	314	0	2007
217	1	1	0	0	2007
218	1	1	0	86	2009
219	1	1	326	0	2006
220	1	1	270	0	2008
221	1	1	325	0	2007
222	1	2	236	0	2007
223	1	1	297	105	2006
224	1	1	258	0	2007
225	1	1	251	89	2009
226	1	1	314	101	2006
