id	status	gender	major	dorm	year
1	2	2	298	159	2004
2	1	1	294	168	2007
3	1	2	315	177	2009
4	1	1	0	152	2009
5	1	1	307	138	2009
6	1	1	314	134	2007
7	1	2	307	144	2008
8	2	1	317	159	2005
9	2	1	313	159	2004
10	1	2	0	153	2008
11	1	2	0	148	2008
12	1	0	0	0	0
13	1	1	301	166	2007
14	1	2	301	166	2007
15	1	1	0	152	2008
16	4	1	0	144	2008
17	1	2	320	138	2007
18	1	2	0	153	2008
19	1	2	0	142	2008
20	1	2	313	145	2008
21	2	0	0	188	0
22	5	0	298	0	0
23	2	1	322	142	0
24	1	2	293	150	2009
25	1	1	300	148	2008
26	1	2	0	144	2008
27	1	2	0	139	2009
28	1	2	0	164	2007
29	1	2	302	157	2006
30	2	1	294	0	2005
31	2	1	313	167	2005
32	1	1	0	142	2008
33	1	2	303	164	2006
34	1	1	310	155	2006
35	1	2	307	159	2006
36	1	1	310	175	2009
37	1	1	300	145	2007
38	1	2	310	178	2007
39	2	1	294	142	2005
40	1	2	0	178	2008
41	5	0	0	0	0
42	2	2	307	161	2004
43	2	1	316	0	2004
44	1	1	309	160	2008
45	1	1	313	0	2006
46	1	1	293	142	2009
47	1	0	306	155	2007
48	2	1	0	184	2002
49	1	2	308	153	2008
50	1	2	306	142	2008
51	1	0	316	0	2006
52	1	0	0	0	0
53	1	0	322	0	2005
54	1	2	301	175	2008
55	2	1	317	0	2005
56	1	2	309	144	2008
57	1	1	307	165	2006
58	2	1	297	0	2005
59	5	2	315	0	0
60	1	2	298	137	2009
61	1	1	0	151	2009
62	1	1	310	144	2008
63	2	1	294	0	2005
64	2	1	301	0	2004
65	1	1	0	142	2008
66	1	1	294	146	2007
67	1	2	310	138	2009
68	5	2	307	191	0
69	1	1	322	168	2006
70	1	1	291	0	2008
71	1	1	322	168	2006
72	2	2	302	165	2005
73	1	1	313	160	2005
74	1	1	323	148	2009
75	2	2	294	0	2005
76	1	1	317	167	2007
77	2	2	0	0	2001
78	2	2	307	155	2005
79	1	2	317	143	2009
80	1	1	0	0	2008
81	1	0	0	0	0
82	2	1	307	165	2005
83	5	2	313	191	2008
84	2	1	310	0	2005
85	1	2	313	157	2006
86	2	1	293	0	2005
87	2	0	0	0	0
88	2	2	312	0	2005
89	2	2	0	185	2001
90	1	1	304	155	2007
91	1	2	301	167	2006
92	2	2	302	165	2005
93	1	2	302	157	2006
94	2	1	294	168	2005
95	1	2	310	0	2006
96	1	0	0	0	0
97	2	0	0	0	0
98	1	1	300	144	2009
99	1	0	0	173	2007
100	1	0	311	0	2007
101	1	1	310	160	2006
102	2	2	301	0	2005
103	1	2	0	149	2009
104	1	2	0	173	2009
105	2	2	320	168	2004
106	1	2	0	152	2007
107	2	2	292	0	2005
108	1	2	0	136	2009
109	1	2	297	0	2007
110	1	1	0	144	2009
111	1	1	293	139	2008
112	1	2	300	167	2006
113	1	1	313	167	2006
114	2	1	0	0	2005
115	2	2	317	168	2005
116	1	1	316	162	2006
117	1	2	317	0	2008
118	1	2	315	160	2008
119	2	1	307	0	2005
120	1	2	301	143	2009
121	1	1	0	172	2009
122	1	1	320	168	2006
123	1	2	0	0	2007
124	0	1	321	153	2007
125	1	1	310	176	2009
126	1	1	317	167	2007
127	5	0	305	0	0
128	1	1	0	151	2009
129	2	1	303	187	2004
130	1	1	293	164	2006
131	1	0	0	0	0
132	1	1	293	170	2009
133	1	2	322	152	2006
134	1	1	310	151	2009
135	2	0	0	0	0
136	2	1	313	0	2004
137	1	0	0	0	0
138	1	2	317	164	2007
139	1	1	0	177	2008
140	1	2	0	138	2009
141	1	2	313	162	2006
142	2	0	307	0	2005
143	2	1	316	0	2004
144	2	2	309	160	2005
145	1	1	317	148	2009
146	1	1	0	151	2009
147	4	1	0	0	0
148	2	2	293	0	2004
149	1	1	310	158	2006
150	1	2	301	134	2008
151	1	2	0	0	2009
152	1	1	313	143	2009
153	1	2	301	149	2008
154	1	2	0	138	2009
155	1	1	289	0	2006
156	1	1	316	0	0
157	1	2	316	152	2008
158	1	2	305	0	2004
159	2	2	303	0	2005
160	1	2	307	173	2007
161	2	1	295	0	2003
162	1	2	0	160	2009
163	1	2	314	185	2006
164	1	2	315	174	2008
165	2	2	301	0	2005
166	1	2	313	152	2007
167	2	2	0	0	2003
168	1	0	307	0	2007
169	2	1	309	0	2005
170	1	2	322	144	2008
171	2	0	0	0	0
172	1	1	0	151	2008
173	2	2	298	146	2001
174	1	2	315	139	2007
