id	status	gender	major	dorm	year
1	1	2	263	92	2007
2	1	2	268	0	2008
3	2	0	0	0	0
4	1	1	0	110	2009
5	1	2	269	96	2009
6	1	1	252	0	2008
7	1	2	271	96	2008
8	1	1	244	0	2006
9	2	2	271	0	2004
10	1	2	240	0	2008
11	1	1	239	103	2009
12	1	2	0	91	2009
13	1	0	267	0	2007
14	1	1	250	102	2006
15	1	2	271	0	2006
16	1	1	278	92	2008
17	1	1	263	95	2004
18	2	1	272	0	2005
19	2	2	267	0	1979
20	1	2	259	110	2009
21	1	2	275	110	2009
22	1	1	268	88	2005
23	1	1	269	0	2005
24	1	1	260	92	2008
25	1	1	0	0	2008
26	1	2	252	0	2005
27	1	1	271	89	2009
28	1	0	269	105	2009
29	1	2	0	0	0
30	1	1	241	94	2008
31	1	1	263	104	2006
32	1	1	257	0	2008
33	1	2	268	0	2006
34	1	1	271	96	2009
35	1	2	240	94	0
36	1	1	268	110	2008
37	1	1	275	113	0
38	1	2	260	107	2009
39	1	2	252	0	2007
40	2	2	255	0	2006
41	1	1	240	110	2009
42	1	0	0	0	0
43	1	1	272	0	2009
44	1	1	252	88	2009
45	1	0	272	0	2006
46	2	1	261	0	2005
47	1	1	269	113	2007
48	2	1	271	0	2005
49	1	2	269	0	2006
50	1	1	272	0	2005
51	1	1	0	90	2009
52	1	2	235	90	2008
53	1	0	240	0	0
54	1	2	0	87	2008
55	2	1	252	0	2005
56	1	1	266	0	2006
57	1	0	257	96	2007
58	1	1	239	95	2009
59	1	1	271	0	2007
60	1	2	267	0	0
61	1	2	261	113	2006
62	1	2	236	93	0
63	1	2	252	0	0
64	1	1	255	101	2008
65	1	1	267	0	2005
66	1	2	268	89	2009
67	1	2	269	0	2006
68	2	1	236	0	2005
69	2	2	240	0	2003
70	1	1	240	0	2006
71	1	1	252	0	2006
72	1	1	0	0	0
73	1	1	238	0	2008
74	1	1	254	113	2006
75	1	1	271	113	2007
76	1	1	238	110	2008
77	2	2	268	0	2004
78	1	1	269	94	2009
79	1	2	0	95	2008
80	1	1	238	111	2009
81	1	1	258	0	2008
82	1	1	252	88	2008
83	1	2	260	96	2009
84	1	2	239	0	2006
85	1	1	240	0	2008
86	4	2	271	0	2004
87	1	1	261	0	2006
88	1	2	0	92	2008
89	2	1	267	0	2005
90	1	1	252	0	2006
91	1	2	255	92	0
92	1	1	272	0	2007
93	1	1	236	0	2010
94	2	0	239	0	2004
95	1	2	271	108	2008
96	1	1	235	0	2006
97	1	1	0	110	2009
98	1	1	236	94	2008
99	1	1	235	0	2007
100	1	1	0	110	2008
101	1	2	275	88	2007
102	1	1	253	110	2009
103	1	1	261	0	2006
104	1	1	260	92	2009
105	1	1	0	0	2008
106	1	0	0	0	0
107	1	1	272	0	2006
108	1	1	259	103	2006
109	1	1	0	93	2008
110	1	1	271	111	2008
111	1	1	257	0	2007
112	1	0	237	0	2007
113	1	1	240	86	2006
114	1	2	241	111	2008
115	1	1	240	110	2008
116	1	1	252	96	2007
117	2	1	271	0	1984
118	5	2	264	96	2007
119	1	2	0	96	2009
120	1	2	263	88	2009
121	1	2	239	111	2008
122	1	2	267	96	2008
123	1	0	0	0	0
124	3	0	0	0	0
125	1	1	269	91	2009
126	1	1	257	0	2006
127	1	2	263	88	2008
128	1	1	271	0	2007
129	1	1	269	113	2005
130	1	1	238	0	0
131	2	2	257	108	2005
132	1	2	244	103	2007
133	2	2	260	87	0
134	1	2	252	0	2006
135	2	1	260	0	2004
136	1	2	269	0	2006
137	2	1	276	0	2005
138	1	2	240	111	2009
139	1	1	240	86	2007
140	1	1	256	86	2006
141	1	1	252	110	2007
142	1	2	251	0	2007
143	1	2	268	0	2006
144	1	1	240	108	2007
145	1	1	275	90	2008
146	1	1	238	90	0
147	1	2	268	111	2007
148	1	1	252	111	2009
149	1	1	252	0	2008
150	1	1	271	88	2008
151	1	2	271	86	2006
152	1	1	260	111	2009
153	1	2	254	0	0
154	1	0	256	0	0
155	2	0	272	0	2005
156	1	0	238	91	2008
157	1	1	252	106	2006
158	1	2	0	90	2009
159	2	1	252	0	2004
160	1	1	250	103	2007
161	1	0	244	113	2007
162	1	0	255	87	0
163	1	2	264	88	2008
164	1	1	271	88	2007
165	1	1	272	0	0
166	1	2	277	0	2007
167	1	1	252	102	2009
168	1	1	250	96	2007
169	1	1	263	86	2007
170	1	0	0	0	0
171	1	1	272	88	2009
172	1	2	240	0	2008
173	2	1	252	0	2005
174	1	2	276	93	2009
175	1	1	0	96	2009
176	1	2	252	113	2007
177	1	1	242	0	2005
178	1	1	240	91	2009
179	1	2	252	92	2009
180	1	1	271	110	2009
181	5	2	257	0	2005
182	1	2	263	88	2007
183	1	2	239	111	2008
184	1	1	236	113	2008
185	1	2	0	88	2009
186	1	1	272	0	0
187	1	2	0	111	2009
188	2	1	241	0	2005
189	1	1	0	102	2008
190	2	2	268	0	2005
191	1	1	264	108	2008
192	1	2	267	0	2007
193	1	1	240	92	2009
194	1	0	272	86	2007
195	1	1	257	110	2006
196	2	1	240	0	2005
197	1	2	267	111	2009
198	1	1	239	88	2008
199	1	1	255	108	2008
200	1	2	242	0	0
201	1	2	263	105	2005
202	1	1	257	111	2007
203	1	1	262	113	2007
204	1	0	235	0	2007
205	1	0	235	90	2009
206	1	1	241	110	2007
207	1	0	0	0	0
208	1	2	241	93	2009
209	1	1	252	109	0
210	1	1	244	110	2008
211	1	2	258	93	2007
212	1	2	250	91	2008
213	1	1	252	0	2005
214	1	2	269	89	2008
215	1	1	239	95	2009
216	1	0	0	0	0
217	2	1	271	0	2005
218	1	0	0	111	2008
219	1	2	253	103	2006
220	1	2	252	0	2008
221	1	1	0	96	2009
222	1	1	271	0	2008
223	1	1	240	0	2006
224	1	0	0	0	0
225	1	1	252	88	2009
226	1	1	275	0	2007
227	1	0	0	0	0
228	1	2	240	86	2008
229	1	0	0	0	0
230	1	1	238	107	2007
231	2	2	268	0	2005
232	2	2	262	0	2005
233	1	2	271	112	2008
234	1	1	239	109	2008
235	1	2	240	88	2009
236	1	1	252	0	0
237	1	1	240	110	2006
238	1	1	252	94	2008
239	1	1	0	98	2008
240	1	2	263	92	2009
241	1	1	259	0	2008
242	1	1	0	96	2009
243	1	2	257	96	2008
244	1	2	271	90	2008
245	1	1	268	111	2008
246	1	1	277	86	2008
247	1	0	274	90	2008
248	2	1	236	0	2005
249	1	1	271	88	2006
250	2	1	260	0	2005
251	2	2	241	0	2005
252	1	1	240	111	2009
253	1	2	255	88	2009
254	1	1	271	0	2006
255	1	1	236	0	0
256	1	1	245	86	2007
257	1	2	240	96	2008
258	1	1	238	90	2008
259	2	1	250	0	2005
260	1	1	271	113	2006
261	1	2	269	95	2007
262	1	1	244	0	2006
263	1	2	265	87	2008
264	1	1	252	0	2006
265	1	1	256	0	0
266	1	1	236	0	2006
267	1	2	262	111	2005
268	1	1	240	108	2008
269	1	1	261	111	2009
270	2	2	267	0	2005
271	1	1	261	110	2009
272	1	2	277	93	2010
273	1	2	238	96	2007
274	1	1	261	101	2008
275	1	1	268	92	2008
276	1	1	252	0	2006
277	1	2	261	0	2007
278	2	1	238	0	2005
279	1	1	0	93	2008
280	3	2	249	0	0
281	1	1	275	0	0
282	1	2	245	0	2006
283	1	2	260	87	2009
284	1	1	252	111	2007
285	1	2	276	0	0
286	2	1	252	0	2005
287	1	1	241	98	2008
288	1	1	0	0	2008
289	1	2	0	95	2009
290	1	1	240	91	2008
291	1	1	240	0	2006
292	1	1	235	89	2009
293	2	0	277	0	2005
294	1	2	272	106	2008
295	1	2	276	110	2007
296	2	1	236	0	2005
297	1	1	236	96	2009
298	1	1	252	110	2009
299	1	1	269	0	2006
300	1	1	0	108	0
301	1	1	262	86	2007
302	2	2	269	0	2005
303	1	2	261	98	2006
304	1	1	240	0	2006
305	1	2	269	90	2009
306	1	0	0	0	0
307	2	1	238	0	2005
308	1	1	0	0	2008
309	1	2	250	110	2007
310	1	1	252	111	2009
311	1	0	266	0	2007
312	1	2	250	86	2007
313	1	1	271	0	2007
314	2	0	0	0	0
315	1	1	271	0	2006
316	2	0	0	0	0
317	1	2	252	0	2007
318	1	0	0	0	0
319	1	1	240	88	2008
320	1	1	268	111	2007
321	2	1	261	0	2005
322	1	0	263	87	2008
323	1	0	0	0	0
324	1	2	0	111	2008
325	1	2	236	101	2006
326	1	1	238	94	2008
327	1	1	240	0	2007
328	2	2	259	0	0
329	1	2	0	89	2008
330	1	1	250	90	2009
331	1	1	267	0	2007
332	1	1	0	91	0
333	1	0	274	106	0
334	1	0	252	0	0
335	1	1	252	93	2009
336	1	1	271	0	2008
337	1	2	271	111	2009
338	1	2	0	96	2009
339	1	2	269	103	2007
340	1	2	241	0	2006
341	1	1	252	88	2008
342	1	1	252	0	2008
343	1	1	238	0	2006
344	1	1	0	93	2009
345	1	1	236	107	2008
346	1	0	0	0	0
347	1	2	0	0	0
348	1	2	272	88	2008
349	2	1	262	0	2003
350	2	1	241	0	0
351	1	2	0	0	0
352	1	1	252	0	2007
353	2	2	263	0	2005
354	1	1	0	110	2008
355	1	1	238	111	2007
356	1	2	263	105	2006
357	1	1	252	111	2006
358	2	2	267	89	0
359	1	0	263	102	2008
360	1	1	252	0	2006
361	1	1	268	90	2009
362	1	1	271	0	2008
363	2	2	268	0	2005
364	1	1	0	0	2008
365	1	2	269	104	2009
366	1	1	274	100	2008
367	1	2	0	96	2009
368	2	1	238	0	2005
369	1	2	268	0	2006
370	1	1	236	87	2009
371	1	2	252	0	2009
372	1	1	255	103	2009
373	1	1	252	111	2008
374	2	2	268	0	2005
375	1	2	268	113	2006
376	2	2	263	0	2005
377	1	2	252	111	2008
378	1	2	250	111	2006
379	1	1	0	0	2008
380	1	0	0	0	0
381	1	1	252	0	2008
382	1	1	240	0	2005
383	1	2	0	90	2009
384	2	2	268	0	2005
385	1	2	260	0	2008
386	1	2	268	95	2006
387	1	2	252	93	0
388	1	0	249	108	0
389	1	2	242	0	2007
390	1	2	267	111	2007
391	1	1	252	0	2005
392	1	2	272	96	2007
393	1	2	257	0	2008
394	1	1	0	89	2009
395	2	2	240	86	2005
396	2	2	254	0	2005
397	1	1	252	89	2009
398	1	1	241	110	2008
399	1	2	252	0	0
400	1	1	241	0	2006
401	1	2	246	0	2006
402	1	2	236	91	2007
403	1	2	241	89	2008
404	1	2	0	105	2008
405	1	1	0	101	2008
406	1	2	269	0	2007
407	1	1	252	0	2008
408	1	2	268	96	2007
409	1	1	0	93	2009
410	2	2	244	0	2005
411	1	1	275	113	2007
412	1	2	0	102	2009
413	1	1	271	89	2008
414	1	0	0	0	0
415	1	1	271	94	2008
416	1	2	0	86	2008
417	1	1	265	113	2007
418	1	2	239	110	2008
419	1	2	241	110	2008
420	2	1	0	0	0
421	1	1	236	92	2009
422	2	2	243	0	2005
423	1	1	275	105	2008
424	1	1	271	0	2008
425	1	2	266	0	0
426	1	2	268	110	2008
427	2	2	269	0	2004
428	1	1	0	96	2009
429	1	2	252	86	2007
430	1	1	271	94	2008
431	2	2	265	0	2005
432	2	1	241	0	2005
433	1	1	263	0	2008
434	1	1	268	96	2008
435	1	2	240	0	2007
436	1	1	261	99	2007
437	1	2	268	0	2006
438	1	2	263	0	0
439	1	2	268	91	2008
440	2	2	250	87	2004
441	1	1	0	94	0
442	2	2	240	0	2005
443	1	0	244	86	0
444	2	1	269	113	2005
445	1	1	240	95	0
446	1	1	268	111	2008
447	2	1	252	87	1997
448	2	1	261	0	2005
449	3	0	0	0	0
450	2	1	271	0	2004
451	1	2	252	89	2009
452	1	2	250	113	2007
453	1	0	0	0	0
454	1	1	252	91	2009
455	1	1	240	0	2007
456	1	1	240	91	2008
457	1	1	236	88	2009
458	1	1	252	0	2008
459	1	1	0	102	0
460	1	1	240	108	2006
461	2	1	276	0	2005
462	2	1	236	0	0
463	1	1	269	91	2009
464	1	2	0	110	0
465	1	1	0	93	2009
466	1	1	252	111	2006
467	1	1	267	96	2009
468	1	2	268	112	2007
469	2	1	240	0	2005
470	1	2	265	95	2006
471	1	1	0	0	2008
472	1	2	268	90	2007
473	1	0	0	0	0
474	1	1	271	113	2007
475	2	2	240	0	2005
476	1	1	0	0	2008
477	1	1	252	105	2009
478	1	1	269	93	2009
479	1	1	0	106	2008
480	1	2	263	87	2006
481	2	2	268	0	0
482	1	2	252	101	2008
483	1	0	262	94	0
484	1	2	269	0	2007
485	1	2	268	88	2007
486	1	2	0	93	2009
487	1	2	250	87	2009
488	1	2	271	97	2007
489	1	1	258	113	2008
490	1	2	269	94	2009
491	2	1	271	0	2004
492	3	0	0	0	0
493	2	1	272	86	2005
494	1	1	266	0	2007
495	1	1	271	0	2007
496	1	1	235	0	2007
497	1	1	236	0	2006
498	1	2	254	0	2006
499	1	1	0	111	2009
500	1	2	269	111	2009
501	1	2	244	90	2008
502	1	1	0	0	2007
503	1	2	248	0	2004
504	1	1	240	89	2008
505	1	1	240	90	2007
506	2	1	271	0	2001
507	2	1	257	96	2001
508	1	0	0	0	0
509	1	1	252	111	2009
510	1	2	242	86	2007
511	1	1	271	0	2008
512	1	1	258	103	2008
513	1	1	258	108	2009
514	1	1	238	93	2009
515	1	2	240	0	2007
516	1	1	241	0	2007
517	1	1	240	86	2006
518	1	1	261	110	2008
519	1	2	240	0	0
520	1	0	240	0	2007
521	1	2	271	96	2008
522	1	1	263	0	2007
523	2	1	270	0	2004
524	3	2	270	0	0
525	1	1	269	89	2008
526	1	1	240	0	2007
527	1	2	267	108	2009
528	1	1	252	113	2007
529	1	1	240	93	2008
530	1	2	261	0	2005
531	1	2	270	104	2006
532	1	1	269	94	2009
533	2	2	241	0	2001
534	1	2	240	0	2006
535	1	1	0	96	2009
536	2	1	269	0	2005
537	2	2	252	0	2005
538	1	1	239	95	2008
539	1	1	271	88	2008
540	2	2	269	0	2005
541	1	1	250	111	2008
542	1	1	239	109	2008
543	1	2	259	0	2007
544	1	1	276	0	2009
545	1	1	252	107	2009
546	1	1	275	0	0
547	1	2	0	110	2009
548	1	2	240	110	2008
549	1	1	250	111	2009
550	1	1	236	96	2008
551	1	2	0	108	2009
552	1	1	267	0	2006
553	1	1	240	90	2009
554	1	1	240	89	2008
555	1	2	252	93	2008
556	2	1	267	0	2005
557	2	1	254	0	2005
558	1	1	0	0	2007
559	2	1	244	0	2005
560	1	1	271	86	2008
561	2	2	248	88	1980
562	1	2	257	86	2006
563	1	2	0	91	2008
564	1	1	272	102	2007
565	1	1	256	0	2007
566	1	2	238	108	2007
567	2	0	0	0	0
568	1	1	238	0	2006
569	1	2	239	94	2009
570	1	1	255	0	2007
571	1	2	271	0	0
572	1	2	272	0	2007
573	1	0	0	0	0
574	1	1	238	96	2008
575	1	1	250	0	2008
576	1	1	0	88	2009
577	4	2	0	0	0
578	1	1	0	0	0
579	1	1	0	0	2008
580	1	2	268	111	2008
581	2	1	271	0	2005
582	1	1	271	98	2005
583	1	1	252	0	2006
584	1	1	0	105	2009
585	1	1	276	110	2007
586	1	1	274	0	2006
587	1	1	271	0	2006
588	1	0	0	0	0
589	1	2	263	0	2006
590	2	1	271	0	2005
591	1	2	267	0	2006
592	1	1	268	110	2006
593	1	1	266	113	2007
594	1	2	241	113	0
595	2	1	271	0	2005
596	2	1	257	0	2005
597	1	0	268	0	2007
598	1	2	268	110	2008
599	1	0	0	0	0
600	1	2	236	0	2007
601	1	1	240	0	2005
602	1	2	0	0	0
603	1	1	241	0	2006
604	2	1	0	98	2005
605	1	0	240	97	2007
606	1	1	241	92	2007
607	1	0	0	0	0
608	1	1	266	96	2009
609	1	2	0	111	2009
610	2	1	271	0	2005
611	1	1	236	0	2007
612	1	1	252	0	2006
613	1	0	271	0	2006
614	1	2	260	0	2006
615	1	1	252	0	2006
616	1	2	266	110	2006
617	1	2	268	0	2007
618	1	2	239	86	2006
619	2	2	268	0	2005
620	2	2	268	0	2004
621	1	2	268	95	2009
622	1	2	268	110	2009
623	1	0	0	0	0
624	1	2	257	0	2006
625	1	1	240	89	2009
626	1	1	239	110	2009
627	1	0	0	86	2008
628	1	1	272	0	2007
629	1	0	0	0	0
630	1	2	260	96	2008
631	2	2	257	0	2005
632	1	1	272	0	2006
633	1	2	260	102	2008
634	1	2	267	87	2009
635	1	1	260	94	2008
636	1	1	0	105	2009
637	1	1	252	0	2007
638	1	1	267	86	2009
639	1	2	257	0	0
640	1	1	238	0	2006
641	2	1	239	0	2005
642	1	2	244	0	2006
643	1	2	267	87	2007
644	1	1	278	0	0
645	1	2	243	0	2007
646	1	1	268	0	2008
647	1	1	236	0	2007
648	1	1	271	107	2006
649	2	2	268	0	2005
650	1	2	0	0	2007
651	2	1	235	0	2005
652	1	0	0	0	0
653	1	1	0	0	0
654	1	2	271	86	2007
655	1	1	269	88	2008
656	2	2	271	0	2005
657	1	0	265	0	0
658	1	2	241	95	2008
659	1	1	244	0	2007
660	1	2	252	94	2009
661	1	1	271	0	2006
662	1	2	252	111	2009
663	1	2	272	0	2007
664	1	2	236	0	0
665	1	2	0	0	2008
666	2	1	263	0	2004
667	1	1	238	0	2007
668	2	1	272	0	2005
669	1	1	262	103	2007
670	1	2	250	0	2007
671	1	2	250	88	2006
672	1	1	240	106	2009
673	1	2	263	113	2006
674	1	1	271	0	2006
675	1	1	252	0	0
676	1	0	275	0	2006
677	3	0	0	0	0
678	1	2	271	109	2006
679	2	0	0	0	0
680	1	0	0	0	0
681	1	1	275	88	2007
682	1	2	252	0	2006
683	1	1	250	110	2009
684	1	0	0	0	0
685	1	1	257	89	2006
686	2	1	243	0	2005
687	1	2	271	111	2008
688	1	1	271	88	0
689	1	2	235	0	2007
690	1	2	257	108	2008
691	1	1	0	90	2008
692	1	1	0	111	2009
693	1	1	275	0	2006
694	1	2	250	0	2006
695	3	1	268	0	0
696	1	0	0	0	0
697	1	1	271	0	2008
698	1	1	267	95	2007
699	1	2	264	0	2008
700	1	2	267	0	2006
701	1	1	262	86	2007
702	1	0	0	0	0
703	1	0	0	0	0
704	1	1	241	0	2006
705	1	1	260	87	2009
706	1	2	269	87	2007
707	2	2	244	0	2004
708	2	2	269	0	2005
709	1	2	263	0	2007
710	1	2	277	102	2008
711	1	1	0	86	2007
712	1	2	267	107	2006
713	1	1	240	86	2007
714	1	1	239	110	2008
715	2	1	239	0	2005
716	2	2	250	0	2005
717	1	1	0	95	2009
718	1	1	238	0	2006
719	2	2	263	0	2005
720	2	2	240	0	2005
721	2	2	257	95	2005
722	1	2	241	86	2007
723	2	2	236	0	2005
724	2	1	271	0	0
725	1	1	248	87	2009
726	1	1	272	110	2009
727	1	1	261	108	2009
728	1	1	244	90	2009
729	2	1	240	0	2005
730	2	2	238	0	0
731	1	2	0	113	0
732	1	0	0	0	0
733	1	2	271	88	2008
734	1	0	0	0	0
735	1	1	271	88	2009
736	1	1	261	103	0
737	1	1	278	96	2007
738	1	2	236	0	2007
739	1	2	271	0	2007
740	2	1	264	0	2005
741	1	0	0	0	0
742	1	2	0	0	2008
743	1	1	252	110	2009
744	1	1	274	0	2006
745	1	0	0	0	0
746	1	2	257	111	2007
747	1	1	245	111	2008
748	1	2	0	94	2007
749	2	1	271	0	0
750	1	1	275	88	2008
751	1	1	269	90	2009
752	1	2	240	0	2007
753	1	1	240	0	2006
754	2	1	262	0	2005
755	1	1	261	90	2009
756	1	2	236	0	2008
757	1	2	0	107	2008
758	1	2	257	0	2007
759	1	1	271	88	2009
760	1	1	236	96	2007
761	2	1	257	0	2005
762	1	2	268	111	2008
763	1	2	261	96	2009
764	1	1	238	0	2009
765	1	2	236	92	2009
766	1	2	269	113	2008
767	1	1	252	86	2006
