id	status	gender	major	dorm	year
1	1	0	123	209	2008
2	2	1	131	202	2004
3	1	0	137	208	2007
4	1	1	131	205	2006
5	1	2	112	204	2009
6	2	0	152	208	2003
7	1	1	112	203	2008
8	1	2	122	210	2007
9	1	1	0	203	2007
10	1	1	148	209	2007
11	2	1	113	209	2004
12	2	1	136	208	2004
13	2	1	113	209	2005
14	2	1	131	208	2004
15	2	2	139	203	2003
16	2	1	137	204	2004
17	1	1	123	207	2007
18	1	1	113	203	2008
19	1	1	135	205	2009
20	2	1	119	202	2004
21	1	2	149	208	2005
22	2	1	123	205	2005
23	1	2	142	202	2005
24	1	1	108	0	0
25	1	2	132	207	2006
26	1	2	119	202	2008
27	1	0	0	0	2005
28	2	1	131	210	2005
29	2	2	136	202	2005
30	1	1	124	209	2006
31	1	1	108	203	2006
32	1	2	136	208	2006
33	1	2	112	209	2007
34	1	1	125	207	0
35	1	2	136	206	2009
36	1	2	120	202	2007
37	1	2	142	209	2008
38	1	2	112	206	2009
39	1	0	0	0	0
40	1	0	0	0	0
41	5	2	141	203	2004
42	1	1	123	209	2006
43	5	1	131	209	2003
44	1	1	109	208	2007
45	1	2	112	208	2009
46	2	2	143	202	2003
47	2	1	114	206	2005
48	1	2	143	206	2008
49	1	2	111	204	2007
50	2	1	111	0	2003
51	2	0	0	0	0
52	1	2	122	203	2008
53	1	1	122	203	2009
54	1	2	118	207	2007
55	1	2	124	204	2008
56	5	2	142	0	2010
57	1	1	135	204	0
58	2	2	112	204	2004
59	1	1	131	208	2007
60	4	1	0	0	0
61	1	1	131	202	2009
62	2	1	108	208	2004
63	1	1	143	205	2007
64	1	1	132	202	2006
65	1	2	148	207	2008
66	2	1	127	210	2004
67	2	2	143	209	2004
68	1	1	124	206	2009
69	1	2	143	203	2009
70	1	1	111	206	2008
71	1	0	0	0	0
72	2	2	142	203	2004
73	1	1	136	205	2006
74	1	2	113	203	2008
75	1	2	139	206	2009
76	2	2	131	0	2005
77	2	1	120	205	2005
78	2	2	132	206	2005
79	1	1	120	207	2008
80	2	2	138	203	2001
81	5	1	125	205	2005
82	2	0	0	0	0
83	2	1	120	207	2004
84	1	2	120	204	2007
85	1	1	143	206	2008
86	2	1	131	208	2003
87	4	1	149	210	2006
88	4	1	0	0	0
89	1	1	131	207	2008
90	1	2	0	203	2009
91	1	2	0	208	2009
92	1	0	125	0	0
93	1	1	108	206	2007
94	1	1	131	205	2008
95	1	1	143	209	2008
96	1	2	121	202	2008
97	1	1	137	202	2005
98	1	1	125	203	2009
99	2	2	141	210	2005
100	1	1	127	0	2006
101	2	2	139	202	2005
102	1	2	123	206	2007
103	1	1	108	210	0
104	1	1	139	202	0
105	1	2	122	208	2009
106	1	1	131	204	2007
107	1	1	119	206	2007
108	1	2	120	204	2009
109	1	2	113	207	2007
110	2	2	0	0	2003
111	1	2	131	205	2009
112	1	0	123	209	2008
113	2	1	131	203	2005
114	1	2	0	0	2008
115	2	2	131	0	2005
116	2	2	131	204	2005
117	2	1	143	0	0
118	2	1	108	210	2005
119	2	2	141	205	2003
120	1	2	120	209	2007
121	1	2	125	210	2008
122	1	2	120	205	2006
123	2	2	143	203	2005
124	1	2	131	205	2005
125	2	2	131	210	0
126	1	2	141	209	2006
127	1	2	135	208	2006
128	2	1	131	210	2005
129	2	2	142	205	2005
130	1	2	145	202	2008
131	1	1	120	203	2006
132	1	1	125	208	2009
133	1	2	139	204	2009
134	1	1	127	202	2009
135	1	2	149	203	2009
136	1	2	128	0	0
137	1	1	108	205	2008
138	1	2	143	207	2007
139	1	2	133	208	2008
140	1	2	112	204	2008
141	1	1	121	205	2007
142	1	1	127	205	2007
143	1	2	142	209	2009
144	2	1	108	209	2005
145	1	2	108	202	0
146	1	2	127	202	0
147	1	2	142	208	2008
148	1	1	131	202	2008
149	2	2	143	204	2005
150	1	1	139	205	2009
151	1	1	108	209	2009
152	2	2	110	206	2004
153	1	1	114	202	2007
154	1	2	108	204	2006
155	1	2	142	205	2006
156	1	1	0	205	2009
157	2	1	131	210	2005
158	1	2	127	206	2009
159	1	2	122	207	2009
160	1	2	122	208	2007
161	1	2	123	202	2007
162	4	0	0	0	0
163	1	2	148	210	2008
164	1	1	120	207	2008
165	1	2	112	208	2010
166	1	1	140	204	2007
167	1	2	152	202	0
168	1	2	124	202	2007
169	2	1	119	203	2004
170	2	2	131	205	2004
171	1	2	141	0	0
172	2	2	142	209	2005
173	1	2	108	202	2006
174	1	2	141	203	2008
175	2	2	143	202	2003
176	2	0	0	0	2004
177	1	1	131	208	2008
178	1	1	122	208	2008
179	1	2	111	203	2007
180	1	2	123	208	2009
181	1	0	148	205	2008
182	1	2	142	207	2007
183	1	1	113	207	2006
184	1	1	111	206	2009
185	2	2	120	207	2004
186	2	1	112	204	2005
187	2	2	122	206	2005
188	1	0	0	0	0
189	2	2	112	210	2005
190	2	1	148	209	2005
191	1	2	131	207	2009
192	1	1	148	207	2009
193	1	2	136	208	2007
194	1	0	0	0	0
195	1	2	122	206	2007
196	2	2	127	0	2005
197	2	2	120	206	2004
198	1	2	127	205	2007
199	1	1	124	203	2006
200	1	1	108	202	2009
201	1	2	152	205	2009
202	1	2	120	202	2008
203	2	2	131	205	2003
204	1	0	0	202	0
205	1	2	142	203	2007
206	1	1	143	204	2007
207	2	2	138	207	2005
208	2	2	115	203	2005
209	1	1	107	207	2009
210	1	2	0	0	2007
211	1	2	131	206	2008
212	1	2	152	0	0
213	2	1	142	209	2005
214	1	1	0	204	2007
215	2	1	131	208	2005
216	1	1	0	203	2008
217	1	2	141	206	2007
218	1	2	127	0	2006
219	1	2	141	206	2007
220	1	2	136	208	2009
221	1	2	143	205	2006
222	2	1	131	205	2005
223	1	1	131	203	2007
224	2	1	131	208	2005
225	1	2	119	209	2009
226	1	2	131	210	2007
227	1	1	122	207	2009
228	2	2	143	210	2004
229	1	2	120	209	2009
230	1	2	115	208	2006
231	1	2	112	204	2006
232	1	1	132	202	2009
233	1	2	143	204	2008
234	1	2	136	204	2006
235	1	1	139	205	2006
236	1	1	131	204	2008
237	1	1	142	202	2006
238	2	2	143	207	2004
239	1	1	131	203	2005
240	1	1	0	202	2007
241	1	1	147	206	2007
242	1	1	124	204	2009
243	1	1	125	210	2009
244	1	2	146	206	2007
245	1	1	122	208	2009
246	1	1	131	205	2008
247	1	2	0	206	2009
248	1	2	113	202	2006
249	1	2	123	0	2006
250	1	2	131	203	2007
251	2	1	151	208	2003
252	1	2	142	206	2009
253	1	2	116	0	2006
254	1	1	0	0	2007
255	1	2	136	208	2009
256	1	2	120	203	2006
257	2	1	123	209	2005
258	1	1	125	202	2006
259	1	1	123	205	2007
260	1	1	131	204	2008
261	1	1	137	208	2006
262	1	2	123	204	2007
263	1	2	112	208	2006
264	1	2	0	0	2008
265	2	0	0	0	0
266	3	2	132	203	2008
267	1	1	125	204	2008
268	1	2	112	203	2007
269	2	1	132	209	2005
270	1	1	121	209	2007
271	2	2	137	203	2004
272	1	2	116	210	2004
273	2	2	142	209	2004
274	1	2	0	0	0
275	1	2	143	206	2009
276	1	1	124	209	2007
277	1	2	131	206	2007
278	1	2	136	206	2006
279	1	0	0	0	0
280	1	1	132	202	2009
281	2	2	141	203	2001
282	1	1	108	208	2008
283	1	1	126	205	2007
284	1	1	121	207	2007
285	2	2	137	204	2005
286	2	1	127	210	2003
287	1	1	108	205	2008
288	1	1	121	208	2006
289	1	1	112	206	2006
290	1	2	142	209	2009
291	2	2	123	0	2005
292	1	2	137	204	2009
293	5	2	125	0	2007
294	1	2	131	203	0
295	1	1	137	202	2008
296	1	2	135	203	2006
297	1	2	142	203	0
298	3	0	112	0	0
299	2	1	108	205	2003
300	1	2	136	210	2009
301	1	1	131	204	2007
302	1	1	0	206	2009
303	1	2	120	209	2008
304	1	1	108	204	2006
305	1	2	143	0	2007
306	1	1	122	203	2006
307	1	1	112	210	2008
308	1	2	120	205	2008
309	2	2	140	210	2005
310	2	1	110	202	2005
311	2	2	138	206	2005
312	1	1	0	205	2009
313	5	0	0	0	0
314	1	1	131	206	2009
315	1	0	142	210	2009
316	1	2	142	206	2009
317	1	2	135	207	2008
318	1	1	131	206	2007
319	2	1	125	204	2001
320	1	2	135	205	2006
321	1	1	112	206	2008
322	1	1	137	210	2008
323	1	1	112	210	2009
324	1	2	132	206	2008
325	1	1	112	202	2008
326	1	2	120	209	0
327	2	1	112	206	2004
328	5	0	0	0	0
329	5	2	116	210	2005
330	5	2	0	0	0
331	1	2	142	210	2006
332	1	2	138	210	2007
333	1	1	148	209	2008
334	1	1	123	208	2006
335	1	2	115	202	2009
336	1	2	143	202	2007
337	1	2	143	205	2008
338	1	2	122	204	2006
339	1	1	137	206	2009
340	1	2	143	205	2007
341	1	2	125	204	2009
342	1	2	142	202	2009
343	1	1	0	208	2009
344	1	1	123	208	2007
345	1	1	137	205	2005
346	2	0	0	0	0
347	2	1	124	205	2005
348	1	1	124	205	2007
349	2	1	123	209	2004
350	1	1	122	210	2008
351	1	2	120	203	2005
352	1	2	134	207	2006
353	1	1	137	205	2006
354	1	1	123	205	2007
355	5	2	136	0	2010
356	1	2	131	206	2007
357	1	2	142	203	2008
358	1	2	123	206	2006
359	1	1	118	203	2007
360	2	2	142	208	2003
361	1	1	131	204	2009
362	1	2	120	209	2008
363	2	2	123	210	2004
364	1	2	131	0	0
365	2	2	142	208	2004
366	1	2	142	210	2006
367	2	2	122	208	2004
368	2	2	141	0	2005
369	2	1	113	207	2004
370	3	0	114	0	0
371	1	1	133	209	2006
372	1	1	133	207	2006
373	1	0	0	0	0
374	1	1	122	208	2007
375	1	0	0	0	0
376	1	1	0	205	2006
377	1	1	148	207	2008
378	1	2	131	203	2007
379	1	2	122	206	2009
380	2	2	142	209	0
381	1	2	131	204	2007
382	1	1	0	0	2009
383	1	2	131	203	2006
384	1	2	142	204	2007
385	2	1	120	209	2004
386	2	1	123	205	0
387	1	1	123	210	2008
388	1	1	119	206	0
389	1	1	131	210	2007
390	2	1	137	207	2005
391	2	1	119	203	2004
392	1	1	108	203	0
393	1	2	120	205	2007
394	1	2	137	210	2008
395	1	2	120	207	2007
396	2	2	137	209	2005
397	1	1	108	210	0
398	1	1	124	207	2008
399	1	1	131	206	2008
400	1	0	124	203	2008
401	1	1	149	203	2009
402	2	2	142	207	2005
403	5	1	0	0	2008
404	1	2	131	209	2007
405	1	2	112	210	2007
406	1	1	132	209	2009
407	2	2	141	205	2004
408	1	2	122	0	2007
409	1	1	143	206	2007
410	1	1	108	202	2007
411	2	0	0	0	0
412	1	2	141	202	2006
413	2	0	0	0	0
414	1	2	115	202	2006
415	1	2	0	207	2006
416	2	2	113	208	2004
417	1	2	123	205	2008
418	1	1	131	205	2007
419	1	1	108	206	2008
420	1	2	140	204	2007
421	1	2	125	210	2009
422	1	1	122	204	2006
423	1	2	143	202	2006
424	2	1	137	209	2004
425	1	2	131	204	2007
426	5	2	132	0	2008
427	2	1	0	0	2005
428	2	1	108	202	2005
429	1	2	113	0	2008
430	1	1	131	206	2009
431	1	2	0	0	2006
432	2	0	0	0	0
433	1	0	0	0	0
434	1	1	123	207	2008
435	1	1	137	204	2008
436	2	1	108	209	2004
437	1	1	127	209	0
438	1	2	112	204	2006
439	1	2	127	207	2007
440	1	2	143	209	2006
441	5	2	131	0	0
442	1	1	112	206	2008
443	1	2	142	207	2007
444	1	2	131	207	2008
445	1	1	116	205	2005
446	2	1	0	0	2003
447	1	2	127	209	2007
448	2	2	143	205	2004
449	2	2	149	0	2005
450	2	2	112	203	2005
451	1	1	132	205	2008
452	1	1	139	202	2009
453	2	2	132	206	2000
454	1	2	143	207	2008
455	1	2	148	204	2007
456	1	2	139	203	2008
457	1	2	125	203	2009
458	2	1	122	210	2004
459	2	1	123	0	2005
460	1	1	108	206	2008
461	1	1	131	203	2007
462	1	2	0	209	2009
463	1	1	122	210	2009
464	1	1	108	210	2009
465	1	1	108	207	2008
466	1	1	0	205	2007
467	1	2	132	205	2008
468	1	1	127	202	2009
469	1	1	122	203	2007
470	1	2	132	208	2005
471	2	2	133	205	2004
472	1	1	125	206	2007
473	2	2	115	208	2005
474	2	0	142	205	2005
475	2	2	122	206	2005
476	1	1	131	203	2009
477	2	1	118	0	2005
478	1	2	112	0	2005
479	1	2	121	208	2006
