id	status	gender	major	dorm	year
1	1	1	0	322	2009
2	2	2	48	0	2002
3	1	2	14	294	2006
4	1	2	39	310	2008
5	1	2	66	293	2006
6	1	2	7	306	2007
7	1	2	53	307	2006
8	1	1	78	304	2004
9	1	1	0	0	0
10	1	1	28	0	2008
11	1	1	60	296	2009
12	1	1	76	0	0
13	2	1	7	306	0
14	2	2	85	320	2005
15	2	2	66	0	2005
16	2	0	76	0	2004
17	1	2	76	331	2006
18	1	2	24	293	2008
19	1	2	0	322	2009
20	1	1	3	322	2008
21	5	1	0	298	2006
22	1	2	65	0	0
23	1	1	84	322	2009
24	5	0	13	0	0
25	2	2	25	0	2005
26	2	2	93	0	2005
27	2	2	59	316	2005
28	2	1	28	0	2004
29	1	2	76	0	2008
30	1	2	51	306	2006
31	1	1	28	0	2006
32	1	2	66	293	2006
33	1	1	24	307	2008
34	1	2	28	306	2006
35	1	1	7	310	2008
36	1	2	48	305	2007
37	1	1	29	293	2008
38	1	1	7	293	2006
39	1	2	51	300	2007
40	1	1	9	0	2006
41	1	2	41	305	2009
42	1	1	53	322	2009
43	1	1	0	0	0
44	1	1	77	306	2007
45	1	1	65	306	2006
46	1	1	59	322	2007
47	1	2	53	322	2009
48	2	2	0	0	0
49	1	1	24	0	2007
50	1	1	86	293	2007
51	1	1	9	305	2009
52	5	2	18	310	2007
53	1	1	0	293	2008
54	2	1	38	0	2005
55	2	2	51	0	2005
56	1	2	18	322	2008
57	5	2	64	0	0
58	2	1	0	0	2005
59	1	2	76	0	2007
60	1	0	77	329	2005
61	1	1	0	305	2009
62	1	1	7	292	2007
63	1	1	12	306	2006
64	1	1	0	0	2006
65	1	2	7	316	2005
66	2	1	76	0	2005
67	1	2	9	305	2009
68	1	1	28	0	2006
69	1	2	28	298	2007
70	1	0	0	0	0
71	5	2	25	0	2006
72	1	2	24	0	2007
73	1	1	28	310	2006
74	2	2	23	302	2005
75	2	2	7	0	2005
76	1	2	39	302	2008
77	1	2	14	320	2006
78	1	2	66	322	2008
79	1	2	66	0	2006
80	5	1	0	326	2006
81	1	1	28	305	2009
82	1	1	24	322	2009
83	1	2	18	310	2006
84	1	2	32	305	2008
85	1	1	0	322	0
86	1	2	24	0	2007
87	1	0	0	0	0
88	1	2	24	0	2006
89	1	1	53	322	2009
90	2	2	65	320	2005
91	1	1	76	298	2006
92	1	1	0	322	2009
93	1	0	28	293	0
94	1	1	38	306	2007
95	1	2	6	295	2007
96	1	1	0	325	2007
97	1	2	4	296	2006
98	1	1	28	0	2005
99	1	1	62	296	2005
100	1	0	49	0	0
101	2	1	38	306	2005
102	1	1	65	310	2008
103	2	1	76	0	2005
104	5	2	7	320	2006
105	1	1	4	0	2006
106	1	1	28	0	2007
107	1	1	39	293	2007
108	1	2	28	310	2008
109	1	2	45	296	2009
110	1	1	6	307	2009
111	2	2	9	0	2004
112	1	2	24	290	2006
113	1	2	60	296	2008
114	1	1	84	322	2008
115	1	1	4	296	2008
116	1	2	9	305	2008
117	1	2	6	325	2006
118	1	2	77	0	2005
119	1	2	7	322	2008
120	1	2	53	298	2008
121	1	1	76	318	2008
122	1	2	77	0	2007
123	1	2	18	322	2007
124	1	1	7	305	2009
125	1	1	85	0	2006
126	1	1	28	322	2007
127	1	1	77	306	2007
128	1	2	0	0	2005
129	1	2	7	322	2009
130	2	2	66	0	2005
131	1	1	77	298	2007
132	1	1	77	318	2006
133	1	0	0	0	0
134	1	2	14	298	2008
135	1	0	0	0	0
136	1	1	25	0	2007
137	1	1	0	307	2009
138	3	0	0	0	0
139	1	2	76	322	2008
140	2	0	0	0	0
141	1	1	7	0	2006
142	2	1	28	293	2004
143	1	1	60	0	2006
144	1	1	5	293	2007
145	1	1	72	305	2009
146	1	0	0	0	0
147	1	1	77	297	2006
148	1	1	9	305	2009
149	1	2	18	322	2009
150	1	1	0	305	2009
151	2	2	28	0	2005
152	1	2	24	293	2008
153	5	2	14	0	0
154	1	1	0	322	2008
155	1	1	53	305	2009
156	1	2	63	0	2006
157	1	2	76	316	2007
158	2	0	0	0	0
159	1	1	53	298	2008
160	2	2	0	0	0
161	1	2	13	0	2006
162	1	2	48	322	2008
163	2	1	24	0	2005
164	2	2	25	0	2005
165	1	2	0	307	2009
166	1	2	60	306	2007
167	2	1	65	0	2005
168	1	2	24	297	2007
169	1	2	51	322	2009
170	1	1	7	322	2009
171	1	2	39	298	2008
172	1	2	4	296	2009
173	1	1	76	0	2006
174	1	1	34	325	2008
175	1	2	76	310	2008
176	1	2	7	307	2008
177	1	2	24	327	2007
178	1	2	17	293	2008
179	1	1	62	0	2007
180	2	2	72	0	2005
181	1	2	77	316	2008
182	1	2	24	322	2008
183	1	1	9	294	2008
184	1	2	58	325	2007
185	1	2	34	290	2007
186	1	2	7	306	2007
187	1	2	77	325	2008
188	1	2	60	0	2006
189	1	1	11	0	2006
190	1	2	18	306	2007
191	1	1	11	297	2006
192	5	0	25	0	0
193	1	2	24	0	2006
194	1	2	24	302	2006
195	1	2	7	325	2007
