id	status	gender	major	dorm	year
1	1	2	267	86	2009
2	1	1	267	169	2006
3	1	1	280	0	2006
4	1	0	298	0	2005
5	1	2	276	0	2006
6	1	0	345	0	2006
7	1	1	339	0	2006
8	1	1	272	104	2008
9	1	1	278	101	2009
10	1	1	310	166	2007
11	1	1	0	103	2009
12	1	1	305	0	2006
13	1	1	264	0	0
14	2	2	250	0	2005
15	1	2	323	99	2009
16	1	1	241	166	2007
17	1	2	283	159	2007
18	5	1	0	0	0
19	1	1	333	0	2005
20	1	2	248	105	2007
21	5	1	348	0	2006
22	1	2	267	128	2006
23	1	1	335	156	2007
24	1	0	281	154	2008
25	2	1	241	0	2005
26	1	1	0	155	0
27	1	2	298	110	2009
28	5	2	280	0	0
29	1	2	247	166	2008
30	1	2	274	89	2009
31	1	2	281	96	2009
32	1	2	298	158	2005
33	1	0	0	0	0
34	1	1	276	0	2006
35	2	1	247	152	0
36	1	2	259	0	2006
37	1	2	255	155	2007
38	1	1	280	166	2008
39	1	0	0	0	0
40	1	1	0	156	2008
41	2	2	339	0	2005
42	1	2	273	118	2005
43	1	2	327	162	2010
44	1	2	0	0	2007
45	1	1	272	186	2006
46	1	2	333	0	2006
47	1	1	328	0	2006
48	2	1	245	0	2005
49	1	1	325	188	2007
50	1	2	281	163	2006
51	5	2	255	0	2006
52	2	1	275	0	2005
53	1	1	275	0	2008
54	1	2	271	0	2006
55	1	1	327	160	2010
56	1	1	339	97	2009
57	1	1	311	159	2008
58	2	1	255	0	0
59	1	2	336	93	2008
60	1	2	0	153	2008
61	1	1	310	0	2006
62	1	0	0	0	0
63	1	2	315	0	2006
64	1	1	339	0	2006
65	1	2	255	0	2007
66	1	1	248	0	0
67	2	2	248	0	2005
68	1	1	327	162	2010
69	1	1	264	0	2007
70	2	2	274	0	2004
71	1	2	338	160	2008
72	2	1	266	0	2005
73	1	2	255	0	2007
74	1	1	253	166	2006
75	1	1	272	0	2006
76	1	1	292	0	2008
77	1	2	351	96	2009
78	1	1	239	0	2007
79	1	2	280	0	2008
80	1	2	349	0	0
81	1	2	271	0	2006
82	1	1	275	0	2006
83	1	1	0	91	2009
84	2	1	264	0	0
85	1	1	0	99	2008
86	1	2	309	0	2006
87	1	1	339	92	2008
88	1	2	312	91	2009
89	1	1	271	166	2007
90	2	2	235	0	2005
91	1	1	302	0	2006
92	2	1	275	0	2005
93	1	1	285	155	2007
94	1	1	302	0	2005
95	1	2	330	88	2008
96	2	1	333	0	2005
97	1	1	248	0	2008
98	1	1	241	166	2006
99	2	2	266	0	2005
100	1	1	275	165	2008
101	1	0	248	86	2009
102	1	1	325	0	2009
103	1	2	338	158	2009
104	1	1	355	194	2009
105	1	1	245	168	2006
106	1	2	339	0	2006
107	1	1	299	0	2007
108	1	2	336	108	2009
109	1	2	271	158	2006
110	1	2	242	99	0
111	2	2	267	0	2005
112	1	2	0	0	2008
113	1	2	264	0	2005
114	1	0	0	0	0
115	1	1	339	0	2006
116	5	1	363	166	2005
117	1	2	276	0	2007
118	1	1	264	0	2007
119	2	1	271	0	2005
120	1	1	281	188	2007
121	1	2	333	0	2006
122	1	0	0	170	0
123	1	0	304	0	2008
124	1	2	290	0	0
125	5	1	290	0	2006
126	1	1	325	0	2005
127	1	1	338	0	2008
128	2	1	272	0	2004
129	1	2	245	0	2006
130	1	2	338	0	2007
131	1	0	0	0	0
132	1	2	297	0	2008
133	1	1	302	166	2007
134	1	0	0	0	0
135	1	1	339	0	2008
136	1	2	339	188	2006
137	1	1	338	0	2009
138	1	1	0	0	2007
139	1	1	327	0	0
140	1	1	280	0	2006
141	1	2	336	92	2009
142	1	0	0	0	0
143	1	1	275	0	2006
144	1	2	261	0	2008
145	1	2	338	0	2005
146	1	1	245	182	2006
147	1	2	313	159	2007
148	1	1	275	0	2007
149	1	1	280	166	2008
150	1	1	271	168	2006
151	1	1	325	0	2006
152	1	0	0	0	0
153	1	1	264	0	2006
154	1	0	0	0	0
155	1	0	0	0	0
156	1	2	313	171	2007
157	1	1	302	0	2006
158	1	2	253	154	2008
159	2	2	333	147	2005
160	2	1	267	106	2005
161	1	2	315	0	2006
162	1	2	333	0	2006
163	1	2	250	0	2006
164	4	2	0	0	0
165	1	2	264	0	2007
166	1	2	333	0	2007
167	1	1	315	153	2007
168	1	1	248	102	2009
169	1	2	255	0	2009
170	1	2	349	0	2007
171	1	1	275	158	0
172	1	1	245	94	2007
173	1	1	245	0	2007
174	1	2	317	166	2007
175	1	2	302	178	2008
176	1	1	325	0	2006
177	1	2	235	158	2007
178	1	1	320	0	2006
179	1	0	0	0	0
180	1	1	281	155	2007
181	5	1	338	0	0
182	1	1	272	0	2006
183	1	2	313	89	2009
184	1	1	248	0	2006
185	1	2	267	170	2007
186	1	2	322	166	2009
187	1	1	361	0	2008
188	1	1	235	0	2007
189	1	2	296	0	2007
190	1	1	328	0	2005
191	1	1	264	106	0
192	1	2	333	171	2008
193	2	2	281	0	2005
194	1	1	333	168	2007
195	1	1	339	0	2006
196	1	1	328	0	2006
197	1	1	275	0	2007
198	1	2	248	108	2009
199	1	1	241	0	2004
200	1	1	264	0	2008
201	1	1	352	0	0
202	2	0	275	0	2005
203	1	2	281	0	2006
204	2	1	259	0	2005
205	1	2	235	97	2009
206	1	2	327	0	2008
207	5	1	0	0	0
208	2	1	339	146	0
209	1	0	0	0	0
210	1	2	272	0	2008
211	1	1	302	153	2007
212	1	1	235	0	2007
213	1	1	337	94	2008
214	2	1	264	0	2005
215	1	2	235	153	2008
216	1	2	255	0	2005
217	1	1	248	0	2006
218	1	1	264	0	2005
219	1	2	258	155	2007
220	2	2	266	0	2004
221	1	1	270	170	2006
222	1	1	302	0	2008
223	1	1	336	95	2009
224	1	1	339	0	0
225	2	2	248	0	0
226	1	2	253	167	2005
227	1	2	256	0	0
228	2	2	319	0	2005
229	1	2	235	0	2007
230	1	2	264	0	2006
231	1	2	266	0	2005
232	1	0	0	0	0
233	1	1	271	96	2008
234	1	2	280	158	2008
235	1	2	292	0	2007
236	1	2	333	158	2008
237	1	1	327	159	2009
238	1	2	281	0	0
239	1	2	338	0	2010
240	1	1	0	159	2008
241	1	2	235	0	2006
242	2	1	302	0	2005
243	1	1	319	163	2007
244	1	2	333	99	2006
245	1	1	252	0	2007
246	1	2	264	166	2008
247	1	1	274	155	2006
248	1	1	255	95	2009
249	1	1	253	166	2008
250	1	1	267	155	2007
251	1	1	338	163	2007
252	1	1	271	131	2005
253	1	1	325	0	2008
254	1	1	339	0	2007
255	1	1	275	0	2006
256	1	2	271	90	0
257	1	1	339	93	2009
258	1	0	0	109	2008
259	1	1	0	162	2008
260	1	2	273	155	0
261	1	1	327	160	2010
262	2	1	248	0	2005
263	5	2	272	0	2005
