id	status	gender	major	dorm	year
1	1	2	246	105	2005
2	1	1	235	113	2007
3	1	1	268	94	2006
4	2	1	258	0	2004
5	1	2	278	95	2009
6	1	1	245	0	2007
7	1	1	272	93	2008
8	1	1	268	109	2008
9	1	1	268	0	0
10	1	1	250	0	2006
11	1	1	0	92	2008
12	1	2	0	90	2008
13	1	2	255	103	2006
14	1	1	0	92	2008
15	1	2	262	94	2008
16	1	1	245	0	2009
17	5	0	0	0	0
18	2	1	257	0	2005
19	1	1	275	89	2009
20	1	1	278	90	2009
21	1	1	257	0	2008
22	1	2	257	98	2006
23	2	2	244	0	2002
24	1	1	235	103	2006
25	1	1	249	94	2006
26	1	2	267	94	2008
27	5	0	0	0	2007
28	1	1	260	89	2009
29	1	1	244	115	2007
30	1	1	260	0	0
31	1	1	258	95	2008
32	2	2	235	0	2005
33	1	1	260	102	2007
34	1	2	241	89	2007
35	1	1	261	0	2008
36	2	1	260	89	2005
37	1	1	248	103	2008
38	1	1	267	92	2009
39	1	2	255	118	2006
40	2	1	252	102	2005
41	1	1	238	0	2006
42	5	0	0	0	0
43	1	1	245	0	2006
44	1	1	278	95	2009
45	1	1	257	0	2006
46	1	1	244	0	0
47	1	2	0	90	0
48	1	1	235	0	2006
49	1	2	262	99	2006
50	1	1	239	89	2009
51	1	2	0	90	2008
52	1	1	235	0	2007
53	1	1	238	116	2007
54	1	1	268	0	2007
55	1	1	238	95	2009
56	1	1	239	95	2009
57	1	2	0	125	2008
58	1	1	260	100	2007
59	1	1	245	0	2007
60	1	1	0	88	2008
61	1	1	257	107	2006
62	1	1	239	99	2007
63	1	2	0	91	2009
64	3	2	260	0	0
65	1	1	239	93	2008
66	1	2	266	105	2007
67	1	2	246	89	2008
68	2	1	271	0	2005
69	1	2	255	0	2007
70	1	1	271	94	2007
71	1	2	255	90	2008
72	1	2	266	89	2007
73	2	1	255	89	2005
74	1	1	268	91	2008
75	1	2	244	91	2009
76	1	1	268	129	2005
77	1	2	260	105	2006
78	2	1	245	0	2005
79	1	1	268	90	2008
80	2	2	250	0	2005
81	1	2	0	0	2008
82	1	1	274	0	2006
83	2	1	245	138	2005
84	5	2	246	103	0
85	1	2	241	99	2006
86	1	1	240	109	2006
87	1	1	244	95	2009
88	1	2	255	111	2008
89	1	1	268	0	2008
90	1	1	267	103	2007
91	1	0	235	0	2005
92	1	1	235	92	0
93	1	1	0	90	2009
94	1	1	260	90	2008
95	1	2	260	112	2006
96	1	2	278	88	2008
97	1	1	268	89	2009
98	1	1	252	91	2009
99	1	2	262	89	2006
100	1	1	235	102	2007
101	1	2	260	90	2008
102	1	2	0	91	2009
103	2	2	247	86	2005
104	2	1	260	100	2005
105	2	1	235	94	2005
106	1	1	239	157	2007
107	2	1	255	107	2005
108	1	1	268	93	2008
109	1	1	260	89	2008
110	1	1	245	98	2008
111	2	1	0	0	2005
112	1	1	245	123	2007
113	1	2	262	90	2008
114	1	1	268	91	2009
115	1	1	259	107	2006
116	1	1	268	89	2008
117	1	2	242	91	2008
118	1	2	278	90	2009
119	2	1	252	0	2005
120	1	2	249	0	2006
121	1	2	260	0	2008
122	1	2	255	0	2006
123	1	2	246	92	2009
124	1	1	267	89	2008
125	1	2	235	94	2006
126	1	0	255	90	0
127	1	2	240	90	2009
128	2	1	268	89	2005
129	1	2	262	89	2009
130	1	1	267	103	2006
131	1	1	268	0	2006
132	1	2	235	102	2006
133	1	2	242	89	2008
134	1	1	235	136	2006
135	1	1	239	89	2006
136	1	0	0	107	2006
137	1	2	0	89	2008
138	1	1	278	90	2009
139	1	1	245	0	0
140	1	2	249	91	2008
141	1	1	244	90	2009
142	1	2	245	94	2007
143	1	2	249	104	2006
144	1	2	235	95	2008
145	1	2	240	89	2008
146	2	1	268	107	2005
147	1	0	245	0	2007
148	1	2	266	91	2006
149	1	1	237	0	2007
150	2	1	260	108	2005
151	2	2	257	0	2004
152	1	1	0	89	2009
153	2	2	257	0	2004
154	1	2	262	0	2008
155	1	2	249	0	2007
156	1	1	265	103	2007
157	1	2	262	89	2009
158	1	2	0	95	2008
159	1	1	245	88	2008
160	5	2	279	0	2005
161	1	1	257	0	2007
162	1	2	255	0	2007
163	1	1	245	92	2007
164	1	0	0	0	0
165	2	1	268	0	2005
166	1	2	0	91	2008
167	1	2	255	101	2007
168	1	1	0	88	2009
169	1	0	237	0	2007
170	1	1	252	0	2006
171	1	2	0	88	2009
172	1	1	239	92	2009
173	1	2	239	0	2008
174	1	1	244	93	2008
175	1	2	255	102	0
176	1	1	260	95	2009
177	2	2	235	0	2005
178	1	0	252	0	0
179	1	2	255	0	2007
180	1	2	255	93	2007
181	2	2	255	103	2005
182	1	1	245	0	2008
183	1	1	238	0	2005
184	1	2	0	95	2009
185	1	2	267	90	2009
186	1	0	0	119	0
187	1	1	257	88	2008
