id	status	gender	major	dorm	year
1	1	1	268	0	2007
2	5	1	291	0	2005
3	5	1	279	0	2008
4	5	0	0	0	0
5	1	1	249	89	2008
6	2	1	273	0	2002
7	1	1	278	90	2008
8	2	1	260	0	2005
9	1	1	288	90	2009
10	2	1	245	0	2005
11	2	1	261	0	2005
12	2	1	236	0	2005
13	5	1	273	0	2006
14	1	1	268	92	2009
15	1	1	268	92	2009
16	5	1	259	0	2006
17	5	1	0	91	2006
18	1	1	249	89	2008
19	1	1	245	90	2009
20	1	1	264	93	2004
21	1	1	251	94	2007
22	1	1	248	93	2007
23	5	1	0	0	0
24	1	1	238	93	0
25	1	1	268	86	2006
26	5	2	259	91	2005
27	1	1	0	0	0
28	1	1	248	94	2007
29	1	1	257	0	2006
30	1	1	273	89	2008
31	1	1	288	87	2006
32	1	1	245	94	2009
33	1	1	273	92	2008
34	1	1	247	0	1926
35	1	1	0	90	2009
36	1	1	0	0	2009
37	1	1	261	93	2006
38	1	1	281	0	2008
39	1	1	270	92	2009
40	2	1	240	0	2005
41	1	1	273	90	2008
42	1	1	242	86	2006
43	2	1	251	0	2005
44	1	1	288	0	2007
45	1	1	269	88	2005
46	5	2	0	94	2006
47	5	1	258	91	0
48	1	1	251	89	2007
49	5	1	249	0	2006
50	1	1	273	94	2009
51	1	1	239	94	2009
52	1	1	264	93	2005
53	1	1	281	92	2009
54	1	1	263	89	2008
55	1	1	247	92	2008
56	1	1	238	90	2009
57	1	1	280	94	2009
58	2	1	283	0	2005
59	1	1	291	90	2009
60	1	1	249	92	2009
61	1	1	257	92	0
62	1	1	239	0	2008
63	1	1	273	0	2007
64	1	1	256	86	2006
65	1	1	0	87	2008
66	1	1	256	92	2009
67	2	1	268	0	2005
68	1	1	280	93	2006
69	1	1	270	0	0
70	1	1	270	0	2008
71	1	1	249	0	2006
72	1	0	238	95	2007
73	5	1	273	0	2007
74	1	1	263	86	2007
75	1	1	245	0	2007
76	1	1	249	94	2009
77	5	1	0	0	0
78	1	1	254	95	2006
79	1	0	0	0	2008
80	1	1	288	94	2008
81	4	2	0	0	0
82	1	1	0	92	2008
83	1	1	0	90	2009
84	1	1	257	89	2008
85	1	1	242	92	2008
86	1	1	281	92	2009
87	1	1	286	86	2007
88	2	1	281	0	2005
89	1	1	248	88	2005
90	1	1	277	0	2006
91	1	1	260	93	2007
92	1	1	238	0	2007
93	1	0	251	87	2006
94	2	1	242	0	2005
95	1	1	263	86	2007
96	1	1	239	94	2009
97	1	1	240	94	2006
98	1	1	240	0	2007
99	1	1	278	92	2009
100	1	1	268	92	2009
101	1	1	269	0	2007
102	1	1	260	92	2009
103	1	1	239	94	2008
104	1	1	0	92	2009
105	2	1	240	0	2005
106	1	1	268	90	2009
107	1	1	277	0	2005
108	2	1	281	0	2005
109	1	1	239	86	2006
110	1	1	239	93	2006
111	2	0	281	0	2005
112	1	1	277	92	2009
113	1	1	274	0	2007
114	1	1	273	87	2008
115	2	1	264	0	2004
116	1	1	281	0	2007
117	1	1	248	89	2008
118	2	1	251	0	0
119	1	1	257	90	2008
120	1	1	242	90	2008
121	2	1	248	0	2005
122	5	1	251	0	2006
123	1	1	263	0	2007
124	1	1	280	92	2004
125	1	1	0	92	2009
126	1	1	268	87	2007
127	1	1	263	88	2006
128	1	1	251	93	2006
129	1	1	268	0	2007
130	1	1	268	90	2009
131	2	1	238	0	2005
132	1	1	236	88	2006
133	1	1	249	87	2008
134	1	1	288	0	2006
135	1	1	281	90	2009
136	1	1	281	91	2006
137	1	0	0	0	0
138	1	1	245	0	2006
139	1	1	0	0	0
140	1	1	245	92	2009
141	1	1	269	92	2008
142	1	1	273	0	2008
143	1	0	0	0	0
144	1	0	0	0	0
145	1	1	289	89	2008
146	1	1	268	88	2006
147	5	1	0	0	2006
148	2	1	251	88	2005
149	1	1	268	86	2007
150	1	1	268	87	2008
151	1	1	245	0	2006
152	1	0	238	89	2008
153	1	1	287	0	2006
154	1	1	240	0	2006
155	1	1	245	94	2007
156	1	1	0	0	2007
157	1	1	245	94	0
158	1	1	273	92	2009
159	1	1	292	90	2009
160	2	1	0	0	0
161	1	1	281	0	2007
162	1	1	273	86	2007
163	1	1	245	89	2008
164	1	1	273	0	2009
165	1	1	267	0	2007
166	1	0	252	0	0
167	1	1	268	90	2009
168	1	1	273	92	2009
169	1	1	238	94	2007
170	1	1	245	0	2006
171	1	1	261	92	2009
172	1	1	261	0	2008
173	1	1	268	90	2009
174	1	1	0	0	2009
175	1	1	280	0	2006
176	1	1	245	0	2008
177	1	1	268	90	2009
178	1	1	268	90	2009
179	1	0	240	0	2007
180	1	0	245	0	2007
181	1	1	281	0	2006
182	1	0	0	0	0
183	1	1	240	93	2006
184	1	1	263	0	2007
185	1	1	239	0	2008
186	1	1	270	0	0
187	1	1	261	0	0
188	1	1	240	92	2009
189	1	1	288	89	2006
190	2	1	274	0	2005
191	1	1	281	0	2006
192	2	1	249	0	2005
193	1	1	261	88	2006
194	2	1	257	0	2005
195	1	1	281	95	2007
196	1	1	251	92	2009
197	1	1	268	94	2008
198	1	1	251	0	2007
199	1	1	245	93	2006
200	1	1	280	92	2009
201	1	1	251	89	2007
202	1	1	249	87	2008
203	1	1	271	94	2008
204	1	1	249	90	2009
205	1	1	253	88	2006
206	1	1	0	0	2007
207	1	1	287	0	2005
208	1	1	281	86	2007
209	1	1	245	90	2009
210	1	1	239	0	2007
211	1	1	264	0	2007
212	1	1	277	93	2007
213	1	1	288	0	2009
214	1	1	261	89	0
215	1	1	281	0	2007
216	2	0	261	0	2005
217	1	1	249	92	2009
218	1	1	0	92	2009
219	1	1	269	0	2007
220	1	2	261	0	0
221	1	1	284	92	2009
222	1	0	0	0	0
223	1	1	245	92	2009
