id	status	gender	major	dorm	year
1	2	1	251	107	2005
2	1	0	254	121	2007
3	2	1	253	0	2005
4	1	1	248	122	2006
5	1	1	250	111	2007
6	1	1	260	100	2007
7	1	1	252	89	2007
8	1	1	240	92	2006
9	1	1	0	94	2008
10	1	1	0	120	2009
11	1	1	253	113	2005
12	1	1	272	97	2006
13	1	1	254	102	2008
14	1	1	239	0	2006
15	1	1	257	94	2008
16	1	1	250	108	2005
17	2	1	250	106	2004
18	1	1	238	122	2009
19	1	1	268	92	2007
20	2	1	257	88	2005
21	1	1	253	0	2006
22	1	1	0	106	2009
23	1	1	278	117	2007
24	2	1	257	0	2005
25	1	1	268	117	2006
26	1	1	250	108	2006
27	1	1	254	95	2006
28	1	1	0	88	2008
29	2	1	250	106	2005
30	1	0	0	0	0
31	1	1	250	0	2006
32	1	1	0	113	2008
33	1	1	273	120	2007
34	1	1	260	119	2009
35	1	0	236	116	0
36	1	1	275	94	2008
37	1	1	259	87	2008
38	1	1	257	89	2009
39	1	1	241	99	2008
40	2	1	242	113	2004
41	1	1	0	117	2009
42	3	1	0	0	1984
43	1	1	253	97	0
44	1	1	240	112	2007
45	1	1	260	114	2007
46	2	1	257	115	2005
47	2	0	0	109	2003
48	1	1	235	97	2008
49	2	1	250	123	2005
50	2	1	241	121	2005
51	1	1	238	115	2007
52	1	1	241	102	2008
53	1	1	278	108	2008
54	1	1	270	99	2008
55	2	1	272	0	2005
56	5	1	272	0	2005
57	1	1	236	0	2006
58	1	0	0	117	2008
59	1	1	0	105	2009
60	1	1	238	0	2006
61	2	1	249	0	2004
62	2	1	260	115	2005
63	1	1	257	122	2008
64	1	1	250	115	2008
65	1	1	265	117	2007
66	1	1	251	88	2008
67	1	1	241	0	2007
68	1	1	268	110	2006
69	2	1	246	0	2000
70	1	0	272	122	0
71	3	2	259	0	0
72	1	1	0	109	2009
73	1	1	259	90	2006
74	1	0	0	0	0
75	1	1	0	100	2009
76	1	1	278	117	2009
77	1	1	248	106	2006
78	1	1	277	88	0
79	1	1	253	119	2008
80	1	1	245	117	2007
81	1	1	243	100	2008
82	1	1	250	106	2007
83	2	1	272	87	2005
84	1	1	279	99	2008
85	1	1	260	90	2007
86	1	1	259	87	2008
87	1	1	250	97	2008
88	1	0	0	0	0
89	2	1	0	122	2004
90	1	0	250	121	2006
91	2	1	237	0	2005
92	1	1	0	99	2009
93	2	1	272	91	2005
94	1	0	0	0	0
95	1	1	241	119	2006
96	1	1	241	105	2008
97	2	1	257	99	0
98	2	0	0	0	0
99	1	1	281	94	2008
100	1	0	0	0	0
101	2	1	260	115	2004
102	1	1	241	92	2006
103	2	0	252	0	2005
104	2	1	257	92	2005
105	1	1	237	91	2006
106	1	1	259	107	2006
107	2	1	0	106	2004
108	1	1	0	0	2008
109	2	0	276	111	2005
110	1	1	0	111	2009
111	1	0	0	0	0
112	2	1	241	119	2005
113	1	1	257	115	2008
114	1	1	253	117	2006
115	1	1	276	102	2008
116	1	0	0	0	0
117	1	1	267	113	2008
118	1	1	257	109	2008
119	1	1	278	114	0
120	1	1	265	93	2006
121	1	1	253	121	2008
122	1	1	257	90	2006
123	1	1	241	122	2009
124	1	1	236	92	2006
125	1	1	257	117	2009
126	1	0	0	0	0
127	1	1	0	94	2009
128	1	1	272	0	2006
129	1	1	253	107	2009
130	1	1	253	102	2006
131	1	1	274	100	2007
132	1	1	259	114	2007
133	2	1	265	108	2005
134	1	1	276	97	2007
135	1	1	257	93	2007
136	1	1	250	95	2007
137	2	1	250	0	2004
138	1	1	262	122	2009
139	1	1	265	93	2008
140	2	1	0	113	0
141	2	1	249	0	2005
142	1	1	268	114	2009
143	1	1	260	105	2006
144	1	1	257	99	2007
145	2	1	241	93	2005
146	1	1	272	99	2008
147	1	1	252	88	2007
148	1	1	268	121	2007
149	2	1	237	0	2005
150	1	1	260	121	2007
151	1	0	0	100	0
152	1	1	268	107	2007
153	1	1	236	0	2006
154	1	1	251	122	2006
155	1	1	268	106	2008
156	1	1	276	122	2006
157	1	1	277	92	2007
158	2	1	273	0	2005
159	1	1	275	114	2006
160	1	1	253	99	2006
161	1	1	235	120	2008
162	2	1	265	92	2005
163	1	1	250	0	2005
164	1	1	259	121	2009
165	1	1	271	122	2006
166	1	1	235	97	2006
167	1	1	277	0	2006
