id	status	gender	major	dorm	year
1	5	2	49	0	2004
2	1	0	0	0	0
3	1	2	19	0	2008
4	2	2	51	0	2005
5	2	1	39	0	2005
6	1	2	22	47	2006
7	1	1	59	13	2009
8	1	2	48	109	2006
9	2	1	17	0	2005
10	2	2	23	21	2005
11	2	0	0	0	2004
12	2	2	22	0	2005
13	2	2	68	0	2003
14	1	2	58	46	2009
15	2	1	41	51	2004
16	1	1	59	46	2009
17	1	1	0	111	2009
18	1	1	120	46	2009
19	1	2	49	21	2009
20	1	1	2	92	2006
21	5	2	117	109	2008
22	1	0	0	0	0
23	2	1	41	0	2005
24	2	2	17	36	2004
25	1	1	0	56	2009
26	1	2	7	22	2007
27	2	2	17	52	2003
28	2	2	39	0	2004
29	1	2	0	13	2009
30	1	2	55	0	2007
31	1	2	116	50	2008
32	2	2	60	0	2003
33	5	0	117	5	2008
34	1	2	7	108	2006
35	2	2	0	99	2001
36	1	2	38	41	2006
37	4	0	0	0	0
38	2	1	59	0	2005
39	2	1	1	118	2005
40	5	2	65	0	2005
41	1	2	22	50	2007
42	2	2	17	30	2004
43	2	2	68	92	2004
44	1	2	7	114	2009
45	1	2	51	22	2006
46	2	1	18	0	2003
47	4	2	0	0	0
48	1	1	13	48	2007
49	2	2	51	5	2004
50	1	0	0	0	0
51	2	2	29	32	2004
52	5	1	117	5	2006
53	1	2	68	2	2005
54	5	2	0	0	2008
55	3	2	0	0	0
56	5	2	36	5	2005
57	1	1	41	19	2008
58	1	2	22	44	2006
59	5	2	17	20	2006
60	1	2	50	0	0
61	1	2	24	50	2008
62	2	1	22	0	2004
63	2	1	60	12	2005
64	2	1	59	0	2004
65	2	2	51	4	2005
66	1	1	0	10	2009
67	2	2	20	41	2002
68	1	2	0	0	2008
69	1	2	29	1	2009
70	1	2	19	1	2008
71	2	2	113	0	2004
72	1	0	0	0	0
73	2	1	39	0	2004
74	2	2	0	26	2005
75	2	1	64	34	1994
76	1	1	22	54	2006
77	1	1	13	21	2008
78	1	1	117	5	2008
79	5	2	117	20	2008
80	1	2	61	19	2008
81	2	2	114	39	1983
82	1	2	22	23	2007
83	1	1	0	1	2009
84	1	2	58	19	2008
85	6	0	0	0	0
86	2	0	48	0	0
87	1	2	41	19	2007
88	1	0	0	0	0
89	1	1	0	21	2009
90	1	2	7	0	2005
91	1	1	22	97	2008
92	1	2	0	58	2009
93	1	0	39	39	2006
94	1	2	0	90	2008
95	1	1	29	58	2006
96	1	2	0	89	2009
97	1	2	0	21	2009
98	2	1	22	0	2005
99	5	2	113	0	0
100	1	2	20	0	2007
101	1	2	49	22	2007
102	1	1	7	49	2006
103	1	0	0	0	0
104	1	2	23	12	2006
105	2	2	63	0	2005
106	2	2	8	5	2004
107	1	2	0	21	2009
108	2	2	10	49	2005
109	1	1	59	49	2006
110	1	2	38	0	2006
111	2	1	114	0	2005
112	1	0	7	16	2006
113	1	2	60	45	0
114	1	2	58	110	2007
115	1	2	47	23	2006
116	1	2	18	57	2007
117	1	1	0	50	2008
118	1	0	39	51	2008
119	1	1	0	17	2008
120	1	1	116	97	2005
121	1	2	24	52	2009
122	2	2	17	0	2002
123	1	2	51	19	2007
124	5	1	114	20	0
