id	status	gender	major	dorm	year
1	1	2	113	342	2006
2	1	1	0	340	2008
3	1	2	109	338	2006
4	1	1	132	330	2008
5	1	2	110	338	2009
6	1	2	114	338	2006
7	1	0	131	0	2006
8	2	1	95	0	2005
9	2	1	109	0	2005
10	2	1	132	0	2005
11	1	1	132	338	2006
12	1	1	121	330	2008
13	1	1	95	330	2008
14	1	1	118	330	2006
15	1	1	98	330	2007
16	1	0	134	0	2007
17	1	0	0	0	0
18	2	2	108	0	2005
19	1	2	95	340	2008
20	1	2	106	0	0
21	1	1	131	333	2006
22	1	1	132	338	2009
23	1	1	94	338	2007
24	1	1	0	340	2009
25	2	2	92	0	2005
26	1	1	131	335	2008
27	1	1	131	338	2006
28	1	2	132	334	2007
29	2	0	109	0	2005
30	2	1	90	0	2004
31	1	2	114	331	2008
32	1	1	106	334	2008
33	1	2	129	331	2009
34	1	1	0	333	2009
35	2	1	106	0	2005
36	1	2	131	342	2006
37	2	0	116	332	0
38	2	1	93	338	2005
39	1	1	108	328	2009
40	1	2	0	329	2008
41	1	1	94	330	2006
42	2	2	114	0	2005
43	1	1	95	335	2008
44	1	2	134	338	2006
45	1	1	114	327	2009
46	2	2	109	342	2005
47	2	2	106	0	2005
48	1	2	107	332	2006
49	1	2	106	333	2009
50	1	2	135	333	2007
51	1	2	108	340	2009
52	1	2	106	331	2009
53	1	1	105	0	2006
54	1	1	0	329	2007
55	1	1	109	0	2005
56	1	2	131	338	2005
57	2	2	106	332	2005
58	1	0	0	0	0
59	2	1	95	0	2004
60	1	1	118	330	2009
61	2	2	114	335	2003
62	1	2	108	338	2006
63	2	1	134	331	2005
64	1	0	120	335	2007
65	1	1	109	335	2007
66	1	2	106	338	2009
67	2	1	132	0	2005
68	1	1	135	338	2006
69	1	2	109	340	2009
70	1	2	114	338	2005
71	2	2	104	0	2001
72	5	2	95	0	2005
73	1	2	108	335	2006
74	1	2	114	0	2006
75	1	2	95	340	2008
76	1	1	130	331	2006
77	1	2	0	327	2009
78	1	1	130	340	2009
79	1	2	0	0	0
80	1	2	134	0	2007
81	2	1	118	0	2005
82	1	1	94	0	2007
83	1	0	0	0	0
84	1	1	0	333	2008
85	1	0	134	338	2006
86	1	2	94	338	2009
87	1	1	109	335	2007
88	2	2	109	342	2005
89	2	0	135	0	2005
90	1	2	131	328	2007
91	4	2	106	338	2006
92	2	2	134	0	2005
93	1	1	114	331	2009
94	1	1	108	340	2008
95	1	2	95	340	2005
96	1	0	0	0	2007
97	1	1	106	0	2007
98	1	2	108	336	2007
99	1	2	108	333	2007
100	1	2	108	0	2006
101	1	0	120	0	2007
102	1	1	135	338	2006
103	1	2	120	328	2006
104	1	1	109	340	2007
105	1	1	0	340	0
106	1	0	90	332	2007
107	2	2	108	0	2005
108	1	2	108	338	2009
109	1	1	0	338	2009
110	2	1	90	0	2005
111	1	1	95	333	2007
112	1	2	95	338	2006
113	1	1	131	333	2009
114	1	2	134	330	2008
115	2	2	106	0	2003
116	1	2	94	331	2006
117	1	0	91	340	2008
118	1	2	106	338	2009
119	1	2	129	331	2009
120	1	2	109	333	2006
121	1	2	92	330	2010
122	2	2	114	0	2004
123	2	1	131	338	2005
124	1	2	131	340	2008
125	1	2	131	338	2009
126	1	1	102	338	2006
127	2	1	114	0	2005
128	1	1	111	331	2009
129	1	1	126	332	2007
130	1	2	106	327	2007
131	1	1	0	328	2008
132	1	2	108	340	2009
133	1	1	131	331	2006
134	1	1	0	331	2009
135	1	2	131	328	2009
136	1	2	130	331	2009
137	1	1	106	328	2007
138	2	2	132	0	2001
139	1	0	91	338	2006
140	1	1	0	336	2008
141	1	2	129	338	2007
142	2	2	108	0	2005
143	1	1	95	328	2009
144	1	2	127	328	2009
145	1	1	95	330	2006
146	1	1	0	334	2008
147	1	1	95	340	2008
148	2	2	114	330	2004
149	1	2	109	338	2006
150	2	1	109	0	0
151	1	2	106	340	2008
152	1	1	0	340	2008
153	1	2	130	340	2008
154	2	1	109	0	2005
155	2	1	114	338	2004
156	2	2	108	338	2005
157	1	2	95	331	2009
158	1	1	132	333	2008
159	2	2	108	342	2005
160	2	2	109	0	2004
161	2	1	107	0	2005
