id	status	gender	major	dorm	year
1	1	2	296	0	2006
2	1	2	235	0	2007
3	1	1	297	0	2006
4	5	2	368	0	2006
5	1	2	288	89	2009
6	1	2	0	92	2009
7	1	1	302	0	2006
8	1	2	0	86	2009
9	1	1	285	91	2008
10	1	2	341	0	2009
11	1	1	336	0	2007
12	1	1	375	88	0
13	2	1	335	0	2005
14	1	2	314	0	2006
15	2	2	254	0	2005
16	2	2	320	0	2005
17	1	1	256	92	2009
18	1	1	330	86	2008
19	1	1	256	92	0
20	1	1	325	0	2007
21	1	0	0	0	0
22	1	1	247	95	2009
23	1	2	235	0	0
24	1	1	361	101	2004
25	1	2	0	86	2008
26	1	0	0	0	2007
27	1	2	280	90	0
28	1	2	0	93	2008
29	1	2	284	0	2005
30	1	1	286	0	2008
31	1	1	280	86	2007
32	1	2	269	0	2005
33	1	1	252	99	0
34	1	2	245	100	2008
35	1	1	285	0	2007
36	1	2	348	0	2006
37	1	1	235	0	2006
38	1	2	0	0	0
39	1	1	320	89	2009
40	1	1	335	89	2009
41	1	2	314	0	2006
42	1	2	296	0	2006
43	1	2	334	0	2007
44	1	1	247	0	2006
45	1	2	399	100	2007
46	1	1	236	86	2009
47	1	2	271	0	2007
48	1	2	235	0	2005
49	1	2	324	86	2007
50	1	1	0	0	2007
51	1	1	324	96	0
52	2	2	334	0	2005
53	1	2	236	91	0
54	1	2	284	86	2005
55	1	1	317	90	2009
56	1	2	331	0	2008
57	1	2	341	0	2007
58	1	1	377	87	2005
59	2	2	324	0	0
60	1	1	375	86	2010
61	2	1	271	0	2005
62	1	2	297	86	2008
63	1	1	397	0	2007
64	1	1	237	0	2007
65	1	1	325	0	2005
66	1	1	0	87	2009
67	1	2	377	0	2008
68	1	1	0	90	2009
69	1	2	375	0	2008
70	1	1	397	90	2008
71	1	1	246	0	2008
72	1	0	0	0	0
73	1	2	271	0	2006
74	1	1	290	100	2008
75	1	2	243	88	2009
76	1	2	261	107	2008
77	1	2	297	101	2007
78	1	1	399	0	2007
79	1	2	297	0	2007
80	1	1	378	0	2005
81	1	2	245	91	2009
82	1	1	245	0	2008
83	1	2	0	90	2009
84	1	2	245	101	2008
85	1	1	294	0	2008
86	1	2	335	0	2005
87	1	1	235	0	2005
88	1	2	271	0	2008
89	1	2	317	90	2009
90	1	2	266	0	2007
91	1	1	284	99	2006
92	1	2	362	0	0
93	1	1	364	0	0
94	2	2	271	0	2005
95	1	1	0	0	0
96	1	2	290	0	2006
97	1	1	368	86	2009
98	1	2	256	0	2007
99	1	0	0	0	0
100	1	2	386	101	2008
101	1	1	235	0	2007
102	1	2	315	94	2005
103	1	1	368	0	2008
104	1	1	375	0	2008
105	1	1	252	0	0
106	1	1	316	0	0
107	1	1	280	0	2005
108	1	2	382	0	2006
109	1	1	345	100	2006
110	1	2	290	89	2008
111	1	1	324	90	2008
112	1	1	256	87	2007
113	1	1	246	100	2008
114	1	1	389	0	2007
115	1	1	266	0	2006
116	1	1	377	88	0
117	1	2	0	0	0
118	1	2	296	0	2007
119	1	2	397	0	2006
120	1	1	290	100	0
121	2	2	0	0	0
122	1	1	235	0	2007
123	1	2	255	0	2006
124	1	1	274	86	2009
125	1	1	260	0	0
126	1	1	254	90	2008
127	1	1	330	101	0
128	1	1	324	89	2009
129	1	1	280	0	2006
130	1	2	271	0	2006
