id	status	gender	major	dorm	year
1	1	1	354	0	2008
2	1	1	246	146	2006
3	1	2	257	141	2007
4	1	2	340	143	2008
5	1	1	318	128	2006
6	1	2	370	0	2007
7	1	1	313	0	2006
8	1	2	279	0	2009
9	1	2	0	146	2008
10	1	1	330	0	2006
11	1	1	339	0	2007
12	1	2	287	0	2007
13	1	1	310	143	0
14	1	1	365	146	2007
15	1	2	316	0	2007
16	1	2	0	95	2009
17	1	1	339	0	2005
18	1	2	340	0	2008
19	1	1	331	0	2008
20	2	2	255	0	2004
21	1	2	0	143	2007
22	5	1	0	0	0
23	1	1	248	93	2010
24	1	1	331	143	2007
25	1	1	342	0	0
26	1	0	0	0	0
27	5	0	0	0	2005
28	1	1	370	0	2008
29	1	2	259	141	2008
30	1	2	316	118	2005
31	5	2	345	0	0
32	1	1	260	147	0
33	1	2	256	87	2005
34	4	2	339	95	2008
35	4	0	0	0	0
36	1	1	279	92	0
37	1	1	340	88	2008
38	1	1	330	0	2007
39	5	1	331	0	2007
40	1	1	340	141	2007
41	1	2	370	0	2006
42	1	2	322	93	2008
43	1	0	348	0	0
44	1	1	340	142	2008
45	1	1	263	0	2008
46	1	1	235	0	2006
47	1	1	352	0	2008
48	1	1	330	0	2008
49	1	1	253	88	0
50	1	1	318	128	2007
51	1	2	257	86	2009
52	2	1	330	0	2005
53	1	2	345	146	2006
54	1	0	265	0	0
55	2	1	0	129	2004
56	4	1	0	0	0
57	1	2	358	0	2005
58	5	2	277	0	2005
59	1	2	360	0	0
60	1	2	352	0	2007
61	1	2	235	141	2005
62	1	1	260	146	2007
63	1	2	284	0	0
64	1	2	236	0	2006
65	1	0	0	0	0
66	1	1	342	0	2008
67	1	1	266	0	2006
68	1	2	295	121	2008
69	1	1	284	0	2009
70	1	2	0	89	2004
71	1	1	255	93	2008
72	1	1	370	0	2006
73	1	2	248	146	2009
74	5	1	0	0	2007
75	1	2	354	0	2007
76	1	2	249	0	2008
77	1	2	248	0	2008
78	1	0	237	0	2005
79	1	1	336	0	2006
80	1	1	374	133	0
81	1	2	316	119	2008
82	1	1	350	89	2005
83	1	1	283	89	2009
84	1	1	246	0	2008
85	1	2	0	94	0
86	1	2	266	0	0
87	1	2	257	92	2009
88	1	1	354	0	2008
89	2	2	321	0	2005
90	1	2	279	95	2009
91	1	2	350	0	2006
92	1	2	339	0	2006
93	1	2	258	0	2006
94	1	1	257	90	2008
95	1	1	315	146	2008
96	1	1	0	97	2009
97	1	2	366	95	2009
98	1	2	321	0	0
99	1	2	330	0	2008
