id	status	gender	major	dorm	year
1	2	1	262	0	2005
2	1	1	279	0	2005
3	1	2	344	148	2009
4	1	2	321	96	2009
5	1	1	262	0	2006
6	1	2	316	0	2010
7	1	1	313	0	2006
8	1	1	302	0	2006
9	1	1	295	150	2009
10	1	2	260	91	2010
11	1	1	303	0	2006
12	1	2	255	96	2008
13	1	1	272	131	2005
14	1	2	343	0	0
15	2	2	302	0	2004
16	1	1	262	161	0
17	1	1	310	0	0
18	1	1	261	0	0
19	2	2	284	0	2005
20	2	2	300	162	2004
21	1	1	346	96	2009
22	2	1	263	0	2004
23	1	2	321	0	2008
24	1	0	279	0	0
25	1	1	344	96	2009
26	1	2	272	0	2007
27	1	0	326	93	2006
28	1	1	357	0	2009
29	1	2	277	0	2007
30	1	2	268	0	2007
31	1	2	323	0	2007
32	2	2	268	0	2005
33	2	1	330	0	2005
34	1	0	257	160	2007
35	2	1	272	0	2004
36	1	1	254	0	2007
37	1	2	279	0	2006
38	1	1	294	160	2008
39	1	0	269	161	0
40	1	1	319	86	2009
41	1	1	256	0	2007
42	1	2	268	0	2006
43	2	2	304	0	2005
44	1	1	321	0	2006
45	1	1	236	151	0
46	1	1	267	0	0
47	1	2	269	0	2005
48	1	1	294	112	2006
49	1	1	262	121	0
50	1	1	294	182	2006
51	2	2	239	153	2004
52	2	2	263	0	2003
53	1	2	254	90	2008
54	1	1	267	91	0
55	1	2	0	0	2007
56	1	2	253	90	2009
57	1	1	279	0	2008
58	2	2	272	0	2004
59	2	1	279	0	2004
60	2	2	276	0	2005
61	1	1	321	0	2008
62	1	1	311	0	2007
63	1	1	294	91	2009
64	1	2	237	157	2006
65	2	2	302	0	2005
66	1	1	255	0	2007
67	1	0	279	121	0
68	1	2	0	0	2008
69	2	2	294	0	2005
70	1	2	268	89	2009
71	1	2	236	0	2006
72	1	2	253	0	2006
73	1	2	0	0	0
74	1	1	254	92	2009
75	1	1	357	149	2009
76	1	2	357	88	2008
77	1	2	318	0	2006
78	1	1	256	168	2007
79	1	1	352	90	2009
80	5	2	324	0	2005
81	1	2	253	0	2007
82	1	0	271	0	2006
83	1	1	321	0	0
84	1	1	254	87	0
85	1	2	321	148	2009
86	1	1	323	0	2006
87	1	1	267	0	2007
88	1	1	313	161	2007
89	1	1	253	0	2008
90	1	1	253	0	2007
91	1	0	322	0	2008
92	1	2	0	90	2008
93	1	1	236	0	2005
94	1	1	353	0	2008
95	1	1	255	151	2009
96	1	1	294	0	2005
97	1	2	323	139	2008
98	2	1	236	0	2004
99	1	1	267	96	2009
100	1	2	236	0	2008
101	1	1	349	152	2009
102	1	1	272	91	2009
103	1	1	267	161	2008
104	1	2	361	157	2008
105	1	2	253	0	2007
106	1	2	263	0	2008
107	1	1	334	0	0
108	1	2	304	0	2006
109	2	1	341	0	2004
110	1	1	251	98	2007
111	1	2	294	0	2008
112	1	2	279	0	2007
113	1	1	267	0	2007
114	1	1	279	121	2006
115	5	2	294	0	0
116	5	2	318	0	0
117	1	1	236	0	2008
118	1	1	268	0	2006
119	1	1	260	159	2008
120	4	0	0	0	0
121	1	1	344	0	2008
122	5	0	341	0	2005
123	1	1	319	0	2005
124	1	0	334	112	2005
125	2	0	0	0	2004
126	1	2	0	0	0
127	1	2	304	96	2009
128	1	1	323	0	2004
129	1	1	267	90	2008
130	2	2	253	111	2005
131	1	1	311	0	2006
132	2	1	322	0	2005
133	1	1	247	90	0
134	1	2	357	148	2008
135	1	0	0	0	0
136	1	1	343	0	2008
137	2	2	323	0	2005
138	1	1	314	146	2006
139	1	2	343	90	2009
140	1	1	272	109	2007
141	1	0	0	0	0
142	1	1	274	181	2007
143	2	1	272	0	2004
144	1	2	0	0	0
145	1	1	271	0	2006
146	5	1	236	0	0
147	2	0	310	0	0
148	1	1	319	0	2006
149	1	1	268	134	2005
150	1	2	271	0	0
151	1	1	295	93	2009
152	2	1	0	0	2004
153	1	2	0	114	0
154	1	1	0	91	2008
155	1	2	321	0	0
156	1	1	357	0	2009
157	1	1	295	131	2007
158	1	2	279	0	2006
159	1	2	0	152	2009
160	1	2	253	90	2009
161	1	1	357	90	2009
162	1	2	323	153	2007
163	2	1	242	0	0
164	1	1	267	90	2005
165	1	2	262	0	2005
166	1	1	252	0	2007
167	1	2	357	0	0
168	2	0	272	0	0
169	1	1	253	156	2006
170	1	1	242	0	2007
171	1	2	252	161	2006
172	2	2	323	0	2005
173	1	2	236	0	0
174	1	1	344	183	2009
175	1	2	331	0	2006
176	1	2	357	152	2009
177	1	2	248	0	0
178	5	1	235	0	2005
179	1	2	268	0	2007
180	1	1	302	0	2007
181	1	1	266	0	2006
182	1	2	255	114	0
183	1	2	240	188	2009
184	2	1	302	0	2005
185	1	0	0	0	0
186	1	2	0	128	2006
187	1	1	321	148	2008
188	1	1	262	0	2008
189	1	1	253	0	2007
190	1	0	321	0	2006
191	2	1	323	0	2003
192	1	2	262	0	2007
193	1	2	272	0	2006
194	1	1	345	89	2009
195	1	1	236	160	2007
196	1	2	256	0	2007
197	1	1	284	0	2007
198	2	2	268	129	2004
199	1	1	323	90	2008
200	5	2	309	0	0
201	2	2	351	0	2005
202	1	0	0	0	0
203	1	1	253	0	2006
204	1	1	330	0	2007
205	1	2	0	0	0
206	1	1	235	0	0
207	1	2	255	0	2006
208	1	2	340	0	2005
209	1	2	323	156	0
210	2	2	255	0	2004
211	1	2	279	181	2008
212	1	2	268	0	2007
213	1	2	237	0	2006
214	1	2	269	130	2008
215	1	2	236	90	2008
216	1	1	253	0	2006
217	1	2	345	181	2007
218	1	2	279	0	2006
219	1	1	322	0	2007
220	1	1	321	152	2004
221	1	1	363	0	2007
222	1	2	256	0	2006
223	1	2	269	0	2007
224	1	1	253	99	2008
225	1	1	323	0	2007
226	1	1	301	0	2006
227	2	2	302	0	2003
228	1	2	268	152	2009
229	1	1	274	0	2007
230	1	1	285	96	2008
231	1	1	318	0	2007
232	1	1	295	0	2006
233	1	1	235	0	2006
234	2	1	332	0	0
235	1	2	0	0	0
236	1	2	255	90	2008
237	1	0	345	0	2008
238	1	1	241	0	2007
239	1	1	303	0	0
240	1	2	237	160	2007
241	1	1	236	0	2007
242	2	1	236	0	2004
243	1	1	334	0	2005
244	1	2	257	0	2007
245	1	2	268	90	2009
246	1	1	236	0	2006
247	1	1	285	99	2006
248	2	2	304	0	2004
249	1	1	321	87	0
