id	status	gender	major	dorm	year
1	1	1	175	60	2008
2	1	1	0	62	2008
3	1	1	164	71	2006
4	1	1	146	67	2008
5	1	1	0	59	2009
6	1	1	137	0	0
7	1	2	147	53	2008
8	1	1	160	72	2009
9	4	0	0	0	0
10	1	2	134	55	2007
11	1	1	128	67	2006
12	1	1	144	70	2006
13	1	1	147	66	2006
14	1	0	0	0	0
15	1	2	170	66	2008
16	1	1	170	55	2006
17	1	1	0	58	2008
18	2	1	137	0	2005
19	1	1	162	0	2006
20	1	2	0	67	2009
21	1	1	0	67	2009
22	1	2	0	0	2009
23	1	2	164	52	2008
24	1	1	137	61	2007
25	1	1	127	0	2008
26	1	2	147	51	2008
27	1	2	133	70	2005
28	2	2	153	0	2004
29	1	1	0	67	2009
30	1	0	0	0	0
31	1	2	134	72	2009
32	1	1	0	72	2009
33	1	2	134	60	2007
34	1	2	134	59	2009
35	1	1	160	69	0
36	1	1	125	71	2006
37	1	2	0	52	2009
38	1	2	0	72	2009
39	2	2	144	64	2004
40	1	0	0	0	0
41	1	1	160	52	2007
42	1	1	167	71	2007
43	1	2	134	67	2009
44	2	1	125	70	2005
45	1	2	164	0	2009
46	1	2	136	55	2009
47	1	1	166	0	2006
48	2	1	0	0	2008
49	1	1	170	62	2007
50	2	0	166	71	0
51	1	2	158	54	2007
52	1	2	137	65	2006
53	1	0	0	0	0
54	1	1	0	0	2007
55	1	2	134	75	2005
56	1	1	0	67	2009
57	1	1	168	62	2006
58	1	2	134	62	2007
59	1	1	147	67	2008
60	1	1	0	67	2009
61	1	1	135	63	2006
62	1	2	136	0	2007
63	1	1	166	71	2006
64	2	2	136	0	2005
65	1	2	162	0	2006
66	1	2	162	63	2008
67	1	2	137	61	2008
68	1	1	0	72	2008
69	1	2	162	72	2009
70	1	0	128	0	2007
71	1	1	128	75	2006
72	1	2	134	60	2007
73	2	1	166	0	2005
74	1	2	123	51	2007
75	1	1	134	63	2008
76	1	2	127	67	2009
77	1	1	0	67	2009
78	1	1	0	59	2009
79	1	2	137	72	2007
80	1	2	134	57	2007
81	1	1	166	58	2007
82	1	1	137	61	2009
83	2	2	134	0	2005
84	1	2	127	54	2007
85	1	2	0	0	2006
86	1	1	125	62	2008
87	2	0	0	0	0
