id	status	gender	major	dorm	year
1	1	2	64	0	2005
2	1	1	0	83	2008
3	2	2	70	0	0
4	1	1	90	31	2010
5	1	1	85	83	2006
6	1	1	86	39	2008
7	2	2	85	0	2004
8	1	1	85	40	2008
9	1	2	52	38	0
10	1	1	0	35	2009
11	1	2	56	36	2009
12	1	2	52	45	2007
13	1	1	0	44	2008
14	1	2	100	44	2008
15	1	2	103	78	2006
16	1	1	0	38	2009
17	2	1	52	83	2005
18	1	1	102	0	2006
19	1	1	102	42	2008
20	1	2	0	81	0
21	1	2	89	34	2006
22	1	1	86	83	2007
23	1	1	92	83	2007
24	1	2	108	0	2008
25	1	1	61	83	2006
26	1	2	0	44	2008
27	1	2	61	40	2008
28	5	2	62	0	0
29	1	1	61	64	2007
30	1	2	98	0	2007
31	2	1	64	0	2005
32	1	1	86	42	2007
33	1	2	0	0	0
34	1	2	52	47	2008
35	1	1	99	0	2009
36	1	2	118	31	0
37	2	2	0	61	2004
38	1	1	86	83	2007
39	1	2	99	83	2007
40	1	2	52	83	2006
41	2	1	46	0	0
42	1	1	0	36	2009
43	1	1	0	41	2009
44	1	1	61	83	0
45	5	1	86	0	0
46	2	1	98	0	2004
47	2	2	102	0	2005
48	1	2	102	48	2006
49	4	2	0	0	0
50	1	0	0	0	0
51	1	1	85	32	2008
52	1	2	98	74	2006
53	2	1	52	83	2005
54	2	2	86	0	2004
55	1	2	61	83	2006
56	1	2	63	40	2008
57	1	1	121	72	2008
58	1	2	51	36	2008
59	1	0	0	0	0
60	2	2	51	0	2005
61	1	1	61	37	2005
62	1	0	0	0	2006
63	2	2	99	0	2004
64	1	1	98	0	2006
65	1	2	61	63	2008
66	1	2	103	44	2008
67	1	1	52	47	2007
68	1	2	64	0	2005
69	1	0	0	0	0
70	2	2	106	0	2004
71	1	1	94	31	2008
72	1	2	85	83	2006
73	1	0	0	0	0
74	1	1	102	83	2006
75	1	1	83	83	2007
76	1	1	98	0	2007
77	2	1	61	0	2005
78	1	1	92	37	2006
79	2	0	70	83	2005
80	1	2	0	47	2009
81	2	1	52	0	2003
82	1	1	98	38	2007
83	1	2	46	46	2006
84	1	2	110	33	2009
85	1	2	79	0	2009
86	1	1	98	46	2007
87	5	0	82	0	2008
88	1	1	0	0	0
89	1	2	123	42	2006
90	1	2	85	82	2009
91	1	1	102	0	2005
92	2	2	106	67	2004
93	1	2	0	35	0
94	1	1	0	36	2009
95	1	0	0	0	0
96	5	2	83	0	2005
97	1	1	69	78	2006
98	1	1	86	37	2005
99	1	1	52	0	2008
100	2	0	118	0	2004
101	2	2	64	0	2005
102	2	2	61	83	2003
103	1	1	86	37	2007
104	2	1	98	0	2004
105	5	2	56	0	0
106	1	2	52	46	2008
107	1	2	51	42	2006
108	1	2	60	32	0
109	1	0	101	0	2008
110	1	1	52	83	2006
111	1	2	117	36	2009
112	1	1	85	42	2009
113	1	1	86	0	2006
114	1	0	52	42	2008
115	1	1	86	0	2004
116	1	1	98	42	2009
117	1	2	46	44	2009
118	1	1	79	81	2006
119	2	1	121	34	2004
120	2	1	97	0	2005
121	1	2	103	47	2008
122	1	2	121	83	2007
123	2	2	83	0	2005
124	1	1	70	83	2007
125	1	2	52	36	2009
126	2	2	0	0	0
127	1	2	61	83	2007
128	1	1	86	82	2009
129	2	1	58	59	2003
130	1	1	86	42	2008
131	2	2	61	0	2004
132	2	0	0	0	0
133	1	2	98	36	2009
134	1	2	51	42	2007
135	1	2	105	62	2007
136	2	1	52	0	2004
137	1	1	103	42	2008
138	1	2	58	40	2008
139	1	2	56	35	2005
140	1	2	64	0	2007
141	1	1	86	34	2006
142	1	1	86	71	2007
143	2	2	103	0	2004
144	5	0	0	0	0
145	1	1	102	83	2005
146	1	1	86	82	2009
147	1	1	63	45	2008
148	1	2	61	43	0
149	1	2	121	83	2006
150	1	2	64	81	2008
151	1	1	65	81	2007
152	1	2	0	82	2009
153	1	1	0	81	2008
154	2	1	95	83	2005
155	1	0	0	0	0
156	2	2	52	32	2002
157	1	2	85	46	2007
158	1	0	0	79	2007
159	1	1	0	45	0
160	1	2	103	33	2009
161	2	1	52	0	2005
162	1	1	85	72	2008
163	1	1	64	42	2009
164	1	1	52	61	2006
165	2	1	98	0	2004
166	1	2	114	83	2006
167	2	1	98	0	2004
168	2	2	60	0	0
169	1	1	103	39	2009
170	1	0	0	0	0
171	1	2	97	44	2007
172	1	2	100	43	2008
173	1	1	0	40	2008
174	1	1	0	44	2009
175	1	1	86	36	2009
176	1	2	56	33	2008
177	1	1	63	0	2007
178	1	2	109	0	2006
179	1	1	52	39	2009
180	3	0	0	0	0
181	2	1	64	0	2005
182	1	2	47	35	2008
183	1	2	85	83	2006
184	1	2	98	82	2009
185	1	2	64	34	2006
186	1	1	85	35	2009
187	5	0	0	0	0
188	1	1	70	81	2005
189	1	1	125	83	2007
190	1	2	0	31	2007
191	1	2	58	39	2009
192	1	2	0	40	2008
193	1	1	0	33	2008
194	1	0	0	0	0
195	1	2	86	46	2007
196	1	2	83	78	2007
197	1	1	52	0	2007
198	1	2	100	43	2009
199	1	0	80	39	2006
200	2	2	85	34	2005
201	2	1	70	0	2004
202	1	1	121	31	2007
203	5	2	46	83	2005
204	1	1	64	0	2006
205	1	2	61	82	2009
206	1	2	85	37	2005
207	1	2	102	83	2004
208	1	1	0	33	2008
209	1	1	0	0	2008
210	1	2	52	47	2007
211	1	2	61	40	2007
212	1	1	61	38	2007
213	1	1	98	83	2006
214	1	1	124	0	2007
215	1	0	0	0	0
216	1	1	86	0	2005
217	1	1	53	43	2005
218	1	2	102	31	2008
219	2	1	125	0	2005
220	1	1	52	44	2009
221	1	1	0	45	2008
222	1	2	126	45	2006
223	1	2	94	83	2006
224	1	1	46	33	2008
225	1	2	85	81	2008
226	1	2	0	0	2007
227	1	2	86	42	2006
228	2	2	60	0	2004
229	2	1	85	0	2005
230	1	0	0	0	0
231	1	2	85	0	2006
232	1	1	61	83	2007
233	1	1	109	83	2006
234	1	0	0	0	0
235	2	1	117	0	2005
236	2	1	64	0	2003
237	1	0	0	0	0
238	1	1	64	0	2006
239	1	2	123	83	2007
240	2	2	48	83	2004
241	5	0	0	0	0
242	1	2	98	82	2008
243	4	2	0	0	0
244	1	1	85	0	2007
245	1	1	0	39	2008
246	1	2	98	44	2009
247	2	2	70	0	2004
248	1	2	64	0	2006
249	5	1	98	0	2005
250	1	2	63	43	2007
251	1	1	0	35	2009
252	2	1	46	0	2004
253	1	1	67	37	2006
254	1	2	118	47	2008
255	1	1	98	42	2008
256	1	0	0	0	0
257	2	2	85	0	2004
258	2	2	109	54	2005
259	1	0	0	0	0
260	1	1	0	47	2008
261	1	2	0	47	2009
262	1	1	52	40	2008
263	1	2	85	0	2006
264	1	1	64	42	2007
265	2	0	63	0	2004
266	1	0	0	0	0
267	2	1	86	0	2004
268	1	1	85	0	2007
269	2	0	0	0	0
270	1	2	62	82	2009
271	1	2	52	81	2007
272	5	1	102	83	2005
273	1	1	61	83	2006
274	1	2	85	82	2009
275	1	2	0	44	2009
276	1	2	56	36	2009
277	2	2	109	0	2004
278	2	1	0	0	2004
279	1	1	56	81	2005
280	2	1	121	0	2005
281	1	1	85	36	0
282	1	2	52	39	2009
283	2	1	105	0	2005
284	1	2	85	31	2007
285	2	1	47	0	2005
286	1	2	98	44	2009
287	1	2	0	36	2009
288	2	1	92	34	2005
289	1	2	99	45	2007
290	1	2	70	46	2008
291	2	1	91	81	1999
292	2	1	64	34	2004
293	2	1	52	0	2004
294	1	2	98	45	2008
295	1	0	0	0	0
296	4	2	108	67	2005
297	2	2	54	0	0
298	5	1	86	0	0
299	1	2	61	72	2005
300	1	1	80	83	2006
301	1	1	64	83	2007
302	1	1	51	36	2009
303	1	2	108	46	2008
304	2	1	98	0	2005
305	1	2	85	44	2009
306	1	1	0	40	2008
307	1	1	86	83	2006
308	1	2	124	31	2007
309	1	2	85	83	2007
310	5	2	99	0	0
311	1	1	52	35	2008
312	1	2	99	44	2009
313	5	2	78	0	0
314	1	1	46	45	2007
315	1	2	56	39	2008
316	5	2	79	83	0
317	5	1	82	0	0
318	1	1	64	83	0
319	1	0	0	0	0
320	1	1	52	34	2006
321	1	1	95	34	2007
322	1	2	52	83	2007
323	1	2	0	38	2008
